time,open,high,low,close,volume
2015-06-26,7.6,7.6,7.2,7.2,64680
2015-06-29,7.1,7.2,6.7,6.7,152230
2015-06-30,6.5,6.7,6.3,6.3,162500
2015-07-01,6.1,6.7,6.1,6.7,737930
2015-07-02,6.9,7.1,6.9,7.1,425340
2015-07-03,7.5,7.5,7.1,7.2,314340
2015-07-06,6.8,7.2,6.7,6.9,265030
2015-07-07,6.6,7.0,6.5,6.6,136430
2015-07-08,6.8,6.8,6.4,6.6,105750
2015-07-09,6.6,6.7,6.4,6.6,157930
2015-07-10,6.7,7.0,6.5,7.0,870310
2015-07-13,7.4,7.4,6.9,7.2,321950
2015-07-14,6.9,7.2,6.7,7.1,83740
2015-07-15,7.1,7.2,6.7,6.7,112650
2015-07-16,6.7,6.8,6.5,6.7,34070
2015-07-17,6.7,6.9,6.6,6.8,8700
2015-07-20,6.9,6.9,6.6,6.8,17750
2015-07-21,6.9,7.0,6.6,6.9,76890
2015-07-22,6.8,7.3,6.5,7.3,888820
2015-07-23,7.4,7.8,7.4,7.7,588180
2015-07-24,7.8,8.0,7.2,7.2,645180
2015-07-27,7.2,7.4,7.0,7.3,40770
2015-07-28,7.6,7.8,7.1,7.6,468800
2015-07-29,7.3,7.7,7.1,7.4,178020
2015-07-30,7.2,7.5,7.1,7.4,42340
2015-07-31,7.6,7.6,7.1,7.3,29280
2015-08-03,7.1,7.4,6.8,7.2,38140
2015-08-04,7.2,7.4,6.9,7.2,108200
2015-08-05,7.2,7.3,6.9,7.0,302680
2015-08-06,7.0,7.2,6.9,7.0,24880
2015-08-07,7.0,7.2,6.8,7.0,92720
2015-08-10,6.8,7.4,6.8,7.1,464080
2015-08-11,7.0,7.2,7.0,7.1,111670
2015-08-12,7.0,7.1,6.7,7.0,151620
2015-08-13,7.0,7.0,6.6,6.6,76910
2015-08-14,6.7,6.7,6.5,6.5,25630
2015-08-17,6.6,6.7,6.4,6.7,20800
2015-08-18,6.7,6.7,6.4,6.5,12910
2015-08-19,6.4,6.7,6.3,6.5,17350
2015-08-20,6.6,6.7,6.3,6.5,267880
2015-08-21,6.5,6.5,6.1,6.3,58520
2015-08-24,6.3,6.3,5.9,5.9,88680
2015-08-25,5.5,6.1,5.5,5.8,335190
2015-08-26,5.8,5.8,5.4,5.8,82140
2015-08-27,5.8,6.0,5.6,5.8,30200
2015-08-28,5.8,5.8,5.5,5.7,83150
2015-08-31,5.6,5.9,5.5,5.6,131320
2015-09-01,5.6,5.8,5.5,5.7,23620
2015-09-03,5.6,5.7,5.6,5.7,39210
2015-09-04,5.7,5.8,5.5,5.6,29740
2015-09-07,5.6,5.7,5.4,5.5,44110
2015-09-08,5.5,5.7,5.4,5.6,60470
2015-09-09,5.7,5.7,5.5,5.7,31730
2015-09-10,5.5,5.7,5.5,5.7,41310
2015-09-11,5.7,6.0,5.6,6.0,153030
2015-09-14,5.8,6.2,5.8,6.0,142320
2015-09-15,6.0,6.2,5.8,6.2,48250
2015-09-16,6.2,6.2,5.9,6.0,14930
2015-09-17,5.9,6.0,5.7,6.0,6350
2015-09-18,6.0,6.0,5.6,5.8,27300
2015-09-21,5.7,6.0,5.7,6.0,40580
2015-09-22,6.0,6.0,5.8,6.0,21240
2015-09-23,5.8,6.0,5.7,5.7,35870
2015-09-24,5.9,5.9,5.4,5.7,92400
2015-09-25,5.8,5.8,5.4,5.7,187990
2015-09-28,5.7,5.7,5.4,5.5,126260
2015-09-29,5.5,5.5,5.2,5.5,21040
2015-09-30,5.3,5.5,5.3,5.5,12780
2015-10-01,5.3,5.5,5.3,5.5,54000
2015-10-02,5.5,5.5,5.5,5.5,140
2015-10-05,5.4,5.5,5.3,5.5,20150
2015-10-06,5.5,5.5,5.3,5.5,31080
2015-10-07,5.4,5.5,5.3,5.5,19260
2015-10-08,5.3,5.4,5.3,5.3,35560
2015-10-09,5.4,5.4,5.2,5.3,38380
2015-10-12,5.3,5.4,5.3,5.3,54000
2015-10-13,5.4,5.4,5.1,5.4,40230
2015-10-14,5.4,5.7,5.3,5.7,1974570
2015-10-15,5.9,6.0,5.8,6.0,1055280
2015-10-16,6.4,6.4,6.2,6.2,527080
2015-10-19,6.3,6.6,6.1,6.6,1802200
2015-10-20,6.8,6.8,6.2,6.6,325010
2015-10-21,6.3,6.6,6.2,6.2,350860
2015-10-22,6.1,6.1,5.8,5.8,344660
2015-10-23,6.0,6.0,5.6,5.6,47880
