time,open,high,low,close,volume
2015-06-26,9.0,9.0,9.0,9.0,0
2015-06-29,9.0,9.0,9.0,9.0,0
2015-06-30,9.0,9.0,9.0,9.0,0
2015-07-01,8.84,8.84,8.84,8.84,500
2015-07-02,8.84,8.84,8.84,8.84,500
2015-07-03,8.84,9.0,8.84,9.0,18100
2015-07-06,9.0,9.0,9.0,9.0,0
2015-07-07,8.76,8.92,8.76,8.92,500
2015-07-08,8.92,8.92,8.92,8.92,0
2015-07-09,9.0,9.0,9.0,9.0,3000
2015-07-10,9.0,9.0,9.0,9.0,1000
2015-07-13,8.84,8.92,8.84,8.92,4300
2015-07-14,8.92,8.92,8.92,8.92,100
2015-07-15,9.27,9.27,9.27,9.27,100
2015-07-16,8.75,9.09,8.75,9.09,2500
2015-07-17,8.31,9.35,8.31,9.18,5200
2015-07-20,8.57,9.18,8.4,9.18,1200
2015-07-21,9.18,9.18,9.18,9.18,0
2015-07-22,9.18,9.18,9.18,9.18,0
2015-07-23,9.44,9.44,8.83,9.18,3300
2015-07-24,9.18,9.18,9.18,9.18,0
2015-07-27,8.66,9.09,8.66,9.09,400
2015-07-28,9.09,9.09,9.09,9.09,0
2015-07-29,8.92,8.92,8.92,8.92,5300
2015-07-30,8.66,8.92,8.66,8.92,600
2015-07-31,8.66,8.83,8.66,8.83,4100
2015-08-03,8.83,8.83,8.83,8.83,100
2015-08-04,8.66,8.83,8.66,8.83,500
2015-08-05,8.92,8.92,8.92,8.92,100
2015-08-06,8.92,8.92,8.92,8.92,0
2015-08-07,8.75,8.92,8.66,8.92,2700
2015-08-10,9.01,9.01,9.01,9.01,100
2015-08-11,9.01,9.01,9.01,9.01,0
2015-08-12,9.01,9.01,9.01,9.01,0
2015-08-13,9.01,9.01,9.01,9.01,0
2015-08-14,9.01,9.01,9.01,9.01,0
2015-08-17,9.01,9.01,9.01,9.01,0
2015-08-18,9.01,9.01,9.01,9.01,0
2015-08-19,9.01,9.01,9.01,9.01,0
2015-08-20,8.23,8.83,8.23,8.83,3900
2015-08-21,8.31,8.66,8.31,8.66,1700
2015-08-24,8.66,8.66,8.66,8.66,0
2015-08-25,8.57,8.57,8.57,8.57,300
2015-08-26,8.57,8.75,8.57,8.75,3800
2015-08-27,8.75,8.75,8.75,8.75,0
2015-08-28,8.75,8.75,8.75,8.75,2000
2015-08-31,8.75,8.75,8.75,8.75,0
2015-09-01,8.75,8.75,8.75,8.75,0
2015-09-03,8.75,8.75,8.75,8.75,0
2015-09-04,8.75,8.75,8.75,8.75,0
2015-09-07,8.14,8.66,8.14,8.66,200
2015-09-08,8.05,8.57,8.05,8.57,900
2015-09-09,8.57,8.57,8.57,8.57,0
2015-09-10,8.57,8.57,8.57,8.57,0
2015-09-11,8.4,8.57,8.4,8.57,600
2015-09-14,8.4,8.57,8.4,8.57,300
2015-09-15,8.57,8.57,8.57,8.57,0
2015-09-16,8.57,8.57,8.57,8.57,0
2015-09-17,8.57,8.57,8.57,8.57,0
2015-09-18,8.4,8.57,8.31,8.57,7400
2015-09-21,8.57,8.57,8.57,8.57,0
2015-09-22,8.66,8.66,8.66,8.66,100
2015-09-23,8.31,8.57,8.23,8.57,6900
2015-09-24,8.66,8.66,8.66,8.66,100
2015-09-25,8.66,8.66,8.66,8.66,0
2015-09-28,8.66,8.66,8.66,8.66,0
2015-09-29,8.31,8.66,8.31,8.66,3000
2015-09-30,8.66,8.66,8.66,8.66,0
2015-10-01,8.66,8.66,8.66,8.66,0
2015-10-02,8.66,8.66,8.66,8.66,0
2015-10-05,8.66,8.66,8.66,8.66,0
2015-10-06,8.31,8.31,8.31,8.31,500
2015-10-07,8.57,8.57,8.57,8.57,100
2015-10-08,8.57,8.57,8.57,8.57,0
2015-10-09,8.57,8.57,8.57,8.57,0
2015-10-12,8.57,8.57,8.57,8.57,0
2015-10-13,8.66,8.66,8.66,8.66,100
2015-10-14,8.31,8.57,8.31,8.57,1100
2015-10-15,8.31,8.57,8.31,8.57,5000
2015-10-16,8.49,8.66,8.49,8.66,1300
2015-10-19,8.57,9.52,8.57,9.52,3800
2015-10-20,9.52,9.52,9.52,9.52,0
2015-10-21,9.44,9.44,9.44,9.44,200
2015-10-22,9.44,9.44,9.44,9.44,0
2015-10-23,9.44,9.44,9.44,9.44,0
2015-10-26,9.44,9.44,9.44,9.44,0
2015-10-27,8.57,8.75,8.57,8.75,8400
2015-10-28,8.66,8.75,8.66,8.75,2200
2015-10-29,8.75,8.75,8.75,8.75,0
2015-10-30,9.44,9.44,9.44,9.44,100
2015-11-02,9.44,9.44,9.44,9.44,0
2015-11-03,9.44,9.44,9.44,9.44,0
2015-11-04,8.57,9.18,8.57,9.18,8500
2015-11-05,9.18,9.18,9.18,9.18,0
2015-11-06,9.18,9.18,9.18,9.18,0
2015-11-09,9.18,9.18,9.18,9.18,0
2015-11-10,9.18,9.18,9.18,9.18,0
2015-11-11,9.18,9.18,9.18,9.18,0
2015-11-12,9.18,9.18,9.18,9.18,0
2015-11-13,9.18,9.18,9.18,9.18,0
2015-11-16,9.18,9.18,9.18,9.18,0
2015-11-17,9.96,9.96,8.49,8.75,2200
2015-11-18,8.49,8.83,8.49,8.83,900
2015-11-19,8.83,8.83,8.83,8.83,0
2015-11-20,8.66,8.92,8.66,8.92,3400
2015-11-23,8.23,9.09,8.23,9.09,5100
2015-11-24,9.09,9.09,9.09,9.09,0
2015-11-25,9.09,9.09,9.09,9.09,0
2015-11-26,8.49,8.66,8.49,8.66,10100
2015-11-27,8.49,8.66,8.49,8.66,1000
2015-11-30,8.31,8.66,8.31,8.66,1200
2015-12-01,8.31,8.66,8.31,8.66,3100
2015-12-02,8.66,8.66,8.66,8.66,0
2015-12-03,8.66,8.66,8.66,8.66,0
2015-12-04,8.83,8.83,8.83,8.83,100
2015-12-07,8.83,8.83,8.83,8.83,0
2015-12-08,8.83,8.83,8.83,8.83,0
2015-12-09,8.83,8.83,8.83,8.83,0
2015-12-10,8.31,8.83,8.31,8.83,2600
2015-12-11,8.75,8.75,8.75,8.75,200
2015-12-14,8.4,8.4,8.4,8.4,200
2015-12-15,8.75,8.75,8.75,8.75,100
2015-12-16,8.75,8.75,8.75,8.75,0
2015-12-17,8.4,8.83,8.4,8.83,200
2015-12-18,8.83,8.83,8.83,8.83,0
2015-12-21,8.83,8.83,8.83,8.83,0
2015-12-22,9.09,9.09,9.09,9.09,100
2015-12-23,9.09,9.09,9.09,9.09,0
2015-12-24,9.7,9.7,9.7,9.7,100
2015-12-25,9.7,9.7,9.7,9.7,0
2015-12-28,9.7,9.7,9.7,9.7,0
2015-12-29,9.7,9.7,9.7,9.7,0
2015-12-30,9.7,9.7,9.7,9.7,0
2015-12-31,8.75,8.75,8.75,8.75,100
2016-01-04,8.75,8.75,8.75,8.75,0
2016-01-05,8.75,8.75,8.75,8.75,0
2016-01-06,8.75,8.75,8.75,8.75,0
2016-01-07,8.75,8.75,8.75,8.75,0
2016-01-08,8.4,8.83,8.23,8.83,7300
2016-01-11,9.01,9.01,9.01,9.01,100
2016-01-12,8.49,8.92,8.4,8.92,4100
2016-01-13,8.92,8.92,8.92,8.92,0
2016-01-14,8.92,8.92,8.92,8.92,0
2016-01-15,8.92,8.92,8.92,8.92,0
2016-01-18,8.92,8.92,8.92,8.92,0
2016-01-19,8.92,8.92,8.92,8.92,0
2016-01-20,9.52,9.52,9.52,9.52,100
2016-01-21,9.52,9.52,9.52,9.52,0
2016-01-22,9.52,9.52,9.52,9.52,0
2016-01-25,9.52,9.52,9.52,9.52,0
2016-01-26,9.52,9.52,9.52,9.52,0
2016-01-27,8.57,9.01,8.57,9.01,4900
2016-01-28,9.01,9.01,9.01,9.01,0
2016-01-29,9.01,9.01,9.01,9.01,0
2016-02-01,9.01,9.01,9.01,9.01,0
2016-02-02,9.01,9.01,9.01,9.01,0
2016-02-03,9.01,9.01,9.01,9.01,0
2016-02-04,8.4,9.52,8.4,9.52,3500
2016-02-05,9.52,9.52,9.52,9.52,0
2016-02-15,8.57,8.83,8.57,8.83,2400
2016-02-16,8.83,8.83,8.83,8.83,0
2016-02-17,8.83,8.83,8.83,8.83,0
2016-02-18,8.75,8.75,8.75,8.75,200
2016-02-19,8.23,8.23,8.23,8.23,1700
2016-02-22,8.66,8.83,8.66,8.83,1100
2016-02-23,8.83,8.83,8.83,8.83,0
2016-02-24,8.83,8.83,8.83,8.83,0
2016-02-25,8.83,8.83,8.83,8.83,0
2016-02-26,8.57,8.66,8.49,8.66,1100
2016-02-29,8.66,8.66,8.66,8.66,0
2016-03-01,8.66,8.66,8.66,8.66,0
