time,open,high,low,close,volume
2014-07-10,3.2,3.24,3.11,3.2,2873430
2014-07-11,3.2,3.2,3.11,3.15,1355850
2014-07-14,3.2,3.2,3.11,3.15,582310
2014-07-15,3.2,3.24,3.2,3.2,1600740
2014-07-16,3.24,3.32,3.2,3.2,1742750
2014-07-17,3.2,3.28,3.2,3.28,1335860
2014-07-18,3.24,3.36,3.24,3.32,1607620
2014-07-21,3.32,3.36,3.24,3.28,1131610
2014-07-22,3.24,3.28,3.2,3.2,624570
2014-07-23,3.24,3.24,3.15,3.2,641010
2014-07-24,3.24,3.24,3.2,3.2,357480
2014-07-25,3.24,3.24,3.11,3.11,413450
2014-07-28,3.07,3.11,2.95,3.03,1251200
2014-07-29,2.99,3.07,2.99,2.99,277960
2014-07-30,2.99,3.15,2.99,3.11,715010
2014-07-31,3.07,3.15,3.07,3.15,436880
2014-08-01,3.11,3.15,3.07,3.11,283960
2014-08-04,3.07,3.15,3.07,3.07,416570
2014-08-05,3.07,3.15,3.07,3.15,346670
2014-08-06,3.15,3.28,3.11,3.15,855080
2014-08-07,3.15,3.24,3.15,3.24,1082280
2014-08-08,3.28,3.32,3.2,3.24,871150
2014-08-11,3.24,3.24,3.15,3.2,389470
2014-08-12,3.2,3.24,3.15,3.2,799420
2014-08-13,3.15,3.24,3.11,3.24,1416980
2014-08-14,3.24,3.32,3.24,3.24,2074130
2014-08-15,3.32,3.36,3.28,3.36,1693940
2014-08-18,3.36,3.4,3.28,3.32,1764350
2014-08-19,3.32,3.4,3.32,3.32,3333890
2014-08-20,3.36,3.36,3.28,3.32,713810
2014-08-21,3.36,3.4,3.32,3.36,1536840
2014-08-22,3.4,3.48,3.36,3.36,2466180
2014-08-25,3.4,3.52,3.4,3.48,2711300
2014-08-26,3.48,3.48,3.4,3.48,933360
2014-08-27,3.48,3.48,3.32,3.48,3178700
2014-08-28,3.44,3.48,3.4,3.4,1730850
2014-08-29,3.44,3.52,3.4,3.48,1166290
2014-09-03,3.56,3.6,3.52,3.56,2083360
2014-09-04,3.52,3.56,3.48,3.52,1984820
2014-09-05,3.56,3.77,3.52,3.73,2833560
2014-09-08,3.73,3.81,3.65,3.69,2302000
2014-09-09,3.69,3.69,3.44,3.44,3687650
2014-09-10,3.44,3.52,3.36,3.52,1261330
2014-09-11,3.52,3.56,3.44,3.52,791520
2014-09-12,3.52,3.73,3.52,3.73,2225660
2014-09-15,3.77,3.85,3.6,3.6,2590990
2014-09-16,3.6,3.77,3.56,3.73,2066370
2014-09-17,3.73,3.77,3.65,3.69,1848690
2014-09-18,3.65,3.77,3.56,3.65,1883950
2014-09-19,3.56,3.69,3.56,3.6,605350
2014-09-22,3.65,3.69,3.56,3.56,356370
2014-09-23,3.56,3.65,3.52,3.6,729630
2014-09-24,3.56,3.69,3.56,3.6,986720
2014-09-25,3.56,3.65,3.48,3.6,1049600
2014-09-26,3.65,3.69,3.6,3.6,956940
2014-09-29,3.65,3.69,3.6,3.6,911810
2014-09-30,3.6,3.73,3.56,3.73,2426680
2014-10-01,3.73,3.85,3.73,3.77,1834960
2014-10-02,3.81,4.01,3.77,4.01,4546810
2014-10-03,3.97,4.01,3.93,3.93,1812640
2014-10-06,4.01,4.18,4.01,4.18,2999540
2014-10-07,4.18,4.26,4.14,4.14,2447910
2014-10-08,4.06,4.18,4.01,4.06,1710570
2014-10-09,4.06,4.14,3.97,3.97,1110150
2014-10-10,3.93,4.18,3.85,4.06,3342500
2014-10-13,4.01,4.1,3.97,4.1,940340
2014-10-14,4.1,4.1,3.89,3.89,1372820
2014-10-15,3.89,3.93,3.81,3.89,1527000
2014-10-16,3.89,3.89,3.65,3.69,1805850
2014-10-17,3.69,3.81,3.65,3.77,1012400
2014-10-20,3.81,3.81,3.69,3.73,447560
2014-10-21,3.69,3.77,3.65,3.73,686770
2014-10-22,3.81,3.85,3.77,3.81,739410
2014-10-23,3.73,3.81,3.65,3.69,1409240
2014-10-24,3.69,3.77,3.6,3.65,718900
2014-10-27,3.6,3.65,3.48,3.48,1126100
2014-10-28,3.48,3.56,3.44,3.56,432270
2014-10-29,3.56,3.69,3.56,3.65,655630
2014-10-30,3.65,3.69,3.6,3.65,376390
2014-10-31,3.6,3.77,3.6,3.77,572880
2014-11-03,3.77,3.81,3.69,3.73,417450
2014-11-04,3.69,3.77,3.69,3.73,452950
2014-11-05,3.73,3.77,3.69,3.73,432300
2014-11-06,3.77,3.81,3.73,3.73,469500
2014-11-07,3.73,3.85,3.73,3.85,776260
2014-11-10,3.85,3.89,3.77,3.81,547780
2014-11-11,3.81,3.89,3.77,3.85,741530
2014-11-12,3.81,3.85,3.81,3.85,654290
2014-11-13,3.89,3.93,3.85,3.85,819130
2014-11-14,3.85,3.85,3.65,3.77,827970
2014-11-17,3.77,3.77,3.73,3.73,330650
2014-11-18,3.73,3.73,3.65,3.65,685170
2014-11-19,3.65,3.69,3.56,3.65,1035780
2014-11-20,3.69,3.77,3.65,3.73,809090
2014-11-21,3.73,3.73,3.65,3.69,504790
2014-11-24,3.65,3.69,3.6,3.6,421170
2014-11-25,3.6,3.65,3.6,3.6,439570
2014-11-26,3.69,3.77,3.56,3.69,2373130
2014-11-27,3.69,3.73,3.65,3.73,372490
2014-11-28,3.69,3.93,3.69,3.89,1985740
2014-12-01,3.85,3.93,3.73,3.77,1073050
2014-12-02,3.81,3.81,3.77,3.77,357450
2014-12-03,3.81,3.85,3.77,3.85,958560
2014-12-04,3.85,3.85,3.81,3.81,523830
2014-12-05,3.85,3.85,3.77,3.85,535090
2014-12-08,3.85,3.85,3.73,3.77,535320
2014-12-09,3.73,3.77,3.52,3.6,902340
2014-12-10,3.65,3.73,3.52,3.73,417940
2014-12-11,3.65,3.81,3.65,3.73,695890
2014-12-12,3.73,3.89,3.73,3.81,769900
2014-12-15,3.81,3.85,3.77,3.77,211480
2014-12-16,3.73,3.77,3.69,3.69,515460
2014-12-17,3.69,3.69,3.44,3.52,1121160
2014-12-18,3.65,3.65,3.56,3.65,326450
2014-12-19,3.65,3.65,3.48,3.48,365250
2014-12-22,3.52,3.65,3.52,3.56,142520
2014-12-23,3.56,3.56,3.52,3.56,175640
2014-12-24,3.56,3.56,3.52,3.56,318410
2014-12-25,3.56,3.56,3.48,3.52,272590
2014-12-26,3.52,3.52,3.4,3.4,417840
2014-12-29,3.44,3.48,3.2,3.24,292210
2014-12-30,3.28,3.36,3.2,3.32,330220
2014-12-31,3.36,3.52,3.36,3.48,212480
2015-01-05,3.48,3.56,3.44,3.48,278830
2015-01-06,3.4,3.56,3.36,3.52,383120
2015-01-07,3.52,3.6,3.48,3.48,278410
2015-01-08,3.48,3.52,3.44,3.52,255540
2015-01-09,3.52,3.6,3.48,3.56,551640
2015-01-12,3.6,3.6,3.44,3.44,138180
2015-01-13,3.44,3.48,3.4,3.48,323010
2015-01-14,3.48,3.52,3.4,3.48,321700
2015-01-15,3.48,3.52,3.48,3.48,239550
2015-01-16,3.52,3.56,3.48,3.48,229730
2015-01-19,3.52,3.52,3.44,3.48,111910
2015-01-20,3.48,3.48,3.4,3.44,196420
2015-01-21,3.44,3.48,3.4,3.44,291410
2015-01-22,3.44,3.48,3.4,3.44,107630
2015-01-23,3.48,3.56,3.4,3.48,391700
2015-01-26,3.52,3.56,3.48,3.52,278850
2015-01-27,3.48,3.52,3.4,3.44,235230
2015-01-28,3.44,3.48,3.4,3.44,252160
2015-01-29,3.44,3.44,3.36,3.4,102070
2015-01-30,3.4,3.4,3.28,3.32,595710
2015-02-02,3.32,3.36,3.24,3.24,148390
2015-02-03,3.24,3.28,3.2,3.2,202460
2015-02-04,3.15,3.24,3.11,3.2,187120
2015-02-05,3.15,3.2,3.15,3.15,153890
2015-02-06,3.07,3.2,3.07,3.15,184500
2015-02-09,3.2,3.24,3.15,3.2,217740
2015-02-10,3.2,3.24,3.15,3.2,311850
2015-02-11,3.2,3.32,3.15,3.24,178210
2015-02-12,3.28,3.32,3.24,3.32,68610
2015-02-13,3.32,3.32,3.24,3.32,103150
2015-02-24,3.32,3.4,3.32,3.4,570020
2015-02-25,3.36,3.4,3.28,3.32,174660
2015-02-26,3.28,3.4,3.28,3.36,138920
2015-02-27,3.36,3.36,3.24,3.28,926430
2015-03-02,3.28,3.28,3.15,3.15,505470
2015-03-03,3.15,3.2,3.11,3.2,451430
2015-03-04,3.15,3.24,3.15,3.24,725970
2015-03-05,3.24,3.28,3.2,3.24,361740
2015-03-06,3.24,3.28,3.2,3.2,117300
2015-03-09,3.24,3.24,3.11,3.11,458970
2015-03-10,3.15,3.2,3.11,3.15,215770
2015-03-11,3.15,3.2,3.11,3.15,269300
2015-03-12,3.15,3.15,3.11,3.15,149830
2015-03-13,3.15,3.2,3.11,3.15,163160
2015-03-16,3.15,3.15,3.07,3.07,150160
2015-03-17,3.11,3.11,3.03,3.07,374390
2015-03-18,3.11,3.11,2.99,3.03,305810
2015-03-19,3.03,3.07,2.99,3.03,206580
2015-03-20,2.99,3.03,2.99,2.99,101480
2015-03-23,3.03,3.03,2.95,2.95,286550
2015-03-24,2.95,2.95,2.87,2.95,314980
2015-03-25,2.95,2.99,2.91,2.95,176470
2015-03-26,2.91,2.99,2.91,2.91,148810
2015-03-27,2.91,2.99,2.91,2.91,147530
2015-03-30,2.91,2.95,2.87,2.87,144350
2015-03-31,2.87,2.91,2.83,2.87,136030
2015-04-01,2.87,2.87,2.74,2.74,159040
2015-04-02,2.79,2.87,2.74,2.87,145900
2015-04-03,2.87,2.87,2.79,2.87,74900
2015-04-06,2.87,2.87,2.79,2.79,62940
2015-04-07,2.79,2.87,2.74,2.83,67970
2015-04-08,2.87,2.91,2.83,2.91,285700
2015-04-09,2.91,3.07,2.87,3.07,624100
2015-04-10,3.11,3.15,3.07,3.07,271110
2015-04-13,3.07,3.15,3.07,3.07,258690
2015-04-14,3.11,3.11,2.99,2.99,306140
2015-04-15,3.07,3.11,2.99,3.11,264240
2015-04-16,3.11,3.2,3.07,3.11,502060
2015-04-17,3.11,3.11,3.07,3.07,208900
2015-04-20,3.07,3.2,3.07,3.2,740980
2015-04-21,3.2,3.2,3.11,3.15,266350
2015-04-22,3.11,3.15,3.07,3.07,161600
2015-04-23,3.11,3.15,3.07,3.15,315170
2015-04-24,3.15,3.15,3.11,3.11,158560
2015-04-27,3.15,3.15,3.07,3.07,91770
2015-05-04,3.07,3.07,2.87,2.87,488330
2015-05-05,2.87,2.95,2.74,2.95,279920
2015-05-06,2.91,2.91,2.79,2.79,187210
2015-05-07,2.79,2.91,2.79,2.91,79630
2015-05-08,2.91,2.95,2.87,2.95,147940
2015-05-11,2.95,2.95,2.91,2.91,143940
2015-05-12,2.87,2.91,2.83,2.87,169610
2015-05-13,2.87,2.87,2.83,2.87,85390
2015-05-14,2.87,2.87,2.79,2.87,201230
2015-05-15,2.83,2.87,2.79,2.79,76540
2015-05-18,2.79,2.79,2.66,2.7,148220
2015-05-19,2.7,2.74,2.66,2.74,243370
2015-05-20,2.74,2.91,2.74,2.91,432380
2015-05-21,2.91,3.07,2.91,3.07,842420
2015-05-22,3.07,3.15,3.07,3.15,627580
2015-05-25,3.15,3.2,3.11,3.15,363310
2015-05-26,3.15,3.2,3.11,3.15,635830
2015-05-27,3.15,3.2,3.11,3.2,550540
2015-05-28,3.15,3.32,3.11,3.28,1005650
2015-05-29,3.32,3.36,3.24,3.32,1164810
2015-06-01,3.32,3.52,3.32,3.4,2105960
2015-06-02,3.4,3.4,3.32,3.32,773740
2015-06-03,3.28,3.36,3.28,3.36,680220
2015-06-04,3.36,3.4,3.32,3.4,625500
2015-06-05,3.4,3.44,3.36,3.4,868410
2015-06-08,3.44,3.44,3.32,3.32,900330
2015-06-09,3.32,3.36,3.24,3.24,813890
2015-06-10,3.28,3.44,3.24,3.44,2206410
2015-06-11,3.52,3.56,3.44,3.48,1091100
2015-06-12,3.48,3.65,3.48,3.56,1449710
2015-06-15,3.56,3.56,3.44,3.44,731050
2015-06-16,3.44,3.48,3.36,3.36,695240
2015-06-17,3.32,3.44,3.32,3.36,688950
2015-06-18,3.4,3.44,3.36,3.36,358910
2015-06-19,3.4,3.44,3.32,3.36,578510
2015-06-22,3.4,3.48,3.4,3.44,791360
2015-06-23,3.44,3.48,3.4,3.4,235210
2015-06-24,3.4,3.44,3.4,3.4,385450
2015-06-25,3.4,3.56,3.4,3.52,2119480
2015-06-26,3.48,3.52,3.44,3.44,352850
2015-06-29,3.44,3.44,3.36,3.4,436760
2015-06-30,3.36,3.4,3.28,3.28,1016180
2015-07-01,3.28,3.36,3.28,3.32,496820
