time,open,high,low,close,volume
2014-06-26,8.2,8.2,8.2,8.2,10
2014-06-27,7.65,8.07,7.65,8.07,510
2014-06-30,7.52,7.52,7.52,7.52,10
2014-07-01,7.01,7.85,7.01,7.75,230
2014-07-02,7.75,7.75,7.75,7.75,0
2014-07-03,8.27,8.27,7.23,7.23,20
2014-07-04,7.72,7.72,7.72,7.72,26870
2014-07-07,8.23,8.23,7.23,7.23,1060
2014-07-08,6.78,6.78,6.78,6.78,100
2014-07-09,7.23,7.23,6.33,6.36,160
2014-07-10,6.46,6.78,6.46,6.78,210
2014-07-11,6.94,6.94,6.94,6.94,10
2014-07-14,6.49,7.1,6.49,7.1,30
2014-07-15,7.39,7.59,7.39,7.59,260
2014-07-16,8.11,8.11,8.11,8.11,10
2014-07-17,8.4,8.4,8.4,8.4,10
2014-07-18,8.4,8.98,8.4,8.98,10000
2014-07-21,9.01,9.33,9.01,9.01,6180
2014-07-22,9.01,9.04,9.01,9.04,11340
2014-07-23,9.04,9.04,9.04,9.04,0
2014-07-24,8.43,9.66,8.43,9.66,2310
2014-07-25,9.75,9.75,9.66,9.75,80
2014-07-28,10.33,10.33,10.33,10.33,110
2014-07-29,9.62,11.04,9.62,10.82,6520
2014-07-30,10.85,11.5,10.85,11.5,1340
2014-07-31,12.27,12.27,11.56,12.21,1850
2014-08-01,12.92,12.92,12.59,12.59,30
2014-08-04,12.59,12.59,12.59,12.59,0
2014-08-05,12.27,13.47,11.72,12.27,12810
2014-08-06,12.27,12.27,11.72,12.27,11290
2014-08-07,12.27,13.05,11.46,11.46,4430
2014-08-08,11.46,11.46,11.3,11.3,450
2014-08-11,11.95,12.08,10.53,10.53,4030
2014-08-12,10.91,10.98,10.91,10.98,60
2014-08-13,11.72,11.72,11.63,11.63,6030
2014-08-14,11.63,12.43,11.63,12.27,1410
2014-08-15,12.59,12.59,11.46,12.27,1480
2014-08-18,13.13,13.13,12.35,12.59,330
2014-08-19,13.47,13.47,12.59,12.59,1320
2014-08-20,13.47,13.47,12.59,13.47,1040
2014-08-21,13.47,13.47,13.47,13.47,0
2014-08-22,12.54,13.08,12.54,13.08,2010
2014-08-25,13.95,13.95,12.21,12.59,1760
2014-08-26,13.32,13.32,11.72,11.72,9230
2014-08-27,11.14,11.14,10.95,10.95,3530
2014-08-28,10.22,11.62,10.22,10.27,430400
2014-08-29,10.27,10.95,10.27,10.27,212670
2014-09-03,10.27,10.95,10.27,10.85,201120
2014-09-04,10.66,10.66,10.22,10.27,80440
2014-09-05,10.27,10.27,10.22,10.27,28710
2014-09-08,10.32,10.32,10.12,10.12,148690
2014-09-09,10.17,10.17,10.12,10.12,103350
2014-09-10,10.12,10.27,10.12,10.12,25050
2014-09-11,10.12,10.8,10.12,10.8,2046030
2014-09-12,11.53,11.53,11.53,11.53,164140
2014-09-15,12.3,12.3,12.3,12.3,100910
2014-09-16,11.62,11.72,11.48,11.48,521430
2014-09-17,10.75,11.48,10.7,10.7,812890
2014-09-18,10.7,10.7,10.12,10.12,130790
2014-09-19,10.12,10.61,10.12,10.12,152120
2014-09-22,10.37,10.46,10.12,10.17,211790
2014-09-23,10.17,10.85,10.12,10.85,4715180
2014-09-24,11.19,11.58,10.66,11.58,577300
2014-09-25,12.11,12.35,11.87,12.35,774290
2014-09-26,11.92,13.08,11.62,12.64,787430
2014-09-29,12.11,12.54,12.01,12.25,1225970
2014-09-30,11.96,12.84,11.96,12.54,1469530
2014-10-01,12.16,12.5,11.67,11.67,1445240
2014-10-02,11.58,12.45,11.14,12.45,1390040
2014-10-03,12.5,13.17,12.45,13.13,725290
2014-10-06,12.88,13.03,12.54,12.84,368850
2014-10-07,12.93,13.71,12.84,13.71,1156620
2014-10-08,13.95,13.95,13.08,13.32,406700
2014-10-09,13.08,13.32,13.08,13.13,264400
2014-10-10,13.08,13.08,12.59,12.88,208880
2014-10-13,12.59,13.08,12.59,12.74,55910
2014-10-14,12.74,13.08,12.59,12.59,383310
2014-10-15,12.74,12.74,12.45,12.69,158990
2014-10-16,12.5,12.84,12.35,12.64,94690
2014-10-17,12.3,12.64,12.3,12.64,51880
2014-10-20,12.64,12.84,12.59,12.84,48830
2014-10-21,12.84,12.84,12.79,12.84,8290
2014-10-22,12.59,12.84,12.59,12.69,40600
2014-10-23,12.59,12.64,12.3,12.3,60430
2014-10-24,12.59,12.59,11.92,12.25,99340
2014-10-27,11.48,12.25,11.43,11.43,48050
2014-10-28,11.38,12.11,11.38,12.11,42370
2014-10-29,12.35,12.59,12.11,12.59,21990
2014-10-30,12.59,12.59,12.11,12.5,33560
2014-10-31,12.16,12.5,12.16,12.3,91470
2014-11-03,12.11,12.4,12.11,12.35,49550
2014-11-04,12.4,12.4,12.16,12.16,23530
2014-11-05,12.11,12.21,11.87,12.11,23390
2014-11-06,12.3,12.3,11.77,12.06,27710
2014-11-07,12.16,12.16,11.82,11.96,21020
2014-11-10,11.92,11.96,11.87,11.96,30930
2014-11-11,11.87,12.11,11.87,11.87,35570
2014-11-12,11.67,11.92,11.67,11.72,29210
2014-11-13,11.87,11.87,11.67,11.77,23840
2014-11-14,11.82,11.82,11.67,11.77,15400
2014-11-17,11.77,11.92,11.72,11.82,6040
2014-11-18,11.82,11.82,11.72,11.82,8940
2014-11-19,11.58,11.67,11.48,11.53,27230
2014-11-20,11.43,11.62,11.43,11.62,28230
2014-11-21,11.72,11.72,11.29,11.29,30850
2014-11-24,11.29,12.06,11.29,12.06,105740
2014-11-25,12.59,12.88,12.45,12.88,347920
2014-11-26,13.37,13.76,13.37,13.56,931790
2014-11-27,13.56,14.05,13.47,13.51,583070
2014-11-28,13.51,14.43,12.59,14.09,221440
2014-12-01,14.05,15.06,14.05,15.06,217830
2014-12-02,14.39,16.08,14.39,16.08,348370
2014-12-03,16.08,16.71,14.97,15.02,83030
2014-12-04,15.94,15.94,15.02,15.69,113010
2014-12-05,16.71,16.71,14.63,16.37,12620
2014-12-08,16.71,16.71,15.26,15.5,14730
2014-12-09,14.43,15.5,14.43,15.5,8070
2014-12-10,14.43,15.02,14.43,15.02,9420
2014-12-11,15.79,15.79,14.0,14.0,7260
2014-12-12,13.03,14.63,13.03,14.53,3060
2014-12-15,15.4,15.4,14.05,14.77,1540
2014-12-16,13.76,15.4,13.76,15.02,10390
2014-12-17,15.21,15.21,14.05,14.05,1880
2014-12-18,13.08,14.97,13.08,14.97,4610
2014-12-19,15.74,15.74,15.74,15.74,10
2014-12-22,14.68,15.26,14.68,14.68,8440
2014-12-23,15.02,15.02,15.02,15.02,10
2014-12-24,15.02,15.02,15.02,15.02,10
2014-12-25,15.11,15.11,14.0,14.53,200
2014-12-26,15.26,15.26,14.77,14.77,3110
2014-12-29,14.77,15.79,14.53,15.79,154990
2014-12-30,16.86,16.86,15.98,16.86,118280
2014-12-31,18.02,18.02,17.97,18.02,133070
2015-01-05,19.13,19.18,18.89,18.89,193060
2015-01-06,19.04,20.2,18.41,18.89,210530
2015-01-07,20.11,20.11,18.41,18.55,7500
2015-01-08,19.4,19.82,18.69,19.61,4660
2015-01-09,20.04,20.46,19.61,19.82,3400
2015-01-12,20.46,20.46,19.82,19.82,6830
2015-01-13,19.47,21.17,19.47,21.1,19510
2015-01-14,21.1,22.52,20.18,22.44,17760
2015-01-15,23.22,23.22,20.96,20.96,23550
2015-01-16,21.24,21.24,19.54,20.96,75070
2015-01-19,21.59,21.59,19.54,19.54,36070
2015-01-20,20.18,20.53,18.34,19.47,23020
2015-01-21,19.54,19.54,18.76,19.33,3510
2015-01-22,18.62,19.33,18.55,19.33,33410
2015-01-23,18.76,19.26,18.76,19.26,3940
2015-01-26,18.55,18.9,18.41,18.41,11660
2015-01-27,18.27,18.27,17.13,17.13,16310
2015-01-28,17.63,18.27,17.63,18.27,18430
2015-01-29,19.54,19.54,19.54,19.54,79530
2015-01-30,20.82,20.89,20.53,20.89,130880
2015-02-02,20.32,22.3,20.32,22.23,49170
2015-02-03,21.24,23.72,21.24,23.72,74490
2015-02-04,25.35,25.35,22.09,22.09,35440
2015-02-05,23.58,23.58,23.58,23.58,16910
2015-02-06,25.13,25.21,23.72,23.72,40190
2015-02-09,24.78,24.78,23.72,23.72,4820
2015-02-10,24.07,24.07,23.44,23.65,18840
