time,open,high,low,close,volume
2015-06-26,9.21,9.21,9.21,9.21,0
2015-06-29,9.21,9.21,9.21,9.21,0
2015-06-30,9.21,9.21,9.21,9.21,100
2015-07-01,9.21,9.21,9.21,9.21,0
2015-07-02,9.21,9.21,9.21,9.21,0
2015-07-03,9.21,9.21,9.21,9.21,0
2015-07-06,9.21,9.21,9.21,9.21,0
2015-07-07,8.89,8.89,8.57,8.57,3200
2015-07-08,8.57,8.57,8.57,8.57,0
2015-07-09,8.57,8.57,8.57,8.57,0
2015-07-10,8.57,8.57,8.57,8.57,0
2015-07-13,8.57,8.57,8.57,8.57,100
2015-07-14,8.44,8.44,8.44,8.44,400
2015-07-15,8.19,8.19,8.19,8.19,500
2015-07-16,8.19,8.19,8.19,8.19,0
2015-07-17,8.7,8.7,8.25,8.25,1400
2015-07-20,8.25,8.25,8.25,8.25,0
2015-07-21,8.89,8.89,8.44,8.44,400
2015-07-22,8.44,8.44,8.44,8.44,0
2015-07-23,8.44,8.44,8.44,8.44,0
2015-07-24,8.44,8.44,8.44,8.44,0
2015-07-27,8.89,8.89,8.89,8.89,1200
2015-07-28,8.89,8.89,8.89,8.89,0
2015-07-29,8.89,8.89,8.89,8.89,0
2015-07-30,8.89,8.89,8.89,8.89,0
2015-07-31,9.01,9.21,9.01,9.21,5000
2015-08-03,9.21,9.21,9.21,9.21,0
2015-08-04,9.21,9.21,9.21,9.21,200
2015-08-05,9.21,9.21,9.21,9.21,0
2015-08-06,9.21,9.21,9.21,9.21,300
2015-08-07,9.21,9.21,9.21,9.21,0
2015-08-10,9.21,9.21,9.21,9.21,0
2015-08-11,9.46,9.46,9.46,9.46,200
2015-08-12,9.46,9.46,9.46,9.46,0
2015-08-13,9.46,9.46,9.46,9.46,0
2015-08-14,8.89,8.89,8.89,8.89,5000
2015-08-17,8.89,8.89,8.89,8.89,0
2015-08-18,8.89,8.89,8.89,8.89,0
2015-08-19,8.89,8.89,8.89,8.89,0
2015-08-20,8.89,8.89,8.89,8.89,0
2015-08-21,8.76,8.76,8.76,8.76,4700
2015-08-24,8.76,8.76,8.76,8.76,0
2015-08-25,8.76,8.76,8.76,8.76,0
2015-08-26,8.76,8.76,8.76,8.76,0
2015-08-27,8.76,8.76,8.76,8.76,0
2015-08-28,8.76,8.76,8.76,8.76,0
2015-08-31,8.76,8.76,8.76,8.76,0
2015-09-01,8.76,8.76,8.76,8.76,0
2015-09-03,8.76,8.76,8.76,8.76,0
2015-09-04,8.76,8.76,8.76,8.76,0
2015-09-07,8.76,8.76,8.76,8.76,0
2015-09-08,8.76,8.76,8.76,8.76,0
2015-09-09,8.76,8.76,8.76,8.76,0
2015-09-10,8.76,8.76,8.76,8.76,0
2015-09-11,8.76,8.76,8.76,8.76,0
2015-09-14,8.76,8.76,8.76,8.76,0
2015-09-15,8.76,8.76,8.76,8.76,0
2015-09-16,8.76,8.76,8.76,8.76,0
2015-09-17,8.76,8.76,8.76,8.76,0
2015-09-18,8.76,8.76,8.76,8.76,0
2015-09-21,8.76,8.76,8.76,8.76,0
2015-09-22,8.76,8.76,8.76,8.76,0
