time,open,high,low,close,volume
2014-07-10,7.79,7.79,7.61,7.79,40
2014-07-11,7.79,7.79,7.79,7.79,0
2014-07-14,7.89,7.98,7.89,7.89,630
2014-07-15,7.89,7.89,7.89,7.89,0
2014-07-16,7.89,7.89,7.89,7.89,0
2014-07-17,7.89,7.89,7.89,7.89,0
2014-07-18,7.51,7.51,7.51,7.51,2000
2014-07-21,7.79,7.79,7.79,7.79,50
2014-07-22,7.79,7.79,7.79,7.79,0
2014-07-23,7.89,7.89,7.84,7.84,70
2014-07-24,7.84,7.84,7.84,7.84,0
2014-07-25,7.84,7.84,7.84,7.84,0
2014-07-28,7.84,7.84,7.84,7.84,0
2014-07-29,7.51,7.51,7.51,7.51,1620
2014-07-30,7.51,7.51,7.51,7.51,0
2014-07-31,8.03,8.03,8.03,8.03,30
2014-08-01,8.07,8.07,8.07,8.07,60
2014-08-04,7.98,7.98,7.98,7.98,560
2014-08-05,7.98,7.98,7.98,7.98,90
2014-08-06,7.98,7.98,7.98,7.98,10
2014-08-07,7.93,7.93,7.93,7.93,500
2014-08-08,7.89,7.89,7.89,7.89,2000
2014-08-11,7.89,7.89,7.89,7.89,0
2014-08-12,7.98,7.98,7.98,7.98,2000
2014-08-13,7.98,7.98,7.98,7.98,430
2014-08-14,7.98,7.98,7.98,7.98,0
2014-08-15,7.79,7.79,7.75,7.75,100
2014-08-18,7.7,7.7,7.23,7.65,2150
2014-08-19,7.51,7.84,7.51,7.84,170
2014-08-20,7.61,7.61,7.51,7.51,2100
2014-08-21,7.51,7.51,7.51,7.51,200
2014-08-22,7.51,7.51,7.51,7.51,0
2014-08-25,7.51,7.51,7.51,7.51,1000
2014-08-26,7.61,7.61,7.61,7.61,80
2014-08-27,7.61,7.61,7.61,7.61,0
2014-08-28,7.61,7.61,7.61,7.61,0
2014-08-29,7.61,7.61,7.61,7.61,0
2014-09-03,7.51,7.51,7.51,7.51,10
2014-09-04,7.51,7.51,7.51,7.51,0
2014-09-05,7.51,7.51,7.51,7.51,0
2014-09-08,7.61,7.89,7.61,7.89,2030
2014-09-09,7.98,8.17,7.98,7.98,3500
2014-09-10,8.36,8.36,7.98,7.98,50
2014-09-11,7.98,7.98,7.98,7.98,0
