time,open,high,low,close,volume
2013-03-05,5.79,5.79,5.79,5.79,0
2013-03-06,5.26,5.26,5.26,5.26,900
2013-03-07,4.81,4.81,4.81,4.81,400
2013-03-08,4.81,4.81,4.81,4.81,0
2013-03-11,4.45,4.45,4.45,4.45,1000
2013-03-12,4.45,4.45,4.45,4.45,0
2013-03-13,4.01,4.01,4.01,4.01,1200
2013-03-14,3.74,4.36,3.65,4.36,5500
2013-03-15,4.72,4.72,4.72,4.72,100
2013-03-18,4.28,4.72,4.28,4.72,2500
2013-03-19,4.28,4.28,4.28,4.28,1000
2013-03-20,3.92,3.92,3.92,3.92,300
2013-03-21,3.92,3.92,3.92,3.92,0
2013-03-22,3.92,3.92,3.92,3.92,0
2013-03-25,3.92,3.92,3.92,3.92,0
2013-03-26,3.92,3.92,3.92,3.92,0
2013-03-27,3.92,3.92,3.92,3.92,2900
2013-03-28,4.01,4.01,4.01,4.01,100
2013-03-29,4.01,4.01,4.01,4.01,0
2013-04-01,3.65,3.65,3.65,3.65,200
2013-04-02,3.65,3.65,3.65,3.65,0
2013-04-03,3.38,3.38,3.3,3.3,1500
2013-04-04,3.56,3.56,3.56,3.56,5800
2013-04-05,3.56,3.56,3.56,3.56,0
2013-04-08,3.38,3.38,3.38,3.38,200
2013-04-09,3.65,3.65,3.65,3.65,5000
2013-04-10,3.65,3.65,3.65,3.65,0
2013-04-11,3.65,3.65,3.65,3.65,0
2013-04-12,3.65,3.65,3.65,3.65,0
2013-04-15,3.65,3.65,3.65,3.65,700
2013-04-16,3.65,4.01,3.65,4.01,5100
2013-04-17,4.28,4.36,4.28,4.36,1100
2013-04-18,4.72,4.72,4.72,4.72,4000
2013-04-22,4.72,4.72,4.72,4.72,0
2013-04-23,5.17,5.17,5.17,5.17,1000
2013-04-24,5.17,5.17,5.17,5.17,1700
2013-04-25,5.61,5.61,5.34,5.34,6000
2013-04-26,5.34,5.34,5.34,5.34,0
2013-05-02,5.34,5.34,5.34,5.34,400
2013-05-03,5.34,5.34,5.34,5.34,0
2013-05-06,4.9,4.9,4.81,4.81,500
2013-05-07,4.81,4.81,4.81,4.81,0
2013-05-08,4.81,4.81,4.81,4.81,0
2013-05-09,4.81,4.81,4.81,4.81,0
2013-05-10,4.81,4.81,4.81,4.81,0
2013-05-13,5.26,5.26,4.9,5.08,1700
2013-05-14,5.17,5.17,5.17,5.17,100
2013-05-15,5.61,5.61,5.61,5.61,200
2013-05-16,5.61,5.61,5.61,5.61,0
2013-05-17,5.61,5.61,5.61,5.61,0
2013-05-20,5.61,5.61,5.61,5.61,0
2013-05-21,5.61,5.61,5.61,5.61,0
2013-05-22,5.88,5.88,5.88,5.88,900
2013-05-23,5.88,5.88,5.88,5.88,0
2013-05-24,5.88,5.88,5.88,5.88,0
2013-05-27,6.24,6.24,5.79,5.79,1300
2013-05-28,5.79,5.79,5.79,5.79,0
2013-05-29,5.79,5.79,5.79,5.79,0
2013-05-30,5.79,5.79,5.79,5.79,0
2013-05-31,5.79,5.79,5.79,5.79,0
2013-06-03,5.79,5.79,5.79,5.79,0
2013-06-04,5.61,5.61,5.61,5.61,100
2013-06-05,5.61,5.61,5.61,5.61,0
2013-06-06,5.61,5.61,5.61,5.61,0
2013-06-07,5.61,5.61,5.61,5.61,0
2013-06-10,5.61,5.61,5.61,5.61,0
2013-06-11,5.61,5.61,5.61,5.61,0
2013-06-12,5.61,5.61,5.61,5.61,0
2013-06-13,5.61,5.61,5.61,5.61,0
2013-06-14,5.61,5.61,5.61,5.61,0
2013-06-17,5.61,5.61,5.61,5.61,0
2013-06-18,5.61,5.61,5.61,5.61,0
2013-06-19,5.61,5.61,5.61,5.61,0
2013-06-20,5.26,5.26,5.08,5.08,1100
2013-06-21,5.08,5.08,5.08,5.08,0
2013-06-24,5.08,5.08,5.08,5.08,0
2013-06-25,5.08,5.08,5.08,5.08,0
2013-06-26,5.08,5.08,5.08,5.08,0
2013-06-27,5.08,5.08,5.08,5.08,0
2013-06-28,5.08,5.08,5.08,5.08,0
2013-07-01,5.08,5.08,5.08,5.08,0
2013-07-02,5.08,5.08,5.08,5.08,0
2013-07-03,5.08,5.08,5.08,5.08,0
2013-07-04,5.08,5.08,5.08,5.08,0
2013-07-05,5.08,5.08,5.08,5.08,0
2013-07-08,5.08,5.08,5.08,5.08,500
2013-07-09,5.52,5.52,5.43,5.52,4000
2013-07-10,5.52,5.52,5.52,5.52,1000
2013-07-11,5.52,5.52,5.52,5.52,200
2013-07-12,6.06,6.06,6.06,6.06,200
2013-07-15,6.06,6.06,6.06,6.06,0
2013-07-16,6.06,6.06,6.06,6.06,0
2013-07-17,6.06,6.06,6.06,6.06,0
2013-07-18,6.06,6.06,6.06,6.06,100
2013-07-19,6.06,6.06,6.06,6.06,0
2013-07-22,6.06,6.06,6.06,6.06,0
2013-07-23,6.06,6.06,6.06,6.06,0
2013-07-24,6.06,6.06,6.06,6.06,0
2013-07-25,6.06,6.06,6.06,6.06,0
2013-07-26,6.06,6.06,6.06,6.06,0
2013-07-29,6.06,6.06,6.06,6.06,0
2013-07-30,6.06,6.06,6.06,6.06,0
2013-07-31,6.06,6.06,6.06,6.06,0
2013-08-01,6.06,6.06,6.06,6.06,0
2013-08-02,6.06,6.06,6.06,6.06,0
2013-08-05,6.06,6.06,6.06,6.06,0
2013-08-06,6.06,6.06,6.06,6.06,0
2013-08-07,6.06,6.06,6.06,6.06,0
2013-08-08,6.06,6.06,6.06,6.06,0
2013-08-09,6.06,6.06,6.06,6.06,0
2013-08-12,6.06,6.06,6.06,6.06,0
2013-08-13,6.06,6.06,6.06,6.06,0
2013-08-14,6.06,6.06,6.06,6.06,0
2013-08-15,6.06,6.06,6.06,6.06,0
2013-08-16,6.06,6.06,6.06,6.06,0
2013-08-19,6.06,6.06,6.06,6.06,0
2013-08-20,6.06,6.06,6.06,6.06,0
2013-08-21,6.06,6.06,6.06,6.06,0
2013-08-22,6.06,6.06,6.06,6.06,0
2013-08-23,6.06,6.06,6.06,6.06,0
2013-08-26,6.06,6.06,6.06,6.06,0
2013-08-27,6.06,6.06,6.06,6.06,0
2013-08-28,6.06,6.06,6.06,6.06,0
2013-08-29,6.06,6.06,6.06,6.06,0
2013-08-30,6.06,6.06,6.06,6.06,0
2013-09-03,6.06,6.06,6.06,6.06,0
2013-09-04,6.06,6.06,6.06,6.06,0
2013-09-05,6.41,6.41,6.41,6.41,200
2013-09-06,6.41,6.41,6.41,6.41,0
2013-09-09,6.41,6.41,6.41,6.41,0
2013-09-10,6.41,6.41,6.41,6.41,0
2013-09-11,6.41,6.41,6.41,6.41,0
2013-09-12,5.79,5.79,5.79,5.79,100
2013-09-13,5.26,5.26,5.26,5.26,300
2013-09-16,5.26,5.26,5.26,5.26,0
2013-09-17,5.26,5.26,5.26,5.26,0
2013-09-18,4.81,4.81,4.81,4.81,300
2013-09-19,4.45,4.45,4.45,4.45,100
2013-09-20,4.1,4.1,4.1,4.1,100
2013-09-23,4.01,4.01,4.01,4.01,100
2013-09-24,3.74,3.74,3.74,3.74,100
2013-09-25,3.74,3.74,3.74,3.74,0
2013-09-26,4.1,4.1,4.1,4.1,2200
2013-09-27,4.1,4.1,4.1,4.1,0
2013-09-30,3.74,3.74,3.74,3.74,100
2013-10-01,3.74,3.74,3.74,3.74,0
2013-10-02,3.47,3.47,3.47,3.47,100
2013-10-03,3.3,3.74,3.3,3.3,1100
2013-10-04,3.3,3.3,3.3,3.3,0
2013-10-07,3.56,3.56,3.12,3.12,400
2013-10-08,2.94,2.94,2.94,2.94,100
2013-10-09,2.94,2.94,2.94,2.94,0
2013-10-10,2.94,2.94,2.94,2.94,0
2013-10-11,2.67,2.67,2.67,2.67,12800
2013-10-14,2.67,2.67,2.67,2.67,0
2013-10-15,2.67,2.67,2.67,2.67,0
2013-10-16,2.94,2.94,2.94,2.94,12800
2013-10-17,2.94,2.94,2.94,2.94,0
2013-10-18,2.76,2.76,2.76,2.76,2300
2013-10-21,3.03,3.03,3.03,3.03,100
