time,open,high,low,close,volume
2014-07-10,2.26,2.31,2.22,2.22,21000
2014-07-11,2.18,2.22,2.18,2.22,9400
2014-07-14,2.22,2.26,2.14,2.26,6667
2014-07-15,2.22,2.22,2.18,2.18,2333
2014-07-16,2.18,2.26,2.18,2.26,6000
2014-07-17,2.18,2.26,2.18,2.26,4600
2014-07-18,2.18,2.22,2.18,2.22,400
2014-07-21,2.26,2.26,2.18,2.22,2400
2014-07-22,2.18,2.22,2.18,2.22,4800
2014-07-23,2.18,2.26,2.18,2.26,21700
2014-07-24,2.14,2.26,2.14,2.26,2100
2014-07-25,2.18,2.22,2.18,2.22,2010
2014-07-28,2.18,2.22,2.14,2.18,10800
2014-07-29,2.14,2.18,2.14,2.18,8800
2014-07-30,2.14,2.18,2.1,2.18,18500
2014-07-31,2.1,2.18,2.1,2.18,3900
2014-08-01,2.18,2.18,2.1,2.18,7200
2014-08-04,2.14,2.22,2.14,2.22,12000
2014-08-05,2.14,2.22,2.14,2.22,1600
2014-08-06,2.14,2.22,2.14,2.22,4000
2014-08-07,2.18,2.18,2.14,2.18,4900
2014-08-08,2.14,2.18,2.14,2.18,4400
2014-08-11,2.14,2.18,2.14,2.18,1200
2014-08-12,2.14,2.14,2.14,2.14,1500
2014-08-13,2.1,2.14,1.97,2.14,9200
2014-08-14,2.1,2.1,2.1,2.1,3000
2014-08-15,2.1,2.1,2.1,2.1,4700
2014-08-18,2.1,2.1,2.1,2.1,21022
2014-08-19,2.14,2.31,2.14,2.22,84278
2014-08-20,2.35,2.35,2.26,2.26,2400
2014-08-21,2.22,2.22,2.18,2.18,1300
2014-08-22,2.18,2.26,2.18,2.26,2600
2014-08-25,2.22,2.22,2.14,2.22,25300
2014-08-26,2.14,2.22,2.14,2.22,7400
2014-08-27,2.22,2.22,2.14,2.18,13200
2014-08-28,2.1,2.18,2.1,2.18,10400
2014-08-29,2.1,2.26,2.1,2.26,36400
2014-09-03,2.26,2.31,2.22,2.26,12700
2014-09-04,2.22,2.22,2.05,2.18,14300
2014-09-05,2.22,2.22,2.14,2.14,6500
2014-09-08,2.18,2.18,2.14,2.14,32500
2014-09-09,2.18,2.35,2.18,2.35,595500
2014-09-10,2.31,2.35,2.22,2.35,5400
2014-09-11,2.22,2.31,2.18,2.31,16500
2014-09-12,2.18,2.26,2.14,2.18,118291
2014-09-15,2.22,2.31,2.18,2.22,111909
2014-09-16,2.18,2.26,2.18,2.26,18100
2014-09-17,2.22,2.26,2.18,2.26,74600
2014-09-18,2.22,2.22,2.14,2.22,44400
2014-09-19,2.14,2.18,2.1,2.18,30800
2014-09-22,2.1,2.18,2.1,2.18,35500
2014-09-23,2.14,2.14,2.1,2.14,27500
2014-09-24,2.1,2.14,2.05,2.1,13100
2014-09-25,2.1,2.18,2.05,2.18,18300
2014-09-26,2.1,2.14,2.05,2.1,31100
2014-09-29,2.05,2.14,2.05,2.14,21800
2014-09-30,2.14,2.14,2.05,2.05,22100
2014-10-01,2.1,2.14,2.1,2.1,36700
2014-10-02,2.14,2.14,2.05,2.14,9000
2014-10-03,2.05,2.14,2.05,2.14,28400
2014-10-06,2.05,2.1,2.05,2.1,18330
2014-10-07,2.05,2.1,2.05,2.1,36600
2014-10-08,2.1,2.1,2.05,2.05,51800
2014-10-09,2.05,2.22,2.05,2.22,145200
2014-10-10,2.39,2.43,2.14,2.22,40874
2014-10-13,2.14,2.14,2.14,2.14,19800
2014-10-14,2.1,2.14,2.05,2.14,25200
2014-10-15,2.14,2.14,2.05,2.1,30674
2014-10-16,2.05,2.05,1.93,2.01,41700
2014-10-17,2.01,2.01,1.97,2.01,8119
2014-10-20,1.97,2.05,1.97,2.01,4210
2014-10-21,2.01,2.18,2.01,2.18,168216
2014-10-22,2.39,2.39,2.22,2.39,292514
2014-10-23,2.6,2.6,2.56,2.6,629319
2014-10-24,2.85,2.85,2.56,2.6,215900
2014-10-27,2.6,2.64,2.43,2.43,158102
2014-10-28,2.43,2.47,2.35,2.39,149724
2014-10-29,2.39,2.47,2.39,2.47,124800
2014-10-30,2.47,2.51,2.39,2.43,113800
2014-10-31,2.43,2.6,2.35,2.6,70000
