time,open,high,low,close,volume
2015-06-26,2.91,2.91,2.91,2.91,0
2015-06-29,2.91,2.91,2.91,2.91,0
2015-06-30,2.99,2.99,2.99,2.99,10
2015-07-01,2.99,2.99,2.99,2.99,0
2015-07-02,2.99,2.99,2.99,2.99,0
2015-07-03,2.99,2.99,2.99,2.99,0
2015-07-06,2.87,2.91,2.87,2.91,5000
2015-07-07,2.91,2.91,2.91,2.91,2040
2015-07-08,2.91,2.91,2.91,2.91,660
2015-07-09,2.95,2.95,2.91,2.91,610
2015-07-10,2.91,2.91,2.91,2.91,1480
2015-07-13,2.74,2.74,2.74,2.74,70
2015-07-14,2.91,2.91,2.91,2.91,200
2015-07-15,3.03,3.03,2.74,2.74,4640
2015-07-16,2.58,2.91,2.58,2.78,1820
2015-07-17,2.78,2.78,2.78,2.78,0
2015-07-20,2.78,2.78,2.78,2.78,720
2015-07-21,2.82,2.82,2.82,2.82,480
2015-07-22,2.99,2.99,2.99,2.99,10
2015-07-23,2.99,2.99,2.99,2.99,0
2015-07-24,2.99,3.2,2.99,3.03,13390
2015-07-27,2.99,3.24,2.95,3.03,10150
2015-07-28,3.24,3.24,3.03,3.03,11020
2015-07-29,3.24,3.24,3.12,3.12,1010
2015-07-30,3.28,3.32,3.16,3.32,5050
2015-07-31,3.49,3.53,3.49,3.53,12390
2015-08-03,3.32,3.53,3.32,3.41,5230
2015-08-04,3.24,3.24,3.2,3.2,1010
2015-08-05,3.2,3.2,3.2,3.2,100
2015-08-06,3.2,3.2,3.2,3.2,0
2015-08-07,3.36,3.41,2.99,3.2,3580
2015-08-10,3.36,3.41,3.12,3.41,360
2015-08-11,3.32,3.61,3.2,3.32,12630
2015-08-12,3.32,3.41,3.32,3.32,2010
2015-08-13,3.53,3.53,3.36,3.53,5940
2015-08-14,3.49,3.74,3.32,3.53,12000
2015-08-17,3.53,3.53,3.53,3.53,10
2015-08-18,3.74,3.74,3.74,3.74,50
2015-08-19,3.99,3.99,3.99,3.99,220
2015-08-20,4.2,4.2,4.2,4.2,20
2015-08-21,4.2,4.2,4.2,4.2,0
2015-08-24,4.49,4.49,4.49,4.49,20
2015-08-25,4.2,4.32,4.2,4.2,25800
2015-08-26,3.9,4.15,3.9,3.9,14620
2015-08-27,3.66,4.15,3.66,3.7,5580
2015-08-28,3.9,3.95,3.49,3.66,1080
2015-08-31,3.66,3.66,3.66,3.66,1320
2015-09-01,3.66,3.66,3.66,3.66,0
2015-09-03,3.9,3.9,3.41,3.41,3110
2015-09-04,3.2,3.61,3.2,3.53,6030
2015-09-07,3.74,3.74,3.74,3.74,780
2015-09-08,3.99,3.99,3.49,3.99,2020
2015-09-09,4.15,4.15,3.74,3.74,1240
2015-09-10,3.99,3.99,3.53,3.57,1400
2015-09-11,3.82,3.82,3.82,3.82,120
2015-09-14,3.61,3.61,3.61,3.61,2600
2015-09-15,3.61,3.61,3.61,3.61,200
2015-09-16,3.86,3.86,3.86,3.86,10
2015-09-17,3.86,3.86,3.86,3.86,0
2015-09-18,4.03,4.03,4.03,4.03,20
2015-09-21,4.03,4.03,4.03,4.03,0
2015-09-22,3.78,3.78,3.78,3.78,1000
2015-09-23,3.61,3.61,3.61,3.61,100
2015-09-24,3.61,3.61,3.61,3.61,0
2015-09-25,3.61,3.61,3.61,3.61,0
2015-09-28,3.61,3.7,3.61,3.7,430
2015-09-29,3.7,3.7,3.45,3.57,6200
2015-09-30,3.57,3.57,3.57,3.57,0
2015-10-01,3.82,3.82,3.45,3.45,930
2015-10-02,3.45,3.45,3.45,3.45,0
2015-10-05,3.66,3.66,3.53,3.53,510
2015-10-06,3.61,3.61,3.61,3.61,100
2015-10-07,3.61,3.61,3.61,3.61,50
2015-10-08,3.7,3.7,3.45,3.57,20080
2015-10-09,3.82,3.82,3.53,3.53,1010
2015-10-12,3.49,3.49,3.49,3.49,10
2015-10-13,3.49,3.49,3.49,3.49,0
2015-10-14,3.61,3.61,3.61,3.61,10
2015-10-15,3.61,3.61,3.61,3.61,0
2015-10-16,3.36,3.61,3.36,3.61,600
2015-10-19,3.78,3.78,3.78,3.78,10
2015-10-20,3.82,4.03,3.61,3.61,1520
2015-10-21,3.74,3.86,3.74,3.74,1310
2015-10-22,3.74,3.99,3.74,3.99,4930
2015-10-23,4.15,4.24,3.78,3.78,1350
2015-10-26,3.86,3.86,3.86,3.86,2040
2015-10-27,3.82,3.82,3.82,3.82,180
2015-10-28,3.82,3.82,3.82,3.82,0
2015-10-29,3.82,3.82,3.82,3.82,1220
