time,open,high,low,close,volume
2015-06-26,4.39,4.39,4.39,4.39,100
2015-06-29,4.35,4.35,4.17,4.17,8100
2015-06-30,3.99,3.99,3.99,3.99,500
2015-07-01,4.57,4.57,4.57,0.0,100
2015-07-02,4.57,4.57,4.57,4.57,0
2015-07-03,4.57,4.57,4.57,4.57,0
2015-07-06,4.57,4.57,4.57,4.57,0
2015-07-07,4.57,4.57,4.57,4.57,0
2015-07-08,4.57,4.57,4.57,4.57,0
2015-07-09,4.57,4.57,4.57,4.57,0
2015-07-10,4.17,4.17,4.17,4.17,900
2015-07-13,4.17,4.17,4.17,4.17,0
2015-07-14,4.17,4.17,4.17,4.17,0
2015-07-15,4.17,4.17,4.17,4.17,0
2015-07-16,4.17,4.17,4.17,4.17,0
2015-07-17,4.17,4.17,4.17,4.17,0
2015-07-20,4.17,4.17,4.17,4.17,0
2015-07-21,4.17,4.17,4.17,4.17,0
2015-07-22,4.17,4.17,4.17,4.17,0
2015-07-23,4.17,4.17,4.17,4.17,1000
2015-07-24,4.17,4.17,4.17,4.17,0
2015-07-27,4.17,4.17,4.17,4.17,2600
2015-07-28,4.17,4.17,4.08,4.08,7000
2015-07-29,4.17,4.17,4.17,4.17,500
2015-07-30,4.17,4.17,4.17,4.17,0
2015-07-31,4.17,4.39,4.17,4.39,6700
2015-08-03,4.39,4.39,4.39,4.39,0
2015-08-04,4.17,4.17,4.17,4.17,300
2015-08-05,4.17,4.17,4.17,4.17,0
2015-08-06,4.26,4.26,4.26,4.26,100
2015-08-07,4.26,4.26,4.26,4.26,0
2015-08-10,4.26,4.26,4.26,4.26,0
2015-08-11,4.26,4.26,4.26,4.26,5400
2015-08-12,4.26,4.26,4.26,4.26,0
2015-08-13,4.26,4.26,4.26,4.26,0
2015-08-14,4.26,4.26,4.26,4.26,0
2015-08-17,4.26,4.26,4.26,4.26,0
2015-08-18,4.26,4.26,4.26,4.26,2000
2015-08-19,4.26,4.26,4.26,4.26,0
2015-08-20,4.26,4.26,4.26,4.26,0
2015-08-21,4.26,4.26,4.26,4.26,3900
2015-08-24,4.26,4.26,3.63,4.17,5100
2015-08-25,4.39,4.44,4.26,4.26,3400
2015-08-26,4.26,4.26,4.26,4.26,0
2015-08-27,4.26,4.26,4.26,4.26,0
2015-08-28,4.48,4.53,4.48,4.48,15905
2015-08-31,4.48,4.48,4.48,4.48,2900
2015-09-01,4.48,4.48,4.48,4.48,0
2015-09-03,4.48,4.48,4.48,4.48,0
2015-09-04,4.48,4.48,4.48,4.48,3000
2015-09-07,4.48,4.48,4.48,4.48,1000
2015-09-08,4.48,4.48,4.48,4.48,1000
2015-09-09,4.48,4.48,4.48,4.48,0
2015-09-10,4.48,4.48,4.48,4.48,3000
2015-09-11,4.48,4.48,4.48,4.48,900
