time,open,high,low,close,volume
2015-06-26,17.3,17.84,17.3,17.84,15200
2015-06-29,17.54,17.72,17.54,17.72,9600
2015-06-30,16.11,16.11,16.11,16.11,100
2015-07-01,16.65,17.72,16.65,17.72,4800
2015-07-02,14.86,14.86,14.86,14.86,200
2015-07-03,12.78,12.78,12.78,12.78,100
2015-07-06,14.69,14.69,14.69,14.69,1500
2015-07-07,16.89,16.89,16.89,16.89,500
2015-07-08,16.89,16.89,16.89,16.89,0
2015-07-09,14.69,14.69,14.69,14.69,100
2015-07-10,16.89,16.89,16.89,16.89,500
2015-07-13,16.89,16.89,16.89,16.89,0
2015-07-14,14.92,14.92,14.92,14.92,100
2015-07-15,16.65,16.65,16.65,16.65,500
2015-07-16,14.33,14.33,14.33,14.33,100
2015-07-17,13.97,13.97,13.97,13.97,100
2015-07-20,13.97,13.97,13.97,13.97,0
2015-07-21,13.97,13.97,13.97,13.97,0
2015-07-22,14.86,14.86,14.86,14.86,100
2015-07-23,14.86,14.86,14.86,14.86,0
2015-07-24,14.86,14.86,14.86,14.86,0
2015-07-27,13.83,13.83,13.83,13.83,100
2015-07-28,15.9,15.9,15.9,15.9,100
2015-07-29,13.57,13.57,13.57,13.57,100
2015-07-30,13.57,13.57,13.57,13.57,0
2015-07-31,13.57,13.57,13.57,13.57,0
2015-08-03,13.57,13.57,13.57,13.57,0
2015-08-04,13.57,13.57,13.57,13.57,0
2015-08-05,15.58,15.58,15.58,15.58,100
2015-08-06,17.9,17.9,17.9,17.9,100
2015-08-07,16.22,16.22,16.22,16.22,100
2015-08-10,18.48,18.61,18.48,18.61,200
2015-08-11,15.9,15.9,15.9,15.9,100
2015-08-12,18.23,18.23,18.23,18.23,200
2015-08-13,16.48,16.48,16.48,16.48,100
2015-08-14,14.15,14.15,14.15,14.15,100
2015-08-17,14.15,14.15,14.15,14.15,0
2015-08-18,14.15,14.15,14.15,14.15,0
2015-08-19,16.22,16.22,16.22,16.22,100
2015-08-20,16.22,16.22,16.22,16.22,0
2015-08-21,16.22,16.22,16.22,16.22,0
2015-08-24,16.22,16.22,16.22,16.22,0
2015-08-25,17.45,18.1,17.45,18.1,1300
2015-08-26,18.1,18.42,15.51,15.51,2700
2015-08-27,18.1,18.74,18.1,18.74,4200
2015-08-28,17.45,17.45,17.45,17.45,400
2015-08-31,19.71,19.91,19.65,19.65,4800
2015-09-01,17.45,17.45,17.13,17.13,1000
2015-09-03,14.86,19.71,14.86,19.71,2500
2015-09-04,15.83,20.1,15.83,20.1,4300
2015-09-07,20.1,20.1,20.1,20.1,0
2015-09-08,20.1,20.1,20.1,20.1,0
2015-09-09,20.04,20.04,20.04,20.04,1000
2015-09-10,17.45,17.45,17.45,17.45,1000
2015-09-11,17.13,19.52,17.13,19.52,3800
2015-09-14,19.52,19.52,19.52,19.52,0
2015-09-15,17.77,17.77,17.45,17.45,500
2015-09-16,17.45,19.39,17.45,19.39,1700
2015-09-17,18.1,19.71,17.77,19.71,3700
2015-09-18,17.45,20.23,17.45,20.04,8900
2015-09-21,16.8,17.45,16.8,17.45,1500
2015-09-22,19.71,19.97,19.71,19.97,5100
2015-09-23,17.13,17.13,17.13,17.13,100
2015-09-24,17.13,17.13,17.13,17.13,0
2015-09-25,17.13,17.13,17.13,17.13,0
2015-09-28,17.13,17.13,17.13,17.13,0
2015-09-29,17.13,17.13,17.13,17.13,0
2015-09-30,17.13,17.13,17.13,17.13,0
2015-10-01,17.13,17.13,17.13,17.13,0
2015-10-02,17.13,17.13,17.13,17.13,0
2015-10-05,17.13,17.13,17.13,17.13,0
2015-10-06,19.39,19.39,14.86,14.86,300
2015-10-07,18.74,18.74,18.74,18.74,100
2015-10-08,18.74,18.74,18.74,18.74,0
2015-10-09,18.74,18.74,18.74,18.74,0
2015-10-12,16.03,16.03,16.03,16.03,100
2015-10-13,16.03,16.03,16.03,16.03,0
2015-10-14,18.42,18.42,18.42,18.42,100
2015-10-15,17.45,17.45,17.45,17.45,2000
2015-10-16,17.45,17.45,17.45,17.45,0
2015-10-19,19.71,19.71,15.19,15.19,1200
2015-10-20,15.19,15.19,15.19,15.19,0
2015-10-21,18.35,18.35,18.35,18.35,1000
2015-10-22,18.35,18.35,18.35,18.35,0
2015-10-23,16.16,20.88,15.83,15.83,3400
2015-10-26,18.94,18.94,18.94,18.94,1000
2015-10-27,18.94,18.94,18.94,18.94,0
2015-10-28,18.1,18.1,18.1,18.1,300
2015-10-29,18.1,18.1,18.1,18.1,0
2015-10-30,18.1,18.1,18.1,18.1,0
2015-11-02,17.45,17.45,17.45,17.45,500
2015-11-03,16.16,16.16,16.16,16.16,500
2015-11-04,18.55,18.55,18.55,18.55,2200
2015-11-05,18.55,18.55,18.55,18.55,0
2015-11-06,18.55,18.55,18.55,18.55,0
2015-11-09,18.55,18.55,18.55,18.55,0
2015-11-10,18.55,18.55,18.55,18.55,0
2015-11-11,18.74,18.74,17.45,17.45,2000
2015-11-12,17.45,17.45,17.45,17.45,0
2015-11-13,17.45,17.45,17.45,17.45,0
2015-11-16,15.83,15.83,15.83,15.83,1000
2015-11-17,18.16,18.16,18.16,18.16,100
2015-11-18,18.1,18.1,18.1,18.1,200
2015-11-19,19.39,19.71,19.39,19.71,1300
2015-11-20,19.52,19.71,18.1,18.1,1700
2015-11-23,19.71,19.71,19.71,19.71,3000
2015-11-24,19.71,19.71,18.42,19.71,7400
2015-11-25,18.1,19.78,18.1,19.39,5800
2015-11-26,19.39,19.39,19.39,19.39,0
2015-11-27,19.39,19.39,19.39,19.39,0
2015-11-30,16.8,16.8,16.8,16.8,500
2015-12-01,19.32,19.32,19.32,19.32,1500
2015-12-02,17.45,17.45,17.45,17.45,500
2015-12-03,17.45,17.45,17.45,17.45,0
2015-12-04,19.84,20.04,19.52,19.52,2300
2015-12-07,16.93,16.93,16.93,16.93,200
2015-12-08,14.54,14.54,14.41,14.41,500
2015-12-09,14.41,14.41,14.41,14.41,0
2015-12-10,14.41,14.41,14.41,14.41,0
2015-12-11,16.55,16.55,16.55,16.55,100
2015-12-14,19.0,19.0,19.0,19.0,300
2015-12-15,19.71,19.71,19.71,19.71,1000
2015-12-16,20.04,20.04,18.74,18.74,2700
2015-12-17,20.36,20.36,18.16,18.16,1300
2015-12-18,20.16,20.16,18.1,18.1,2400
2015-12-21,20.1,20.1,20.1,20.1,1000
2015-12-22,20.16,20.36,17.45,17.45,1700
2015-12-23,18.1,18.1,18.1,18.1,1100
2015-12-24,18.1,18.1,18.1,18.1,0
2015-12-25,20.04,20.04,20.04,20.04,100
2015-12-28,20.04,20.04,20.04,20.04,2000
2015-12-29,20.04,20.04,20.04,20.04,0
2015-12-30,20.16,20.16,20.16,20.16,1200
2015-12-31,17.45,17.45,17.45,17.45,100
2016-01-04,17.45,17.45,17.45,17.45,0
2016-01-05,17.45,17.45,17.45,17.45,0
2016-01-06,17.45,17.45,17.45,17.45,0
2016-01-07,15.06,15.06,15.06,15.06,200
2016-01-08,15.06,15.06,15.06,15.06,0
2016-01-11,17.26,17.26,16.16,16.16,700
2016-01-12,16.8,19.45,16.8,19.45,1100
2016-01-13,19.45,19.45,19.45,19.45,0
2016-01-14,20.04,20.1,20.04,20.1,500
2016-01-15,20.1,20.1,20.1,20.1,0
2016-01-18,17.45,17.45,17.45,17.45,500
2016-01-19,17.45,17.45,17.45,17.45,0
2016-01-20,17.45,17.45,17.45,17.45,0
2016-01-21,17.45,17.45,17.45,17.45,0
2016-01-22,16.8,16.8,16.8,16.8,500
2016-01-25,16.8,16.8,16.8,16.8,0
2016-01-26,16.8,16.8,16.8,16.8,0
2016-01-27,16.8,16.8,16.8,16.8,0
2016-01-28,15.19,15.19,15.19,15.19,100
2016-01-29,15.19,15.19,15.19,15.19,0
2016-02-01,15.19,15.19,15.19,15.19,0
2016-02-02,15.19,15.19,15.19,15.19,0
2016-02-03,13.57,13.57,13.57,13.57,200
2016-02-04,13.57,13.57,13.57,13.57,0
2016-02-05,13.57,13.57,13.57,13.57,0
2016-02-15,13.57,13.57,13.57,13.57,0
2016-02-16,13.57,13.57,13.57,13.57,0
2016-02-17,13.57,13.57,13.57,13.57,0
2016-02-18,13.57,13.57,13.57,13.57,0
2016-02-19,13.57,13.57,13.57,13.57,0
2016-02-22,15.58,15.58,15.58,15.58,100
2016-02-23,17.9,17.9,15.83,15.83,200
2016-02-24,15.83,15.83,15.83,15.83,0
2016-02-25,15.83,15.83,15.83,15.83,0
2016-02-26,15.83,15.83,15.83,15.83,0
2016-02-29,19.32,19.39,19.32,19.39,31400
2016-03-01,19.39,19.39,19.39,19.39,200
2016-03-02,18.1,18.1,18.1,18.1,1300
2016-03-03,18.1,18.1,18.1,18.1,0
2016-03-04,18.1,18.1,18.1,18.1,0
2016-03-07,18.1,18.1,18.1,18.1,0
2016-03-08,18.1,18.1,18.1,18.1,0
2016-03-09,15.51,15.51,15.51,15.51,100
2016-03-10,15.51,15.51,15.51,15.51,0
2016-03-11,15.51,15.51,15.51,15.51,0
2016-03-14,15.51,15.51,15.51,15.51,0
2016-03-15,15.51,15.51,15.51,15.51,0
2016-03-16,15.51,15.51,15.51,15.51,0
2016-03-17,15.51,15.51,15.51,15.51,0
2016-03-18,15.51,15.51,15.51,15.51,0
2016-03-21,17.84,17.84,17.84,17.84,700
2016-03-22,19.39,19.39,18.74,18.74,700
2016-03-23,18.74,18.74,18.74,18.74,0
2016-03-24,20.04,20.04,20.04,20.04,100
2016-03-25,20.04,20.04,20.04,20.04,0
2016-03-28,20.04,20.04,20.04,20.04,0
2016-03-29,20.04,20.04,20.04,20.04,0
2016-03-30,20.04,20.04,20.04,20.04,0
2016-03-31,20.04,20.04,20.04,20.04,0
2016-04-01,20.04,20.04,20.04,20.04,0
