time,open,high,low,close,volume
2013-08-06,3.5,3.5,3.5,3.5,400
2013-08-07,3.5,3.5,3.5,3.5,0
2013-08-08,3.5,3.5,3.5,3.5,200
2013-08-09,3.5,3.5,3.5,3.5,0
2013-08-12,3.5,3.5,3.5,3.5,0
2013-08-13,3.5,3.5,3.5,3.5,0
2013-08-14,3.5,3.5,3.5,3.5,0
2013-08-15,3.5,3.5,3.5,3.5,0
2013-08-16,3.5,3.5,3.5,3.5,0
2013-08-19,3.5,3.5,3.5,3.5,0
2013-08-20,3.5,3.5,3.5,3.5,0
2013-08-21,3.5,3.5,3.5,3.5,0
2013-08-22,3.5,3.5,3.5,3.5,0
2013-08-23,3.5,3.5,3.5,3.5,0
2013-08-26,3.5,3.5,3.5,3.5,0
2013-08-27,3.5,3.5,3.5,3.5,0
2013-08-28,3.5,3.5,3.5,3.5,0
2013-08-29,3.5,3.5,3.5,3.5,0
2013-08-30,3.5,3.5,3.5,3.5,0
2013-09-03,3.5,3.5,3.5,3.5,0
2013-09-04,3.5,3.5,3.5,3.5,2000
2013-09-05,3.5,3.5,3.5,3.5,0
2013-09-06,3.5,3.5,3.5,3.5,0
2013-09-09,3.5,3.5,3.5,3.5,0
2013-09-10,3.5,3.5,3.5,3.5,0
2013-09-11,3.5,3.5,3.5,3.5,0
2013-09-12,3.5,3.5,3.5,3.5,0
2013-09-13,3.5,3.5,3.5,3.5,0
2013-09-16,3.5,3.5,3.5,3.5,0
2013-09-17,3.5,3.5,3.5,3.5,0
2013-09-18,3.5,3.5,3.5,3.5,0
2013-09-19,3.5,3.5,3.5,3.5,0
2013-09-20,3.5,3.5,3.5,3.5,0
2013-09-23,3.5,3.5,3.5,3.5,75
2013-09-24,3.5,3.5,3.5,3.5,0
2013-09-25,3.5,3.5,3.5,3.5,0
2013-09-26,3.5,3.5,3.5,3.5,0
2013-09-27,3.5,3.5,3.5,3.5,0
2013-09-30,3.5,3.5,3.5,3.5,0
2013-10-01,3.5,3.5,3.5,3.5,0
2013-10-02,3.5,3.5,3.5,3.5,0
2013-10-03,3.5,3.5,3.5,3.5,0
2013-10-04,3.5,3.5,3.5,3.5,0
2013-10-07,3.29,3.29,3.29,3.29,1900
2013-10-08,3.29,3.29,3.29,3.29,1000
2013-10-09,3.29,3.29,3.29,3.29,100
2013-10-10,3.29,3.29,3.29,3.29,0
2013-10-11,3.29,3.29,3.29,3.29,0
2013-10-14,3.29,3.29,3.29,3.29,100
2013-10-15,3.29,3.29,3.29,3.29,200
2013-10-16,3.29,3.29,3.29,3.29,0
2013-10-17,3.29,3.29,3.29,3.29,500
2013-10-18,3.29,3.29,3.29,3.29,0
2013-10-21,3.61,3.61,3.61,3.61,2000
2013-10-22,3.61,3.61,3.61,3.61,0
2013-10-23,3.61,3.61,3.61,3.61,0
2013-10-24,3.5,3.5,3.5,3.5,100
2013-10-25,3.5,3.5,3.5,3.5,0
2013-10-28,3.5,3.5,3.5,3.5,0
2013-10-29,3.53,3.53,3.53,3.53,103
2013-10-30,3.57,3.57,3.57,3.57,100
2013-10-31,3.59,3.59,3.59,3.59,100
2013-11-01,3.68,3.68,3.68,3.68,100
2013-11-04,3.68,3.68,3.68,3.68,98
2013-11-05,4.03,4.03,4.03,4.03,110
2013-11-06,4.4,4.42,4.38,4.38,900
2013-11-07,4.38,4.38,4.38,4.38,0
2013-11-08,3.96,3.96,3.96,3.96,100
2013-11-11,3.96,3.96,3.96,3.96,0
2013-11-12,3.96,3.96,3.96,3.96,0
2013-11-13,3.96,3.96,3.96,3.96,0
2013-11-14,3.96,3.96,3.96,3.96,0
2013-11-15,3.96,3.96,3.96,3.96,0
2013-11-18,3.96,3.96,3.96,3.96,0
2013-11-19,3.96,3.96,3.96,3.96,0
2013-11-20,3.96,3.96,3.96,3.96,0
2013-11-21,3.96,3.96,3.96,3.96,3
2013-11-22,3.96,3.96,3.96,3.96,0
2013-11-25,3.71,3.71,3.71,3.71,200
2013-11-26,3.71,3.71,3.71,3.71,0
2013-11-27,3.71,3.71,3.71,3.71,0
2013-11-28,3.71,3.71,3.71,3.71,100
2013-11-29,3.71,3.71,3.71,3.71,0
2013-12-02,3.71,3.71,3.71,3.71,0
2013-12-03,3.71,3.75,3.71,3.75,600
2013-12-04,3.75,3.75,3.75,3.75,0
2013-12-05,3.75,3.75,3.75,3.75,0
2013-12-06,3.75,3.75,3.75,3.75,0
2013-12-09,3.75,3.75,3.75,3.75,0
2013-12-10,3.75,3.75,3.75,3.75,100
2013-12-11,3.75,3.75,3.75,3.75,60
2013-12-12,3.75,3.75,3.75,3.75,0
2013-12-13,3.75,3.82,3.75,3.82,200
2013-12-16,3.82,3.82,3.82,3.82,0
2013-12-17,3.82,3.82,3.82,3.82,0
2013-12-18,4.17,4.17,4.17,4.17,300
2013-12-19,4.17,4.17,4.17,4.17,0
2013-12-20,4.17,4.17,4.17,4.17,0
2013-12-23,4.17,4.17,4.17,4.17,0
2013-12-24,4.4,4.4,4.38,4.4,1100
2013-12-25,4.4,4.4,4.4,4.4,0
2013-12-26,4.4,4.4,4.4,4.4,100
2013-12-27,4.7,4.84,4.7,4.84,300
2013-12-30,4.84,4.84,4.84,4.84,0
2013-12-31,4.84,4.84,4.84,4.84,0
2014-01-02,4.63,4.63,4.63,4.63,200
2014-01-03,4.63,4.63,4.63,4.63,0
2014-01-06,5.05,5.05,4.86,5.0,800
2014-01-07,4.98,4.98,4.98,4.98,300
2014-01-08,5.09,5.09,5.09,5.09,100
2014-01-09,4.86,4.86,4.63,4.63,6100
2014-01-10,4.63,4.63,4.63,4.63,100
2014-01-13,4.63,4.63,4.63,4.63,0
2014-01-14,4.63,4.63,4.63,4.63,0
2014-01-15,4.63,5.09,4.63,4.75,900
2014-01-16,4.75,4.75,4.75,4.75,0
2014-01-17,4.75,4.75,4.75,4.75,0
2014-01-20,4.98,4.98,4.86,4.86,1066
2014-01-21,5.05,5.05,5.05,5.05,1000
2014-01-22,4.89,4.91,4.89,4.91,720
2014-01-23,4.93,4.93,4.93,4.93,1000
2014-01-24,5.09,5.09,5.09,5.09,100
