time,open,high,low,close,volume
2015-06-26,9.49,9.59,9.49,9.54,47290
2015-06-29,9.49,9.64,9.49,9.59,67320
2015-06-30,9.49,9.59,9.49,9.59,39240
2015-07-01,9.59,9.59,9.49,9.59,26100
2015-07-02,9.59,9.79,9.59,9.74,11810
2015-07-03,9.94,10.1,9.94,9.94,3050
2015-07-06,9.94,9.94,9.84,9.94,120
2015-07-07,9.64,9.64,9.59,9.59,50080
2015-07-08,9.79,9.79,9.49,9.49,810
2015-07-09,9.74,9.79,9.49,9.49,3220
2015-07-10,9.74,9.74,9.74,9.74,20
2015-07-13,9.59,9.59,9.44,9.44,4650
2015-07-14,9.29,9.49,9.29,9.49,3010
2015-07-15,9.39,9.44,9.39,9.44,730
2015-07-16,9.39,9.59,9.39,9.59,610
2015-07-17,9.59,9.59,9.59,9.59,0
2015-07-20,9.49,9.59,9.49,9.59,7980
2015-07-21,9.79,9.79,9.54,9.59,13760
2015-07-22,9.59,9.79,9.59,9.79,17620
2015-07-23,9.79,9.79,9.59,9.74,10450
2015-07-24,9.64,9.79,9.59,9.79,65020
2015-07-27,9.59,9.79,9.54,9.79,23650
2015-07-28,9.69,9.69,9.54,9.54,14300
2015-07-29,9.69,9.69,9.59,9.64,56500
2015-07-30,9.59,9.74,9.49,9.74,43950
2015-07-31,9.79,9.79,9.59,9.59,22780
2015-08-03,9.74,9.79,9.64,9.69,29540
2015-08-04,9.74,9.79,9.74,9.79,33290
2015-08-05,9.79,9.84,9.79,9.84,149390
2015-08-06,9.89,9.89,9.79,9.84,8040
2015-08-07,9.84,9.89,9.84,9.89,83370
2015-08-10,9.89,10.05,9.89,10.0,133930
2015-08-11,9.89,10.0,9.84,10.0,43730
2015-08-12,9.84,9.94,9.74,9.79,46890
2015-08-13,9.74,9.89,9.74,9.84,86520
2015-08-14,9.89,9.89,9.84,9.89,13500
2015-08-17,9.64,9.89,9.64,9.89,5640
2015-08-18,9.79,9.84,9.79,9.84,8160
2015-08-19,9.79,9.84,9.79,9.84,46470
2015-08-20,9.74,9.84,9.64,9.84,80210
2015-08-21,9.94,9.84,9.84,9.84,0
2015-08-24,9.94,9.84,9.84,9.84,0
2015-08-25,9.23,9.94,9.23,9.94,2280
2015-08-26,9.89,9.89,9.89,9.89,4350
2015-08-27,9.84,9.94,9.84,9.94,7250
2015-08-28,9.94,9.94,9.94,9.94,12620
2015-08-31,9.84,9.94,9.84,9.94,19310
2015-09-01,9.89,9.99,9.89,9.99,56390
2015-09-03,9.94,9.94,9.94,9.94,10340
2015-09-04,9.94,9.99,9.94,9.94,2450
