time,open,high,low,close,volume
2015-06-26,1.9,2.1,1.9,2.0,142110
2015-06-29,2.0,2.1,2.0,2.0,73908
2015-06-30,2.0,2.0,1.8,1.9,110300
2015-07-01,1.9,2.0,1.8,1.9,71300
2015-07-02,1.9,1.9,1.7,1.8,137586
2015-07-03,1.9,1.9,1.8,1.9,35400
2015-07-06,1.9,1.9,1.8,1.8,155300
2015-07-07,1.8,1.8,1.8,1.8,53603
2015-07-08,1.8,1.8,1.7,1.8,45400
2015-07-09,1.8,1.8,1.7,1.8,20900
2015-07-10,1.8,1.9,1.8,1.9,36300
2015-07-13,1.8,1.8,1.7,1.8,38230
2015-07-14,1.7,1.8,1.7,1.7,26800
2015-07-15,1.7,1.8,1.7,1.8,7700
2015-07-16,1.8,1.8,1.8,1.8,21600
2015-07-17,1.8,1.8,1.8,1.8,2400
2015-07-20,1.7,1.7,1.7,1.7,87400
2015-07-21,1.7,1.8,1.7,1.7,21100
2015-07-22,1.7,1.7,1.7,1.7,9000
2015-07-23,1.7,1.7,1.6,1.7,2300
2015-07-24,1.6,1.6,1.6,1.6,33700
2015-07-27,1.6,1.7,1.6,1.7,19800
2015-07-28,1.7,1.7,1.6,1.6,50710
2015-07-29,1.7,1.7,1.6,1.6,18400
2015-07-30,1.7,1.7,1.7,1.7,1000
2015-07-31,1.7,1.7,1.6,1.7,13000
2015-08-03,1.7,1.7,1.6,1.7,43900
2015-08-04,1.7,1.7,1.5,1.6,15020
2015-08-05,1.6,1.7,1.6,1.6,45800
2015-08-06,1.6,1.6,1.6,1.6,31700
2015-08-07,1.6,1.6,1.5,1.6,67000
2015-08-10,1.6,1.6,1.6,1.6,3900
2015-08-11,1.6,1.6,1.5,1.6,10784
2015-08-12,1.5,1.6,1.5,1.6,56400
2015-08-13,1.5,1.5,1.5,1.5,16940
2015-08-14,1.5,1.6,1.4,1.6,92107
2015-08-17,1.5,1.5,1.5,1.5,26138
2015-08-18,1.5,1.6,1.5,1.6,10410
2015-08-19,1.6,1.6,1.5,1.5,16600
