time,open,high,low,close,volume
2019-06-19,14.14,14.14,14.14,14.14,100
2019-06-20,15.53,15.53,15.53,15.53,100
2019-06-21,17.04,17.04,17.04,17.04,100
2019-06-24,18.74,18.74,18.74,18.74,1100
2019-06-25,20.61,20.61,20.61,20.61,1100
2019-06-26,22.66,22.66,22.66,22.66,400
2019-06-27,24.9,24.9,23.57,23.57,4600
2019-06-28,25.93,25.93,22.3,22.3,700
2019-07-01,21.76,21.76,21.21,21.21,2500
2019-07-02,19.94,20.85,19.94,20.85,2200
2019-07-03,19.94,19.94,19.88,19.88,500
2019-07-04,19.94,20.49,19.94,20.49,5727
2019-07-05,20.55,20.55,19.94,20.55,2500
2019-07-08,19.94,20.06,19.94,20.06,1200
2019-07-09,19.4,19.4,19.34,19.34,1100
2019-07-10,19.34,19.34,19.04,19.34,1400
2019-07-11,19.34,19.34,18.74,18.74,5300
2019-07-12,18.43,18.43,18.13,18.13,4500
2019-07-15,17.89,17.89,17.22,17.22,14000
2019-07-16,17.83,17.83,17.35,17.35,2000
2019-07-17,17.28,17.83,17.28,17.83,2700
2019-07-18,17.83,17.83,17.83,17.83,1000
2019-07-19,17.83,18.43,17.83,18.43,2500
2019-07-22,19.04,19.04,18.19,18.19,2700
2019-07-23,18.55,18.74,18.49,18.49,6500
2019-07-24,18.13,18.13,17.95,17.95,20000
2019-07-25,18.13,18.13,18.13,18.13,1000
2019-07-26,18.13,18.74,18.13,18.74,1500
2019-07-29,18.8,18.8,18.8,18.8,500
2019-07-30,18.13,18.61,18.13,18.61,10800
2019-07-31,18.13,18.43,18.13,18.43,4300
2019-08-01,18.13,18.43,18.13,18.43,2200
2019-08-02,18.43,18.43,18.13,18.13,9700
2019-08-05,18.13,18.13,18.13,18.13,4300
2019-08-06,18.13,18.13,18.13,18.13,0
2019-08-07,18.43,18.43,18.13,18.13,8000
2019-08-08,17.83,17.83,17.83,17.83,200
2019-08-09,18.43,18.43,18.13,18.13,3000
2019-08-12,18.13,18.13,17.89,18.13,6000
2019-08-13,18.13,18.13,17.83,17.83,6000
2019-08-14,17.83,18.13,17.83,17.95,9900
2019-08-15,17.95,17.95,17.95,17.95,0
2019-08-16,18.13,18.43,18.13,18.43,19100
2019-08-19,18.13,18.19,18.13,18.19,3500
2019-08-20,18.13,18.31,18.13,18.31,36500
2019-08-21,18.19,18.25,18.13,18.25,10300
2019-08-22,18.25,18.25,18.19,18.25,15000
2019-08-23,18.25,18.25,17.89,17.89,3100
2019-08-26,17.95,18.25,17.95,18.01,6100
2019-08-27,18.13,18.43,18.13,18.19,12500
2019-08-28,18.19,18.25,18.13,18.13,12100
2019-08-29,18.13,18.19,18.07,18.07,26900
2019-08-30,18.13,18.19,18.07,18.07,7000
2019-09-03,18.19,18.19,18.13,18.13,33400
2019-09-04,18.13,18.43,18.07,18.13,3900
2019-09-05,18.74,18.74,18.13,18.13,3200
2019-09-06,18.13,18.19,17.83,17.83,9700
2019-09-09,17.95,18.07,17.89,17.89,4500
