time,open,high,low,close,volume
2015-06-26,11.3,11.41,11.27,11.41,5600
2015-06-29,10.66,11.33,10.66,11.33,1800
2015-06-30,10.38,11.33,10.38,11.33,2700
2015-07-01,11.3,11.3,11.13,11.22,7300
2015-07-02,10.91,11.3,10.91,11.3,1600
2015-07-03,11.19,11.35,11.19,11.3,5200
2015-07-06,11.27,11.3,11.24,11.3,700
2015-07-07,9.63,11.27,9.63,11.27,1500
2015-07-08,11.27,11.33,11.27,11.27,1700
2015-07-09,11.3,11.3,11.3,11.3,1500
2015-07-10,11.3,11.3,11.3,11.3,3100
2015-07-13,11.19,11.27,11.19,11.22,3100
2015-07-14,11.24,11.24,11.24,11.24,500
2015-07-15,11.27,11.27,11.24,11.24,6200
2015-07-16,11.24,11.24,11.24,11.24,9500
2015-07-17,11.27,11.27,11.24,11.24,6900
2015-07-20,11.24,11.24,11.24,11.24,5000
2015-07-21,10.74,11.22,10.74,11.22,900
2015-07-22,9.6,11.27,9.6,11.27,9000
2015-07-23,11.27,11.27,11.27,11.27,100
2015-07-24,11.27,11.27,11.27,11.27,2200
2015-07-27,11.3,11.3,11.3,11.3,900
2015-07-28,9.82,11.3,9.82,11.3,500
2015-07-29,10.66,11.3,10.66,11.27,2500
2015-07-30,11.27,11.27,11.27,11.27,0
2015-07-31,11.27,11.27,11.27,11.27,0
2015-08-03,11.27,11.27,11.27,11.27,1000
2015-08-04,10.05,11.3,10.05,11.3,200
2015-08-05,9.99,11.33,9.99,11.33,1200
2015-08-06,11.33,11.33,11.33,11.33,3200
2015-08-07,11.33,11.38,11.33,11.33,900
2015-08-10,11.33,11.33,11.33,11.33,0
2015-08-11,11.33,11.33,11.33,11.33,100
2015-08-12,11.41,11.41,11.41,11.41,7700
2015-08-13,13.08,13.08,13.08,13.08,100
2015-08-14,11.69,14.86,11.69,12.52,2500
2015-08-17,11.72,11.72,11.69,11.69,6100
2015-08-18,13.41,13.41,11.69,11.69,3100
2015-08-19,13.3,13.3,11.63,11.63,1700
2015-08-20,11.63,11.63,11.16,11.52,12100
2015-08-21,11.16,11.16,11.16,11.16,6100
2015-08-24,11.94,11.94,10.85,11.91,11000
2015-08-25,12.8,12.8,11.3,11.33,1500
2015-08-26,12.63,12.63,11.19,12.08,8600
2015-08-27,11.22,11.66,11.05,11.6,10400
2015-08-28,11.08,11.66,11.08,11.66,5100
2015-08-31,12.8,12.8,11.13,11.19,14200
2015-09-01,12.83,12.83,11.13,11.22,22966
2015-09-03,12.83,12.83,11.22,11.27,2600
2015-09-04,11.24,11.24,11.22,11.24,1500
2015-09-07,11.27,11.27,11.27,11.27,100
2015-09-08,9.68,11.35,9.68,11.3,4300
2015-09-09,11.3,11.97,11.3,11.97,700
2015-09-10,9.82,9.82,9.82,9.82,110
2015-09-11,11.27,11.27,11.27,11.27,100
2015-09-14,10.24,11.38,10.24,11.38,1200
2015-09-15,11.41,11.41,11.41,11.41,100
2015-09-16,11.55,11.55,11.55,11.55,1000
2015-09-17,11.41,11.58,11.41,11.58,3700
2015-09-18,11.58,11.58,11.58,11.58,0
2015-09-21,9.85,11.55,9.85,11.55,1190
2015-09-22,11.55,11.55,11.55,11.55,100
2015-09-23,11.55,11.55,11.55,11.55,0
2015-09-24,11.55,11.55,11.55,11.55,0
2015-09-25,10.32,11.83,10.32,11.83,2600
2015-09-28,11.83,11.83,11.83,11.83,700
2015-09-29,11.55,11.69,11.55,11.69,1950
2015-09-30,11.97,11.97,11.97,11.97,600
2015-10-01,11.97,11.97,11.97,11.97,810
2015-10-02,11.83,11.83,11.83,11.83,500
2015-10-05,11.88,11.97,11.88,11.97,1006
2015-10-06,11.97,11.97,11.97,11.97,0
2015-10-07,12.05,12.11,12.05,12.11,600
2015-10-08,12.11,12.11,12.11,12.11,0
2015-10-09,12.24,13.08,12.24,13.08,600
2015-10-12,11.13,11.13,11.13,11.13,100
2015-10-13,11.72,11.72,11.72,11.72,200
2015-10-14,11.72,11.72,11.72,11.72,0
2015-10-15,12.05,12.52,12.05,12.52,1600
2015-10-16,12.52,12.52,12.52,12.52,0
2015-10-19,12.52,12.52,12.52,12.52,0
2015-10-20,12.11,12.11,11.69,11.69,200
2015-10-21,12.52,12.52,12.52,12.52,200
2015-10-22,12.52,12.52,12.52,12.52,100
2015-10-23,12.52,12.52,12.52,12.52,0
2015-10-26,12.52,12.52,12.52,12.52,0
2015-10-27,14.39,14.39,14.39,14.39,100
2015-10-28,12.24,14.75,12.24,14.75,200
2015-10-29,11.72,13.91,11.52,13.91,3300
2015-10-30,13.75,13.75,13.75,13.75,1300
2015-11-02,13.5,13.91,13.36,13.36,3000
2015-11-03,14.19,14.19,14.19,14.19,3360
2015-11-04,14.19,14.19,14.19,14.19,0
2015-11-05,14.19,14.19,13.08,14.19,3360
2015-11-06,13.91,14.19,13.22,14.19,8500
2015-11-09,14.19,15.03,14.19,14.22,3500
2015-11-10,14.75,15.58,14.28,15.58,6600
2015-11-11,14.61,16.11,14.61,16.11,3200
2015-11-12,15.17,16.09,15.17,16.09,400
2015-11-13,16.06,16.14,16.06,16.14,1300
2015-11-16,16.14,16.14,16.14,16.14,0
2015-11-17,16.11,16.11,15.58,15.58,1100
2015-11-18,15.03,15.72,15.03,15.72,200
2015-11-19,15.61,15.61,15.61,15.61,100
2015-11-20,13.3,15.58,13.3,14.28,2100
2015-11-23,15.58,15.58,15.58,15.58,100
2015-11-24,14.83,14.83,14.83,14.83,600
2015-11-25,17.0,17.0,16.11,16.11,200
2015-11-26,16.11,16.11,16.11,16.11,0
2015-11-27,16.11,16.11,16.11,16.11,0
