time,open,high,low,close,volume
2014-07-10,4.2,4.2,4.1,4.1,164140
2014-07-11,4.1,4.36,4.07,4.29,398690
2014-07-14,4.29,4.32,4.23,4.26,96390
2014-07-15,4.29,4.39,4.26,4.36,217810
2014-07-16,4.45,4.49,4.36,4.42,347730
2014-07-17,4.39,4.42,4.32,4.39,110140
2014-07-18,4.39,4.42,4.36,4.39,186940
2014-07-21,4.45,4.45,4.29,4.32,128030
2014-07-22,4.32,4.32,4.26,4.29,124310
2014-07-23,4.29,4.39,4.26,4.29,135600
2014-07-24,4.29,4.36,4.29,4.36,51420
2014-07-25,4.39,4.39,4.29,4.29,156480
2014-07-28,4.26,4.32,4.1,4.1,167800
2014-07-29,4.1,4.2,4.1,4.16,10000
2014-07-30,4.13,4.16,4.1,4.1,27450
2014-07-31,4.16,4.2,4.13,4.2,39250
2014-08-01,4.13,4.2,4.13,4.16,19630
2014-08-04,4.13,4.2,4.1,4.1,42960
2014-08-05,4.2,4.2,4.07,4.2,124820
2014-08-06,4.23,4.23,4.16,4.23,58620
2014-08-07,4.26,4.39,4.23,4.39,337570
2014-08-08,4.42,4.42,4.32,4.36,131900
2014-08-11,4.36,4.36,4.16,4.16,284690
2014-08-12,4.2,4.32,4.2,4.26,253480
2014-08-13,4.26,4.36,4.23,4.29,345260
2014-08-14,4.29,4.36,4.29,4.29,248540
2014-08-15,4.29,4.52,4.26,4.45,638160
2014-08-18,4.45,4.65,4.42,4.62,733340
2014-08-19,4.68,4.68,4.45,4.49,244240
2014-08-20,4.45,4.55,4.42,4.52,442070
2014-08-21,4.58,4.65,4.52,4.52,535950
2014-08-22,4.52,4.62,4.52,4.52,275830
2014-08-25,4.55,4.58,4.49,4.49,313680
2014-08-26,4.49,4.58,4.49,4.49,360150
2014-08-27,4.55,4.65,4.49,4.65,1109630
2014-08-28,4.65,4.74,4.65,4.71,480790
2014-08-29,4.71,4.71,4.62,4.68,500950
2014-09-03,4.68,4.84,4.55,4.68,667090
2014-09-04,4.68,4.71,4.62,4.65,398780
2014-09-05,4.65,4.74,4.62,4.74,390760
2014-09-08,4.74,4.97,4.74,4.94,1692440
2014-09-09,4.94,4.97,4.65,4.65,1140520
2014-09-10,4.65,4.74,4.52,4.74,345170
2014-09-11,4.71,4.94,4.71,4.84,1001860
2014-09-12,4.78,5.07,4.78,5.0,786050
2014-09-15,5.07,5.16,4.87,4.87,1013020
2014-09-16,4.91,4.97,4.84,4.97,322040
2014-09-17,5.0,5.03,4.87,4.94,855400
2014-09-18,4.91,4.94,4.65,4.65,795060
2014-09-19,4.65,4.78,4.65,4.74,289470
2014-09-22,4.78,4.81,4.65,4.68,487490
2014-09-23,4.68,4.71,4.65,4.68,394960
2014-09-24,4.68,4.71,4.62,4.71,344800
2014-09-25,4.71,4.74,4.62,4.74,179440
2014-09-26,4.71,4.74,4.65,4.68,516870
2014-09-29,4.74,4.74,4.65,4.68,97660
2014-09-30,4.65,4.68,4.62,4.65,200420
2014-10-01,4.68,4.74,4.68,4.68,237700
2014-10-02,4.71,4.71,4.65,4.68,203960
2014-10-03,4.68,4.81,4.68,4.74,261080
2014-10-06,4.78,4.87,4.78,4.84,270970
2014-10-07,4.84,4.97,4.84,4.97,408820
2014-10-08,4.97,4.97,4.84,4.84,221910
2014-10-09,4.87,4.94,4.84,4.87,68470
2014-10-10,4.81,4.91,4.81,4.87,236410
2014-10-13,4.87,4.87,4.81,4.81,190030
2014-10-14,4.84,4.87,4.78,4.78,283340
2014-10-15,4.81,4.84,4.78,4.78,314000
2014-10-16,4.81,4.81,4.58,4.58,311840
2014-10-17,4.65,4.68,4.58,4.65,103410
2014-10-20,4.65,4.74,4.65,4.68,56490
2014-10-21,4.71,4.71,4.68,4.68,73300
2014-10-22,4.68,4.74,4.68,4.74,113090
2014-10-23,4.74,4.74,4.65,4.68,40620
2014-10-24,4.68,4.68,4.65,4.65,64310
2014-10-27,4.65,4.68,4.52,4.52,100390
2014-10-28,4.42,4.55,4.42,4.55,200800
2014-10-29,4.62,4.68,4.58,4.68,100380
2014-10-30,4.68,4.71,4.65,4.65,224250
2014-10-31,4.62,4.71,4.62,4.71,64380
2014-11-03,4.71,4.78,4.71,4.74,69880
2014-11-04,4.68,4.71,4.68,4.71,153940
2014-11-05,4.71,4.74,4.71,4.74,219110
2014-11-06,4.74,4.74,4.71,4.74,120760
2014-11-07,4.74,4.74,4.71,4.74,112460
2014-11-10,4.74,4.84,4.74,4.74,291880
2014-11-11,4.74,4.84,4.74,4.78,99860
2014-11-12,4.84,4.87,4.81,4.84,253140
2014-11-13,4.91,4.91,4.81,4.81,68380
2014-11-14,4.78,4.81,4.78,4.81,11060
2014-11-17,4.78,4.87,4.78,4.84,266510
2014-11-18,4.87,4.87,4.84,4.84,202700
2014-11-19,4.87,4.87,4.81,4.84,123420
2014-11-20,4.84,4.87,4.78,4.87,79120
2014-11-21,4.84,4.84,4.81,4.81,47440
2014-11-24,4.74,4.78,4.71,4.78,39990
2014-11-25,4.74,4.78,4.74,4.78,18640
2014-11-26,4.78,4.81,4.74,4.74,71850
2014-11-27,4.74,4.78,4.68,4.78,58000
2014-11-28,4.78,4.81,4.74,4.81,65130
2014-12-01,4.68,4.81,4.68,4.74,26580
2014-12-02,4.81,4.87,4.78,4.87,214080
2014-12-03,4.87,4.91,4.84,4.91,225190
2014-12-04,4.91,4.94,4.91,4.94,194940
2014-12-05,4.94,4.94,4.84,4.91,110970
2014-12-08,4.91,4.97,4.91,4.91,352820
2014-12-09,4.91,4.91,4.78,4.81,657400
2014-12-10,4.81,4.87,4.71,4.87,97180
2014-12-11,4.81,4.91,4.81,4.87,120040
2014-12-12,4.87,4.87,4.81,4.84,69410
2014-12-15,4.84,4.84,4.81,4.81,53440
2014-12-16,4.81,4.84,4.78,4.78,179340
2014-12-17,4.78,4.78,4.58,4.68,185440
2014-12-18,4.71,4.78,4.68,4.71,135180
2014-12-19,4.74,4.74,4.71,4.74,34050
2014-12-22,4.74,4.81,4.74,4.81,44840
2014-12-23,4.81,4.81,4.74,4.81,25220
2014-12-24,4.78,4.81,4.78,4.78,50430
2014-12-25,4.78,4.78,4.74,4.78,18540
2014-12-26,4.92,4.92,4.5,4.74,66570
2014-12-29,4.74,4.81,4.71,4.74,169180
2014-12-30,4.74,4.74,4.6,4.74,29340
2014-12-31,4.74,4.92,4.74,4.78,153180
2015-01-05,4.74,4.74,4.57,4.57,24340
2015-01-06,4.57,4.71,4.57,4.71,1960
2015-01-07,4.64,4.71,4.57,4.57,30740
2015-01-08,4.57,4.6,4.57,4.57,20940
2015-01-09,4.71,4.71,4.6,4.64,5580
2015-01-12,4.6,4.71,4.57,4.57,86610
2015-01-13,4.57,4.64,4.57,4.64,16660
2015-01-14,4.53,4.57,4.5,4.53,16150
2015-01-15,4.53,4.64,4.53,4.6,25670
2015-01-16,4.64,4.64,4.5,4.53,66500
2015-01-19,4.53,4.64,4.5,4.57,60760
2015-01-20,4.57,4.64,4.5,4.53,61670
2015-01-21,4.57,4.57,4.57,4.57,16100
2015-01-22,4.57,4.6,4.57,4.6,12080
2015-01-23,4.6,4.6,4.6,4.6,10850
2015-01-26,4.64,4.67,4.64,4.67,21800
2015-01-27,4.67,4.67,4.6,4.64,34220
2015-01-28,4.64,4.64,4.64,4.64,45950
2015-01-29,4.64,4.67,4.64,4.64,33490
2015-01-30,4.64,4.64,4.64,4.64,52920
2015-02-02,4.64,4.67,4.64,4.67,28630
2015-02-03,4.64,4.67,4.57,4.67,112630
2015-02-04,4.64,4.64,4.64,4.64,4910
2015-02-05,4.67,4.71,4.64,4.64,16130
2015-02-06,4.64,4.67,4.64,4.67,2850
2015-02-09,4.67,4.67,4.64,4.67,7370
2015-02-10,4.64,4.71,4.64,4.71,2600
2015-02-11,4.71,4.71,4.67,4.71,13020
2015-02-12,4.67,4.71,4.67,4.71,7130
2015-02-13,4.71,4.74,4.71,4.74,17170
2015-02-24,4.78,4.78,4.74,4.74,14340
2015-02-25,4.74,4.78,4.57,4.57,21330
2015-02-26,4.67,4.74,4.67,4.74,35530
2015-02-27,4.74,4.78,4.74,4.78,6240
2015-03-02,4.78,4.78,4.71,4.71,16910
2015-03-03,4.64,4.74,4.64,4.74,2780
2015-03-04,4.67,4.67,4.67,4.67,30000
2015-03-05,4.67,4.71,4.67,4.67,24900
2015-03-06,4.74,4.78,4.71,4.71,26080
2015-03-09,4.78,4.78,4.78,4.78,320
2015-03-10,4.74,4.74,4.64,4.64,22520
2015-03-11,4.71,4.74,4.71,4.71,60
2015-03-12,4.71,4.71,4.67,4.67,1460
2015-03-13,4.6,4.67,4.6,4.67,11410
2015-03-16,4.57,4.67,4.57,4.67,5040
2015-03-17,4.67,4.67,4.6,4.64,6730
2015-03-18,4.6,4.64,4.57,4.64,3650
2015-03-19,4.57,4.6,4.57,4.6,29010
2015-03-20,4.57,4.6,4.57,4.57,3200
2015-03-23,4.57,4.64,4.57,4.64,22030
2015-03-24,4.57,4.67,4.57,4.67,12500
2015-03-25,4.6,4.6,4.53,4.53,33710
2015-03-26,4.5,4.6,4.5,4.6,3600
2015-03-27,4.57,4.57,4.57,4.57,15110
2015-03-30,4.5,4.64,4.5,4.64,127290
2015-03-31,4.64,4.74,4.64,4.74,37220
2015-04-01,4.74,4.74,4.43,4.43,23300
2015-04-02,4.6,4.71,4.5,4.71,46870
2015-04-03,4.71,4.74,4.64,4.64,2160
2015-04-06,4.67,4.71,4.57,4.71,13280
2015-04-07,4.67,4.74,4.64,4.64,90
2015-04-08,4.64,4.67,4.6,4.64,10760
2015-04-09,4.71,4.71,4.67,4.71,26550
2015-04-10,4.74,4.92,4.74,4.88,64770
2015-04-13,4.88,4.88,4.74,4.85,6080
2015-04-14,4.78,4.81,4.74,4.74,15340
2015-04-15,4.74,4.85,4.74,4.85,31330
2015-04-16,4.74,4.85,4.74,4.74,16980
2015-04-17,4.74,4.78,4.74,4.78,16250
2015-04-20,4.74,4.74,4.74,4.74,8190
2015-04-21,4.74,4.81,4.74,4.78,450
2015-04-22,4.78,4.81,4.78,4.81,17330
2015-04-23,4.81,4.81,4.81,4.81,34630
2015-04-24,4.81,4.85,4.74,4.74,19540
2015-04-27,4.85,4.85,4.74,4.74,38530
2015-05-04,4.74,4.78,4.74,4.74,22940
2015-05-05,4.67,4.74,4.67,4.74,4070
2015-05-06,4.74,4.78,4.71,4.78,324110
2015-05-07,4.78,4.81,4.74,4.74,3860
2015-05-08,4.74,4.74,4.67,4.74,9180
2015-05-11,4.78,4.78,4.71,4.71,10940
2015-05-12,4.74,4.74,4.71,4.74,10710
2015-05-13,4.78,4.78,4.74,4.78,322050
2015-05-14,4.81,4.81,4.74,4.81,5670
2015-05-15,4.67,4.78,4.67,4.78,10740
2015-05-18,4.78,4.78,4.74,4.78,39000
2015-05-19,4.78,4.78,4.74,4.78,58050
2015-05-20,4.78,4.85,4.78,4.81,143720
2015-05-21,4.88,4.99,4.78,4.81,476060
2015-05-22,4.81,4.99,4.78,4.99,301830
2015-05-25,4.95,5.09,4.95,5.02,292270
2015-05-26,5.02,5.02,4.92,4.92,129260
2015-05-27,4.92,5.02,4.92,5.02,145910
2015-05-28,5.02,5.02,4.95,4.95,101690
2015-05-29,4.99,5.02,4.95,4.99,77130
2015-06-01,4.99,5.13,4.95,5.06,169860
2015-06-02,5.09,5.09,5.02,5.02,165530
2015-06-03,5.02,5.06,4.99,5.06,58610
2015-06-04,5.02,5.06,4.95,5.02,119290
2015-06-05,4.99,4.99,4.92,4.92,110980
2015-06-08,4.95,4.99,4.92,4.95,179660
2015-06-09,4.95,4.95,4.88,4.88,79840
2015-06-10,4.85,4.88,4.81,4.88,63270
