time,open,high,low,close,volume
2015-06-26,6.0,6.0,6.0,6.0,21700
2015-06-29,6.0,6.0,6.0,6.0,29000
2015-06-30,6.0,6.1,6.0,6.0,34900
2015-07-01,6.0,6.1,6.0,6.1,18600
2015-07-02,6.0,6.0,6.0,6.0,23500
2015-07-03,6.0,6.1,6.0,6.0,15200
2015-07-06,6.0,6.1,6.0,6.0,20600
2015-07-07,6.0,6.0,6.0,6.0,29200
2015-07-08,6.1,6.1,6.0,6.0,71700
2015-07-09,6.0,6.0,6.0,6.0,47700
2015-07-10,6.0,6.0,6.0,6.0,83300
2015-07-13,6.0,6.0,6.0,6.0,18100
2015-07-14,6.0,6.0,6.0,6.0,14600
2015-07-15,6.0,6.1,6.0,6.1,18700
2015-07-16,5.7,6.0,5.5,5.5,255500
2015-07-17,5.5,5.5,5.3,5.5,50700
2015-07-20,5.7,6.0,5.5,6.0,14400
2015-07-21,5.5,5.8,5.5,5.7,7700
2015-07-22,5.6,5.8,5.6,5.7,97000
2015-07-23,5.8,5.8,5.7,5.7,56400
2015-07-24,5.8,5.8,5.8,5.8,1800
2015-07-27,5.8,5.9,5.8,5.9,6200
2015-07-28,6.0,6.0,6.0,6.0,53900
2015-07-29,6.0,6.0,5.9,5.9,90600
2015-07-30,5.9,6.0,5.9,5.9,55000
2015-07-31,6.0,6.4,6.0,6.0,190800
2015-08-03,6.0,6.6,6.0,6.6,62600
2015-08-04,6.1,6.8,6.1,6.7,9000
2015-08-05,6.5,6.5,6.2,6.2,16500
2015-08-06,6.0,6.5,6.0,6.3,52400
2015-08-07,6.3,6.3,6.1,6.1,39800
2015-08-31,6.0,8.3,6.0,6.0,23600
2015-09-01,5.7,6.6,5.7,6.1,23700
2015-09-03,6.4,6.8,6.4,6.8,1100
2015-09-04,7.1,7.1,6.5,7.0,2600
2015-09-07,7.0,7.0,7.0,7.0,0
2015-09-08,7.0,7.0,7.0,7.0,0
2015-09-09,7.0,7.0,7.0,7.0,0
2015-09-10,7.0,7.0,7.0,7.0,0
2015-09-11,5.8,7.0,5.8,6.1,9000
2015-09-14,6.1,6.1,6.1,6.1,0
2015-09-15,6.1,6.1,6.1,6.1,0
2015-09-16,6.1,6.1,6.1,6.1,0
2015-09-17,5.8,5.8,5.8,5.8,800
2015-09-18,6.6,6.6,6.1,6.5,4700
2015-09-21,6.5,6.5,6.5,6.5,0
2015-09-22,6.5,6.5,6.5,6.5,0
2015-09-23,6.5,6.5,6.5,6.5,100
2015-09-24,6.8,6.8,6.0,6.0,3300
2015-09-25,5.9,6.2,5.9,6.2,3000
2015-09-28,6.2,6.2,6.2,6.2,0
2015-09-29,6.2,6.2,6.2,6.2,0
2015-09-30,6.5,6.5,6.5,6.5,100
2015-10-01,5.8,5.8,5.8,5.8,3500
2015-10-02,6.4,6.6,6.4,6.6,2000
2015-10-05,6.6,6.6,6.6,6.6,0
2015-10-06,5.6,6.9,5.6,6.9,21900
2015-10-07,7.0,7.0,7.0,7.0,500
2015-10-08,7.2,8.0,7.2,8.0,5700
2015-10-09,8.0,8.5,8.0,8.5,2500
2015-10-12,8.9,8.9,8.0,8.0,5900
2015-10-13,8.0,8.0,8.0,8.0,0
2015-10-14,8.0,8.0,8.0,8.0,0
2015-10-15,7.5,7.5,7.5,7.5,100
2015-10-16,7.0,7.9,7.0,7.9,8600
2015-10-19,7.9,7.9,7.9,7.9,0
2015-10-20,6.3,6.3,6.3,6.3,1900
2015-10-21,6.0,6.9,6.0,6.9,2300
2015-10-22,6.3,6.3,6.3,6.3,2000
2015-10-23,6.3,6.3,6.3,6.3,0
2015-10-26,6.3,6.3,6.3,6.3,0
2015-10-27,5.6,6.9,5.6,6.9,1600
2015-10-28,6.9,6.9,6.9,6.9,0
2015-10-29,5.7,5.7,5.7,5.7,1000
2015-10-30,4.9,6.4,4.9,6.3,9300
2015-11-02,5.0,5.0,5.0,5.0,100
2015-11-03,4.8,4.8,4.8,4.8,100
2015-11-04,4.8,4.8,4.8,4.8,0
2015-11-05,5.5,5.5,5.5,5.5,1400
2015-11-06,6.1,6.2,5.6,6.2,3400
2015-11-09,6.2,6.2,6.2,6.2,0
2015-11-10,6.8,6.8,5.2,5.2,400
2015-11-11,5.1,5.1,5.1,5.1,100
2015-11-12,5.1,5.1,5.1,5.1,200
2015-11-13,5.2,5.2,5.2,5.2,1200
2015-11-16,5.2,5.2,5.2,5.2,0
2015-11-17,5.7,5.7,5.7,5.7,200
2015-11-18,5.7,5.7,5.7,5.7,0
2015-11-19,6.0,6.2,6.0,6.2,600
2015-11-20,6.2,6.8,6.2,6.8,2500
2015-11-23,6.8,6.8,6.8,6.8,0
2015-11-24,6.8,6.8,6.8,6.8,0
2015-11-25,5.9,7.2,5.9,7.2,6300
2015-11-26,5.9,6.9,5.9,6.9,3200
2015-11-27,6.7,6.9,6.7,6.9,3100
2015-11-30,5.9,6.8,5.9,6.8,4400
2015-12-01,6.8,6.8,6.8,6.8,0
2015-12-02,6.8,6.8,6.8,6.8,0
2015-12-03,5.4,6.3,5.4,5.9,4400
2015-12-04,5.9,5.9,5.9,5.9,0
2015-12-07,5.9,5.9,5.9,5.9,0
2015-12-08,6.7,6.7,6.7,6.7,200
2015-12-09,6.7,6.7,6.7,6.7,0
2015-12-10,6.7,6.7,6.7,6.7,0
2015-12-11,6.7,6.7,6.7,6.7,0
2015-12-14,6.7,6.7,6.7,6.7,0
2015-12-15,6.7,6.7,6.7,6.7,0
2015-12-16,6.7,6.7,6.7,6.7,0
2015-12-17,6.7,6.7,6.7,6.7,0
2015-12-18,6.7,6.7,6.7,6.7,0
2015-12-21,6.7,6.7,6.7,6.7,0
2015-12-22,6.7,6.7,6.7,6.7,0
2015-12-23,6.7,6.7,6.7,6.7,0
2015-12-24,6.5,7.0,6.3,6.3,11000
2015-12-25,6.3,6.3,6.3,6.3,0
2015-12-28,7.0,7.0,6.2,6.3,4000
2015-12-29,7.0,7.0,6.7,6.7,2000
2015-12-30,6.7,6.7,6.7,6.7,0
2015-12-31,6.7,6.7,6.7,6.7,0
2016-01-04,5.9,5.9,5.9,5.9,1000
2016-01-05,6.2,6.2,5.9,5.9,42300
2016-01-06,6.0,6.0,6.0,6.0,5000
2016-01-07,6.7,6.7,5.9,5.9,6700
2016-01-08,5.9,5.9,5.9,5.9,0
2016-01-11,5.9,5.9,5.9,5.9,3100
2016-01-12,5.9,6.6,5.9,6.6,10100
2016-01-13,6.6,6.6,6.6,6.6,0
2016-01-14,5.9,5.9,5.7,5.7,12300
2016-01-15,6.0,6.0,6.0,6.0,9500
2016-01-18,5.9,5.9,5.9,5.9,2000
2016-01-19,5.9,5.9,5.9,5.9,2800
2016-01-20,5.9,5.9,5.9,5.9,3000
2016-01-21,5.9,5.9,5.9,5.9,15000
2016-01-22,5.9,5.9,5.9,5.9,0
2016-01-25,5.9,6.7,5.9,6.7,6000
2016-01-26,6.1,6.1,6.0,6.1,20000
2016-01-27,6.1,6.1,6.1,6.1,10000
2016-01-28,6.1,6.1,6.1,6.1,3000
2016-01-29,6.1,7.0,6.1,7.0,7500
2016-02-01,6.1,6.1,6.1,6.1,3000
2016-02-02,6.1,6.9,5.9,6.9,13500
2016-02-03,6.1,7.0,6.1,7.0,9000
2016-02-04,6.1,7.4,6.1,7.4,5500
2016-02-05,7.4,7.4,7.4,7.4,0
2016-02-15,7.4,7.4,7.4,7.4,0
2016-02-16,7.4,7.4,7.4,7.4,0
2016-02-17,7.4,7.4,7.4,7.4,0
2016-02-18,6.0,6.0,6.0,6.0,4000
2016-02-19,6.0,6.0,6.0,6.0,0
2016-02-22,6.0,6.0,6.0,6.0,0
2016-02-23,6.0,6.0,6.0,6.0,0
2016-02-24,6.0,6.0,6.0,6.0,0
2016-02-25,5.1,5.1,5.1,5.1,100
2016-02-26,5.8,5.8,5.8,5.8,400
2016-02-29,5.8,6.5,5.8,6.5,900
