time,open,high,low,close,volume
2015-06-26,11.55,11.55,11.55,11.55,100
2015-06-29,11.55,11.55,11.55,11.55,0
2015-06-30,10.41,10.41,10.41,10.41,100
2015-07-01,10.01,10.01,10.01,10.01,300
2015-07-02,10.01,10.01,10.01,10.01,0
2015-07-03,10.01,10.01,10.01,10.01,0
2015-07-06,10.07,10.07,10.07,10.07,100
2015-07-07,10.07,10.07,10.07,10.07,0
2015-07-08,10.07,10.07,10.07,10.07,0
2015-07-09,10.07,10.07,10.07,10.07,0
2015-07-10,10.07,10.07,10.07,10.07,1400
2015-07-13,10.07,10.07,10.07,10.07,500
2015-07-14,10.07,10.07,10.07,10.07,0
2015-07-15,10.07,10.07,10.07,10.07,0
2015-07-16,10.07,10.07,10.07,10.07,0
2015-07-17,9.4,9.4,9.4,9.4,1000
2015-07-20,9.4,9.4,9.4,9.4,0
2015-07-21,9.4,9.4,9.4,9.4,0
2015-07-22,9.4,9.4,9.4,9.4,0
2015-07-23,9.4,9.4,9.4,9.4,0
2015-07-24,9.4,9.4,9.4,9.4,0
2015-07-27,9.4,9.4,9.4,9.4,0
2015-07-28,9.4,9.4,9.4,9.4,0
2015-07-29,9.4,9.4,9.4,9.4,0
2015-07-30,9.13,9.13,9.13,9.13,100
2015-07-31,9.13,9.13,9.13,9.13,0
2015-08-03,9.4,9.4,9.4,9.4,2000
2015-08-04,9.4,9.4,9.4,9.4,0
2015-08-05,9.4,9.4,9.4,9.4,0
2015-08-06,9.4,9.4,9.4,9.4,0
2015-08-07,9.4,9.4,9.4,9.4,0
2015-08-10,9.4,9.4,9.4,9.4,0
2015-08-11,9.4,9.4,9.4,9.4,0
2015-08-12,9.4,9.4,9.4,9.4,0
2015-08-13,9.47,9.47,9.47,9.47,100
2015-08-14,9.47,9.47,9.47,9.47,0
2015-08-17,9.47,9.47,9.47,9.47,0
2015-08-18,9.47,9.47,9.47,9.47,0
2015-08-19,9.47,9.47,9.47,9.47,0
2015-08-20,10.81,10.81,10.81,10.81,100
2015-08-21,12.36,12.36,9.4,9.4,300
2015-08-24,11.89,11.89,9.0,9.0,1700
2015-08-25,10.41,10.41,10.41,10.41,100
2015-08-26,11.89,11.89,11.89,11.89,100
2015-08-27,11.89,11.89,11.89,11.89,0
2015-08-28,11.89,11.89,11.89,11.89,0
2015-08-31,10.14,13.57,10.14,13.57,200
2015-09-01,10.14,12.69,10.14,12.69,200
2015-09-03,9.74,9.74,9.74,9.74,100
2015-09-04,9.74,9.74,9.74,9.74,0
2015-09-07,9.74,9.74,9.74,9.74,0
2015-09-08,9.74,9.74,9.74,9.74,0
2015-09-09,9.74,9.74,9.74,9.74,0
2015-09-10,11.08,11.08,9.74,9.74,300
2015-09-11,9.74,9.74,9.74,9.74,100
2015-09-14,11.08,11.08,11.08,11.08,100
2015-09-15,11.89,11.89,11.89,11.89,100
2015-09-16,11.89,11.89,11.89,11.89,0
2015-09-17,10.14,13.57,10.14,10.14,700
2015-09-18,10.14,10.14,10.14,10.14,0
2015-09-21,11.28,11.28,11.28,11.28,100
2015-09-22,9.6,9.6,9.6,9.6,100
2015-09-23,9.6,9.6,9.6,9.6,0
2015-09-24,9.6,9.6,9.6,9.6,0
2015-09-25,10.95,10.95,10.95,10.95,100
2015-09-28,11.69,11.69,11.69,11.69,100
2015-09-29,9.94,9.94,9.94,9.94,100
2015-09-30,9.94,9.94,9.94,9.94,0
2015-10-01,11.22,11.22,11.22,11.22,100
2015-10-02,9.54,9.74,9.54,9.74,1600
2015-10-05,9.74,9.74,9.74,9.74,0
2015-10-06,9.74,9.74,9.74,9.74,0
2015-10-07,9.74,9.74,9.74,9.74,0
2015-10-08,9.74,9.74,9.74,9.74,0
2015-10-09,11.01,11.01,11.01,11.01,100
2015-10-12,11.01,11.01,11.01,11.01,0
2015-10-13,11.01,11.01,11.01,11.01,0
2015-10-14,11.01,11.01,11.01,11.01,0
2015-10-15,11.89,11.89,11.89,11.89,100
2015-10-16,11.89,11.89,11.89,11.89,0
2015-10-19,11.89,11.89,11.89,11.89,0
2015-10-20,10.14,10.14,10.14,10.14,1700
2015-10-21,10.14,10.14,10.14,10.14,0
2015-10-22,11.55,11.55,11.55,11.55,100
2015-10-23,11.55,11.55,11.55,11.55,0
2015-10-26,11.82,11.82,9.87,9.87,400
2015-10-27,11.69,11.69,9.94,9.94,200
2015-10-28,9.94,9.94,9.94,9.94,0
2015-10-29,9.94,9.94,9.94,9.94,0
2015-10-30,9.94,9.94,9.94,9.94,0
2015-11-02,12.36,12.36,10.68,10.68,600
2015-11-03,10.68,10.68,10.68,10.68,0
2015-11-04,10.68,10.68,10.68,10.68,0
2015-11-05,9.4,9.4,9.4,9.4,100
2015-11-06,8.13,8.13,8.06,8.06,2400
2015-11-09,9.27,9.27,9.27,9.27,100
2015-11-10,9.27,9.27,9.27,9.27,0
2015-11-11,9.27,9.27,9.27,9.27,0
2015-11-12,9.27,9.27,9.27,9.27,0
2015-11-13,9.27,9.27,9.27,9.27,0
2015-11-16,10.01,10.01,10.01,10.01,200
2015-11-17,11.48,11.48,9.74,11.01,800
2015-11-18,11.48,11.48,11.48,11.48,100
2015-11-19,10.07,10.07,9.81,9.81,600
2015-11-20,11.42,11.42,11.42,11.42,100
2015-11-23,10.01,10.01,10.01,10.01,100
2015-11-24,11.35,11.35,11.35,11.35,100
2015-11-25,10.07,10.07,10.07,10.07,100
2015-11-26,10.07,10.07,10.07,10.07,0
2015-11-27,11.55,11.55,11.55,11.55,100
2015-11-30,11.55,11.55,11.55,11.55,0
2015-12-01,11.55,11.55,11.55,11.55,0
2015-12-02,9.87,10.07,9.87,10.07,5100
2015-12-03,10.07,10.07,10.07,10.07,2000
2015-12-04,10.07,10.07,10.07,10.07,0
2015-12-07,10.07,10.07,10.07,10.07,0
2015-12-08,10.07,10.07,10.07,10.07,0
2015-12-09,10.07,10.07,10.07,10.07,0
2015-12-10,10.07,10.07,10.07,10.07,0
2015-12-11,8.66,8.66,8.66,8.66,100
2015-12-14,9.94,9.94,9.94,9.94,100
2015-12-15,8.53,8.53,8.53,8.53,100
2015-12-16,7.52,7.52,7.52,7.52,100
2015-12-17,7.52,7.52,7.52,7.52,0
2015-12-18,7.52,7.52,7.52,7.52,0
2015-12-21,7.52,7.52,7.52,7.52,0
2015-12-22,7.52,7.52,7.52,7.52,0
2015-12-23,7.52,7.52,7.52,7.52,0
2015-12-24,7.52,7.52,7.52,7.52,0
2015-12-25,8.6,8.6,8.6,8.6,2000
2015-12-28,7.46,7.46,7.46,7.46,100
2015-12-29,7.46,7.46,7.46,7.46,0
2015-12-30,7.46,7.46,7.46,7.46,0
2015-12-31,8.53,8.53,8.53,8.53,1000
2016-01-04,9.81,9.81,7.52,7.52,300
2016-01-05,7.12,7.12,7.12,7.12,100
2016-01-06,7.12,7.12,7.12,7.12,0
2016-01-07,7.12,7.12,7.12,7.12,0
2016-01-08,7.12,7.12,7.12,7.12,0
2016-01-11,7.12,7.12,7.12,7.12,0
2016-01-12,7.12,7.12,7.12,7.12,0
2016-01-13,8.13,8.13,8.13,8.13,5000
2016-01-14,7.32,7.32,7.32,7.32,100
2016-01-15,8.4,8.4,8.4,8.4,100
2016-01-18,7.46,7.46,7.46,7.46,100
2016-01-19,8.53,8.53,8.53,8.53,5000
2016-01-20,8.53,8.53,8.53,8.53,0
2016-01-21,7.46,9.74,7.46,8.19,700
2016-01-22,7.59,9.4,7.59,7.99,900
2016-01-25,7.99,7.99,7.99,7.99,0
2016-01-26,10.01,10.01,10.01,10.01,100
2016-01-27,10.01,10.01,10.01,10.01,0
2016-01-28,8.6,8.6,8.6,8.6,100
2016-01-29,7.39,7.39,7.39,7.39,100
2016-02-01,8.46,8.46,8.46,8.46,2000
2016-02-02,7.86,8.66,7.86,8.66,200
2016-02-03,8.66,8.66,8.66,8.66,0
2016-02-04,8.66,8.66,8.66,8.66,0
2016-02-05,8.66,8.66,8.66,8.66,0
2016-02-15,8.66,8.66,8.66,8.66,90
2016-02-16,7.46,7.46,7.46,7.46,100
2016-02-17,8.53,8.53,8.53,8.53,200
2016-02-18,7.52,7.52,7.52,7.52,100
2016-02-19,7.52,7.52,7.52,7.52,0
2016-02-22,8.6,8.6,8.6,8.6,200
2016-02-23,9.74,9.74,9.4,9.4,906
2016-02-24,8.13,8.13,8.13,8.13,100
2016-02-25,9.07,9.27,9.07,9.27,305
2016-02-26,9.27,9.27,9.27,9.27,0
2016-02-29,10.48,10.48,9.07,9.07,5000
2016-03-01,10.41,10.41,9.81,9.81,300
2016-03-02,10.01,10.01,10.01,10.01,200
2016-03-03,11.48,11.48,10.41,10.41,1100
2016-03-04,10.41,10.41,10.41,10.41,20
2016-03-07,12.36,12.36,10.01,10.01,535
2016-03-08,12.49,12.49,9.54,10.01,635
2016-03-09,11.35,11.35,11.35,11.35,100
2016-03-10,9.67,9.67,9.67,9.67,1500
2016-03-11,10.88,10.88,10.88,10.88,130
