time,open,high,low,close,volume
2014-06-24,2.4,2.4,2.31,2.4,10650
2014-06-25,2.37,2.46,2.37,2.46,1410
2014-06-26,2.4,2.43,2.31,2.43,14330
2014-06-27,2.46,2.46,2.43,2.43,20
2014-06-30,2.46,2.46,2.46,2.46,10
2014-07-01,2.37,2.37,2.34,2.34,3010
2014-07-02,2.34,2.43,2.34,2.43,1020
2014-07-03,2.46,2.46,2.46,2.46,20
2014-07-04,2.4,2.46,2.37,2.46,3030
2014-07-07,2.46,2.46,2.37,2.37,960
2014-07-08,2.46,2.46,2.4,2.4,610
2014-07-09,2.46,2.46,2.4,2.4,1010
2014-07-10,2.37,2.4,2.37,2.4,1060
2014-07-11,2.37,2.37,2.34,2.37,11000
2014-07-14,2.37,2.37,2.31,2.31,7300
2014-07-15,2.31,2.37,2.31,2.37,12220
2014-07-16,2.37,2.37,2.31,2.37,1310
2014-07-17,2.46,2.46,2.46,2.46,10
2014-07-18,2.46,2.46,2.46,2.46,600
2014-07-21,2.4,2.4,2.37,2.37,370
2014-07-22,2.31,2.37,2.31,2.37,820
2014-07-23,2.46,2.46,2.4,2.4,3010
2014-07-24,2.43,2.43,2.43,2.43,10
2014-07-25,2.34,2.34,2.34,2.34,3510
2014-07-28,2.31,2.43,2.31,2.43,1110
2014-07-29,2.28,2.28,2.28,2.28,2000
2014-07-30,2.43,2.43,2.28,2.28,1810
2014-07-31,2.4,2.4,2.4,2.4,10
2014-08-01,2.34,2.4,2.31,2.4,1730
2014-08-04,2.34,2.34,2.34,2.34,10
2014-08-05,2.34,2.4,2.34,2.4,1820
2014-08-06,2.34,2.37,2.34,2.34,10200
2014-08-07,2.34,2.37,2.31,2.37,2200
2014-08-08,2.37,2.37,2.37,2.37,1200
2014-08-11,2.37,2.37,2.34,2.37,1160
2014-08-12,2.37,2.37,2.37,2.37,10
2014-08-13,2.37,2.37,2.37,2.37,0
2014-08-14,2.37,2.37,2.34,2.34,1280
2014-08-15,2.34,2.34,2.34,2.34,1550
2014-08-18,2.31,2.37,2.31,2.37,3580
2014-08-19,2.37,2.37,2.34,2.34,4100
2014-08-20,2.34,2.34,2.31,2.34,6810
2014-08-21,2.37,2.37,2.34,2.34,10040
2014-08-22,2.34,2.37,2.34,2.37,8360
2014-08-25,2.37,2.4,2.34,2.4,11070
2014-08-26,2.4,2.43,2.4,2.4,20420
2014-08-27,2.4,2.4,2.4,2.4,12250
2014-08-28,2.4,2.43,2.4,2.4,8810
2014-08-29,2.4,2.46,2.4,2.46,9120
2014-09-03,2.46,2.46,2.46,2.46,13200
2014-09-04,2.46,2.46,2.46,2.46,6550
2014-09-05,2.52,2.52,2.49,2.49,1020
2014-09-08,2.43,2.49,2.43,2.49,22770
2014-09-09,2.46,2.46,2.46,2.46,4540
2014-09-10,2.43,2.46,2.43,2.46,510
2014-09-11,2.4,2.46,2.4,2.46,5760
2014-09-12,2.49,2.49,2.49,2.49,10
2014-09-15,2.49,2.49,2.46,2.46,10100
2014-09-16,2.46,2.46,2.46,2.46,4300
2014-09-17,2.46,2.46,2.43,2.46,7250
2014-09-18,2.4,2.46,2.4,2.46,16050
2014-09-19,2.43,2.46,2.43,2.46,4010
2014-09-22,2.46,2.46,2.4,2.46,1400
2014-09-23,2.4,2.46,2.4,2.46,3760
2014-09-24,2.46,2.46,2.4,2.4,1030
2014-09-25,2.37,2.46,2.37,2.43,10580
2014-09-26,2.43,2.49,2.43,2.49,12170
2014-09-29,2.46,2.49,2.46,2.49,6000
2014-09-30,2.49,2.49,2.46,2.49,7520
2014-10-01,2.46,2.49,2.46,2.49,20970
2014-10-02,2.49,2.49,2.46,2.49,2650
2014-10-03,2.46,2.52,2.46,2.49,22820
2014-10-06,2.52,2.52,2.52,2.52,14780
2014-10-07,2.55,2.55,2.49,2.55,7320
2014-10-08,2.55,2.55,2.52,2.55,8400
2014-10-09,2.55,2.55,2.52,2.55,22550
2014-10-10,2.52,2.55,2.52,2.55,450
2014-10-13,2.55,2.55,2.55,2.55,0
2014-10-14,2.58,2.58,2.55,2.55,14650
2014-10-15,2.58,2.58,2.49,2.55,6260
2014-10-16,2.52,2.52,2.4,2.4,8500
2014-10-17,2.46,2.55,2.43,2.43,830
2014-10-20,2.55,2.55,2.43,2.43,1010
2014-10-21,2.43,2.49,2.43,2.43,3780
2014-10-22,2.46,2.52,2.43,2.43,4260
2014-10-23,2.46,2.46,2.43,2.43,7480
2014-10-24,2.43,2.46,2.43,2.46,1010
2014-10-27,2.43,2.49,2.4,2.4,370
2014-10-28,2.43,2.43,2.43,2.43,1300
2014-10-29,2.49,2.52,2.49,2.52,10010
2014-10-30,2.46,2.52,2.46,2.52,360
2014-10-31,2.49,2.52,2.49,2.49,2490
2014-11-03,2.49,2.49,2.49,2.49,0
2014-11-04,2.46,2.52,2.46,2.52,1420
2014-11-05,2.49,2.49,2.49,2.49,18050
2014-11-06,2.52,2.52,2.49,2.52,14800
2014-11-07,2.49,2.52,2.49,2.52,930
2014-11-10,2.49,2.55,2.49,2.55,14090
2014-11-11,2.52,2.52,2.52,2.52,3200
2014-11-12,2.52,2.55,2.52,2.55,38910
2014-11-13,2.52,2.55,2.52,2.55,13840
2014-11-14,2.55,2.55,2.55,2.55,980
2014-11-17,2.52,2.55,2.52,2.52,7550
2014-11-18,2.52,2.52,2.52,2.52,10300
2014-11-19,2.52,2.52,2.52,2.52,2530
2014-11-20,2.52,2.52,2.52,2.52,0
2014-11-21,2.49,2.49,2.49,2.49,2630
2014-11-24,2.49,2.52,2.49,2.52,2490
2014-11-25,2.52,2.52,2.52,2.52,12650
2014-11-26,2.55,2.58,2.52,2.52,18940
2014-11-27,2.52,2.55,2.52,2.52,66020
2014-11-28,2.52,2.55,2.52,2.52,71630
2014-12-01,2.58,2.68,2.55,2.68,72210
2014-12-02,2.83,2.83,2.77,2.77,25620
2014-12-03,2.8,2.8,2.71,2.8,38880
2014-12-04,2.74,2.8,2.68,2.8,101100
2014-12-05,2.77,2.83,2.7,2.7,4180
