time,open,high,low,close,volume
2014-07-10,6.05,6.14,6.02,6.11,1099900
2014-07-11,6.05,6.16,6.05,6.16,374460
2014-07-14,6.08,6.31,6.08,6.31,555870
2014-07-15,6.31,6.48,6.31,6.45,716230
2014-07-16,6.54,6.6,6.48,6.51,763390
2014-07-17,6.51,6.66,6.48,6.66,699990
2014-07-18,6.69,6.89,6.66,6.89,976970
2014-07-21,6.95,6.97,6.89,6.97,1248780
2014-07-22,6.95,6.95,6.86,6.89,937130
2014-07-23,7.04,7.04,6.95,7.04,790090
2014-07-24,7.04,7.13,7.04,7.13,506470
2014-07-25,7.1,7.16,7.07,7.07,499630
2014-07-28,6.98,6.98,6.59,6.59,785780
2014-07-29,6.71,6.71,6.32,6.53,259280
2014-07-30,6.38,6.53,6.38,6.44,298560
2014-07-31,6.41,6.59,6.41,6.53,254910
2014-08-01,6.56,6.59,6.47,6.56,363290
2014-08-04,6.59,6.59,6.41,6.53,132330
2014-08-05,6.53,6.68,6.5,6.68,424680
2014-08-06,6.71,6.83,6.71,6.77,506830
2014-08-07,6.74,6.83,6.74,6.8,882910
2014-08-08,6.83,6.86,6.74,6.74,621160
2014-08-11,6.59,6.68,6.41,6.47,821400
2014-08-12,6.44,6.44,6.23,6.29,1007110
2014-08-13,6.2,6.26,6.14,6.17,828830
2014-08-14,6.14,6.26,6.14,6.26,775300
2014-08-15,6.26,6.26,6.2,6.2,397950
2014-08-18,6.17,6.2,6.08,6.08,837200
2014-08-19,6.05,6.17,6.05,6.05,646760
2014-08-20,6.05,6.11,6.05,6.11,248760
2014-08-21,6.11,6.29,6.11,6.2,823460
2014-08-22,6.23,6.44,6.23,6.44,718270
2014-08-25,6.44,6.74,6.44,6.56,783400
2014-08-26,6.5,6.56,6.41,6.53,761890
2014-08-27,6.44,6.53,6.41,6.44,393030
2014-08-28,6.44,6.68,6.41,6.59,1205030
2014-08-29,6.65,6.65,6.5,6.56,787010
2014-09-03,6.71,6.89,6.68,6.89,1132810
2014-09-04,6.77,6.92,6.77,6.89,614050
2014-09-05,6.98,7.07,6.95,7.04,746780
2014-09-08,7.1,7.19,7.07,7.07,738590
2014-09-09,7.07,7.16,6.8,6.92,1067580
2014-09-10,6.95,7.01,6.71,6.95,449020
2014-09-11,6.92,7.04,6.92,6.98,231670
2014-09-12,6.98,6.98,6.89,6.98,345390
2014-09-15,7.31,7.45,7.31,7.45,1984310
2014-09-16,7.45,7.87,7.45,7.69,1165670
2014-09-17,7.84,7.87,7.39,7.39,578590
2014-09-18,7.45,7.63,7.45,7.57,795210
2014-09-19,7.6,8.08,7.51,8.08,5740860
2014-09-22,8.02,8.02,7.75,7.75,1272280
2014-09-23,7.75,7.84,7.75,7.75,689010
2014-09-24,7.69,7.69,7.37,7.37,1033660
2014-09-25,7.42,7.45,7.25,7.37,786350
2014-09-26,7.37,7.57,7.37,7.54,213160
2014-09-29,7.48,7.54,7.42,7.42,166500
2014-09-30,7.39,7.54,7.31,7.54,273370
2014-10-01,7.78,7.78,7.6,7.6,307230
2014-10-02,7.51,7.6,7.51,7.6,323470
2014-10-03,7.6,7.87,7.6,7.75,422250
2014-10-06,7.75,7.93,7.69,7.81,629790
2014-10-07,7.78,7.81,7.66,7.75,180460
2014-10-08,7.66,7.72,7.6,7.69,354570
2014-10-09,7.69,7.75,7.31,7.31,218170
2014-10-10,7.48,7.54,7.34,7.37,313240
2014-10-13,7.45,7.45,7.34,7.39,130590
2014-10-14,7.37,7.42,7.19,7.19,283660
2014-10-15,7.19,7.28,7.04,7.16,199520
2014-10-16,7.04,7.16,6.86,6.95,617650
2014-10-17,7.07,7.07,6.71,6.83,681810
2014-10-20,6.86,7.1,6.86,7.1,354320
2014-10-21,7.01,7.1,6.95,7.04,312820
2014-10-22,7.07,7.22,7.07,7.22,438870
2014-10-23,7.19,7.22,7.13,7.16,353360
2014-10-24,7.28,7.28,7.04,7.16,59580
2014-10-27,7.1,7.1,6.8,6.8,199720
2014-10-28,6.8,6.92,6.8,6.92,168360
2014-10-29,6.86,7.13,6.86,7.04,69390
2014-10-30,7.07,7.28,7.07,7.19,421110
2014-10-31,7.19,7.66,7.16,7.51,691690
2014-11-03,7.72,7.75,7.51,7.51,516330
2014-11-04,7.54,7.66,7.45,7.51,405000
2014-11-05,7.45,7.57,7.45,7.45,486710
2014-11-06,7.48,7.57,7.48,7.51,196300
2014-11-07,7.54,7.66,7.48,7.66,313330
2014-11-10,7.69,7.69,7.63,7.63,134560
2014-11-11,7.48,7.63,7.48,7.51,172690
2014-11-12,7.51,7.6,7.51,7.57,86550
2014-11-13,7.57,7.57,7.45,7.48,139210
2014-11-14,7.42,7.48,7.28,7.42,271290
2014-11-17,7.34,7.42,7.34,7.39,89380
2014-11-18,7.34,7.39,7.28,7.28,210070
2014-11-19,7.31,7.37,7.25,7.28,141290
2014-11-20,7.31,7.57,7.31,7.54,190460
2014-11-21,7.54,7.57,7.45,7.45,159620
2014-11-24,7.39,7.45,7.28,7.39,110930
2014-11-25,7.34,7.48,7.34,7.42,176210
2014-11-26,7.42,7.75,7.42,7.48,433600
2014-11-27,7.48,7.6,7.37,7.6,100410
2014-11-28,7.6,7.6,7.45,7.48,69810
2014-12-01,7.51,7.6,7.45,7.51,135390
2014-12-02,7.51,7.54,7.45,7.51,77120
2014-12-03,7.51,7.69,7.51,7.6,204180
2014-12-04,7.57,7.72,7.57,7.69,305920
2014-12-05,7.75,8.02,7.66,7.99,811030
2014-12-08,7.99,8.17,7.99,8.08,706870
2014-12-09,8.05,8.11,7.93,7.99,787360
2014-12-10,7.87,8.53,7.87,8.53,924720
2014-12-11,8.38,8.71,8.35,8.41,816460
2014-12-12,8.41,8.5,8.32,8.41,189090
2014-12-15,8.35,8.35,7.99,8.02,1004770
2014-12-16,7.93,7.93,7.72,7.72,634020
2014-12-17,7.75,7.9,7.28,7.54,922980
2014-12-18,7.54,7.72,7.37,7.6,1246560
2014-12-19,7.6,7.9,7.51,7.51,3083080
