time,open,high,low,close,volume
2014-07-08,3.6,3.66,3.6,3.66,26700
2014-07-09,3.63,3.66,3.6,3.66,34200
2014-07-10,3.66,3.66,3.63,3.63,26100
2014-07-11,3.92,3.96,3.47,3.47,41400
2014-07-14,3.47,3.54,3.47,3.54,14300
2014-07-15,3.51,3.54,3.51,3.54,5200
2014-07-16,3.54,3.61,3.54,3.61,8000
2014-07-17,3.61,3.61,3.58,3.61,4900
2014-07-18,3.61,3.65,3.58,3.65,6600
2014-07-21,3.65,3.65,3.44,3.44,24200
2014-07-22,3.51,3.65,3.51,3.65,1600
2014-07-23,3.65,3.65,3.65,3.65,15000
2014-07-24,3.61,3.61,3.58,3.61,13000
2014-07-25,3.58,3.61,3.58,3.58,14500
2014-07-28,3.58,3.58,3.54,3.54,19900
2014-07-29,3.58,3.58,3.54,3.54,16800
2014-07-30,3.58,3.58,3.54,3.54,14200
2014-07-31,3.54,3.58,3.54,3.58,3500
2014-08-01,3.54,3.54,3.54,3.54,1000
2014-08-04,3.54,3.54,3.54,3.54,500
2014-08-05,3.54,3.54,3.54,3.54,11100
2014-08-06,3.54,3.61,3.54,3.61,15702
2014-08-07,3.61,3.61,3.61,3.61,1900
2014-08-08,3.61,3.61,3.61,3.61,2400
2014-08-11,3.61,3.61,3.54,3.61,13500
2014-08-12,3.61,3.61,3.61,3.61,3000
2014-08-13,3.58,3.58,3.58,3.58,7500
2014-08-14,3.61,3.65,3.61,3.61,2500
2014-08-15,3.61,3.68,3.61,3.65,10700
2014-08-18,3.68,3.68,3.65,3.65,8400
2014-08-19,3.65,3.65,3.61,3.65,11800
2014-08-20,3.65,3.65,3.61,3.61,8000
2014-08-21,3.61,3.61,3.61,3.61,6502
2014-08-22,3.61,3.61,3.61,3.61,16900
2014-08-25,3.61,3.65,3.61,3.65,19300
2014-08-26,3.61,3.72,3.61,3.61,31400
2014-08-27,3.61,3.72,3.61,3.72,37110
2014-08-28,3.68,3.68,3.65,3.68,7100
2014-08-29,3.65,3.65,3.61,3.65,5500
2014-09-03,3.68,3.68,3.65,3.65,25500
2014-09-04,3.65,3.65,3.61,3.61,27200
2014-09-05,3.65,3.68,3.61,3.61,31300
2014-09-08,3.65,3.68,3.65,3.68,32200
2014-09-09,3.68,3.68,3.61,3.61,33600
2014-09-10,3.65,3.65,3.58,3.61,15900
2014-09-11,3.68,3.92,3.68,3.85,25800
2014-09-12,3.89,3.96,3.89,3.92,24400
2014-09-15,3.92,3.96,3.89,3.89,15400
2014-09-16,3.89,3.89,3.89,3.89,8600
2014-09-17,3.89,3.89,3.78,3.78,13300
2014-09-18,3.75,3.78,3.75,3.75,17000
2014-09-19,3.78,3.78,3.61,3.75,4300
2014-09-22,3.75,3.75,3.75,3.75,0
2014-09-23,3.72,3.85,3.72,3.85,13500
2014-09-24,3.78,3.78,3.78,3.78,15500
2014-09-25,3.78,3.78,3.78,3.78,3010
2014-09-26,3.78,3.78,3.75,3.75,10500
2014-09-29,3.75,3.78,3.75,3.78,6100
2014-09-30,3.78,3.78,3.78,3.78,3400
2014-10-01,3.82,3.82,3.82,3.82,200
2014-10-02,3.82,3.82,3.78,3.78,3600
2014-10-03,3.78,3.78,3.75,3.75,7800
2014-10-06,3.75,3.75,3.75,3.75,0
2014-10-07,3.68,3.72,3.68,3.68,8400
2014-10-08,3.68,3.78,3.65,3.78,23000
2014-10-09,3.78,3.78,3.78,3.78,1200
2014-10-10,3.78,3.78,3.75,3.78,6100
2014-10-13,3.78,3.78,3.78,3.78,5000
2014-10-14,3.75,3.75,3.75,3.75,100
2014-10-15,3.65,3.65,3.65,3.65,100
2014-10-16,3.96,3.96,3.92,3.92,2100
2014-10-17,3.82,3.82,3.75,3.75,3000
2014-10-20,3.75,3.75,3.75,3.75,0
2014-10-21,3.78,3.78,3.78,3.78,100
2014-10-22,3.72,3.75,3.72,3.75,2100
2014-10-23,3.72,3.72,3.65,3.65,4800
2014-10-24,3.54,3.92,3.54,3.92,13700
2014-10-27,3.92,3.92,3.78,3.85,6000
2014-10-28,3.85,3.85,3.82,3.85,5100
2014-10-29,3.85,3.85,3.85,3.85,100
2014-10-30,3.51,3.78,3.51,3.78,4300
2014-10-31,3.78,3.78,3.78,3.78,4000
2014-11-03,3.78,3.78,3.78,3.78,0
2014-11-04,3.85,3.85,3.85,3.85,3000
2014-11-05,3.75,3.75,3.75,3.75,5000
2014-11-06,3.75,3.75,3.75,3.75,9900
2014-11-07,3.75,3.75,3.75,3.75,1400
2014-11-10,3.75,3.75,3.75,3.75,6400
2014-11-11,3.75,3.75,3.75,3.75,1100
2014-11-12,3.75,3.75,3.75,3.75,10800
2014-11-13,3.75,3.75,3.75,3.75,400
2014-11-14,3.75,3.75,3.72,3.75,2600
2014-11-17,3.72,3.72,3.72,3.72,3500
2014-11-18,3.72,3.72,3.72,3.72,2900
