time,open,high,low,close,volume
2015-06-26,5.44,5.44,5.44,5.44,0
2015-06-29,5.44,5.44,5.44,5.44,0
2015-06-30,5.44,5.44,5.44,5.44,0
2015-07-01,5.49,5.49,4.99,5.44,700
2015-07-02,4.94,5.29,4.94,5.29,300
2015-07-03,5.29,5.29,5.29,5.29,0
2015-07-06,5.29,5.29,5.29,5.29,0
2015-07-07,5.04,5.04,5.04,5.04,200
2015-07-08,5.34,5.34,5.34,5.34,100
2015-07-09,5.04,5.34,4.84,5.34,4200
2015-07-10,5.04,5.04,5.04,5.04,500
2015-07-13,4.78,5.04,4.78,5.04,3600
2015-07-14,5.04,5.04,5.04,5.04,2200
2015-07-15,5.24,5.24,5.04,5.04,1700
2015-07-16,4.78,5.04,4.78,5.04,400
2015-07-17,5.29,5.29,4.78,5.24,1700
2015-07-20,5.24,5.24,5.24,5.24,0
2015-07-21,5.29,5.29,5.29,5.29,100
2015-07-22,5.29,5.29,5.29,5.29,0
2015-07-23,5.29,5.29,5.29,5.29,0
2015-07-24,5.24,5.24,5.04,5.24,15400
2015-07-27,5.04,5.69,5.04,5.69,2900
2015-07-28,5.69,5.69,5.69,5.69,0
2015-07-29,5.69,5.69,5.69,5.69,0
2015-07-30,5.29,5.29,5.24,5.24,200
2015-07-31,5.24,5.24,5.24,5.24,0
2015-08-03,5.24,5.24,5.24,5.24,0
2015-08-04,5.24,5.24,5.24,5.24,60
2015-08-05,5.24,5.24,5.24,5.24,0
2015-08-06,5.24,5.24,5.24,5.24,0
2015-08-07,5.09,5.09,5.09,5.09,1000
2015-08-10,5.09,5.09,5.04,5.04,2100
2015-08-11,5.04,5.09,5.04,5.04,3200
2015-08-12,5.04,5.04,5.04,5.04,100
2015-08-13,4.94,5.04,4.94,5.04,400
2015-08-14,5.04,5.04,5.04,5.04,0
2015-08-17,5.04,5.04,5.04,5.04,0
2015-08-18,5.29,5.29,5.24,5.24,4500
2015-08-19,5.24,5.24,5.24,5.24,0
2015-08-20,5.24,5.24,5.24,5.24,2000
2015-08-21,5.24,5.24,5.04,5.04,10300
2015-08-24,5.04,5.04,4.78,4.78,9100
2015-08-25,4.33,5.04,4.33,5.04,2060
2015-08-26,5.24,5.24,5.24,5.24,100
2015-08-27,5.24,5.24,5.24,5.24,0
2015-08-28,5.04,5.04,5.04,5.04,100
2015-08-31,4.94,4.94,4.94,4.94,500
2015-09-01,4.94,4.94,4.94,4.94,60
2015-09-03,5.04,5.04,5.04,5.04,100
2015-09-04,5.04,5.04,5.04,5.04,600
2015-09-07,4.99,5.04,4.89,4.89,2900
2015-09-08,5.09,5.09,5.09,5.09,200
2015-09-09,5.09,5.09,5.09,5.09,0
2015-09-10,5.04,5.04,5.04,5.04,8200
2015-09-11,5.29,5.29,5.29,5.29,100
2015-09-14,5.04,5.24,5.04,5.24,1150
2015-09-15,5.24,5.24,5.24,5.24,100
2015-09-16,5.04,5.04,5.04,5.04,1800
2015-09-17,5.49,5.49,5.04,5.04,2898
2015-09-18,4.94,5.04,4.94,5.04,3200
2015-09-21,4.94,5.04,4.89,5.04,8600
2015-09-22,5.04,5.04,5.04,5.04,0
2015-09-23,5.49,5.49,5.49,5.49,100
2015-09-24,5.49,5.49,5.49,5.49,0
2015-09-25,4.99,4.99,4.99,4.99,1100
2015-09-28,5.04,5.04,5.04,5.04,100
2015-09-29,5.49,5.49,5.49,5.49,100
2015-09-30,5.49,5.49,5.49,5.49,0
2015-10-01,5.04,5.04,5.04,5.04,5000
2015-10-02,5.04,5.04,5.04,5.04,0
2015-10-05,5.04,5.04,5.04,5.04,0
2015-10-06,5.04,5.04,5.04,5.04,0
2015-10-07,5.04,5.04,5.04,5.04,3300
2015-10-08,5.29,5.29,5.29,5.29,130
2015-10-09,5.49,5.49,5.29,5.29,2100
2015-10-12,5.04,5.04,5.04,5.04,5000
2015-10-13,5.29,5.29,5.29,5.29,100
2015-10-14,5.29,5.29,5.29,5.29,0
2015-10-15,5.29,5.29,5.29,5.29,0
2015-10-16,5.29,5.29,5.29,5.29,0
2015-10-19,5.04,5.04,5.04,5.04,8000
2015-10-20,5.29,5.29,5.29,5.29,100
2015-10-21,5.29,5.29,5.29,5.29,0
2015-10-22,5.04,5.04,5.04,5.04,2100
2015-10-23,4.94,4.94,4.94,4.94,3000
2015-10-26,4.78,4.78,4.78,4.78,100
2015-10-27,4.78,5.04,4.78,5.04,5200
2015-10-28,4.94,4.94,4.94,4.94,2500
2015-10-29,4.94,4.94,4.94,4.94,0
2015-10-30,5.04,5.04,5.04,5.04,100
2015-11-02,5.04,5.04,5.04,5.04,0
2015-11-03,5.04,5.04,5.04,5.04,50
2015-11-04,5.04,5.09,5.04,5.09,900
2015-11-05,5.09,5.09,5.09,5.09,0
2015-11-06,5.09,5.09,5.09,5.09,0
2015-11-09,5.09,5.09,5.09,5.09,5500
2015-11-10,5.09,5.09,5.09,5.09,50
2015-11-11,5.09,5.09,5.09,5.09,0
2015-11-12,5.09,5.09,5.09,5.09,100
2015-11-13,5.09,5.09,5.09,5.09,0
2015-11-16,5.09,5.09,5.09,5.09,400
2015-11-17,5.09,5.09,5.09,5.09,0
2015-11-18,5.29,5.29,5.14,5.29,750
2015-11-19,5.14,5.14,5.14,5.14,120
2015-11-20,5.14,5.14,5.14,5.14,0
2015-11-23,5.29,5.29,5.29,5.29,100
2015-11-24,5.29,5.29,5.29,5.29,0
2015-11-25,5.79,5.79,5.79,5.79,1945
2015-11-26,5.79,5.79,5.79,5.79,0
2015-11-27,5.49,5.49,5.49,5.49,606
2015-11-30,5.54,5.54,5.54,5.54,100
2015-12-01,6.09,6.09,6.09,6.09,100
2015-12-02,6.09,6.09,6.09,6.09,0
2015-12-03,6.45,6.45,6.45,6.45,100
2015-12-04,7.05,7.05,7.05,7.05,100
2015-12-07,7.45,7.76,6.35,7.05,500
2015-12-08,7.05,7.2,7.05,7.2,200
2015-12-09,7.2,7.2,7.2,7.2,0
2015-12-10,7.2,7.2,7.2,7.2,0
2015-12-11,7.15,7.5,7.15,7.5,200
2015-12-14,7.5,7.5,7.5,7.5,0
2015-12-15,7.5,7.5,7.5,7.5,0
2015-12-16,7.5,7.5,7.5,7.5,0
2015-12-17,7.45,7.66,7.45,7.66,300
2015-12-18,7.61,7.71,7.61,7.71,200
2015-12-21,7.66,7.71,7.66,7.71,200
2015-12-22,7.66,7.66,7.66,7.66,100
2015-12-23,7.66,7.66,7.66,7.66,0
2015-12-24,7.66,7.96,7.66,7.96,200
