time,open,high,low,close,volume
2015-06-26,7.44,7.59,7.44,7.59,10200
2015-06-29,7.44,7.74,7.44,7.67,42800
2015-06-30,7.59,7.74,7.44,7.74,12600
2015-07-01,7.67,7.67,7.59,7.67,12700
2015-07-02,7.67,7.82,7.67,7.74,18900
2015-07-03,7.82,7.82,7.82,7.82,10500
2015-07-06,7.82,7.89,7.67,7.74,10200
2015-07-07,7.67,7.67,7.59,7.67,42000
2015-07-08,7.89,7.89,7.82,7.89,4100
2015-07-09,7.82,7.82,7.51,7.51,12300
2015-07-10,7.59,7.59,7.59,7.59,12500
2015-07-13,7.74,7.74,7.74,7.74,100
2015-07-14,7.59,7.59,7.59,7.59,7400
2015-07-15,7.51,7.51,7.51,7.51,1500
2015-07-16,7.44,7.44,7.36,7.36,11700
2015-07-17,7.44,7.44,7.36,7.36,1600
2015-07-20,7.59,7.59,7.59,7.59,100
2015-07-21,7.59,7.59,7.59,7.59,0
2015-07-22,7.59,7.59,7.59,7.59,0
2015-07-23,7.29,7.44,7.21,7.21,4600
2015-07-24,7.44,7.44,7.44,7.44,200
2015-07-27,7.44,7.44,7.44,7.44,1000
2015-07-28,7.29,7.29,7.29,7.29,15300
2015-07-29,7.29,7.29,7.29,7.29,5700
2015-07-30,7.29,7.29,7.29,7.29,0
2015-07-31,7.29,7.29,7.29,7.29,0
2015-08-03,7.21,7.21,7.21,7.21,4000
2015-08-04,7.21,7.21,7.21,7.21,100
2015-08-05,7.06,7.21,6.45,7.21,2800
2015-08-06,7.44,7.44,7.44,7.44,200
2015-08-07,7.21,7.29,6.91,7.29,3100
2015-08-10,7.36,7.36,7.36,7.36,100
2015-08-11,7.36,7.36,7.36,7.36,0
2015-08-12,7.21,7.21,7.21,7.21,2600
2015-08-13,7.13,7.13,6.83,6.83,2400
2015-08-14,7.06,7.06,7.06,7.06,200
2015-08-17,6.83,6.83,6.83,6.83,1200
2015-08-18,6.83,6.83,6.83,6.83,3500
2015-08-19,6.68,6.68,6.68,6.68,1700
2015-08-20,6.68,6.68,6.68,6.68,800
2015-08-21,6.6,6.68,6.53,6.53,5500
2015-08-24,6.53,6.53,6.07,6.3,13300
2015-08-25,6.3,6.3,6.3,6.3,2600
2015-08-26,6.45,6.6,6.3,6.3,7200
2015-08-27,6.75,6.83,6.75,6.83,400
2015-08-28,6.6,6.6,6.22,6.6,8400
2015-08-31,6.45,6.45,6.45,6.45,12400
2015-09-01,6.53,6.53,6.53,6.53,5300
2015-09-03,6.53,6.53,6.53,6.53,0
2015-09-04,6.53,6.53,6.53,6.53,0
2015-09-07,6.53,6.53,6.53,6.53,0
2015-09-08,6.53,6.53,6.53,6.53,0
2015-09-09,6.83,6.83,6.83,6.83,1700
2015-09-10,6.83,6.83,6.83,6.83,300
2015-09-11,6.83,6.83,6.83,6.83,30000
2015-09-14,6.83,6.83,6.68,6.75,24200
2015-09-15,6.75,6.83,6.75,6.83,7500
2015-09-16,6.83,6.83,6.83,6.83,7900
2015-09-17,6.75,6.83,6.75,6.75,14400
2015-09-18,6.75,6.75,6.75,6.75,0
2015-09-21,6.6,6.6,6.6,6.6,100
2015-09-22,6.6,6.6,6.6,6.6,0
2015-09-23,6.75,6.75,6.75,6.75,2400
2015-09-24,6.75,6.75,6.75,6.75,0
2015-09-25,6.83,7.21,6.83,7.13,4500
2015-09-28,6.98,6.98,6.98,6.98,200
2015-09-29,6.91,6.91,6.91,6.91,100
2015-09-30,6.91,6.91,6.91,6.91,0
2015-10-01,6.83,6.83,6.83,6.83,21600
2015-10-02,6.83,6.83,6.83,6.83,0
2015-10-05,6.83,6.83,6.83,6.83,14000
2015-10-06,6.83,6.91,6.83,6.83,19400
2015-10-07,6.83,6.83,6.83,6.83,17000
2015-10-08,6.83,6.83,6.83,6.83,6200
2015-10-09,6.75,6.75,6.75,6.75,4800
2015-10-12,6.83,6.91,6.83,6.91,12800
2015-10-13,6.91,6.91,6.83,6.83,5900
2015-10-14,6.83,6.91,6.75,6.91,8200
2015-10-15,6.91,6.98,6.91,6.98,12440
2015-10-16,6.98,7.06,6.98,6.98,18200
2015-10-19,6.91,6.91,6.83,6.91,28000
2015-10-20,6.91,6.91,6.91,6.91,0
2015-10-21,6.91,7.06,6.91,7.06,2900
2015-10-22,6.98,6.98,6.98,6.98,9500
2015-10-23,6.98,7.06,6.98,7.06,3400
2015-10-26,7.21,7.36,7.21,7.36,11900
2015-10-27,7.21,7.51,7.21,7.51,10600
2015-10-28,7.51,7.74,7.51,7.74,20500
2015-10-29,7.74,7.97,7.59,7.59,22000
2015-10-30,7.51,7.74,7.51,7.59,12300
2015-11-02,7.67,7.82,7.59,7.59,9200
2015-11-03,7.51,7.51,7.51,7.51,2200
2015-11-04,7.44,7.44,7.29,7.29,6000
2015-11-05,7.29,7.59,7.21,7.29,8500
2015-11-06,7.29,7.59,7.29,7.59,8400
2015-11-09,7.59,7.59,7.59,7.59,0
2015-11-10,7.44,7.44,7.44,7.44,8200
2015-11-11,7.36,7.44,7.21,7.44,6200
2015-11-12,7.29,7.29,7.29,7.29,16400
2015-11-13,7.29,7.59,7.21,7.59,13300
2015-11-16,7.36,7.44,7.36,7.36,13000
2015-11-17,7.36,7.36,7.36,7.36,0
2015-11-18,7.36,7.36,7.36,7.36,800
2015-11-19,7.29,7.36,7.29,7.36,5300
2015-11-20,7.21,7.21,7.21,7.21,2400
2015-11-23,7.44,7.44,7.29,7.29,8500
2015-11-24,7.36,7.36,7.29,7.29,10800
2015-11-25,7.36,7.36,7.21,7.21,4800
2015-11-26,7.29,7.29,7.29,7.29,1000
2015-11-27,7.29,7.29,7.21,7.21,22800
2015-11-30,7.13,7.29,7.13,7.21,17000
2015-12-01,7.21,7.21,7.06,7.21,6900
2015-12-02,7.29,7.29,7.21,7.21,11200
2015-12-03,7.44,7.44,7.44,7.44,6400
2015-12-04,7.29,7.29,7.29,7.29,5400
2015-12-07,7.21,7.21,6.83,7.21,1400
2015-12-08,7.21,7.36,7.21,7.36,5900
2015-12-09,7.21,7.21,7.21,7.21,500
2015-12-10,7.29,7.29,7.29,7.29,2000
2015-12-11,7.29,7.29,7.29,7.29,6500
2015-12-14,7.29,7.29,7.29,7.29,19300
2015-12-15,7.29,7.36,7.21,7.21,8000
2015-12-16,7.29,7.29,7.21,7.21,9000
2015-12-17,7.29,7.29,7.21,7.21,5400
2015-12-18,7.29,7.29,7.21,7.29,13300
2015-12-21,7.29,7.44,7.29,7.29,5200
2015-12-22,7.29,7.29,7.21,7.21,8600
2015-12-23,7.21,7.21,7.13,7.13,4000
2015-12-24,7.21,7.21,7.21,7.21,3700
2015-12-25,7.29,7.29,7.21,7.29,4000
2015-12-28,7.21,7.29,7.21,7.21,5500
2015-12-29,7.21,7.29,7.21,7.21,12500
2015-12-30,7.21,7.29,7.21,7.29,14600
2015-12-31,7.29,7.29,7.29,7.29,2800
2016-01-04,7.36,7.36,7.21,7.21,14100
2016-01-05,7.36,7.44,7.36,7.36,4700
2016-01-06,7.36,7.36,7.29,7.29,2000
2016-01-07,7.36,7.36,6.3,7.29,9980
2016-01-08,7.21,7.29,7.21,7.21,15730
2016-01-11,7.29,7.29,7.29,7.29,100
2016-01-12,6.98,7.21,6.98,7.21,5300
2016-01-13,7.13,7.13,7.13,7.13,5000
2016-01-14,7.13,7.13,7.13,7.13,4500
2016-01-15,7.13,7.13,7.13,7.13,7000
2016-01-18,7.06,7.06,7.06,7.06,1100
2016-01-19,7.06,7.06,7.06,7.06,5400
2016-01-20,7.06,7.06,7.06,7.06,0
2016-01-21,7.06,7.06,7.06,7.06,2400
2016-01-22,7.06,7.06,7.06,7.06,0
2016-01-25,7.13,7.13,7.06,7.06,1100
2016-01-26,7.06,7.06,7.06,7.06,0
2016-01-27,7.06,7.29,7.06,7.29,18100
2016-01-28,7.29,7.29,7.29,7.29,8400
2016-01-29,7.36,7.36,7.29,7.29,5500
2016-02-01,7.36,7.36,7.36,7.36,5000
2016-02-02,7.36,7.59,7.36,7.59,4200
2016-02-03,7.59,7.59,7.59,7.59,200
2016-02-04,7.59,7.59,7.59,7.59,5000
2016-02-05,7.36,7.36,7.36,7.36,100
2016-02-15,7.44,7.59,7.36,7.59,8900
2016-02-16,7.51,7.51,7.36,7.36,3300
2016-02-17,7.36,7.51,7.36,7.51,12400
2016-02-18,7.51,7.51,7.51,7.51,500
2016-02-19,7.44,7.44,7.36,7.36,4800
2016-02-22,7.29,7.36,7.29,7.36,3200
2016-02-23,7.36,7.36,7.36,7.36,0
2016-02-24,7.29,7.29,7.29,7.29,100
2016-02-25,7.29,7.29,7.21,7.29,8900
2016-02-26,7.29,7.29,7.29,7.29,0
2016-02-29,7.13,7.29,7.13,7.29,51100
2016-03-01,7.29,7.29,7.29,7.29,11100
2016-03-02,7.29,7.29,7.29,7.29,9900
2016-03-03,7.36,7.36,7.36,7.36,20200
2016-03-04,7.29,7.36,7.29,7.36,4000
2016-03-07,7.36,7.44,7.36,7.44,7500
2016-03-08,7.59,7.67,7.44,7.67,20800
2016-03-09,7.67,7.67,7.67,7.67,0
2016-03-10,7.59,7.59,7.36,7.36,1100
2016-03-11,7.36,7.51,7.36,7.51,9000
2016-03-14,7.44,7.59,7.36,7.59,37700
2016-03-15,7.67,7.74,7.67,7.74,11500
2016-03-16,7.82,8.73,7.82,8.35,43900
2016-03-17,8.35,8.35,8.35,8.35,13300
2016-03-18,8.42,8.73,8.42,8.65,48000
2016-03-21,8.58,8.8,8.58,8.65,17500
2016-03-22,8.58,8.58,8.27,8.27,53600
2016-03-23,8.35,8.42,8.27,8.27,23100
2016-03-24,8.2,8.35,8.12,8.2,28200
2016-03-25,8.35,8.35,8.35,8.35,10000
2016-03-28,8.2,8.35,8.2,8.35,10400
2016-03-29,8.35,9.49,8.35,9.49,142000
2016-03-30,9.87,10.17,9.87,10.17,62500
2016-03-31,10.25,10.63,9.64,9.94,66000
2016-04-01,9.79,9.79,8.88,9.18,78000
2016-04-04,8.73,9.18,8.58,8.58,43500
2016-04-05,9.11,9.11,8.65,9.11,8400
2016-04-06,9.11,9.87,8.88,9.34,19500
2016-04-07,9.34,9.49,9.26,9.26,7800
2016-04-08,9.26,9.26,8.73,8.73,16300
2016-04-11,8.88,9.11,8.88,9.11,6900
2016-04-12,8.88,9.03,8.58,8.58,17100
2016-04-13,8.73,8.96,8.5,8.96,7000
2016-04-14,8.73,8.73,8.73,8.73,7200
2016-04-15,8.58,8.58,8.42,8.5,20200
2016-04-19,8.5,8.8,8.5,8.8,27400
2016-04-20,8.5,8.58,8.5,8.5,7100
2016-04-21,8.73,8.73,8.5,8.5,2200
2016-04-22,8.5,8.65,8.42,8.42,16600
2016-04-25,8.65,8.65,8.2,8.5,16000
2016-04-26,8.5,8.5,8.5,8.5,1500
2016-04-27,8.5,8.5,8.35,8.35,1000
2016-04-28,8.42,8.42,8.2,8.2,7900
2016-04-29,8.73,8.73,8.35,8.35,7300
2016-05-04,8.35,8.35,8.35,8.35,5500
2016-05-05,8.35,8.35,8.35,8.35,14400
2016-05-06,8.35,8.35,8.2,8.35,13700
2016-05-09,8.35,8.35,8.2,8.2,3400
2016-05-10,8.2,8.2,8.2,8.2,0
2016-05-11,8.35,8.35,8.12,8.12,10500
2016-05-12,8.12,8.12,8.12,8.12,0
2016-05-13,8.12,8.12,8.12,8.12,0
2016-05-16,8.12,8.12,8.12,8.12,0
2016-05-17,7.97,8.2,7.59,7.97,7600
2016-05-18,7.97,8.73,7.89,8.35,15300
2016-05-19,8.5,8.5,8.35,8.35,3900
2016-05-20,8.12,8.2,7.97,8.2,400
2016-05-23,8.05,8.35,7.97,8.35,19000
2016-05-24,8.12,8.35,8.12,8.35,9000
2016-05-25,8.35,8.5,8.12,8.35,16300
2016-05-26,8.5,8.5,8.42,8.5,7900
2016-05-27,8.27,8.96,8.2,8.88,20400
2016-05-30,8.73,8.73,8.73,8.73,3800
2016-05-31,8.65,8.88,8.58,8.88,3800
2016-06-01,8.73,8.73,8.73,8.73,10800
2016-06-02,8.73,8.88,8.73,8.88,5300
2016-06-03,8.73,8.88,8.73,8.88,16700
2016-06-06,8.96,9.03,8.8,9.03,68600
2016-06-07,8.96,9.03,8.88,9.03,9700
2016-06-08,9.03,9.56,9.03,9.26,37400
2016-06-09,9.26,9.94,9.26,9.64,54900
2016-06-10,9.79,9.79,9.49,9.49,1200
2016-06-13,9.56,9.56,9.56,9.56,27000
2016-06-14,9.49,9.49,9.26,9.49,30700
2016-06-15,9.41,9.94,9.41,9.87,59600
2016-06-16,9.87,9.87,9.71,9.71,31200
2016-06-17,9.64,9.64,9.49,9.49,3400
2016-06-20,9.56,9.56,9.56,9.56,2400
2016-06-21,9.56,9.56,9.18,9.49,62800
2016-06-22,9.34,9.49,9.18,9.49,17600
2016-06-23,9.34,9.49,9.34,9.49,8500
2016-06-24,9.49,9.49,9.34,9.41,97500
2016-06-27,9.34,9.34,9.34,9.34,5000
2016-06-28,9.34,9.49,9.26,9.41,31100
2016-06-29,9.41,9.49,9.41,9.49,25400
2016-06-30,9.56,9.64,9.56,9.56,56800
2016-07-01,9.56,9.56,9.56,9.56,0
2016-07-04,9.41,9.49,9.34,9.41,5100
2016-07-05,9.41,9.49,9.41,9.49,20100
2016-07-06,9.41,9.41,9.34,9.34,4400
2016-07-07,9.34,9.49,9.34,9.34,28900
2016-07-08,9.34,9.34,9.34,9.34,500
2016-07-11,9.26,9.26,9.11,9.11,7700
2016-07-12,9.11,9.49,9.11,9.49,11700
2016-07-13,9.34,9.34,9.11,9.11,23800
2016-07-14,9.03,9.11,9.03,9.11,2900
2016-07-15,8.96,8.96,8.96,8.96,12800
2016-07-18,8.88,9.34,8.73,9.34,11700
2016-07-19,9.26,9.26,9.26,9.26,1500
2016-07-20,9.26,9.26,9.26,9.26,0
2016-07-21,9.26,9.26,9.03,9.11,16200
2016-07-22,9.11,9.11,9.11,9.11,8000
2016-07-25,9.11,9.11,8.88,9.11,15800
2016-07-26,9.11,9.18,8.96,9.18,57500
2016-07-27,9.11,9.11,9.11,9.11,25500
2016-07-28,8.88,8.96,8.88,8.88,4800
2016-07-29,9.11,9.26,9.11,9.18,14200
2016-08-01,9.18,9.18,9.18,9.18,15000
2016-08-02,9.18,9.18,9.18,9.18,0
2016-08-03,8.88,8.88,8.73,8.8,600
2016-08-04,8.8,9.11,8.8,9.11,16600
2016-08-05,9.03,9.11,9.03,9.11,41800
2016-08-08,9.18,9.18,9.18,9.18,15000
2016-08-09,9.11,9.26,9.11,9.18,12200
2016-08-10,9.11,9.18,9.11,9.18,25800
2016-08-11,9.18,9.18,9.18,9.18,0
2016-08-12,9.03,9.03,9.03,0.0,100
2016-08-15,9.11,9.11,9.11,9.11,11700
2016-08-16,9.11,9.11,9.11,9.11,4800
2016-08-17,9.11,9.11,9.11,9.11,0
2016-08-18,9.11,9.11,9.11,9.11,17900
2016-08-19,9.11,9.11,9.03,9.11,18600
2016-08-22,9.11,9.11,8.73,8.96,22200
2016-08-23,8.88,8.96,8.8,8.96,2500
2016-08-24,8.88,8.88,8.8,8.8,25800
2016-08-25,9.03,9.03,9.03,9.03,18400
2016-08-26,8.8,9.03,8.73,9.03,9700
2016-08-29,9.03,9.03,9.03,9.03,0
2016-08-30,9.03,9.03,9.03,9.03,0
2016-08-31,9.03,9.03,9.03,9.03,0
