time,open,high,low,close,volume
2012-11-14,4.6,4.7,4.5,4.6,148000
2012-11-15,4.5,4.6,4.4,4.5,151900
2012-11-16,4.5,4.6,4.5,4.6,197600
2012-11-19,4.7,4.7,4.5,4.5,48300
2012-11-20,4.5,4.6,4.5,4.6,201200
2012-11-21,4.5,4.5,4.4,4.4,197000
2012-11-22,4.4,4.6,4.4,4.6,162100
2012-11-23,4.5,4.5,4.4,4.5,94800
2012-11-26,4.5,4.5,4.3,4.4,119300
2012-11-27,4.4,4.4,4.3,4.3,155800
2012-11-28,4.3,4.3,4.2,4.3,123300
2012-11-29,4.3,4.5,4.3,4.4,79900
2012-11-30,4.4,4.4,4.3,4.3,60500
2012-12-03,4.3,4.3,4.3,4.3,63200
2012-12-04,4.3,4.6,4.3,4.6,390900
2012-12-05,4.7,4.9,4.7,4.9,973000
2012-12-06,4.8,5.0,4.7,4.9,493900
2012-12-07,4.8,5.2,4.8,5.1,641400
2012-12-10,5.1,5.4,5.0,5.4,571700
2012-12-11,5.4,5.4,5.1,5.2,769600
2012-12-12,5.4,5.5,5.1,5.5,646600
2012-12-13,5.5,5.5,5.1,5.3,548700
2012-12-14,5.2,5.3,5.1,5.3,579200
2012-12-17,5.2,5.5,5.1,5.5,783700
2012-12-18,5.5,5.5,5.2,5.2,367700
2012-12-19,5.3,5.5,5.3,5.5,886900
2012-12-20,5.6,5.6,5.3,5.4,509900
2012-12-21,5.3,5.3,5.1,5.1,291200
2012-12-24,5.2,5.4,5.2,5.3,301300
2012-12-25,5.4,5.4,5.2,5.2,390900
2012-12-26,5.3,5.5,5.3,5.5,1056500
2012-12-27,5.8,5.8,5.8,5.8,349900
2012-12-28,6.2,6.2,6.1,6.2,876800
2013-01-02,6.6,6.6,6.6,6.6,121400
2013-01-03,7.0,7.0,6.6,7.0,3037700
2013-01-04,6.8,7.3,6.6,7.3,1093800
2013-01-07,7.3,7.4,6.7,6.7,488100
2013-01-08,6.8,7.0,6.4,6.9,1014600
2013-01-09,7.0,7.3,6.5,6.8,1833700
2013-01-10,6.8,7.3,6.7,7.2,719200
2013-01-11,7.3,7.5,6.9,7.1,687500
2013-01-14,6.9,7.4,6.8,7.4,1144100
2013-01-15,7.5,7.7,7.3,7.6,776100
2013-01-16,8.1,8.3,7.3,7.4,977700
2013-01-17,7.3,7.5,6.9,7.0,891100
2013-01-18,7.0,7.1,6.8,6.9,566000
2013-01-21,7.0,7.1,6.8,6.8,223200
2013-01-22,6.8,6.9,6.3,6.4,597800
2013-01-23,6.5,6.8,6.3,6.6,319800
2013-01-24,6.4,6.5,6.0,6.4,1669200
2013-01-25,6.4,6.6,6.2,6.5,699000
2013-01-28,6.5,6.8,6.4,6.6,769600
2013-01-29,6.4,6.5,6.3,6.5,960000
2013-01-30,6.4,6.6,6.3,6.5,772800
2013-01-31,6.5,7.1,6.4,6.8,1458800
2013-02-01,6.7,6.8,6.5,6.8,723300
2013-02-04,6.9,6.9,6.6,6.7,443300
2013-02-05,6.6,6.6,6.4,6.4,399700
2013-02-06,6.4,6.7,6.4,6.7,237500
2013-02-07,6.7,7.2,6.6,7.2,1318900
2013-02-08,7.1,7.4,7.0,7.3,603400
2013-02-18,7.3,7.5,7.1,7.2,409100
2013-02-19,7.1,7.3,7.0,7.0,689500
2013-02-20,7.0,7.3,7.0,7.3,694200
2013-02-21,7.1,7.2,6.5,6.5,1089400
2013-02-22,6.3,6.7,6.1,6.4,734700
