time,open,high,low,close,volume
2015-06-26,27.55,28.08,27.55,27.55,652350
2015-06-29,27.55,28.61,27.28,28.34,1084650
2015-06-30,28.08,28.34,27.81,27.81,467890
2015-07-01,27.81,28.34,27.55,28.08,298040
2015-07-02,28.08,28.61,27.81,28.61,758180
2015-07-03,28.87,28.87,28.34,28.87,785700
2015-07-06,29.14,30.72,29.14,30.72,2544920
2015-07-07,30.72,31.25,30.19,30.19,1168920
2015-07-08,29.93,30.19,29.14,29.14,1228530
2015-07-09,28.87,29.4,28.34,29.14,945840
2015-07-10,29.4,29.93,28.87,29.4,637470
2015-07-13,29.4,30.99,29.14,30.99,1662730
2015-07-14,30.72,30.72,29.4,29.4,828280
2015-07-15,30.05,30.05,29.3,29.3,917660
2015-07-16,29.18,29.24,28.55,28.67,518270
2015-07-17,28.8,28.93,28.11,28.17,589950
2015-07-20,27.74,27.86,27.11,27.42,722010
2015-07-21,27.23,27.8,27.23,27.49,348130
2015-07-22,27.42,27.61,27.36,27.61,294940
2015-07-23,27.61,28.36,27.55,28.17,491900
2015-07-24,28.17,28.8,28.17,28.55,533090
2015-07-27,28.55,28.67,28.36,28.49,642110
2015-07-28,28.24,28.24,27.67,27.74,730070
2015-07-29,27.55,27.86,27.55,27.61,727150
2015-07-30,27.92,27.92,27.61,27.74,318690
2015-07-31,27.74,27.92,27.49,27.49,398830
2015-08-03,27.23,27.23,26.73,26.98,698860
2015-08-04,26.67,26.98,26.61,26.86,423980
2015-08-05,26.67,27.11,26.67,27.11,245970
2015-08-06,26.92,27.11,26.92,27.11,247200
2015-08-07,26.98,27.05,26.8,26.86,311220
2015-08-10,26.73,26.86,26.67,26.8,321470
2015-08-11,26.92,26.98,26.67,26.73,881330
2015-08-12,26.73,26.73,26.05,26.05,789130
2015-08-13,26.05,26.05,25.04,25.11,766480
2015-08-14,25.04,25.29,24.54,24.67,597750
2015-08-17,24.67,24.79,23.17,23.85,950400
2015-08-18,23.54,23.85,23.48,23.85,416850
2015-08-19,23.67,23.67,22.73,23.04,1251210
2015-08-20,22.79,22.85,21.47,21.47,2058590
2015-08-21,21.29,21.35,20.03,20.72,1354530
2015-08-24,20.35,20.35,19.28,19.28,1047380
2015-08-25,18.72,19.91,18.72,19.72,1669010
2015-08-26,19.72,21.1,19.72,21.1,1117430
2015-08-27,21.6,22.48,21.47,22.16,1535450
2015-08-28,23.23,23.67,22.66,23.67,2118560
2015-08-31,23.79,24.04,22.35,22.73,1276040
2015-09-01,23.29,23.48,22.35,22.35,1232940
2015-09-03,21.91,22.41,21.47,21.79,1039860
2015-09-04,21.91,22.29,21.85,21.91,712930
2015-09-07,21.79,21.91,21.54,21.6,486440
2015-09-08,21.41,21.85,21.29,21.6,600840
2015-09-09,22.1,22.48,21.91,21.91,664320
2015-09-10,21.66,21.85,21.6,21.73,352330
2015-09-11,21.91,22.23,21.73,21.85,571930
2015-09-14,21.66,21.79,21.41,21.47,512030
2015-09-15,21.29,21.91,21.29,21.54,363130
2015-09-16,21.91,21.98,21.6,21.73,401290
2015-09-17,22.23,22.66,22.1,22.29,1481180
2015-09-18,22.54,22.85,22.16,22.48,1434910
2015-09-21,22.23,22.54,22.04,22.48,637790
2015-09-22,22.6,22.73,22.23,22.29,1083020
2015-09-23,22.16,22.6,22.1,22.54,605940
2015-09-24,22.48,22.48,22.1,22.16,725370
2015-09-25,22.1,22.29,21.85,21.98,1014230
2015-09-28,21.98,22.04,21.54,21.54,731550
2015-09-29,21.41,21.54,21.1,21.41,735680
2015-09-30,21.6,21.66,21.41,21.41,439560
2015-10-01,21.41,21.73,21.41,21.54,269500
2015-10-02,21.54,21.54,21.29,21.41,379990
2015-10-05,21.35,22.1,21.35,21.85,708880
2015-10-06,22.23,22.73,22.16,22.54,1466580
2015-10-07,23.17,23.98,23.17,23.42,2687700
2015-10-08,23.42,23.48,23.1,23.35,1204820
2015-10-09,23.92,24.1,23.73,23.73,1638040
2015-10-12,23.73,24.17,23.54,24.04,1173820
2015-10-13,23.6,23.73,23.42,23.48,1469960
2015-10-14,23.23,23.79,23.1,23.42,1361740
2015-10-15,23.29,23.48,23.23,23.35,404070
2015-10-16,23.67,23.67,23.23,23.23,656930
2015-10-19,23.17,23.48,23.17,23.23,483850
2015-10-20,23.17,23.17,22.79,22.85,948120
2015-10-21,22.73,23.1,22.66,22.85,784930
2015-10-22,22.79,23.04,22.79,22.85,352560
2015-10-23,22.85,23.29,22.85,23.1,725750
2015-10-26,23.04,23.04,22.79,22.85,500490
2015-10-27,22.6,22.79,22.54,22.54,562020
2015-10-28,22.6,22.66,22.29,22.35,632640
2015-10-29,22.85,22.98,22.48,22.54,842570
2015-10-30,22.73,23.04,22.41,23.04,874700
2015-11-02,23.04,23.04,22.66,22.66,332370
2015-11-03,22.66,22.79,22.48,22.6,329970
2015-11-04,23.04,23.04,22.66,22.73,673690
2015-11-05,22.54,22.73,22.54,22.6,478690
2015-11-06,22.48,22.73,22.29,22.35,508830
2015-11-09,22.29,22.35,22.04,22.04,429060
2015-11-10,21.91,22.04,21.73,21.73,485780
2015-11-11,21.66,21.66,21.41,21.47,465120
2015-11-12,21.41,21.47,21.04,21.16,1276260
2015-11-13,20.79,20.85,20.54,20.79,1040200
2015-11-16,20.66,20.66,20.35,20.35,673700
2015-11-17,20.66,21.16,20.66,20.85,378240
2015-11-18,20.72,20.79,20.6,20.66,158580
2015-11-19,20.85,21.1,20.66,20.97,497580
2015-11-20,20.79,21.04,20.79,20.97,166110
2015-11-23,20.85,20.85,20.66,20.66,366300
2015-11-24,20.91,20.91,20.6,20.6,474520
2015-11-25,20.72,20.91,20.54,20.6,720650
