time,open,high,low,close,volume
2013-06-13,3.6,3.6,3.4,3.6,414900
2013-06-14,3.6,3.7,3.5,3.5,436200
2013-06-17,3.7,3.8,3.6,3.6,2650600
2013-06-18,3.6,3.7,3.6,3.7,550000
2013-06-19,3.7,3.7,3.5,3.6,328900
2013-06-20,3.5,3.6,3.3,3.4,1576300
2013-06-21,3.3,3.4,3.3,3.4,125200
2013-06-24,3.5,3.5,3.2,3.3,395800
2013-06-25,3.3,3.3,3.0,3.1,779100
2013-06-26,3.1,3.2,3.1,3.2,458400
2013-06-27,3.3,3.4,3.2,3.3,741000
2013-06-28,3.3,3.4,3.2,3.3,327600
2013-07-01,3.2,3.2,3.1,3.2,159700
2013-07-02,3.2,3.3,3.2,3.3,306700
2013-07-03,3.2,3.3,3.1,3.2,290400
2013-07-04,3.2,3.3,3.1,3.1,171900
2013-07-05,3.2,3.2,3.1,3.2,256100
2013-07-08,3.2,3.2,3.1,3.2,287600
2013-07-09,3.2,3.2,3.1,3.1,60400
2013-07-10,3.2,3.2,3.0,3.1,339800
2013-07-11,3.1,3.2,3.0,3.2,295800
2013-07-12,3.2,3.3,3.1,3.3,519600
2013-07-15,3.2,3.3,3.1,3.2,162300
2013-07-16,3.2,3.2,3.1,3.2,113300
2013-07-17,3.1,3.2,3.1,3.2,293600
2013-07-18,3.2,3.2,3.1,3.2,125200
2013-07-19,3.1,3.2,3.0,3.1,632100
2013-07-22,3.2,3.2,3.0,3.1,56500
2013-07-23,3.0,3.1,3.0,3.1,220600
2013-07-24,3.1,3.1,2.8,2.9,449900
2013-07-25,2.8,3.0,2.8,2.9,211200
2013-07-26,2.8,3.0,2.8,2.9,435100
2013-07-29,2.9,2.9,2.7,2.9,323500
2013-07-30,2.9,2.9,2.8,2.9,428900
2013-07-31,2.8,2.9,2.8,2.8,229600
2013-08-01,2.7,2.9,2.7,2.9,140400
2013-08-02,2.8,3.0,2.8,3.0,486800
2013-08-05,2.9,3.0,2.8,2.8,198700
2013-08-06,2.9,2.9,2.8,2.9,180700
2013-08-07,2.8,2.9,2.8,2.9,258300
