time,open,high,low,close,volume
2016-12-20,7.78,7.78,7.78,7.78,1000
2016-12-21,8.94,8.94,8.94,8.94,3000
2016-12-22,10.25,10.25,10.25,10.25,6900
2016-12-23,11.77,11.77,10.4,10.5,7200
2016-12-26,11.87,11.87,9.85,9.85,1500
2016-12-27,9.49,9.49,9.49,9.49,500
2016-12-28,9.49,9.49,9.49,9.49,0
2016-12-29,9.49,9.49,9.49,9.49,0
2016-12-30,8.08,8.08,8.08,8.08,100
2017-01-03,8.08,8.08,8.08,8.08,0
2017-01-04,8.08,8.08,8.08,8.08,0
2017-01-05,6.87,6.87,6.87,6.87,3700
2017-01-06,6.87,6.87,6.87,6.87,0
2017-01-09,6.87,6.87,6.87,6.87,0
2017-01-10,6.87,6.87,6.87,6.87,0
2017-01-11,6.87,6.87,6.87,6.87,0
2017-01-12,6.87,6.87,6.87,6.87,0
2017-01-13,6.87,6.87,6.87,6.87,0
2017-01-16,6.87,6.87,6.87,6.87,0
2017-01-17,6.87,6.87,6.87,6.87,0
2017-01-18,6.87,6.87,6.87,6.87,0
2017-01-19,6.87,6.87,6.87,6.87,0
2017-01-20,6.87,6.87,6.87,6.87,0
2017-01-23,6.87,6.87,6.87,6.87,0
2017-01-24,5.86,5.86,5.86,5.86,200
2017-01-25,5.0,5.0,5.0,5.0,200
2017-02-02,5.0,5.0,5.0,5.0,0
2017-02-03,5.0,5.0,5.0,5.0,0
2017-02-06,4.29,4.29,4.29,4.29,100
2017-02-07,3.69,3.69,3.69,3.69,100
2017-02-08,3.18,3.18,3.18,3.18,4800
2017-02-09,3.64,3.64,3.18,3.18,4700
2017-02-10,3.64,3.64,3.18,3.18,200
2017-02-13,3.28,3.28,3.28,3.28,2000
2017-02-14,3.28,3.28,3.28,3.28,100
2017-02-15,3.03,3.74,3.03,3.74,2800
2017-02-16,3.53,3.53,3.53,3.53,600
2017-02-17,4.04,4.04,4.04,4.04,100
2017-02-20,4.54,4.65,4.54,4.65,500
2017-02-21,4.59,4.59,4.54,4.59,3400
2017-02-22,4.59,4.59,4.59,4.59,0
2017-02-23,3.94,3.94,3.94,3.94,300
2017-02-24,3.38,3.38,3.38,3.38,3000
2017-02-27,3.89,3.89,3.89,3.89,500
2017-02-28,4.44,4.44,4.44,4.44,200
2017-03-01,4.44,4.44,4.44,4.44,0
2017-03-02,4.39,4.39,4.29,4.29,6200
2017-03-03,4.29,4.29,4.29,4.29,0
2017-03-06,4.04,4.04,3.74,3.74,3000
2017-03-07,4.34,4.34,4.34,4.34,200
2017-03-08,4.34,4.34,4.34,4.34,0
2017-03-09,3.79,3.79,3.79,3.79,100
2017-03-10,4.29,4.29,4.29,4.29,100
2017-03-13,4.29,4.29,4.29,4.29,0
2017-03-14,4.59,4.59,4.59,4.59,100
2017-03-15,4.59,4.59,4.59,4.59,0
2017-03-16,4.59,4.59,4.59,4.59,0
2017-03-17,4.59,4.59,4.59,4.59,0
2017-03-20,4.59,4.59,4.59,4.59,0
2017-03-21,4.59,4.59,4.59,4.59,0
2017-03-22,3.94,4.54,3.94,4.54,2000
2017-03-23,4.14,4.14,4.14,4.14,0
2017-03-24,3.53,3.99,3.53,3.99,800
2017-03-27,3.28,3.99,3.28,3.94,1300
2017-03-28,4.14,4.14,4.14,4.14,300
2017-03-29,4.54,4.54,4.24,4.24,200
2017-03-30,4.49,4.49,4.49,4.49,140
2017-03-31,4.49,4.49,4.49,4.49,0
2017-04-03,4.49,4.49,4.49,4.49,0
2017-04-04,4.49,4.49,4.49,4.49,0
2017-04-05,4.49,4.49,4.49,4.49,40
2017-04-07,4.49,4.49,4.49,4.49,0
2017-04-10,4.49,4.49,4.49,4.49,0
2017-04-11,4.49,4.49,4.49,4.49,0
2017-04-12,4.49,4.49,4.49,4.49,0
2017-04-13,4.49,4.49,4.49,4.49,0
2017-04-14,4.49,4.49,4.49,4.49,0
2017-04-17,4.49,4.49,4.49,4.49,0
2017-04-18,4.49,4.49,4.49,4.49,0
2017-04-19,4.49,4.49,4.49,4.49,0
2017-04-20,4.49,4.49,4.49,4.49,0
2017-04-21,4.49,4.49,4.49,4.49,0
2017-04-24,4.49,4.49,4.49,4.49,0
2017-04-25,4.49,4.49,4.49,4.49,0
2017-04-26,4.49,4.49,4.49,4.49,0
2017-04-27,4.04,4.49,3.84,3.84,1300
2017-04-28,4.44,4.44,3.48,3.48,5700
2017-05-03,3.74,3.74,3.74,3.74,0
2017-05-04,3.53,3.53,3.53,3.53,500
2017-05-05,3.53,3.53,3.53,3.53,0
2017-05-08,3.99,3.99,3.99,3.99,500
2017-05-09,3.43,3.43,3.43,3.43,8300
2017-05-10,3.89,3.89,3.89,3.89,500
2017-05-11,3.89,3.89,3.89,3.89,0
2017-05-12,3.89,3.89,3.89,3.89,0
2017-05-15,3.89,3.89,3.89,3.89,0
2017-05-16,3.53,3.53,3.53,3.53,500
2017-05-17,3.99,3.99,3.03,3.03,300
2017-05-18,3.53,3.53,3.28,3.28,1400
2017-05-19,2.88,3.38,2.88,3.38,1800
2017-05-22,3.38,3.38,3.38,3.38,300
2017-05-23,3.84,3.84,3.84,3.84,200
2017-05-24,3.84,3.84,3.84,3.84,0
2017-05-25,3.84,3.84,3.84,3.84,0
2017-05-26,3.84,3.84,3.84,3.84,0
2017-05-29,3.84,3.84,3.84,3.84,0
2017-05-30,3.84,4.29,3.84,4.29,1600
2017-05-31,3.43,4.29,3.43,4.24,2000
2017-06-01,3.99,3.99,3.99,3.99,0
2017-06-02,3.99,3.99,3.99,3.99,0
2017-06-05,3.99,3.99,3.99,3.99,0
2017-06-06,3.99,3.99,3.99,3.99,0
2017-06-07,3.99,3.99,3.99,3.99,0
2017-06-08,3.99,3.99,3.99,3.99,0
2017-06-09,3.99,3.99,3.99,3.99,0
2017-06-12,3.99,3.99,3.99,3.99,0
2017-06-13,3.99,3.99,3.99,3.99,0
2017-06-14,3.99,3.99,3.99,3.99,0
2017-06-15,3.99,3.99,3.99,3.99,0
2017-06-16,3.99,3.99,3.99,3.99,0
2017-06-19,3.99,3.99,3.99,3.99,0
2017-06-20,3.99,3.99,3.99,3.99,0
2017-06-21,3.99,3.99,3.99,3.99,0
2017-06-22,3.99,3.99,3.99,3.99,0
2017-06-23,3.99,3.99,3.99,3.99,0
2017-06-26,3.99,3.99,3.99,3.99,0
2017-06-27,3.99,3.99,3.99,3.99,0
2017-06-28,3.99,3.99,3.99,3.99,0
2017-06-29,3.84,4.54,3.84,4.49,2000
2017-06-30,4.54,4.54,4.54,4.54,500
2017-07-03,4.54,4.54,4.54,4.54,0
2017-07-04,4.54,4.54,4.54,4.54,0
2017-07-05,4.54,4.54,4.54,4.54,0
2017-07-06,4.54,4.54,4.54,4.54,0
2017-07-07,4.54,4.54,4.54,4.54,0
2017-07-10,4.54,4.54,4.54,4.54,0
2017-07-11,4.54,4.54,4.54,4.54,0
2017-07-12,4.54,4.54,4.54,4.54,0
2017-07-13,4.54,4.54,4.54,4.54,0
2017-07-14,4.54,4.54,4.54,4.54,0
2017-07-17,4.54,4.54,4.54,4.54,0
2017-07-18,4.54,4.54,4.54,4.54,0
2017-07-19,4.54,4.54,4.54,4.54,0
2017-07-20,4.54,4.54,4.54,4.54,0
2017-07-21,4.54,4.54,4.54,4.54,0
2017-07-24,4.54,4.54,4.54,4.54,0
2017-07-25,4.54,4.54,4.54,4.54,0
2017-07-26,4.54,4.54,4.54,4.54,0
2017-07-27,4.54,4.54,4.54,4.54,0
2017-07-28,3.89,3.89,3.89,3.89,100
2017-07-31,3.33,4.04,3.33,4.04,1400
