time,open,high,low,close,volume
2015-06-26,3.2,3.3,3.2,3.3,11900
2015-06-29,3.2,3.3,3.2,3.3,1366
2015-06-30,3.2,3.3,3.2,3.3,12434
2015-07-01,3.3,3.3,3.3,3.3,25400
2015-07-02,3.3,3.3,3.3,3.3,19300
2015-07-03,3.3,3.4,3.3,3.3,50850
2015-07-06,3.3,3.3,3.0,3.3,38310
2015-07-07,3.2,3.2,3.0,3.0,76300
2015-07-08,3.1,3.3,3.1,3.3,5800
2015-07-09,3.2,3.4,3.1,3.4,15500
2015-07-10,3.2,3.3,3.2,3.3,60400
2015-07-13,3.3,3.3,3.2,3.2,21000
2015-07-14,3.2,3.3,3.2,3.3,11400
2015-07-15,3.2,3.2,3.2,3.2,1600
2015-07-16,3.3,3.3,3.3,3.3,58900
2015-07-17,3.3,3.3,3.3,3.3,10400
2015-07-20,3.2,3.2,3.2,3.2,12400
2015-07-21,3.2,3.2,3.2,3.2,6100
2015-07-22,3.1,3.2,3.0,3.2,8700
2015-07-23,3.2,3.2,3.0,3.2,8500
2015-07-24,3.1,3.1,3.1,3.1,1000
2015-07-27,2.8,3.0,2.8,3.0,700
2015-07-28,2.9,3.1,2.7,3.0,20300
2015-07-29,3.0,3.0,3.0,3.0,0
2015-07-30,3.0,3.2,2.8,3.1,13500
2015-07-31,2.9,3.0,2.9,2.9,21700
2015-08-03,3.0,3.0,3.0,3.0,10000
2015-08-04,3.0,3.0,3.0,3.0,9500
2015-08-05,3.0,3.0,2.8,2.8,9000
2015-08-06,3.0,3.0,3.0,3.0,100
2015-08-07,3.0,3.0,3.0,3.0,30700
2015-08-10,3.0,3.0,3.0,3.0,40700
2015-08-11,3.0,3.0,3.0,3.0,26700
2015-08-12,2.7,3.2,2.7,3.1,55100
2015-08-13,3.1,3.1,3.1,3.1,0
2015-08-14,3.0,3.2,3.0,3.1,41800
2015-08-17,3.1,3.2,3.1,3.2,12200
2015-08-18,3.2,3.2,3.2,3.2,23500
2015-08-19,3.2,3.3,3.2,3.2,13400
