time,open,high,low,close,volume
2013-06-07,1.43,1.52,1.43,1.52,74000
2013-06-10,1.52,1.52,1.43,1.52,116500
2013-06-11,1.52,1.52,1.43,1.52,33600
2013-06-12,1.43,1.52,1.43,1.52,54600
2013-06-13,1.33,1.43,1.33,1.43,39900
2013-06-14,1.33,1.43,1.33,1.33,25000
2013-06-17,1.33,1.43,1.33,1.43,39400
2013-06-18,1.33,1.43,1.33,1.43,33500
2013-06-19,1.33,1.43,1.33,1.33,33800
2013-06-20,1.43,1.43,1.33,1.33,24300
2013-06-21,1.33,1.33,1.24,1.33,2100
2013-06-24,1.43,1.43,1.33,1.33,16300
2013-06-25,1.24,1.43,1.24,1.33,32300
2013-06-26,1.33,1.33,1.24,1.24,9700
2013-06-27,1.24,1.33,1.24,1.33,51700
2013-06-28,1.33,1.33,1.24,1.33,6800
2013-07-01,1.33,1.33,1.33,1.33,4300
2013-07-02,1.24,1.33,1.24,1.24,12100
2013-07-03,1.24,1.33,1.24,1.33,60300
2013-07-04,1.33,1.33,1.24,1.33,1300
2013-07-05,1.24,1.33,1.24,1.33,10100
2013-07-08,1.24,1.33,1.24,1.33,13900
2013-07-09,1.24,1.33,1.24,1.33,6800
2013-07-10,1.24,1.33,1.24,1.33,23800
2013-07-11,1.24,1.33,1.24,1.33,64100
2013-07-12,1.24,1.24,1.14,1.24,300
2013-07-15,1.33,1.33,1.24,1.24,12100
2013-07-16,1.24,1.24,1.14,1.24,8400
2013-07-17,1.14,1.24,1.14,1.24,35200
2013-07-18,1.14,1.24,1.14,1.14,18500
2013-07-19,1.14,1.24,1.05,1.24,48000
2013-07-22,1.14,1.14,1.14,1.14,55300
2013-07-23,1.14,1.14,1.14,1.14,16200
2013-07-24,1.05,1.14,1.05,1.14,7400
2013-07-25,1.05,1.14,1.05,1.14,93200
2013-07-26,1.05,1.14,1.05,1.14,2700
2013-07-29,1.05,1.14,1.05,1.14,1600
2013-07-30,1.14,1.14,1.05,1.05,2600
2013-07-31,1.14,1.14,1.05,1.05,7000
2013-08-01,1.05,1.14,1.05,1.14,17700
2013-08-02,1.14,1.14,1.14,1.14,24700
2013-08-05,1.05,1.05,1.05,1.05,1700
2013-08-06,1.05,1.14,0.95,1.14,19500
2013-08-07,1.05,1.14,1.05,1.05,6000
2013-08-08,1.05,1.14,1.05,1.14,13200
2013-08-09,1.14,1.14,1.14,1.14,100
2013-08-12,1.05,1.05,1.05,1.05,5000
2013-08-13,0.95,1.14,0.95,1.05,14600
2013-08-14,1.05,1.14,1.05,1.14,13600
2013-08-15,1.14,1.14,1.05,1.14,24200
2013-08-16,1.14,1.14,1.05,1.14,46400
2013-08-19,1.05,1.14,1.05,1.14,23000
2013-08-20,1.05,1.14,1.05,1.14,600
2013-08-21,1.05,1.05,1.05,1.05,2200
2013-08-22,1.05,1.14,0.95,1.14,23300
2013-08-23,1.05,1.14,1.05,1.14,14600
2013-08-26,1.05,1.05,1.05,1.05,8800
2013-08-27,1.05,1.05,1.05,1.05,0
2013-08-28,0.95,1.05,0.95,0.95,23800
2013-08-29,1.05,1.05,1.05,1.05,5200
2013-08-30,0.95,1.05,0.95,1.05,56500
2013-09-03,1.05,1.05,0.95,1.05,7000
2013-09-04,1.05,1.05,0.95,1.05,6400
2013-09-05,0.95,1.05,0.95,1.05,11300
2013-09-06,0.95,1.05,0.95,1.05,30200
2013-09-09,0.95,1.05,0.95,1.05,2100
2013-09-10,0.95,1.05,0.95,1.05,9900
2013-09-11,0.95,1.05,0.95,1.05,7100
2013-09-12,1.05,1.05,0.95,1.05,3100
2013-09-13,1.05,1.05,1.05,1.05,0
2013-09-16,1.05,1.05,1.05,1.05,0
2013-09-17,1.05,1.05,1.05,1.05,0
2013-09-18,1.05,1.05,1.05,1.05,0
2013-09-19,0.95,0.95,0.95,0.95,200
2013-09-20,0.86,0.86,0.86,0.86,46300
2013-09-23,0.76,0.86,0.76,0.86,20000
