time,open,high,low,close,volume
2014-03-04,3.63,3.63,3.63,3.63,0
2014-03-05,3.63,3.63,3.63,3.63,0
2014-03-06,3.65,3.65,3.65,3.65,160
2014-03-07,3.65,3.65,3.65,3.65,0
2014-03-10,3.49,3.65,3.49,3.65,200
2014-03-11,3.65,3.65,3.65,3.65,0
2014-03-12,3.33,3.33,3.33,3.33,1000
2014-03-13,3.33,3.33,3.33,3.33,0
2014-03-14,3.49,3.49,3.49,3.49,700
2014-03-17,3.49,3.49,3.49,3.49,99
2014-03-18,3.49,3.49,3.49,3.49,0
2014-03-19,3.84,3.84,3.84,3.84,1901
2014-03-20,4.22,4.22,4.17,4.22,9700
2014-03-21,4.27,4.43,4.27,4.43,7100
2014-03-24,4.43,4.43,4.43,4.43,4600
2014-03-25,4.51,4.51,4.38,4.38,10300
2014-03-26,4.38,4.43,4.38,4.41,2600
2014-03-27,4.46,4.78,4.41,4.78,18000
2014-03-28,4.78,4.78,4.78,4.78,1700
2014-03-31,4.78,4.78,4.78,4.78,0
2014-04-01,4.66,4.66,4.55,4.55,4100
2014-04-02,4.55,4.55,4.55,4.55,0
2014-04-03,4.49,4.49,4.49,4.49,100
2014-04-04,4.58,4.58,4.49,4.49,700
2014-04-07,4.66,4.66,4.66,4.66,100
2014-04-08,4.49,4.49,4.49,4.49,300
2014-04-10,4.04,4.46,4.04,4.04,300
2014-04-11,4.43,4.43,4.43,4.43,100
2014-04-14,4.4,4.4,4.01,4.01,1400
2014-04-15,3.86,3.86,3.86,3.86,500
2014-04-16,3.51,3.57,3.51,3.57,2500
2014-04-17,3.57,3.57,3.57,3.57,1
2014-04-18,3.57,3.62,3.57,3.62,500
2014-04-21,3.65,3.65,3.65,3.65,300
2014-04-22,3.65,3.65,3.65,3.65,0
2014-04-23,3.65,3.65,3.65,3.65,4900
2014-04-24,3.65,3.65,3.65,3.65,0
2014-04-25,3.65,3.65,3.65,3.65,0
2014-04-28,3.65,3.65,3.65,3.65,0
2014-04-29,3.71,3.74,3.71,3.74,2000
2014-05-05,4.01,4.01,4.01,4.01,100
2014-05-06,3.71,3.98,3.62,3.98,20100
2014-05-07,3.98,3.98,3.98,3.98,0
2014-05-08,3.98,3.98,3.98,3.98,0
2014-05-09,3.98,3.98,3.98,3.98,0
2014-05-12,3.59,3.98,3.59,3.98,2100
2014-05-13,3.98,3.98,3.98,3.98,0
2014-05-14,3.98,3.98,3.98,3.98,0
2014-05-15,3.98,3.98,3.98,3.98,0
2014-05-16,3.98,3.98,3.98,3.98,0
2014-05-19,3.71,3.71,3.59,3.68,4700
2014-05-20,3.68,3.68,3.68,3.68,1
2014-05-21,3.71,3.71,3.71,3.71,200
2014-05-22,3.71,3.71,3.71,3.71,0
2014-05-23,3.71,3.71,3.71,3.71,0
2014-05-26,3.71,3.71,3.71,3.71,0
2014-05-27,3.62,3.62,3.62,3.62,200
2014-05-28,3.62,3.62,3.62,3.62,0
2014-05-29,3.51,3.51,3.51,3.51,4300
2014-05-30,3.51,3.51,3.51,3.51,100
2014-06-02,3.51,3.51,3.51,3.51,0
