time,open,high,low,close,volume
2015-06-26,3.29,3.29,3.29,3.29,0
2015-06-29,3.29,3.29,3.29,3.29,0
2015-06-30,3.29,3.29,3.29,3.29,0
2015-07-01,3.48,3.48,3.48,3.48,15400
2015-07-02,3.48,3.48,3.48,3.48,0
2015-07-03,3.48,3.48,3.48,3.48,0
2015-07-06,3.48,3.48,3.48,3.48,0
2015-07-07,3.48,3.48,3.48,3.48,0
2015-07-08,3.48,3.48,3.48,3.48,0
2015-07-09,3.48,3.48,3.48,3.48,0
2015-07-10,3.48,3.48,3.48,3.48,0
2015-07-13,3.48,3.48,3.48,3.48,0
2015-07-14,3.48,3.48,3.48,3.48,0
2015-07-15,3.48,3.48,3.48,3.48,0
2015-07-16,2.99,2.99,2.99,2.99,100
2015-07-17,2.54,2.54,2.54,2.54,100
2015-07-20,2.54,2.54,2.54,2.54,0
2015-07-21,2.54,2.54,2.54,2.54,0
2015-07-22,2.54,2.54,2.54,2.54,0
2015-07-23,2.54,2.54,2.54,2.54,0
2015-07-24,2.54,2.54,2.54,2.54,0
2015-07-27,2.54,2.54,2.54,2.54,0
2015-07-28,2.54,2.54,2.54,2.54,0
2015-07-29,2.54,2.54,2.54,2.54,0
2015-07-30,2.54,2.54,2.54,2.54,0
2015-07-31,2.54,2.54,2.54,2.54,0
2015-08-03,2.54,2.54,2.54,2.54,0
2015-08-04,2.54,2.54,2.54,2.54,0
2015-08-05,2.54,2.54,2.54,2.54,0
2015-08-06,2.49,2.49,2.49,2.49,132800
2015-08-07,2.49,2.49,2.49,2.49,0
2015-08-10,2.49,2.49,2.49,2.49,0
2015-08-11,2.49,2.49,2.49,2.49,0
2015-08-12,2.49,2.49,2.49,2.49,0
2015-08-13,2.49,2.49,2.49,2.49,0
2015-08-14,2.49,2.49,2.49,2.49,0
2015-08-17,2.49,2.49,2.49,2.49,0
2015-08-18,2.49,2.49,2.49,2.49,0
2015-08-19,2.49,2.49,2.49,2.49,0
2015-08-20,2.49,2.49,2.49,2.49,0
2015-08-21,2.49,2.49,2.49,2.49,0
2015-08-24,2.49,2.49,2.49,2.49,0
2015-08-25,2.49,2.49,2.49,2.49,0
2015-08-26,2.49,2.49,2.49,2.49,0
2015-08-27,2.84,2.84,2.84,2.84,80000
2015-08-28,3.24,3.24,2.99,2.99,2000
2015-08-31,2.69,3.34,2.69,3.34,750500
2015-09-01,2.84,2.84,2.84,2.84,200
2015-09-03,2.84,2.84,2.84,2.84,0
2015-09-04,2.84,2.84,2.84,2.84,0
2015-09-07,2.84,2.84,2.84,2.84,0
2015-09-08,3.19,3.19,3.19,3.19,200
2015-09-09,3.19,3.19,3.19,3.19,0
2015-09-10,3.19,3.19,3.19,3.19,0
2015-09-11,3.19,3.19,3.19,3.19,0
2015-09-14,3.19,3.19,3.19,3.19,0
2015-09-15,3.19,3.19,3.19,3.19,0
2015-09-16,3.19,3.19,3.19,3.19,0
2015-09-17,3.19,3.19,3.19,3.19,0
2015-09-18,3.19,3.19,3.19,3.19,2000
2015-09-21,3.19,3.19,3.19,3.19,0
2015-09-22,3.19,3.19,3.19,3.19,0
2015-09-23,3.19,3.19,3.19,3.19,0
2015-09-24,3.19,3.19,3.19,3.19,0
2015-09-25,3.48,3.48,3.48,3.48,5300
2015-09-28,3.48,3.48,3.48,3.48,0
2015-09-29,3.48,3.48,3.48,3.48,0
2015-09-30,3.48,3.48,3.48,3.48,0
2015-10-01,3.48,3.48,3.48,3.48,0
2015-10-02,3.48,3.48,3.48,3.48,0
2015-10-05,3.48,3.48,3.48,3.48,0
2015-10-06,3.48,3.48,3.48,3.48,0
2015-10-07,3.48,3.48,3.48,3.48,0
