time,open,high,low,close,volume
2015-06-26,9.71,9.71,9.71,9.71,0
2015-06-29,9.71,9.84,9.71,9.71,6500
2015-06-30,9.71,9.71,9.71,9.71,1900
2015-07-01,9.48,9.48,9.48,9.48,100
2015-07-02,9.71,9.71,9.71,9.71,3075
2015-07-03,9.75,9.75,9.66,9.66,1600
2015-07-06,9.66,9.66,9.66,9.66,600
2015-07-07,9.66,9.66,9.62,9.62,700
2015-07-08,9.62,9.62,9.48,9.48,3300
2015-07-09,9.26,9.26,9.26,9.26,3545
2015-07-10,9.26,9.26,9.26,9.26,800
2015-07-13,9.26,9.26,9.26,9.26,0
2015-07-14,9.26,9.26,9.26,9.26,0
2015-07-15,9.26,9.26,9.26,9.26,0
2015-07-16,9.26,9.26,9.26,9.26,0
2015-07-17,9.26,9.26,9.26,9.26,0
2015-07-20,9.3,9.3,9.26,9.26,900
2015-07-21,9.26,9.26,9.26,9.26,0
2015-07-22,9.26,9.26,9.26,9.26,0
2015-07-23,9.26,9.26,9.26,9.26,0
2015-07-24,9.03,9.03,8.4,8.81,300
2015-07-27,8.81,8.81,8.81,8.81,100
2015-07-28,8.9,8.9,8.9,8.9,300
2015-07-29,8.94,8.94,8.94,8.94,600
2015-07-30,8.94,8.94,8.94,8.94,0
2015-07-31,9.03,9.03,9.03,9.03,100
2015-08-03,9.03,9.03,9.03,9.03,1400
2015-08-04,9.17,9.17,9.17,9.17,1000
2015-08-05,9.26,9.26,9.26,9.26,800
2015-08-06,9.48,9.71,9.48,9.71,4000
2015-08-07,9.93,9.93,9.93,9.93,100
2015-08-10,9.71,9.71,9.71,9.71,1100
2015-08-11,9.48,9.48,9.48,9.48,100
2015-08-12,9.48,9.48,9.48,9.48,0
2015-08-13,9.71,9.84,9.12,9.12,7600
2015-08-14,9.57,9.57,9.57,9.57,2000
2015-08-17,9.57,9.57,9.57,9.57,0
2015-08-18,9.57,9.57,9.57,9.57,0
2015-08-19,9.48,9.48,9.03,9.03,900
2015-08-20,9.26,9.89,9.26,9.89,8900
2015-08-21,9.89,9.89,9.89,9.89,0
2015-08-24,8.94,8.94,8.94,8.94,1000
2015-08-25,8.94,8.94,8.58,8.85,11300
2015-08-26,8.85,8.85,8.85,8.85,0
2015-08-27,8.85,8.85,8.85,8.85,100
2015-08-28,8.85,8.85,8.58,8.58,3000
2015-08-31,8.58,8.58,8.58,8.58,0
2015-09-01,8.22,8.22,8.22,8.22,10000
2015-09-03,8.22,8.22,8.22,8.22,0
2015-09-04,8.22,8.22,8.22,8.22,0
2015-09-07,8.35,8.35,8.35,8.35,1000
2015-09-08,8.13,8.17,8.13,8.17,200
2015-09-09,8.17,8.22,8.17,8.22,2000
2015-09-10,8.22,8.22,8.22,8.22,500
2015-09-11,8.22,8.35,8.22,8.22,3300
2015-09-14,8.22,8.22,8.22,8.22,0
2015-09-15,8.22,8.22,8.22,8.22,200
2015-09-16,8.22,8.22,8.22,8.22,5700
2015-09-17,8.22,8.22,8.22,8.22,0
2015-09-18,8.58,8.58,8.58,8.58,500
2015-09-21,8.58,8.58,8.58,8.58,0
2015-09-22,8.58,8.58,8.58,8.58,0
2015-09-23,8.58,8.58,8.58,8.58,0
2015-09-24,8.58,8.58,8.58,8.58,200
2015-09-25,8.26,8.35,7.72,8.35,30400
2015-09-28,8.22,8.58,8.22,8.58,21400
2015-09-29,8.58,9.03,8.58,9.03,6400
2015-09-30,9.03,9.03,9.03,9.03,10400
2015-10-01,9.17,9.48,9.17,9.48,23200
2015-10-02,9.71,9.71,9.71,9.71,200
2015-10-05,9.71,9.71,9.71,9.71,0
2015-10-06,9.39,9.84,9.39,9.84,8000
2015-10-07,9.75,9.84,9.48,9.48,14700
2015-10-08,9.48,9.84,9.48,9.84,4600
2015-10-09,9.48,9.48,9.48,9.48,920
2015-10-12,9.48,9.48,9.48,9.48,0
2015-10-13,9.57,9.62,9.57,9.62,1300
2015-10-14,9.62,9.62,9.62,9.62,0
2015-10-15,9.62,9.62,9.62,9.62,0
2015-10-16,9.62,9.62,9.62,9.62,0
2015-10-19,9.62,9.62,9.62,9.62,0
2015-10-20,9.48,9.84,9.48,9.84,11330
2015-10-21,9.03,9.84,9.03,9.84,3025
2015-10-22,9.84,9.84,9.84,9.84,0
2015-10-23,9.84,9.84,9.84,9.84,0
2015-10-26,9.71,9.93,9.48,9.48,8400
2015-10-27,9.48,9.48,9.48,9.48,10000
2015-10-28,9.48,9.48,9.48,9.48,0
2015-10-29,9.71,9.71,9.71,9.71,6000
2015-10-30,9.71,9.84,9.71,9.84,13700
2015-11-02,9.84,9.84,9.84,9.84,0
2015-11-03,9.8,9.93,9.8,9.93,3000
2015-11-04,9.93,9.93,9.48,9.48,14400
2015-11-05,9.48,9.48,9.48,9.48,30
2015-11-06,9.48,9.48,9.48,9.48,0
2015-11-09,9.71,9.71,9.71,9.71,300
2015-11-10,9.71,9.71,9.48,9.48,4000
2015-11-11,9.48,9.48,9.48,9.48,0
2015-11-12,9.48,9.48,9.48,9.48,0
2015-11-13,9.48,9.48,9.48,9.48,0
2015-11-16,9.48,9.48,9.48,9.48,300
2015-11-17,9.44,9.44,9.44,9.44,11200
2015-11-18,9.44,9.62,9.44,9.62,3100
2015-11-19,9.62,9.62,9.62,9.62,0
2015-11-20,9.48,9.62,9.48,9.62,2600
2015-11-23,9.62,9.62,9.62,9.62,0
2015-11-24,9.71,9.71,9.71,9.71,600
2015-11-25,9.84,9.84,9.84,9.84,700
2015-11-26,9.62,9.62,9.62,9.62,1000
2015-11-27,9.66,9.66,9.66,9.66,1700
2015-11-30,9.66,9.66,9.66,9.66,0
2015-12-01,9.48,9.48,9.48,9.48,1000
2015-12-02,9.48,9.48,9.48,9.48,0
2015-12-03,9.48,9.48,9.48,9.48,0
2015-12-04,9.48,9.48,9.48,9.48,0
2015-12-07,9.48,9.48,9.48,9.48,0
2015-12-08,9.48,9.48,9.48,9.48,0
2015-12-09,9.71,9.71,9.71,9.71,8600
2015-12-10,9.71,9.84,9.48,9.84,12150
2015-12-11,9.84,9.84,9.84,9.84,0
2015-12-14,9.84,9.84,9.84,9.84,0
2015-12-15,9.75,9.93,9.75,9.93,12500
2015-12-16,9.75,9.93,9.75,9.93,10300
2015-12-17,9.75,9.75,9.75,9.75,3400
2015-12-18,9.66,9.66,9.66,9.66,2000
2015-12-21,9.66,9.66,9.66,9.66,0
2015-12-22,9.66,9.66,9.66,9.66,0
2015-12-23,9.66,9.66,9.66,9.66,0
2015-12-24,9.66,9.66,9.66,9.66,0
2015-12-25,9.66,9.66,9.66,9.66,1500
2015-12-28,9.66,9.66,9.66,9.66,0
2015-12-29,9.84,9.84,9.84,9.84,100
2015-12-30,9.71,9.71,9.71,9.71,500
2015-12-31,9.71,9.71,9.71,9.71,0
2016-01-04,9.71,9.71,9.71,9.71,5
2016-01-05,9.71,9.71,9.71,9.71,0
2016-01-06,9.71,9.71,9.71,9.71,0
2016-01-07,9.62,9.62,9.62,9.62,4800
2016-01-08,9.62,9.62,9.62,9.62,400
2016-01-11,9.62,9.62,9.62,9.62,0
2016-01-12,9.71,9.71,9.71,9.71,300
2016-01-13,9.71,9.71,9.71,9.71,0
2016-01-14,9.71,9.71,9.71,9.71,0
2016-01-15,9.71,9.71,9.71,9.71,0
2016-01-18,9.26,9.66,9.26,9.66,9200
2016-01-19,9.57,9.66,9.57,9.66,500
2016-01-20,9.66,9.66,9.66,9.66,0
2016-01-21,9.66,9.66,9.66,9.66,0
2016-01-22,9.66,9.66,9.66,9.66,100
2016-01-25,9.66,9.66,9.66,9.66,300
2016-01-26,9.66,9.66,9.66,9.66,0
2016-01-27,9.66,9.66,9.66,9.66,0
2016-01-28,9.44,9.44,9.44,9.44,100
2016-01-29,9.44,9.66,9.44,9.66,2200
2016-02-01,9.66,9.66,9.66,9.66,0
2016-02-02,9.71,9.71,9.48,9.48,2400
2016-02-03,9.48,9.48,9.48,9.48,0
2016-02-04,9.48,9.48,9.48,9.48,0
2016-02-05,9.3,9.8,9.3,9.8,200
2016-02-15,9.8,9.8,9.8,9.8,0
2016-02-16,9.8,9.8,9.8,9.8,0
2016-02-17,9.8,9.8,9.8,9.8,0
2016-02-18,9.8,9.8,9.8,9.8,200
2016-02-19,9.8,9.8,9.8,9.8,0
2016-02-22,9.93,9.93,9.93,9.93,2000
2016-02-23,9.57,9.57,9.57,9.57,100
2016-02-24,9.93,9.93,9.57,9.57,200
2016-02-25,9.57,9.57,9.57,9.57,0
2016-02-26,9.48,9.48,9.48,9.48,100
