time,open,high,low,close,volume
2015-06-26,21.92,21.92,21.92,21.92,0
2015-06-29,22.01,22.01,22.01,22.01,3010
2015-06-30,21.92,22.39,21.92,22.39,2010
2015-07-01,22.39,22.39,22.39,22.39,0
2015-07-02,22.39,22.39,22.39,22.39,0
2015-07-03,22.39,22.39,21.44,21.92,5440
2015-07-06,21.44,21.44,21.44,21.44,950
2015-07-07,21.68,21.68,21.54,21.54,580
2015-07-08,21.54,21.54,21.54,21.54,0
2015-07-09,20.11,22.58,20.11,22.58,420
2015-07-10,22.39,22.39,21.3,21.44,5470
2015-07-13,21.3,21.3,21.3,21.3,1000
2015-07-14,21.92,21.92,21.44,21.68,6580
2015-07-15,21.68,21.73,21.68,21.68,120
2015-07-16,21.68,21.68,21.68,21.68,0
2015-07-17,21.49,21.49,21.44,21.44,8000
2015-07-20,21.2,21.2,21.2,21.2,3330
2015-07-21,21.73,21.73,21.73,21.73,100
2015-07-22,21.73,21.73,21.73,21.73,0
2015-07-23,21.92,21.92,20.87,21.2,8130
2015-07-24,21.34,21.92,21.06,21.92,9280
2015-07-27,21.44,21.44,21.44,21.44,3360
2015-07-28,21.92,21.92,21.44,21.44,3960
2015-07-29,21.44,21.44,21.44,21.44,150
2015-07-30,21.44,21.92,21.44,21.92,720
2015-07-31,21.92,21.92,21.92,21.92,0
2015-08-03,21.92,21.92,21.92,21.92,40
2015-08-04,21.92,21.92,21.92,21.92,0
2015-08-05,21.2,21.44,20.96,21.44,2100
2015-08-06,21.34,21.34,21.34,21.34,2000
2015-08-07,22.39,22.39,22.39,22.39,50
2015-08-10,23.35,23.35,21.92,21.92,670
2015-08-11,21.92,21.92,21.92,21.92,0
2015-08-12,21.92,21.92,21.92,21.92,410
2015-08-13,21.44,21.44,20.96,21.44,11950
2015-08-14,21.49,21.54,21.44,21.49,4710
2015-08-17,21.44,21.44,21.44,21.44,7670
2015-08-18,22.68,22.68,21.44,21.44,9110
2015-08-19,21.44,21.68,21.44,21.68,6680
2015-08-20,21.58,22.58,21.58,22.58,130
2015-08-21,22.58,22.58,22.58,22.58,0
2015-08-24,22.58,22.58,22.58,22.58,0
2015-08-25,21.93,21.93,21.43,21.43,1110
2015-08-26,21.43,21.48,21.43,21.48,1540
2015-08-27,21.48,22.18,21.48,21.53,3910
2015-08-28,22.13,22.43,22.13,22.43,21800
2015-08-31,22.43,22.43,22.43,22.43,0
2015-09-01,22.43,23.42,22.43,22.78,1160
2015-09-03,23.17,23.17,22.68,23.17,3030
2015-09-04,22.93,24.42,22.78,22.78,22480
2015-09-07,22.78,23.92,22.78,23.17,8220
2015-09-08,23.17,24.42,23.17,24.42,16640
2015-09-09,24.42,24.42,23.52,23.67,25670
2015-09-10,23.67,23.67,23.67,23.67,3000
2015-09-11,23.22,24.82,23.22,24.37,8860
2015-09-14,24.67,24.67,23.67,23.67,640
2015-09-15,23.52,24.02,23.42,23.67,1550
2015-09-16,23.87,24.32,23.87,24.32,1210
