time,open,high,low,close,volume
2012-12-13,2.6,2.6,2.6,2.6,8600
2012-12-14,2.7,2.7,2.7,2.7,240800
2012-12-17,2.8,2.8,2.8,2.8,190000
2012-12-18,2.9,2.9,2.9,2.9,6700
2012-12-19,3.1,3.1,3.0,3.1,477600
2012-12-20,3.3,3.3,3.3,3.3,121000
2012-12-21,3.5,3.5,3.1,3.5,289800
2012-12-24,3.7,3.7,3.5,3.7,109000
2012-12-25,3.9,3.9,3.5,3.5,296700
2012-12-26,3.4,3.8,3.4,3.8,242200
2012-12-27,4.0,4.0,4.0,4.0,218700
2012-12-28,4.2,4.2,4.2,4.2,180700
2013-01-02,4.4,4.4,4.4,4.4,40000
2013-01-03,4.7,4.7,4.2,4.7,530500
2013-01-04,5.0,5.0,4.6,5.0,509800
2013-01-07,5.3,5.3,4.7,5.1,283900
2013-01-08,4.7,4.8,4.6,4.6,404500
2013-01-09,4.5,4.8,4.3,4.3,516400
2013-01-10,4.0,4.6,4.0,4.6,267300
2013-01-11,4.8,4.9,4.6,4.6,248200
2013-01-14,4.4,4.7,4.3,4.6,186100
2013-01-15,4.7,4.8,4.3,4.6,198800
2013-01-16,4.6,5.0,4.6,5.0,508400
2013-01-17,4.7,5.5,4.7,4.9,273200
2013-01-18,4.8,4.9,4.6,4.7,174500
2013-01-21,4.8,5.0,4.4,4.6,101500
2013-01-22,4.5,4.6,4.1,4.2,232200
2013-01-23,4.0,4.2,3.8,4.0,101900
2013-01-24,4.0,4.2,4.0,4.2,121900
2013-01-25,4.3,4.6,4.3,4.4,205300
2013-01-28,4.5,4.6,4.4,4.4,107900
2013-01-29,4.3,4.3,4.0,4.1,260000
2013-01-30,4.1,4.4,4.1,4.2,150700
2013-01-31,4.2,4.6,4.2,4.6,391600
2013-02-01,4.7,4.7,4.4,4.4,96000
2013-02-04,4.4,4.5,4.3,4.3,48900
2013-02-05,4.3,4.3,4.1,4.1,83200
2013-02-06,4.0,4.3,3.9,4.3,59600
2013-02-07,4.4,4.7,4.3,4.7,132200
2013-02-08,4.6,4.6,4.4,4.5,48100
2013-02-18,4.6,4.6,4.4,4.4,96800
2013-02-19,4.4,4.6,4.3,4.4,153300
2013-02-20,4.5,4.7,4.5,4.7,92100
2013-02-21,4.7,4.8,4.2,4.2,323600
2013-02-22,4.2,4.4,3.9,4.4,237600
