time,open,high,low,close,volume
2013-05-16,12.13,12.13,12.13,12.13,0
2013-05-17,12.13,12.13,12.13,12.13,0
2013-05-20,12.13,12.13,12.13,12.13,0
2013-05-21,12.51,12.51,12.51,12.51,0
2013-05-22,12.51,12.51,12.51,12.51,0
2013-05-23,12.51,12.51,12.51,12.51,0
2013-05-24,12.13,12.13,12.13,12.13,0
2013-05-27,12.51,12.51,12.51,12.51,0
2013-05-28,12.51,12.51,12.51,12.51,0
2013-05-29,11.26,11.55,11.26,11.55,200
2013-05-30,11.55,11.55,11.55,11.55,0
2013-05-31,11.55,11.55,11.55,11.55,0
2013-06-03,11.55,11.55,11.55,11.55,0
2013-06-04,11.55,11.55,11.55,11.55,0
2013-06-05,11.55,11.55,11.55,11.55,0
2013-06-06,11.55,11.55,11.55,11.55,0
2013-06-07,11.55,11.55,11.55,11.55,0
2013-06-10,11.55,11.55,11.55,11.55,0
2013-06-11,11.55,11.55,11.55,11.55,0
2013-06-12,11.55,11.55,11.55,11.55,0
2013-06-13,11.55,11.55,11.55,11.55,0
2013-06-14,11.36,11.55,11.36,11.55,200
2013-06-17,11.55,11.55,11.55,11.55,0
2013-06-18,11.55,12.03,11.55,12.03,1000
2013-06-19,12.42,12.51,12.42,12.51,600
2013-06-20,12.51,12.51,12.51,12.51,100
2013-06-21,12.51,12.51,12.51,12.51,0
2013-06-24,11.74,14.24,11.74,14.24,800
2013-06-25,14.44,14.44,14.44,14.44,500
2013-06-26,14.44,14.44,14.44,14.44,0
2013-06-27,15.4,15.4,15.4,15.4,500
2013-06-28,16.36,16.36,16.36,16.36,600
2013-07-01,17.32,17.32,17.32,17.32,100
2013-07-02,17.32,17.32,17.32,17.32,0
2013-07-03,17.81,17.81,17.81,17.81,500
2013-07-04,17.81,17.81,17.81,17.81,0
2013-07-05,17.81,17.81,17.81,17.81,0
2013-07-08,17.81,17.81,17.81,17.81,0
2013-07-09,17.81,17.81,17.81,17.81,0
2013-07-10,17.81,17.81,17.81,17.81,0
2013-07-11,17.81,17.81,17.81,17.81,0
2013-07-12,17.81,17.81,17.81,17.81,500
2013-07-15,17.81,17.81,17.81,17.81,0
2013-07-16,17.81,17.81,17.81,17.81,0
2013-07-17,17.81,17.81,17.81,17.81,0
2013-07-18,17.81,17.81,17.81,17.81,0
2013-07-19,18.77,18.77,18.77,18.77,2200
2013-07-22,18.77,18.77,18.77,18.77,0
2013-07-23,18.77,18.77,18.77,18.77,0
2013-07-24,18.77,18.77,18.77,18.77,0
2013-07-25,18.29,18.29,18.29,18.29,600
2013-07-26,16.46,16.46,16.46,16.46,100
2013-07-29,16.46,16.46,16.46,16.46,0
2013-07-30,16.46,16.46,16.46,16.46,0
2013-07-31,16.46,16.46,16.46,16.46,0
2013-08-01,16.46,16.46,16.46,16.46,0
2013-08-02,16.46,16.46,16.46,16.46,0
2013-08-05,16.46,16.46,16.46,16.46,0
2013-08-06,16.46,16.46,16.46,16.46,0
2013-08-07,16.46,16.46,16.46,16.46,0
2013-08-08,16.46,16.46,16.46,16.46,0
2013-08-09,16.46,16.46,16.46,16.46,0
2013-08-12,16.46,16.46,16.46,16.46,0
2013-08-13,16.46,16.46,16.46,16.46,0
2013-08-14,16.46,16.46,16.46,16.46,0
2013-08-15,14.82,14.82,14.82,14.82,100
2013-08-16,14.82,14.82,14.82,14.82,0
2013-08-19,15.4,15.4,15.4,15.4,800
2013-08-20,15.4,15.4,15.4,15.4,0
2013-08-21,16.36,16.36,16.36,16.36,100
2013-08-22,16.36,16.36,16.36,16.36,0
2013-08-23,16.36,16.36,16.36,16.36,0
2013-08-26,16.36,16.36,16.36,16.36,0
2013-08-27,16.36,16.36,16.36,16.36,0
2013-08-28,16.36,16.36,16.36,16.36,0
2013-08-29,16.56,16.56,16.56,16.56,1200
2013-08-30,16.56,16.56,16.56,16.56,100
2013-09-03,16.56,16.56,16.56,16.56,0
2013-09-04,16.56,16.56,16.56,16.56,10000
2013-09-05,16.56,16.56,16.56,16.56,0
2013-09-06,16.56,16.56,16.56,16.56,0
2013-09-09,16.56,16.56,16.56,16.56,0
2013-09-10,16.56,16.56,16.56,16.56,0
2013-09-11,16.56,16.56,16.56,16.56,0
2013-09-12,14.92,15.4,14.92,15.4,1100
2013-09-13,15.4,15.4,15.4,15.4,0
2013-09-16,15.4,15.4,15.4,15.4,0
2013-09-17,15.4,15.4,15.4,15.4,0
2013-09-18,15.4,15.4,15.4,15.4,0
2013-09-19,15.4,15.4,15.4,15.4,0
2013-09-20,15.4,15.4,15.4,15.4,0
2013-09-23,15.4,15.4,15.4,15.4,0
2013-09-24,15.4,15.4,15.4,15.4,0
2013-09-25,15.4,15.4,15.4,15.4,0
2013-09-26,15.4,15.4,15.4,15.4,300
2013-09-27,15.4,15.4,15.4,15.4,0
2013-09-30,15.4,15.4,15.4,15.4,0
2013-10-01,15.4,15.4,15.4,15.4,0
2013-10-02,15.3,15.4,15.3,15.4,300
2013-10-03,15.4,15.4,15.4,15.4,0
2013-10-04,15.4,15.4,15.4,15.4,0
2013-10-07,15.4,15.4,15.4,15.4,0
2013-10-08,15.4,15.4,15.4,15.4,0
2013-10-09,15.4,15.4,15.4,15.4,0
2013-10-10,15.4,15.4,15.4,15.4,0
2013-10-11,15.4,15.4,15.4,15.4,0
2013-10-14,15.4,15.4,15.4,15.4,0
2013-10-15,15.4,15.4,15.4,15.4,0
2013-10-16,15.4,15.4,15.4,15.4,0
2013-10-17,15.4,15.4,15.4,15.4,0
2013-10-18,15.4,15.4,15.4,15.4,0
2013-10-21,15.4,15.4,15.4,15.4,0
2013-10-22,15.4,15.4,15.4,15.4,0
2013-10-23,15.4,15.4,15.4,15.4,0
2013-10-24,15.4,15.4,15.4,15.4,0
2013-10-25,15.4,15.4,15.4,15.4,0
2013-10-28,15.4,15.4,15.4,15.4,0
2013-10-29,15.4,15.4,15.4,15.4,0
2013-10-30,15.4,15.4,15.4,15.4,0
2013-10-31,15.4,15.4,15.4,15.4,0
2013-11-01,15.4,15.4,15.4,15.4,0
2013-11-04,15.4,15.4,15.4,15.4,0
2013-11-05,15.88,15.88,15.88,15.88,500
2013-11-06,15.88,15.88,15.88,15.88,0
2013-11-07,15.88,15.88,15.88,15.88,0
2013-11-08,15.88,15.88,15.88,15.88,0
2013-11-11,15.88,15.88,15.88,15.88,0
2013-11-12,15.88,15.88,15.88,15.88,0
2013-11-13,15.88,15.88,15.88,15.88,0
2013-11-14,15.88,15.88,15.88,15.88,0
2013-11-15,15.4,15.4,15.4,15.4,400
2013-11-18,15.4,15.4,15.4,15.4,14400
2013-11-19,15.4,15.4,15.4,15.4,0
2013-11-20,15.4,15.4,15.4,15.4,0
2013-11-21,15.4,15.4,15.4,15.4,0
2013-11-22,15.4,15.4,15.4,15.4,0
2013-11-25,15.4,15.4,15.4,15.4,0
2013-11-26,15.4,15.4,15.4,15.4,0
2013-11-27,15.4,15.4,15.4,15.4,0
2013-11-28,15.4,15.4,15.4,15.4,0
2013-11-29,15.4,15.4,15.4,15.4,0
2013-12-02,15.4,15.4,15.4,15.4,0
2013-12-03,15.4,15.4,15.4,15.4,0
2013-12-04,15.4,15.4,15.4,15.4,0
2013-12-05,15.4,15.4,15.4,15.4,0
