time,open,high,low,close,volume
2015-06-26,13.84,14.1,12.61,12.61,114800
2015-06-29,13.47,13.47,12.51,12.51,55100
2015-06-30,12.51,13.36,12.24,12.24,28740
2015-07-01,13.09,13.09,13.09,13.09,17820
2015-07-02,13.31,13.36,12.88,12.88,20420
2015-07-03,12.88,13.73,12.88,12.99,19440
2015-07-06,12.99,13.57,12.99,12.99,9390
2015-07-07,13.52,13.57,13.25,13.25,8420
2015-07-08,13.57,13.57,13.25,13.25,8950
2015-07-09,13.31,13.31,13.04,13.15,10830
2015-07-10,13.15,13.15,13.15,13.15,1620
2015-07-13,13.15,13.15,12.51,12.51,2360
2015-07-14,13.31,13.36,12.67,12.67,25360
2015-07-15,13.36,13.52,13.31,13.52,22240
2015-07-16,13.31,13.52,13.31,13.31,13140
2015-07-17,13.57,13.57,13.31,13.31,18230
2015-07-20,13.78,13.78,13.31,13.31,1100
2015-07-21,13.15,13.68,13.15,13.68,130
2015-07-22,12.99,14.37,12.99,14.37,4960
2015-07-23,14.8,14.8,13.41,13.41,550
2015-07-24,13.47,14.32,13.04,13.09,2600
2015-07-27,14.0,14.0,13.15,13.15,40
2015-07-28,14.05,14.05,14.0,14.0,30
2015-07-29,14.05,14.05,13.31,13.31,840
2015-07-30,13.31,13.31,13.31,13.31,20
2015-07-31,12.77,13.89,12.77,13.04,4880
2015-08-03,12.61,13.84,12.61,13.84,2880
2015-08-04,14.37,14.37,14.37,14.37,10
2015-08-05,14.37,14.37,14.37,14.37,0
2015-08-06,13.41,13.41,13.41,13.41,10
2015-08-07,13.31,14.26,13.31,14.26,340
2015-08-10,14.26,14.26,14.26,14.26,0
2015-08-11,15.12,15.12,15.12,15.12,10
2015-08-12,14.1,14.1,14.1,14.1,10
2015-08-13,13.31,13.31,13.31,13.31,100
2015-08-14,12.77,13.84,12.77,13.84,20
2015-08-17,14.42,14.64,12.99,12.99,6700
2015-08-18,13.89,13.89,12.67,12.67,280
2015-08-19,13.52,13.52,12.61,13.09,25980
2015-08-20,13.31,13.84,13.25,13.84,35780
2015-08-21,14.21,14.21,13.78,13.78,30
2015-08-24,14.1,14.1,12.93,13.31,5010
2015-08-25,13.04,13.31,12.61,13.31,9430
2015-08-26,13.09,13.84,13.09,13.09,2170
2015-08-27,13.84,13.84,13.04,13.04,50
2015-08-28,13.84,13.84,12.51,12.61,420
2015-08-31,12.77,12.77,12.77,12.77,1950
2015-09-01,13.09,13.57,13.09,13.57,1010
2015-09-03,14.37,14.37,13.31,13.78,3020
2015-09-04,13.47,14.05,13.31,13.31,2020
2015-09-07,13.84,13.84,13.09,13.09,2040
2015-09-08,13.09,13.62,13.09,13.57,4820
2015-09-09,14.16,14.37,13.84,13.84,40
2015-09-10,13.73,13.73,13.31,13.31,320
2015-09-11,13.25,14.21,13.25,14.21,1040
2015-09-14,14.32,14.32,13.31,14.32,3220
2015-09-15,14.32,14.37,14.32,14.32,610
2015-09-16,14.05,14.9,14.05,14.9,2510
2015-09-17,14.37,14.37,14.37,14.37,10
2015-09-18,14.32,14.37,14.05,14.05,400
2015-09-21,14.8,14.8,13.09,13.84,1100
2015-09-22,12.99,13.84,12.88,13.84,680
2015-09-23,13.78,13.78,13.78,13.78,10
2015-09-24,13.73,13.78,13.73,13.78,30
2015-09-25,13.73,13.78,13.73,13.78,260
2015-09-28,12.88,13.78,12.88,13.78,36460
2015-09-29,13.31,13.78,13.31,13.78,17630
2015-09-30,13.78,13.78,13.31,13.78,7110
2015-10-01,13.31,13.73,13.31,13.73,1010
2015-10-02,13.57,13.57,13.31,13.31,4500
2015-10-05,13.31,13.73,13.31,13.73,580
