time,open,high,low,close,volume
2015-06-26,8.86,8.86,8.86,8.86,900
2015-06-29,9.05,9.05,8.31,8.31,1100
2015-06-30,8.31,8.31,8.31,8.31,0
2015-07-01,8.95,8.95,8.95,8.95,100
2015-07-02,8.77,8.86,8.77,8.77,2500
2015-07-03,8.95,9.05,8.86,8.86,16500
2015-07-06,8.86,9.05,8.86,9.05,11600
2015-07-07,9.05,9.05,9.05,9.05,6000
2015-07-08,9.05,9.05,9.05,9.05,0
2015-07-09,9.05,9.05,9.05,9.05,0
2015-07-10,9.23,9.23,9.23,9.23,100
2015-07-13,9.23,9.23,9.23,9.23,22
2015-07-14,8.86,8.86,8.86,8.86,3000
2015-07-15,9.32,9.32,8.86,8.86,20600
2015-07-16,8.86,9.05,8.86,9.05,200
2015-07-17,9.05,9.05,9.05,9.05,0
2015-07-20,8.77,8.77,8.58,8.58,10600
2015-07-21,8.77,8.77,8.77,8.77,40000
2015-07-22,8.77,8.77,8.77,8.77,30
2015-07-23,8.77,8.77,8.77,8.77,0
2015-07-24,8.4,8.77,8.4,8.77,19300
2015-07-27,8.77,8.77,8.77,8.77,0
2015-07-28,8.31,8.31,8.31,8.31,100
2015-07-29,8.4,8.77,8.12,8.77,4700
2015-07-30,8.31,8.77,8.12,8.77,33000
2015-07-31,8.77,8.77,8.77,8.77,0
2015-08-03,8.31,8.31,8.31,8.31,4200
2015-08-04,8.68,8.68,8.68,8.68,1430
2015-08-05,8.68,8.68,8.68,8.68,0
2015-08-06,8.4,8.4,8.4,8.4,4900
2015-08-07,8.4,8.4,8.4,8.4,0
2015-08-10,8.68,8.77,8.68,8.77,1500
2015-08-11,8.77,8.77,8.77,8.77,0
2015-08-12,8.68,8.68,8.4,8.4,3800
2015-08-13,8.4,8.4,8.4,8.4,3400
2015-08-14,8.58,8.58,8.58,8.58,5000
2015-08-17,8.58,8.58,8.58,8.58,4000
2015-08-18,8.49,8.58,8.49,8.58,1006
2015-08-19,8.58,8.58,8.58,8.58,100
2015-08-20,8.58,8.58,8.58,8.58,0
2015-08-21,8.49,8.58,8.03,8.58,17300
2015-08-24,8.22,8.22,7.94,7.94,26600
2015-08-25,8.49,8.49,8.49,8.49,100
2015-08-26,8.4,8.4,8.4,8.4,700
2015-08-27,8.4,8.4,8.4,8.4,0
2015-08-28,8.4,8.4,8.4,8.4,0
2015-08-31,8.03,8.03,8.03,8.03,1100
2015-09-01,8.4,8.4,8.4,8.4,7600
2015-09-03,9.1,9.1,9.1,9.1,0
2015-09-04,9.1,9.1,9.1,9.1,0
2015-09-07,8.5,8.6,8.5,8.5,12700
2015-09-08,8.6,8.6,8.5,8.5,14300
2015-09-09,8.5,8.5,8.5,8.5,0
2015-09-10,8.5,8.5,8.5,8.5,0
2015-09-11,8.5,8.5,8.5,8.5,0
2015-09-14,8.5,8.5,8.5,8.5,0
2015-09-15,8.8,8.8,8.8,8.8,100
2015-09-16,8.8,8.8,8.8,8.8,0
2015-09-17,8.8,8.8,8.8,8.8,0
2015-09-18,8.8,8.8,8.8,8.8,0
2015-09-21,8.8,8.8,8.8,8.8,0
2015-09-22,8.7,8.7,8.7,8.7,1200
2015-09-23,8.6,8.7,8.6,8.6,5300
2015-09-24,8.6,8.6,7.9,8.6,12300
2015-09-25,8.6,8.6,8.6,8.6,0
2015-09-28,8.6,8.6,8.6,8.6,0
2015-09-29,7.9,8.6,7.9,8.6,300
2015-09-30,8.0,8.0,8.0,8.0,400
2015-10-01,8.0,8.0,8.0,8.0,0
2015-10-02,8.0,8.6,8.0,8.6,352
2015-10-05,8.6,8.6,8.6,8.6,6
2015-10-06,7.9,8.5,7.9,8.5,2500
2015-10-07,8.0,8.4,8.0,8.4,300
2015-10-08,8.0,8.0,7.9,8.0,6500
2015-10-09,8.5,8.5,8.5,8.5,100
2015-10-12,8.1,8.1,8.1,8.1,100
2015-10-13,8.0,8.1,8.0,8.1,17600
2015-10-14,8.1,8.6,8.1,8.6,3400
2015-10-15,8.6,8.6,8.6,8.6,0
2015-10-16,8.3,8.4,8.3,8.4,700
2015-10-19,8.4,8.4,8.4,8.4,0
2015-10-20,8.2,8.2,8.2,8.2,4800
2015-10-21,7.9,7.9,7.8,7.8,18200
2015-10-22,7.8,7.8,7.8,7.8,0
2015-10-23,7.7,7.8,7.7,7.8,1000
