time,open,high,low,close,volume
2014-07-02,5.87,6.14,5.87,5.91,20200
2014-07-03,6.1,6.1,5.95,6.02,14700
2014-07-04,6.02,6.26,5.95,6.14,82500
2014-07-07,6.22,6.65,6.22,6.42,68800
2014-07-08,6.49,6.49,6.34,6.42,28700
2014-07-09,6.42,6.42,6.26,6.26,21400
2014-07-10,6.18,6.26,6.02,6.1,66200
2014-07-11,6.06,6.46,5.99,6.22,37000
2014-07-14,6.22,6.26,6.18,6.26,22700
2014-07-15,6.38,6.38,6.26,6.26,18100
2014-07-16,6.38,6.42,6.22,6.22,55400
2014-07-17,6.22,6.34,6.06,6.34,35000
2014-07-18,6.22,6.3,6.22,6.22,22200
2014-07-21,6.22,6.34,6.18,6.34,74500
2014-07-22,6.65,6.96,6.65,6.96,341200
2014-07-23,7.2,7.43,7.2,7.43,143500
2014-07-24,7.43,7.43,7.2,7.43,30500
2014-07-25,7.32,7.35,6.96,6.96,81400
2014-07-28,6.96,7.04,6.77,6.85,65100
2014-07-29,6.81,7.12,6.77,6.89,54300
2014-07-30,6.92,7.2,6.89,7.12,58700
2014-07-31,7.16,7.35,7.16,7.28,35900
2014-08-01,7.28,7.28,7.16,7.28,55900
2014-08-04,7.28,7.28,7.16,7.24,51100
2014-08-05,7.24,7.43,7.2,7.43,70300
2014-08-06,7.47,7.55,7.28,7.35,52800
2014-08-07,7.24,7.59,7.16,7.59,75900
2014-08-08,7.63,8.02,7.59,7.94,111000
2014-08-11,8.02,8.72,8.02,8.61,174700
2014-08-12,8.41,9.0,8.14,8.57,85700
2014-08-13,8.57,8.65,8.45,8.65,86100
2014-08-14,8.65,8.8,8.53,8.65,105700
2014-08-15,8.49,8.8,8.49,8.8,50900
2014-08-18,8.84,8.92,8.72,8.72,53100
2014-08-19,8.72,8.8,8.41,8.8,46900
2014-08-20,8.61,8.61,8.41,8.61,35900
2014-08-21,8.61,8.61,8.41,8.45,52300
2014-08-22,8.45,8.76,8.41,8.57,36000
2014-08-25,8.49,8.61,8.49,8.57,22200
2014-08-26,8.65,9.39,8.53,9.39,132800
2014-08-27,9.74,9.78,9.12,9.47,27600
2014-08-28,9.47,9.7,9.47,9.47,25100
2014-08-29,9.19,9.58,9.19,9.43,58100
2014-09-03,9.43,10.33,9.43,9.55,43600
2014-09-04,9.98,9.98,9.19,9.39,14700
2014-09-05,9.58,9.58,9.43,9.51,16500
2014-09-08,9.51,9.7,9.27,9.47,43200
2014-09-09,9.47,9.47,8.57,8.57,56900
2014-09-10,8.57,9.0,8.22,9.0,52100
2014-09-11,9.19,9.19,8.25,8.96,13700
2014-09-12,8.8,8.8,8.41,8.53,24000
2014-09-15,8.61,8.61,8.14,8.37,29100
