time,open,high,low,close,volume
2013-08-21,2.64,2.64,2.39,2.39,200
2013-08-22,2.45,2.58,2.45,2.58,18100
2013-08-23,2.45,2.45,2.45,2.45,100
2013-08-26,2.45,2.64,2.45,2.64,400
2013-08-27,2.39,2.39,2.39,2.39,600
2013-08-28,2.39,2.39,2.39,2.39,1000
2013-08-29,2.58,2.58,2.58,2.58,10000
2013-08-30,2.45,2.45,2.45,2.45,9100
2013-09-03,2.39,2.39,2.32,2.32,10000
2013-09-04,2.51,2.51,2.51,2.51,100
2013-09-05,2.51,2.51,2.51,2.51,1600
2013-09-06,2.51,2.51,2.45,2.45,7600
2013-09-09,2.45,2.45,2.45,2.45,1600
2013-09-10,2.45,2.45,2.45,2.45,0
2013-09-11,2.51,2.51,2.51,2.51,2000
2013-09-12,2.51,2.51,2.51,2.51,0
2013-09-13,2.45,2.45,2.45,2.45,7000
2013-09-16,2.39,2.39,2.39,2.39,21300
2013-09-17,2.39,2.39,2.39,2.39,3000
2013-09-18,2.39,2.45,2.39,2.45,1500
2013-09-19,2.45,2.45,2.39,2.39,13900
2013-09-20,2.19,2.39,2.19,2.39,15400
2013-09-23,2.19,2.39,2.19,2.26,22400
2013-09-24,2.06,2.26,2.06,2.26,5000
2013-09-25,2.26,2.26,2.26,2.26,1400
2013-09-26,2.26,2.39,2.19,2.39,10700
2013-09-27,2.19,2.45,2.19,2.26,600
2013-09-30,2.45,2.45,2.45,2.45,400
2013-10-01,2.39,2.51,2.39,2.51,4200
2013-10-02,2.51,2.51,2.51,2.51,0
2013-10-03,2.39,2.39,2.39,2.39,5000
2013-10-04,2.45,2.45,2.39,2.39,4600
2013-10-07,2.45,2.58,2.45,2.58,10600
2013-10-08,2.45,2.45,2.45,2.45,1600
2013-10-09,2.39,2.51,2.39,2.45,2100
2013-10-10,2.45,2.45,2.39,2.39,10100
2013-10-11,2.51,2.51,2.45,2.45,9300
2013-10-14,2.45,2.51,2.45,2.45,9600
2013-10-15,2.45,2.58,2.45,2.58,33100
2013-10-16,2.58,2.71,2.51,2.64,39700
2013-10-17,2.58,2.64,2.58,2.64,17700
2013-10-18,2.58,2.58,2.58,2.58,9100
2013-10-21,2.64,2.64,2.51,2.51,6000
2013-10-22,2.58,2.58,2.45,2.58,1400
2013-10-23,2.45,2.58,2.45,2.58,1100
2013-10-24,2.58,2.58,2.58,2.58,11400
2013-10-25,2.64,2.64,2.58,2.64,5500
2013-10-28,2.58,2.64,2.58,2.64,6400
2013-10-29,2.64,2.71,2.64,2.71,50400
2013-10-30,2.77,2.9,2.71,2.77,42100
2013-10-31,2.84,3.03,2.84,2.97,47600
2013-11-01,2.97,3.22,2.97,3.16,75300
2013-11-04,3.22,3.42,3.09,3.42,161281
2013-11-05,3.55,3.61,3.55,3.55,49819
2013-11-06,3.55,3.55,3.35,3.42,31600
2013-11-07,3.35,3.61,3.35,3.42,57100
2013-11-08,3.48,3.48,3.42,3.42,37500
2013-11-11,3.48,3.61,3.42,3.61,44300
2013-11-12,3.61,3.61,3.48,3.55,49200
2013-11-13,3.55,3.55,3.48,3.55,21600
2013-11-14,3.55,3.61,3.48,3.61,17500
2013-11-15,3.61,3.67,3.61,3.67,22900
2013-11-18,3.67,3.8,3.61,3.8,21400
2013-11-19,3.55,3.61,3.55,3.61,15100
2013-11-20,3.61,3.67,3.61,3.67,22900
2013-11-21,3.74,3.74,3.55,3.61,87833
2013-11-22,3.48,3.61,3.48,3.61,28600
2013-11-25,3.61,3.61,3.48,3.55,35000
2013-11-26,3.55,3.55,3.42,3.55,16900
2013-11-27,3.48,3.67,3.48,3.61,44400
2013-11-28,3.61,3.61,3.61,3.61,24100
2013-11-29,3.61,3.67,3.61,3.67,14500
2013-12-02,3.67,4.0,3.67,4.0,46600
2013-12-03,4.19,4.19,3.87,4.0,55000
2013-12-04,4.0,4.25,4.0,4.25,46200
2013-12-05,4.25,4.32,4.13,4.25,27800
2013-12-06,4.25,4.25,4.0,4.13,30500
2013-12-09,4.19,4.19,4.13,4.13,22700
2013-12-10,4.25,4.25,3.93,3.93,21700
2013-12-11,4.0,4.06,3.8,4.0,20400
2013-12-12,4.07,4.35,4.07,4.35,13800
2013-12-13,4.35,4.35,4.28,4.35,14400
2013-12-16,4.35,4.77,4.35,4.77,47500
2013-12-17,4.77,4.77,4.56,4.56,17100
2013-12-18,4.56,4.56,4.56,4.56,3800
2013-12-19,4.56,4.63,4.49,4.56,24700
2013-12-20,4.49,4.56,4.42,4.49,37700
2013-12-23,4.63,4.7,4.35,4.56,4500
2013-12-24,4.35,4.49,4.28,4.49,13100
2013-12-25,4.35,4.42,4.35,4.42,3800
2013-12-26,4.35,4.42,4.35,4.42,5100
2013-12-27,4.28,4.35,4.07,4.07,17200
2013-12-30,3.86,3.86,3.86,3.86,7600
2013-12-31,3.86,4.21,3.86,3.93,5600
2014-01-02,4.21,4.21,4.0,4.0,3100
2014-01-03,4.0,4.07,3.65,3.65,2700
2014-01-06,4.0,4.0,3.86,4.0,3800
2014-01-07,4.0,4.14,4.0,4.14,3900
2014-01-08,4.07,4.14,3.93,3.93,11000
2014-01-09,4.0,4.14,4.0,4.0,8500
2014-01-10,4.14,4.21,4.14,4.21,5300
2014-01-13,4.14,4.14,4.14,4.14,2000
2014-01-14,4.07,4.21,4.0,4.21,7900
2014-01-15,4.14,4.28,4.14,4.21,30900
2014-01-16,4.07,4.21,4.07,4.14,4000
2014-01-17,4.14,4.14,3.93,3.93,28500
2014-01-20,4.0,4.07,4.0,4.0,13000
2014-01-21,4.0,4.28,4.0,4.21,21500
2014-01-22,4.21,4.56,4.21,4.42,15900
2014-01-23,4.49,4.77,4.42,4.77,34500
2014-01-24,4.77,4.77,4.7,4.7,577
2014-01-27,4.7,4.7,4.7,4.7,0
2014-02-06,4.77,4.77,4.56,4.7,14700
2014-02-07,4.7,4.7,4.56,4.56,21600
2014-02-10,4.56,4.77,4.56,4.63,15300
2014-02-11,4.7,4.84,4.7,4.77,18986
2014-02-12,4.77,4.91,4.77,4.91,5700
2014-02-13,4.91,4.98,4.91,4.98,8014
2014-02-14,4.77,4.98,4.7,4.91,26600
2014-02-17,4.91,5.19,4.84,5.12,39800
2014-02-18,5.19,5.19,4.98,5.19,16500
2014-02-19,5.19,5.33,5.12,5.33,30620
2014-02-20,5.33,5.4,4.91,5.12,27433
2014-02-21,4.77,5.19,4.77,5.19,7314
2014-02-24,5.12,5.19,4.98,5.19,12800
2014-02-25,5.19,5.19,5.05,5.19,10100
2014-02-26,5.05,5.19,4.98,5.05,26600
2014-02-27,5.05,5.12,4.98,5.12,38100
2014-02-28,5.12,5.19,5.12,5.19,2300
2014-03-03,5.47,5.47,4.7,5.26,71400
2014-03-04,5.26,5.4,5.12,5.4,22000
2014-03-05,5.4,5.4,5.26,5.4,16800
2014-03-06,5.4,5.4,5.26,5.33,24800
2014-03-07,5.26,5.54,5.26,5.47,22100
2014-03-10,5.61,5.82,5.61,5.82,6500
2014-03-11,6.03,6.1,5.82,6.1,23800
2014-03-12,6.1,6.1,5.75,6.1,48100
2014-03-13,5.89,6.03,5.89,6.03,1300
2014-03-14,5.89,6.03,5.82,6.03,4900
2014-03-17,5.75,6.03,5.75,6.03,16430
2014-03-18,6.03,6.03,5.89,6.03,31500
2014-03-19,5.96,6.1,5.96,6.1,44900
2014-03-20,6.1,6.31,6.1,6.31,48900
2014-03-21,6.31,6.38,6.31,6.31,12560
2014-03-24,6.38,6.52,6.38,6.52,14800
2014-03-25,6.31,6.52,6.31,6.52,26600
2014-03-26,6.31,6.31,6.1,6.1,26772
2014-03-27,5.75,5.96,5.61,5.96,17133
2014-03-28,5.96,6.24,5.96,6.24,7618
2014-03-31,6.31,6.31,6.31,6.31,600
2014-04-01,5.96,5.96,5.96,5.96,1710
2014-04-02,5.96,5.96,5.61,5.89,10500
2014-04-03,6.03,6.1,6.03,6.1,25100
2014-04-04,5.96,6.31,5.96,6.31,9700
2014-04-07,6.31,6.31,6.24,6.24,1100
2014-04-08,6.1,6.24,6.1,6.24,5200
2014-04-10,6.24,6.24,6.24,6.24,66
2014-04-11,6.24,6.24,6.03,6.03,1700
2014-04-14,5.82,5.96,5.82,5.82,11800
2014-04-15,6.1,6.1,5.82,6.03,18232
2014-04-16,5.82,5.82,5.61,5.82,21900
2014-04-17,5.82,6.03,5.75,6.03,8802
2014-04-18,5.82,5.82,5.68,5.68,14800
2014-04-21,5.68,6.03,5.68,5.68,19800
2014-04-22,5.68,6.03,5.68,6.03,14100
2014-04-23,6.03,6.03,5.96,6.03,400
2014-04-24,5.82,5.82,5.82,5.82,600
2014-04-25,5.96,6.03,5.89,6.03,3800
2014-04-28,6.1,6.1,5.89,5.96,15400
2014-04-29,5.89,5.96,5.89,5.96,2100
2014-05-05,5.96,5.96,5.96,5.96,2000
2014-05-06,5.82,5.82,5.54,5.68,19500
2014-05-07,5.75,5.82,5.68,5.82,5700
2014-05-08,5.54,5.54,5.26,5.26,16100
2014-05-09,5.05,5.47,5.05,5.47,1100
2014-05-12,5.33,5.33,5.05,5.26,13200
2014-05-13,4.91,5.12,4.84,5.12,21600
2014-05-14,5.12,5.26,5.12,5.26,5200
2014-05-15,5.12,5.33,4.77,5.33,9600
2014-05-16,5.05,5.26,5.05,5.26,3200
2014-05-19,5.19,5.33,5.12,5.33,2500
2014-05-20,5.4,5.54,5.4,5.54,11500
2014-05-21,5.82,5.89,5.82,5.89,3200
2014-05-22,5.89,5.89,5.47,5.75,6200
2014-05-23,5.75,5.75,5.75,5.75,500
2014-05-26,5.68,5.68,5.54,5.54,4500
2014-05-27,5.61,5.61,5.61,5.61,2100
2014-05-28,5.68,5.68,5.68,5.68,100
2014-05-29,5.47,5.47,5.47,5.47,1000
2014-05-30,5.54,5.54,5.54,5.54,100
2014-06-02,5.54,5.54,5.54,5.54,0
2014-06-03,5.33,5.54,5.33,5.54,200
2014-06-04,5.33,5.4,5.26,5.4,3400
2014-06-05,5.26,5.47,5.26,5.47,300
2014-06-06,5.47,5.47,5.47,5.47,900
2014-06-09,5.47,5.61,5.47,5.61,28600
2014-06-10,5.61,5.61,5.47,5.61,6300
2014-06-11,5.82,5.82,5.54,5.54,26700
2014-06-12,5.54,5.54,5.54,5.54,15400
2014-06-13,5.54,5.54,5.54,5.54,16000
2014-06-16,5.68,5.68,5.54,5.54,15000
2014-06-17,5.54,5.61,5.54,5.61,4000
2014-06-18,5.47,5.68,5.47,5.68,69900
2014-06-19,5.54,5.61,5.54,5.61,8200
2014-06-20,5.61,6.03,5.61,6.03,59100
2014-06-23,5.54,6.03,5.54,5.96,31200
2014-06-24,5.96,6.38,5.96,6.31,65400
2014-06-25,6.45,6.66,6.45,6.52,42600
2014-06-26,6.52,6.52,6.38,6.38,26406
2014-06-27,6.31,6.45,6.24,6.45,25800
2014-06-30,6.31,7.08,6.31,7.08,322300
2014-07-01,7.64,7.64,7.01,7.01,94000
2014-07-02,7.01,7.01,7.01,7.01,20100
2014-07-03,7.08,7.08,6.94,7.01,17700
2014-07-04,7.08,7.15,7.01,7.15,14000
2014-07-07,7.08,7.22,7.01,7.08,32600
2014-07-08,7.01,7.08,6.87,6.94,21600
2014-07-09,7.01,7.08,6.94,7.08,41064
2014-07-10,6.87,7.08,6.87,6.94,41200
2014-07-11,6.94,7.08,6.94,7.08,23300
2014-07-14,7.01,7.08,7.01,7.08,29200
2014-07-15,7.01,7.22,7.01,7.22,69336
2014-07-16,7.3,7.38,7.3,7.3,23100
2014-07-17,7.3,7.3,7.07,7.3,5100
2014-07-18,7.14,7.14,7.07,7.14,6010
2014-07-21,6.99,7.07,6.99,6.99,40500
2014-07-22,7.07,7.38,7.07,7.22,17000
2014-07-23,7.22,7.22,7.07,7.22,36000
2014-07-24,7.22,7.22,7.22,7.22,15200
2014-07-25,6.99,7.38,6.91,7.38,9800
2014-07-28,6.99,6.99,6.76,6.83,23200
2014-07-29,6.37,6.91,6.29,6.83,1700
2014-07-30,6.76,6.91,6.68,6.91,7000
2014-07-31,6.83,6.91,6.83,6.83,6200
2014-08-01,6.76,6.83,6.76,6.83,6100
2014-08-04,6.76,6.83,6.76,6.83,3000
2014-08-05,6.76,6.91,6.76,6.83,7560
2014-08-06,6.99,6.99,6.91,6.99,15920
2014-08-07,7.14,7.14,6.91,6.99,3900
2014-08-08,6.91,6.99,6.91,6.99,11600
2014-08-11,6.99,6.99,6.83,6.83,27100
2014-08-12,6.83,6.99,6.83,6.99,5300
2014-08-13,6.99,6.99,6.91,6.99,14300
2014-08-14,6.99,6.99,6.83,6.83,5600
2014-08-15,6.99,6.99,6.83,6.91,25500
2014-08-18,6.91,6.99,6.83,6.99,26700
2014-08-19,7.22,7.22,7.07,7.14,7300
2014-08-20,7.07,7.14,7.07,7.14,11500
2014-08-21,7.07,7.07,7.07,7.07,16900
2014-08-22,6.99,7.07,6.99,7.07,16600
2014-08-25,7.07,7.14,6.99,7.07,25000
2014-08-26,7.07,7.53,7.07,7.53,15900
2014-08-27,7.14,7.3,7.07,7.3,7700
2014-08-28,7.14,7.22,7.14,7.22,7900
2014-08-29,7.14,7.14,7.07,7.14,15000
2014-09-03,7.22,7.3,7.14,7.3,11781
2014-09-04,7.3,7.3,7.22,7.22,3600
2014-09-05,7.22,7.3,7.22,7.22,6600
2014-09-08,7.3,7.45,7.3,7.3,25700
2014-09-09,7.3,7.3,7.07,7.07,40401
2014-09-10,7.07,7.22,7.07,7.22,14600
2014-09-11,7.14,7.22,7.14,7.22,8700
2014-09-12,7.22,7.22,7.14,7.14,6200
2014-09-15,7.14,7.22,7.14,7.22,14500
2014-09-16,7.14,7.14,7.14,7.14,8510
2014-09-17,7.14,7.3,7.14,7.22,18800
2014-09-18,7.3,7.38,7.22,7.3,55200
2014-09-19,7.22,7.38,7.22,7.38,10300
2014-09-22,7.38,7.45,7.3,7.38,9900
2014-09-23,7.3,7.53,7.3,7.45,23800
