time,open,high,low,close,volume
2015-06-26,1.9,1.9,1.9,1.9,0
2015-06-29,1.9,2.0,1.9,2.0,1900
2015-06-30,2.0,2.0,2.0,2.0,0
2015-07-01,1.9,1.9,1.9,1.9,2000
2015-07-02,1.9,1.9,1.9,1.9,1500
2015-07-03,2.1,2.1,2.1,2.1,2900
2015-07-06,2.4,2.4,2.4,2.4,3000
2015-07-07,2.1,2.1,2.1,2.1,100
2015-07-08,2.1,2.1,2.1,2.1,0
2015-07-09,2.1,2.1,2.1,2.1,0
2015-07-10,2.4,2.4,2.1,2.1,1300
2015-07-13,2.1,2.1,2.1,2.1,100
2015-07-14,2.4,2.4,2.4,2.4,12400
2015-07-15,2.4,2.4,2.4,2.4,0
2015-07-16,2.2,2.2,2.2,2.2,200
2015-07-17,2.2,2.2,2.2,2.2,0
2015-07-20,2.2,2.2,2.2,2.2,1400
2015-07-21,2.1,2.1,2.1,2.1,200
2015-07-22,2.1,2.1,2.1,2.1,0
2015-07-23,2.2,2.4,2.2,2.4,2300
2015-07-24,2.4,2.4,2.4,2.4,0
2015-07-27,2.4,2.4,2.4,2.4,0
2015-07-28,2.3,2.3,2.2,2.2,4900
2015-07-29,2.2,2.2,2.2,2.2,0
2015-07-30,2.2,2.2,2.2,2.2,0
2015-07-31,2.0,2.0,2.0,2.0,300
2015-08-03,2.0,2.0,2.0,2.0,0
2015-08-04,2.0,2.3,2.0,2.3,4000
2015-08-05,2.1,2.1,2.1,2.1,500
2015-08-06,2.4,2.4,2.1,2.1,12000
2015-08-07,2.1,2.1,2.1,2.1,0
2015-08-10,2.1,2.1,2.1,2.1,0
2015-08-11,2.1,2.1,2.1,2.1,0
2015-08-12,2.1,2.1,2.1,2.1,500
2015-08-13,2.1,2.1,2.1,2.1,1000
2015-08-14,2.1,2.1,2.1,2.1,0
2015-08-17,2.1,2.1,2.1,2.1,0
2015-08-18,2.1,2.1,2.1,2.1,0
2015-08-19,2.1,2.1,2.1,2.1,0
2015-08-20,2.1,2.1,2.1,2.1,0
2015-08-21,2.1,2.1,2.1,2.1,0
2015-08-24,2.1,2.1,2.1,2.1,0
2015-08-25,2.1,2.1,2.1,2.1,0
2015-08-26,2.1,2.1,2.1,2.1,0
2015-08-27,2.0,2.0,2.0,2.0,100
2015-08-28,2.0,2.0,2.0,2.0,0
2015-08-31,2.3,2.3,2.3,2.3,1900
2015-09-01,2.3,2.3,2.3,2.3,0
2015-09-03,2.3,2.3,2.3,2.3,0
2015-09-04,2.3,2.3,2.3,2.3,0
2015-09-07,2.3,2.3,2.3,2.3,0
2015-09-08,2.3,2.3,2.3,2.3,0
2015-09-09,2.3,2.3,2.3,2.3,0
2015-09-10,2.3,2.3,2.3,2.3,0
2015-09-11,2.3,2.3,2.3,2.3,0
2015-09-14,2.3,2.3,2.3,2.3,0
2015-09-15,2.3,2.3,2.3,2.3,0
2015-09-16,2.3,2.3,2.3,2.3,0
