time,open,high,low,close,volume
2013-06-07,3.05,3.14,2.97,3.14,3000
2013-06-10,3.14,3.14,2.97,3.14,4400
2013-06-11,2.97,3.05,2.97,3.05,10800
2013-06-12,3.22,3.22,3.05,3.05,1000
2013-06-13,3.05,3.31,3.05,3.31,48500
2013-06-14,3.31,3.48,3.31,3.48,164700
2013-06-17,3.65,3.73,3.39,3.56,85200
2013-06-18,3.48,3.56,3.48,3.56,3600
2013-06-19,3.48,3.48,3.22,3.22,20100
2013-06-20,3.05,3.31,3.05,3.31,18400
2013-06-21,3.31,3.39,3.31,3.31,2900
2013-06-24,3.22,3.31,3.22,3.31,5900
2013-06-25,3.22,3.39,3.05,3.22,22600
2013-06-26,3.22,3.22,2.97,3.14,25200
2013-06-27,3.05,3.22,3.05,3.22,3700
2013-06-28,3.31,3.31,2.97,3.05,26400
2013-07-01,2.97,3.05,2.97,3.05,12100
2013-07-02,3.14,3.22,3.14,3.22,4200
2013-07-03,3.14,3.22,3.14,3.22,1100
2013-07-04,3.05,3.14,3.05,3.14,3100
2013-07-05,3.14,3.22,3.05,3.05,3600
2013-07-08,3.22,3.22,3.22,3.22,600
2013-07-09,3.14,3.22,3.14,3.22,1200
2013-07-10,3.14,3.14,3.14,3.14,1000
2013-07-11,3.22,3.39,3.22,3.39,67300
2013-07-12,3.39,3.48,3.31,3.48,14300
2013-07-15,3.48,3.48,3.39,3.48,1200
2013-07-16,3.31,3.31,3.14,3.31,25300
2013-07-17,3.31,3.39,3.31,3.39,7900
2013-07-18,3.31,3.31,3.22,3.22,16600
2013-07-19,3.31,3.31,3.22,3.31,1800
2013-07-22,3.14,3.22,3.05,3.22,19800
2013-07-23,3.22,3.22,3.14,3.14,1300
2013-07-24,3.14,3.14,3.05,3.14,18900
2013-07-25,3.05,3.14,3.05,3.14,3900
2013-07-26,3.05,3.22,3.05,3.22,1400
2013-07-29,2.97,3.14,2.97,3.14,1000
2013-07-30,2.97,2.97,2.97,2.97,2100
2013-07-31,2.88,2.97,2.8,2.97,51600
2013-08-01,2.97,2.97,2.88,2.97,16100
2013-08-02,3.05,3.14,2.97,3.05,7800
2013-08-05,2.88,3.14,2.88,3.14,12000
2013-08-06,3.14,3.14,3.05,3.14,31700
2013-08-07,3.05,3.14,3.05,3.14,13300
2013-08-08,3.05,3.14,2.97,3.14,7600
2013-08-09,3.05,3.14,2.97,3.14,19300
2013-08-12,2.97,3.14,2.97,3.14,11400
2013-08-13,3.05,3.14,3.05,3.14,1600
2013-08-14,3.05,3.14,2.97,3.14,7100
2013-08-15,3.05,3.14,2.97,3.14,23400
2013-08-16,3.05,3.05,3.05,3.05,1000
2013-08-19,3.22,3.22,3.05,3.22,6200
2013-08-20,2.97,3.14,2.97,3.14,1400
2013-08-21,3.05,3.14,3.05,3.14,900
2013-08-22,2.97,3.14,2.97,3.14,4100
2013-08-23,3.14,3.14,3.14,3.14,0
2013-08-26,3.14,3.14,3.14,3.14,0
2013-08-27,2.88,3.05,2.88,3.05,200
2013-08-28,3.05,3.05,3.05,3.05,0
2013-08-29,3.05,3.05,3.05,3.05,0
2013-08-30,2.88,2.97,2.88,2.97,6000
2013-09-03,2.97,2.97,2.97,2.97,0
2013-09-04,2.97,2.97,2.97,2.97,0
2013-09-05,3.05,3.05,3.05,3.05,100
2013-09-06,3.05,3.05,3.05,3.05,0
2013-09-09,3.05,3.05,3.05,3.05,500
2013-09-10,2.88,2.97,2.88,2.97,2100
2013-09-11,2.88,2.97,2.88,2.97,800
2013-09-12,2.97,2.97,2.97,2.97,0
2013-09-13,2.71,2.97,2.71,2.88,1000
2013-09-16,2.71,2.88,2.71,2.88,2400
2013-09-17,2.71,2.71,2.71,2.71,500
2013-09-18,2.71,2.8,2.71,2.8,16100
2013-09-19,2.88,2.97,2.88,2.97,3800
2013-09-20,2.71,2.88,2.71,2.88,200
2013-09-23,2.71,2.8,2.71,2.8,6400
2013-09-24,2.97,2.97,2.97,2.97,100
2013-09-25,2.8,2.88,2.8,2.88,4000
2013-09-26,2.8,2.97,2.8,2.97,2100
2013-09-27,2.97,2.97,2.97,2.97,0
2013-09-30,2.88,3.14,2.8,3.14,25600
2013-10-01,3.14,3.14,3.14,3.14,0
2013-10-02,3.05,3.05,3.05,3.05,100
2013-10-03,2.88,2.97,2.88,2.97,6100
2013-10-04,2.88,3.05,2.88,3.05,200
2013-10-07,2.88,3.05,2.88,3.05,5600
2013-10-08,2.88,2.97,2.88,2.97,10500
2013-10-09,2.97,2.97,2.97,2.97,0
2013-10-10,2.97,2.97,2.97,2.97,2000
2013-10-11,3.14,3.14,2.88,3.05,3900
2013-10-14,3.05,3.05,2.97,3.05,13500
2013-10-15,2.97,3.14,2.97,3.14,2100
2013-10-16,3.14,3.14,2.97,3.05,11800
2013-10-17,2.97,3.05,2.97,3.05,3900
2013-10-18,3.14,3.14,2.97,3.05,9300
2013-10-21,3.05,3.14,2.97,3.14,10500
2013-10-22,3.14,3.14,2.97,3.14,9300
2013-10-23,2.97,3.14,2.97,3.14,2800
2013-10-24,3.14,3.39,3.14,3.31,32500
2013-10-25,3.22,3.22,3.14,3.22,14100
2013-10-28,3.22,3.22,3.22,3.22,1100
2013-10-29,3.22,3.22,3.14,3.14,19800
2013-10-30,3.22,3.39,3.22,3.39,107010
2013-10-31,3.56,3.73,3.48,3.73,187100
2013-11-01,4.07,4.07,3.82,4.07,263200
2013-11-04,4.41,4.41,4.24,4.41,350200
2013-11-05,4.83,4.83,4.66,4.83,293000
2013-11-06,4.83,5.26,4.58,5.17,257900
2013-11-07,5.17,5.26,4.83,4.83,183600
2013-11-08,5.0,5.26,4.92,5.17,215400
2013-11-11,5.17,5.51,5.17,5.51,113500
2013-11-12,5.51,6.02,5.51,6.02,271900
2013-11-13,6.11,6.61,6.11,6.61,325900
2013-11-14,7.12,7.12,6.7,7.12,236800
2013-11-15,7.21,7.63,6.53,6.95,333700
2013-11-18,6.95,6.95,6.36,6.61,271900
2013-11-19,6.61,7.04,6.36,6.87,411400
2013-11-20,6.87,6.95,6.7,6.7,285200
2013-11-21,6.87,7.29,6.78,6.78,493200
2013-11-22,6.78,6.78,6.53,6.78,309900
2013-11-25,6.45,6.7,6.11,6.11,227000
2013-11-26,5.94,6.36,5.68,6.11,310310
2013-11-27,6.11,6.19,5.94,6.11,182300
2013-11-28,6.11,6.11,5.51,5.68,157200
2013-11-29,5.94,5.94,5.51,5.51,121200
2013-12-02,5.85,5.85,5.34,5.43,74200
2013-12-03,5.43,5.85,5.26,5.68,155700
2013-12-04,5.51,5.94,5.51,5.68,113300
2013-12-05,5.77,6.02,5.77,6.02,181020
2013-12-06,5.94,5.94,5.77,5.85,126900
2013-12-09,5.85,5.85,5.51,5.6,147650
2013-12-10,5.68,5.68,5.34,5.43,100400
2013-12-11,5.51,5.51,5.09,5.34,73700
2013-12-12,5.43,5.43,5.17,5.43,66400
2013-12-13,5.51,5.6,5.26,5.6,99400
2013-12-16,5.51,6.11,5.51,6.11,194400
2013-12-17,6.7,6.7,6.11,6.11,167605
2013-12-18,6.11,6.11,5.85,5.85,75100
2013-12-19,6.02,6.19,5.85,6.02,167107
2013-12-20,5.94,6.02,5.6,5.68,43600
2013-12-23,5.51,5.77,5.51,5.6,59600
2013-12-24,5.6,5.68,5.51,5.6,48400
2013-12-25,5.68,5.94,5.51,5.6,29100
2013-12-26,5.68,5.68,5.51,5.6,60100
2013-12-27,5.77,5.77,5.43,5.43,35100
2013-12-30,5.68,5.68,5.0,5.09,15400
2013-12-31,5.09,5.26,5.0,5.26,31800
2014-01-02,5.26,5.26,5.0,5.17,21592
2014-01-03,5.09,5.26,5.09,5.26,30100
2014-01-06,5.26,5.51,5.26,5.43,34700
2014-01-07,5.34,5.34,5.17,5.17,13500
2014-01-08,5.09,5.43,5.09,5.43,18800
2014-01-09,5.34,5.34,5.26,5.34,12000
2014-01-10,5.26,5.85,5.26,5.43,91300
2014-01-13,5.68,5.68,5.43,5.43,21400
2014-01-14,5.34,5.6,5.34,5.6,41900
2014-01-15,5.43,5.51,5.34,5.34,36300
2014-01-16,5.26,5.34,5.09,5.09,45200
2014-01-17,5.26,5.26,5.0,5.0,31100
2014-01-20,5.0,5.09,4.75,4.75,28300
2014-01-21,4.92,5.09,4.75,5.09,10400
2014-01-22,5.34,5.34,4.75,5.09,7400
2014-01-23,5.09,5.09,4.75,5.09,38500
2014-01-24,5.09,5.6,5.09,5.26,29800
2014-01-27,5.17,5.26,5.17,5.26,36800
2014-02-06,5.51,5.68,5.26,5.34,46100
2014-02-07,5.43,5.43,5.09,5.17,92600
2014-02-10,5.17,5.34,5.09,5.34,73500
2014-02-11,5.34,5.51,5.26,5.26,132500
2014-02-12,5.26,5.34,5.26,5.34,53800
2014-02-13,5.26,5.85,5.26,5.68,333300
2014-02-14,5.68,5.85,5.6,5.85,121100
2014-02-17,5.77,6.19,5.68,6.19,214200
2014-02-18,6.36,6.36,5.85,6.11,196300
2014-02-19,6.11,6.19,5.85,6.02,126000
2014-02-20,6.02,6.11,5.51,5.85,240310
2014-02-21,5.77,5.94,5.6,5.85,111200
2014-02-24,5.77,5.85,5.68,5.85,29900
2014-02-25,5.77,5.94,5.68,5.77,176600
2014-02-26,5.77,6.28,5.77,6.28,334300
2014-02-27,6.78,6.78,6.02,6.19,167500
2014-02-28,6.19,6.19,5.94,6.19,89500
2014-03-03,6.19,6.19,5.68,5.77,182300
2014-03-04,5.6,5.77,5.51,5.77,64600
2014-03-05,5.85,5.85,5.68,5.85,26300
2014-03-06,5.6,6.02,5.6,5.94,83100
2014-03-07,6.02,6.19,5.94,6.19,190900
2014-03-10,6.28,6.53,6.11,6.36,202900
2014-03-11,6.53,6.61,6.28,6.45,211700
2014-03-12,6.45,6.45,6.19,6.36,142700
2014-03-13,6.19,6.36,6.11,6.36,188200
2014-03-14,6.36,6.45,6.19,6.28,104300
2014-03-17,6.28,6.78,6.19,6.7,396300
2014-03-18,6.95,7.12,6.7,6.95,388060
2014-03-19,6.95,6.95,6.78,6.95,169800
2014-03-20,6.78,6.87,6.61,6.61,149410
2014-03-21,6.7,7.21,6.61,7.21,540700
2014-03-24,7.29,7.8,7.29,7.55,262420
2014-03-25,7.46,7.72,7.12,7.12,224000
2014-03-26,7.12,7.21,6.7,7.04,370800
2014-03-27,6.78,7.04,6.45,6.95,137000
2014-03-28,6.95,7.04,6.87,6.95,84300
2014-03-31,7.21,7.21,6.78,6.87,113300
2014-04-01,6.61,6.87,6.19,6.28,161600
2014-04-02,6.28,6.45,5.77,6.19,116000
2014-04-03,6.7,6.7,6.36,6.7,63700
2014-04-04,6.61,6.61,6.36,6.61,45000
2014-04-07,6.61,6.61,6.45,6.61,61300
2014-04-08,6.45,6.7,6.45,6.61,61700
2014-04-10,6.53,6.78,6.53,6.7,35400
2014-04-11,6.61,6.7,6.36,6.61,17800
2014-04-14,6.45,6.53,6.36,6.53,34610
2014-04-15,6.28,6.45,6.19,6.36,34300
2014-04-16,6.45,6.45,5.77,6.19,330400
2014-04-17,6.28,6.45,6.19,6.45,94500
2014-04-18,6.28,6.45,5.85,5.85,185620
2014-04-21,5.94,6.02,5.77,6.02,69100
2014-04-22,5.85,6.45,5.85,6.28,61600
2014-04-23,6.28,6.36,6.11,6.28,45000
2014-04-24,6.19,6.28,6.19,6.28,27700
2014-04-25,6.11,6.36,6.11,6.36,37100
2014-04-28,6.45,6.45,6.36,6.36,20700
