time,open,high,low,close,volume
2015-06-26,6.0,6.0,6.0,6.0,0
2015-06-29,6.0,6.0,6.0,6.0,0
2015-06-30,6.0,6.0,6.0,6.0,0
2015-07-01,6.0,6.0,6.0,6.0,0
2015-07-02,6.77,6.77,6.77,6.77,100
2015-07-03,6.77,6.77,6.77,6.77,0
2015-07-06,6.77,6.77,6.77,6.77,0
2015-07-07,6.77,6.77,6.77,6.77,0
2015-07-08,6.21,6.21,5.87,5.87,5200
2015-07-09,5.87,5.87,5.87,5.87,0
2015-07-10,5.87,5.87,5.87,5.87,0
2015-07-13,5.87,5.87,5.87,5.87,0
2015-07-14,5.87,5.87,5.87,5.87,0
2015-07-15,5.87,5.87,5.87,5.87,0
2015-07-16,5.87,5.87,5.87,5.87,0
2015-07-17,5.87,5.87,5.87,5.87,0
2015-07-20,5.87,5.87,5.87,5.87,0
2015-07-21,6.13,6.13,6.13,6.13,6000
2015-07-22,6.0,6.0,6.0,6.0,1000
2015-07-23,5.53,5.53,5.53,5.53,800
2015-07-24,5.53,5.53,5.53,5.53,0
2015-07-27,5.53,5.53,5.53,5.53,0
2015-07-28,5.53,5.53,5.53,5.53,0
2015-07-29,6.3,6.3,6.3,6.3,100
2015-07-30,6.3,6.3,6.3,6.3,0
2015-07-31,6.47,6.47,6.47,6.47,100
2015-08-03,6.47,6.47,6.47,6.47,0
2015-08-04,6.47,6.47,6.47,6.47,0
2015-08-05,6.47,6.47,6.47,6.47,0
2015-08-06,6.47,6.47,6.47,6.47,0
2015-08-07,6.47,6.47,6.47,6.47,0
2015-08-10,6.47,6.47,6.47,6.47,0
2015-08-11,6.17,7.32,6.17,7.32,400
2015-08-12,7.32,7.32,7.32,7.32,0
2015-08-13,7.32,7.32,7.32,7.32,0
2015-08-14,7.32,7.32,7.32,7.32,0
2015-08-17,7.32,7.32,7.32,7.32,0
2015-08-18,7.32,7.32,7.32,7.32,0
2015-08-19,6.0,6.0,6.0,6.0,100
2015-08-20,5.87,5.87,5.87,5.87,100
2015-08-21,5.87,5.87,5.87,5.87,0
2015-08-24,5.53,5.53,5.53,5.53,8100
2015-08-25,5.53,5.53,5.53,5.53,11600
2015-08-26,5.53,5.53,5.53,5.53,0
2015-08-27,5.53,5.53,5.53,5.53,0
2015-08-28,5.57,5.57,5.53,5.53,8700
2015-08-31,5.53,5.53,5.53,5.53,0
2015-09-01,5.45,5.45,5.02,5.11,16300
2015-09-03,5.92,5.92,5.02,5.02,200
2015-09-04,6.17,6.17,6.17,6.17,100
2015-09-07,5.28,5.28,5.28,5.28,100
2015-09-08,5.19,5.19,5.11,5.11,6900
2015-09-09,5.15,5.15,4.98,4.98,28600
2015-09-10,4.98,4.98,4.94,4.94,2100
2015-09-11,4.94,4.94,4.94,4.94,0
2015-09-14,4.94,4.94,4.94,4.94,0
2015-09-15,5.66,5.66,5.66,5.66,200
2015-09-16,5.66,5.66,5.66,5.66,0
2015-09-17,6.47,6.47,6.47,6.47,1500
2015-09-18,6.47,6.47,6.47,6.47,0
2015-09-21,6.47,6.47,6.47,6.47,0
2015-09-22,6.47,6.47,6.47,6.47,0
2015-09-23,6.47,6.47,6.47,6.47,0
2015-09-24,6.47,6.47,6.47,6.47,0
2015-09-25,6.47,6.47,6.47,6.47,0
2015-09-28,7.18,7.18,7.18,7.18,0
2015-09-29,6.47,6.47,6.47,6.47,100
2015-09-30,6.47,6.47,6.47,6.47,0
2015-10-01,6.47,6.47,6.47,6.47,0
2015-10-02,6.47,6.47,6.47,6.47,100
2015-10-05,6.47,6.47,6.47,6.47,0
2015-10-06,6.47,6.47,6.47,6.47,0
2015-10-07,6.47,6.47,6.47,6.47,0
2015-10-08,6.47,6.47,6.47,6.47,0
2015-10-09,6.47,6.47,6.47,6.47,0
2015-10-12,6.47,6.47,6.47,6.47,0
2015-10-13,6.61,6.61,6.61,6.61,6500
2015-10-14,6.61,6.61,6.61,6.61,0
2015-10-15,6.61,6.61,6.61,6.61,0
2015-10-16,6.61,6.61,6.61,6.61,0
2015-10-19,6.61,6.61,6.61,6.61,0
2015-10-20,6.61,6.61,6.61,6.61,0
2015-10-21,6.61,6.61,6.61,6.61,0
2015-10-22,6.61,6.61,6.61,6.61,0
2015-10-23,6.94,6.94,6.94,6.94,1000
2015-10-26,7.13,7.13,7.13,7.13,100
2015-10-27,7.13,7.13,7.13,7.13,1000
2015-10-28,7.13,7.13,7.13,7.13,0
2015-10-29,7.13,7.13,7.13,7.13,0
2015-10-30,7.08,7.08,7.08,7.08,3500
2015-11-02,7.08,7.08,7.08,7.08,13000
2015-11-03,7.08,7.13,7.08,7.13,4000
2015-11-04,7.13,7.13,7.13,7.13,0
2015-11-05,7.13,7.13,7.13,7.13,0
2015-11-06,7.13,7.13,7.13,7.13,5000
2015-11-09,7.13,7.13,7.13,7.13,0
2015-11-10,7.18,7.18,6.85,6.85,12200
2015-11-11,6.85,6.85,6.85,6.85,100
2015-11-12,6.85,6.85,6.85,6.85,0
2015-11-13,7.08,7.08,7.08,7.08,5700
2015-11-16,7.13,7.13,7.13,7.13,3000
2015-11-17,7.08,7.08,7.08,7.08,100
2015-11-18,7.08,7.08,7.08,7.08,0
2015-11-19,7.08,7.08,7.08,7.08,0
2015-11-20,7.08,7.08,7.08,7.08,0
2015-11-23,7.08,7.08,7.08,7.08,0
2015-11-24,7.13,7.13,7.13,7.13,7800
2015-11-25,7.13,7.13,7.13,7.13,0
2015-11-26,7.13,7.13,7.13,7.13,0
2015-11-27,7.13,7.13,7.13,7.13,0
2015-11-30,7.13,7.13,7.13,7.13,0
2015-12-01,7.04,7.04,7.04,7.04,500
2015-12-02,7.04,7.04,7.04,7.04,0
2015-12-03,7.04,7.04,7.04,7.04,0
2015-12-04,6.99,6.99,6.94,6.94,2000
2015-12-07,6.89,6.89,6.61,6.8,4300
2015-12-08,6.61,6.61,6.61,6.61,6200
2015-12-09,6.61,6.61,6.61,6.61,0
2015-12-10,6.61,6.61,6.61,6.61,0
2015-12-11,6.61,6.61,6.61,6.61,0
2015-12-14,6.61,6.61,6.61,6.61,0
2015-12-15,6.61,6.61,6.61,6.61,0
2015-12-16,6.61,6.61,6.61,6.61,0
2015-12-17,6.61,6.61,6.61,6.61,0
