time,open,high,low,close,volume
2015-06-26,7.0,7.0,7.0,7.0,23100
2015-06-29,6.4,6.4,6.4,6.4,100
2015-06-30,6.0,6.0,6.0,6.0,200
2015-07-01,6.0,6.0,6.0,6.0,0
2015-07-02,6.6,6.6,6.6,6.6,1000
2015-07-03,6.6,6.6,6.6,6.6,0
2015-07-06,7.1,7.1,7.1,7.1,2100
2015-07-07,6.4,6.4,6.4,6.4,100
2015-07-08,7.0,7.0,7.0,7.0,10300
2015-07-09,7.1,7.1,7.1,7.1,31400
2015-07-10,7.5,7.8,7.2,7.8,303100
2015-07-13,7.8,7.8,7.8,7.8,0
2015-07-14,7.1,7.1,7.1,7.1,1500
2015-07-15,7.1,7.1,7.1,7.1,0
2015-07-16,7.1,7.1,7.1,7.1,0
2015-07-17,7.1,7.1,7.1,7.1,0
2015-07-20,6.4,6.4,6.4,6.4,100
2015-07-21,6.0,6.0,6.0,6.0,100
2015-07-22,6.6,6.6,6.6,6.6,11000
2015-07-23,7.2,7.2,7.2,7.2,6800
2015-07-24,7.3,7.3,7.2,7.2,5100
2015-07-27,7.2,7.2,7.2,7.2,0
2015-07-28,7.2,7.3,6.5,6.5,14200
2015-07-29,6.7,6.7,6.7,6.7,1500
2015-07-30,6.7,6.7,6.7,6.7,0
2015-07-31,6.6,6.7,6.6,6.7,5100
2015-08-03,6.7,6.7,6.7,6.7,20000
2015-08-04,6.7,6.7,6.7,6.7,0
2015-08-05,7.3,7.3,6.7,6.7,22400
2015-08-06,7.3,7.3,6.7,6.7,10100
2015-08-07,7.3,7.3,7.3,7.3,30000
2015-08-10,7.8,8.0,7.8,8.0,31100
2015-08-11,8.0,8.0,8.0,8.0,0
2015-08-12,7.2,7.2,7.2,7.2,1000
2015-08-13,7.2,7.2,7.2,7.2,0
2015-08-14,7.2,7.2,7.2,7.2,0
2015-08-17,7.2,7.2,7.2,7.2,1200
2015-08-18,7.2,7.2,7.2,7.2,1100
2015-08-19,7.2,7.2,7.2,7.2,0
2015-08-20,7.2,7.2,7.2,7.2,0
2015-08-21,6.5,6.5,6.5,6.5,2600
2015-08-24,5.9,5.9,5.9,5.9,4000
2015-08-25,5.4,5.5,5.4,5.5,10400
2015-08-26,6.0,6.0,6.0,6.0,100
2015-08-27,6.0,6.0,6.0,6.0,0
2015-08-28,6.0,6.0,6.0,6.0,2000
2015-08-31,6.6,6.6,6.6,6.6,100
2015-09-01,6.6,6.6,6.6,6.6,0
2015-09-03,7.2,7.2,7.2,7.2,9000
2015-09-04,7.2,7.2,7.2,7.2,0
2015-09-07,7.8,7.9,7.8,7.9,7600
2015-09-08,8.5,8.6,8.5,8.6,5000
2015-09-09,8.6,8.6,8.6,8.6,1600
2015-09-10,8.6,8.6,8.6,8.6,0
2015-09-11,8.6,8.6,8.6,8.6,0
2015-09-14,8.0,8.0,8.0,8.0,9200
