time,open,high,low,close,volume
2015-06-26,8.22,8.22,8.22,8.22,0
2015-06-29,7.67,7.67,7.67,7.67,200
2015-06-30,7.67,7.67,7.67,7.67,0
2015-07-01,7.67,7.67,7.67,7.67,0
2015-07-02,8.22,8.22,8.22,8.22,5900
2015-07-03,8.22,8.22,8.22,8.22,0
2015-07-06,8.22,8.22,8.22,8.22,2500
2015-07-07,8.22,8.22,8.22,8.22,0
2015-07-08,8.22,8.22,8.22,8.22,0
2015-07-09,8.22,8.22,8.22,8.22,0
2015-07-10,7.94,7.94,7.94,7.94,500
2015-07-13,7.94,7.94,7.94,7.94,0
2015-07-14,7.94,7.94,7.94,7.94,0
2015-07-15,7.94,7.94,7.94,7.94,500
2015-07-16,8.22,8.22,8.22,8.22,4300
2015-07-17,8.22,8.22,8.22,8.22,0
2015-07-20,8.22,8.22,8.22,8.22,0
2015-07-21,8.22,8.22,8.22,8.22,4500
2015-07-22,8.22,8.22,8.22,8.22,0
2015-07-23,8.22,8.22,8.22,8.22,0
2015-07-24,8.22,8.22,8.22,8.22,0
2015-07-27,8.22,8.22,8.22,8.22,0
2015-07-28,8.22,8.22,8.22,8.22,0
2015-07-29,8.22,8.22,8.22,8.22,0
2015-07-30,8.22,8.22,8.22,8.22,0
2015-07-31,8.22,8.22,8.22,8.22,0
2015-08-03,8.22,8.22,8.22,8.22,0
2015-08-04,8.22,8.22,8.22,8.22,0
2015-08-05,8.22,8.22,8.22,8.22,100
2015-08-06,8.22,8.22,8.22,8.22,0
2015-08-07,8.22,8.22,8.22,8.22,0
2015-08-10,8.49,8.49,8.49,8.49,100
2015-08-11,7.67,7.7,7.67,7.7,2800
2015-08-12,8.22,8.22,8.22,8.22,10000
2015-08-13,8.22,8.22,8.22,8.22,0
2015-08-14,8.22,8.22,8.22,8.22,0
2015-08-17,8.22,8.22,8.22,8.22,0
2015-08-18,8.22,8.22,8.22,8.22,0
2015-08-19,8.22,8.22,8.22,8.22,0
2015-08-20,8.22,8.22,8.22,8.22,0
2015-08-21,8.22,8.22,8.22,8.22,0
2015-08-24,8.22,8.22,8.22,8.22,0
2015-08-25,8.22,8.22,8.22,8.22,0
2015-08-26,8.22,8.22,8.22,8.22,0
