time,open,high,low,close,volume
2015-06-26,7.24,7.41,7.15,7.37,2200
2015-06-29,7.24,7.37,7.24,7.37,800
2015-06-30,7.37,7.41,7.24,7.41,9000
2015-07-01,7.28,7.28,7.28,7.28,5000
2015-07-02,7.24,7.46,7.24,7.46,2300
2015-07-03,7.46,7.46,7.46,7.46,0
2015-07-06,7.28,7.72,7.28,7.63,10500
2015-07-07,7.37,7.46,7.28,7.46,1200
2015-07-08,7.46,7.46,7.46,7.46,0
2015-07-09,7.5,7.68,7.5,7.68,900
2015-07-10,8.08,8.08,8.08,8.08,100
2015-07-13,7.46,7.68,7.46,7.68,400
2015-07-14,7.28,7.63,7.06,7.63,13000
2015-07-15,7.46,7.59,7.46,7.59,400
2015-07-16,7.59,7.59,7.59,7.59,0
2015-07-17,7.19,7.77,7.19,7.77,1300
2015-07-20,7.77,7.77,7.77,7.77,0
2015-07-21,7.28,7.72,7.28,7.72,12500
2015-07-22,7.72,7.72,7.72,7.72,0
2015-07-23,7.72,7.72,7.72,7.72,0
2015-07-24,7.5,7.94,7.5,7.94,1400
2015-07-27,7.5,7.5,7.5,7.5,500
2015-07-28,7.72,7.72,7.72,7.72,100
2015-07-29,7.06,7.46,7.02,7.41,2600
2015-07-30,7.41,7.41,7.41,7.41,200
2015-07-31,7.41,7.41,7.41,7.41,0
2015-08-03,7.28,7.28,7.28,7.28,100
2015-08-04,7.06,7.5,7.06,7.5,1400
2015-08-05,7.5,7.94,7.5,7.5,1000
2015-08-06,7.5,7.5,7.5,7.5,0
2015-08-07,7.41,7.72,7.41,7.72,1600
2015-08-10,7.41,7.68,7.41,7.68,1300
2015-08-11,7.33,7.46,7.33,7.46,900
2015-08-12,7.41,7.5,7.41,7.5,200
2015-08-13,7.37,7.41,7.37,7.41,200
2015-08-14,7.46,7.46,7.46,7.46,100
2015-08-17,7.46,7.46,7.28,7.28,12200
2015-08-18,7.68,7.68,7.28,7.46,400
2015-08-19,7.33,7.41,7.33,7.41,400
2015-08-20,7.19,7.41,7.19,7.41,400
2015-08-21,7.41,7.41,7.28,7.28,400
2015-08-24,7.28,7.63,7.15,7.63,700
2015-08-25,7.59,7.59,7.59,7.59,400
