time,open,high,low,close,volume
2015-06-26,7.67,7.88,7.64,7.7,23240
2015-06-29,7.4,7.67,7.34,7.67,27970
2015-06-30,7.64,8.03,7.64,7.91,122870
2015-07-01,7.79,7.88,7.79,7.79,9700
2015-07-02,7.76,7.76,7.67,7.67,3410
2015-07-03,7.7,7.88,7.7,7.88,9170
2015-07-06,7.7,7.82,7.7,7.82,2200
2015-07-07,7.79,7.94,7.76,7.94,29860
2015-07-08,7.94,8.09,7.91,7.97,31260
2015-07-09,7.88,8.0,7.61,8.0,18930
2015-07-10,7.94,8.09,7.91,8.09,32470
2015-07-13,8.03,8.16,8.0,8.12,20640
2015-07-14,8.16,8.34,8.03,8.09,20580
2015-07-15,8.06,8.19,8.06,8.16,25690
2015-07-16,8.16,8.16,8.16,8.16,1740
2015-07-17,8.06,8.19,8.03,8.19,12780
2015-07-20,8.12,8.12,8.12,8.12,30
2015-07-21,7.94,8.12,7.88,8.12,2710
2015-07-22,8.12,8.12,8.12,8.12,0
2015-07-23,7.88,8.12,7.7,8.06,6720
2015-07-24,8.03,8.06,7.76,8.03,7130
2015-07-27,8.12,8.19,7.88,8.03,3060
2015-07-28,7.88,8.03,7.79,7.94,4480
2015-07-29,7.94,8.12,7.82,8.0,1720
2015-07-30,7.73,7.97,7.73,7.97,140
2015-07-31,7.79,7.94,7.73,7.94,11820
2015-08-03,7.97,7.97,7.73,7.73,680
2015-08-04,7.88,7.97,7.73,7.97,3010
2015-08-05,7.88,8.0,7.88,7.94,13620
2015-08-06,7.76,7.94,7.76,7.94,4570
2015-08-07,7.94,7.94,7.88,7.88,6720
2015-08-10,7.79,7.94,7.79,7.79,560
2015-08-11,7.79,8.19,7.76,8.03,24910
2015-08-12,7.88,8.12,7.88,8.12,3490
2015-08-13,7.73,8.03,7.7,8.03,3360
2015-08-14,7.97,8.58,7.97,8.52,119680
2015-08-17,8.64,8.79,8.25,8.4,3010
2015-08-18,8.37,8.37,8.03,8.19,20160
2015-08-19,8.19,8.31,8.06,8.28,4230
2015-08-20,8.19,8.34,7.88,8.19,21440
2015-08-21,8.31,8.31,8.03,8.09,15420
2015-08-24,8.09,8.12,7.88,8.03,81270
2015-08-25,8.03,8.03,7.67,7.67,18770
2015-08-26,8.19,8.19,8.16,8.19,12120
2015-08-27,8.46,8.46,8.19,8.34,68460
2015-08-28,8.43,8.43,8.12,8.12,3770
2015-08-31,8.43,8.43,8.12,8.28,3080
2015-09-01,8.43,8.43,8.43,8.43,20
2015-09-03,8.12,8.43,8.12,8.43,10850
2015-09-04,8.03,8.43,8.03,8.43,80
2015-09-07,8.43,8.43,8.43,8.43,0
2015-09-08,8.4,8.4,8.4,8.4,10
2015-09-09,8.43,8.43,8.09,8.4,530
2015-09-10,8.12,8.4,8.12,8.34,25980
2015-09-11,8.34,8.34,8.31,8.31,8510
2015-09-14,8.34,8.49,8.34,8.43,6470
2015-09-15,8.31,8.43,8.31,8.43,380
2015-09-16,8.19,8.43,8.19,8.43,410
2015-09-17,8.43,8.43,8.19,8.4,2980
2015-09-18,8.34,8.34,8.19,8.31,1460
2015-09-21,8.49,8.49,8.49,8.49,10
2015-09-22,8.12,8.46,8.09,8.4,7630
2015-09-23,8.49,8.49,8.49,8.49,1990
2015-09-24,8.19,8.46,8.19,8.4,9630
2015-09-25,8.4,8.43,8.4,8.43,1630
2015-09-28,8.43,8.43,8.43,8.43,2440
2015-09-29,8.43,8.43,8.34,8.43,8090
2015-09-30,8.49,8.58,8.43,8.43,4140
2015-10-01,8.34,8.49,8.34,8.43,8710
2015-10-02,8.34,8.64,8.34,8.34,11960
2015-10-05,8.58,8.58,8.49,8.58,10560
2015-10-06,8.58,8.94,8.58,8.64,48290
2015-10-07,8.55,8.94,8.49,8.94,23830
2015-10-08,8.61,8.91,8.61,8.79,16060
2015-10-09,9.1,9.1,8.64,8.79,7820
2015-10-12,8.55,8.7,8.52,8.55,23710
2015-10-13,8.64,8.76,8.49,8.61,25220
2015-10-14,8.58,8.73,8.58,8.73,6400
2015-10-15,8.67,8.79,8.61,8.76,34270
2015-10-16,8.76,8.94,8.76,8.88,9140
2015-10-19,9.03,9.03,8.88,8.94,94780
2015-10-20,8.94,9.55,8.94,9.55,110890
2015-10-21,9.55,9.55,9.28,9.28,11610
2015-10-22,9.28,9.64,9.16,9.61,86000
2015-10-23,9.61,9.79,9.34,9.64,51770
2015-10-26,9.61,9.82,9.55,9.61,44920
2015-10-27,9.61,10.28,9.61,10.28,335600
2015-10-28,10.28,10.91,10.28,10.61,135410
2015-10-29,10.61,10.61,10.25,10.49,66360
2015-10-30,10.49,10.49,10.07,10.07,85430
2015-11-02,10.1,10.28,9.4,9.4,90840
2015-11-03,9.61,9.64,9.25,9.55,39800
2015-11-04,9.55,9.58,8.97,9.1,76370
2015-11-05,9.1,9.37,9.1,9.16,44550
2015-11-06,9.34,9.55,9.19,9.25,91920
2015-11-09,9.55,9.61,9.34,9.43,43130
2015-11-10,9.49,9.55,9.4,9.55,45540
2015-11-11,9.4,9.49,9.28,9.37,85450
2015-11-12,9.37,9.49,9.37,9.4,72610
2015-11-13,9.49,9.7,9.46,9.52,26930
2015-11-16,9.61,9.61,9.4,9.43,55910
2015-11-17,9.58,9.58,9.4,9.4,40480
2015-11-18,9.55,9.64,9.4,9.64,22470
2015-11-19,9.58,9.58,9.4,9.4,38520
2015-11-20,9.4,9.58,9.4,9.52,15700
2015-11-23,9.52,9.52,9.43,9.46,18810
2015-11-24,9.43,9.52,9.4,9.52,30660
2015-11-25,9.49,9.49,9.4,9.4,14030
2015-11-26,9.4,9.49,9.4,9.4,18810
2015-11-27,9.4,9.55,9.4,9.49,28660
2015-11-30,9.52,9.52,9.37,9.46,55100
2015-12-01,9.61,9.61,9.4,9.46,16030
2015-12-02,9.4,9.55,9.4,9.43,37080
