time,open,high,low,close,volume
2015-06-26,8.78,8.78,8.78,8.78,0
2015-06-29,8.78,8.78,8.78,8.78,0
2015-06-30,8.78,8.78,8.78,8.78,0
2015-07-01,8.78,8.78,8.78,8.78,40
2015-07-02,8.78,8.78,8.78,8.78,0
2015-07-03,8.78,8.78,8.78,8.78,100
2015-07-06,8.78,8.78,8.78,8.78,0
2015-07-07,8.78,8.78,8.78,8.78,0
2015-07-08,8.78,8.78,8.78,8.78,0
2015-07-09,8.78,8.78,8.78,8.78,0
2015-07-10,8.78,8.78,8.78,8.78,0
2015-07-13,8.78,8.78,8.78,8.78,0
2015-07-14,8.78,8.78,8.78,8.78,0
2015-07-15,8.67,8.67,8.67,8.67,1800
2015-07-16,8.67,8.67,8.67,8.67,0
2015-07-17,8.78,8.78,8.78,8.78,2200
2015-07-20,8.78,8.78,8.78,8.78,0
2015-07-21,8.78,8.78,8.78,8.78,0
2015-07-22,8.78,8.78,8.78,8.78,0
2015-07-23,8.78,8.78,8.78,8.78,0
2015-07-24,8.78,8.78,8.78,8.78,0
2015-07-27,8.78,8.78,8.78,8.78,0
2015-07-28,8.78,8.78,8.78,8.78,2000
2015-07-29,8.67,8.78,8.67,8.78,1530
2015-07-30,9.65,9.65,9.65,9.65,1000
2015-07-31,9.65,9.65,9.65,9.65,0
2015-08-03,8.78,8.78,8.78,8.78,600
2015-08-04,8.78,8.78,8.78,8.78,0
2015-08-05,9.05,9.6,9.05,9.6,5900
2015-08-06,9.6,9.6,9.6,9.6,0
2015-08-07,9.49,10.48,9.49,10.48,1600
2015-08-10,9.43,9.43,9.43,9.43,100
2015-08-11,8.78,9.43,8.78,9.43,1100
2015-08-12,9.43,9.43,9.43,9.43,0
2015-08-13,9.43,9.43,9.43,9.43,0
2015-08-14,9.32,10.31,9.32,10.31,1300
2015-08-17,10.31,10.31,10.31,10.31,0
2015-08-18,10.31,10.31,10.31,10.31,0
2015-08-19,9.32,11.24,9.32,11.24,1600
2015-08-20,11.24,11.24,11.24,11.24,0
2015-08-21,11.24,11.24,11.24,11.24,70
2015-08-24,11.24,11.24,11.24,11.24,0
2015-08-25,12.07,12.07,12.07,12.07,100
2015-08-26,12.07,12.07,12.07,12.07,0
2015-08-27,10.86,10.86,10.86,10.86,100
2015-08-28,9.82,11.24,9.82,11.24,1600
2015-08-31,10.15,10.15,10.15,10.15,100
2015-09-01,10.15,10.15,10.15,10.15,0
2015-09-03,10.15,10.15,10.15,10.15,0
2015-09-04,10.15,10.15,10.15,10.15,0
2015-09-07,10.15,10.15,10.15,10.15,20
2015-09-08,9.71,11.08,9.22,10.92,3900
2015-09-09,10.92,10.92,10.92,10.92,0
2015-09-10,9.87,11.96,9.87,11.96,5600
2015-09-11,11.96,11.96,11.96,11.96,0
2015-09-14,11.96,11.96,11.96,11.96,0
2015-09-15,13.05,13.05,10.81,10.81,200
2015-09-16,10.81,10.81,10.81,10.81,0
2015-09-17,10.81,10.81,10.81,10.81,0
2015-09-18,11.32,11.32,11.32,11.32,0
2015-09-21,11.78,11.78,11.78,11.78,100
2015-09-22,12.65,12.65,12.65,12.65,100
2015-09-23,12.65,12.65,12.65,12.65,0
2015-09-24,12.65,12.65,12.65,12.65,0
2015-09-25,12.65,12.65,12.65,12.65,0
2015-09-28,12.65,12.65,12.65,12.65,0
2015-09-29,12.65,12.65,12.65,12.65,0
2015-09-30,12.65,12.65,12.65,12.65,0
2015-10-01,12.65,12.65,12.65,12.65,10
2015-10-02,12.65,12.65,12.65,12.65,0
2015-10-05,12.65,12.65,12.65,12.65,0
2015-10-06,12.65,12.65,12.65,12.65,0
2015-10-07,11.38,11.38,11.38,11.38,100
2015-10-08,10.29,11.44,10.29,10.29,1400
2015-10-09,10.06,10.06,10.06,10.06,100
2015-10-12,10.06,10.06,9.08,9.77,3400
2015-10-13,10.58,10.58,10.58,10.58,100
2015-10-14,9.54,9.54,9.54,9.54,200
2015-10-15,9.31,9.31,8.68,8.68,200
2015-10-16,8.68,9.48,8.05,9.48,1500
2015-10-19,9.48,9.48,9.48,9.48,0
2015-10-20,10.29,10.29,10.29,10.29,100
2015-10-21,9.31,10.92,9.31,10.92,3250
2015-10-22,10.92,10.92,10.92,10.92,0
2015-10-23,9.83,10.75,9.83,10.75,4400
2015-10-26,9.77,10.35,9.77,9.83,7600
2015-10-27,9.43,9.43,9.43,9.43,100
2015-10-28,9.89,9.89,9.54,9.54,2100
2015-10-29,9.54,9.54,9.54,9.54,0
2015-10-30,8.68,8.68,8.68,8.68,100
2015-11-02,8.68,8.68,8.68,8.68,0
2015-11-03,9.48,9.48,9.48,9.48,200
2015-11-04,9.48,9.48,9.48,9.48,400
2015-11-05,9.48,9.48,9.48,9.48,0
2015-11-06,9.48,9.48,9.48,9.48,600
2015-11-09,8.68,8.68,8.68,8.68,100
2015-11-10,9.54,9.54,9.54,9.54,7100
2015-11-11,8.68,8.68,8.68,8.68,100
2015-11-12,8.05,9.54,7.87,9.54,2200
2015-11-13,9.54,9.54,9.54,9.54,0
2015-11-16,9.54,9.54,9.54,9.54,0
2015-11-17,9.25,9.25,9.25,9.25,400
2015-11-18,9.25,9.25,9.25,9.25,0
2015-11-19,9.25,9.25,9.25,9.25,0
2015-11-20,9.25,9.25,9.25,9.25,0
2015-11-23,9.25,9.25,9.25,9.25,0
2015-11-24,9.25,9.25,9.25,9.25,0
2015-11-25,9.25,9.25,9.25,9.25,100
2015-11-26,9.25,9.25,9.25,9.25,0
2015-11-27,9.25,9.25,9.25,9.25,0
2015-11-30,9.71,9.71,9.71,9.71,1900
2015-12-01,10.06,10.06,10.0,10.0,200
2015-12-02,10.0,10.0,10.0,10.0,0
2015-12-03,10.0,10.0,10.0,10.0,0
2015-12-04,10.0,10.0,10.0,10.0,0
2015-12-07,10.0,10.0,10.0,10.0,0
2015-12-08,9.2,9.2,9.2,9.2,2700
2015-12-09,9.2,9.2,9.2,9.2,0
2015-12-10,9.2,9.2,9.2,9.2,0
2015-12-11,9.43,9.43,9.43,9.43,500
2015-12-14,9.43,9.43,9.43,9.43,0
2015-12-15,9.43,9.43,9.43,9.43,0
2015-12-16,9.43,9.43,9.43,9.43,0
2015-12-17,9.83,9.83,9.83,9.83,500
2015-12-18,9.83,9.83,9.83,9.83,0
2015-12-21,9.83,9.83,9.83,9.83,0
2015-12-22,9.83,9.83,9.83,9.83,0
2015-12-23,9.31,9.31,9.31,9.31,3800
2015-12-24,9.31,9.31,9.31,9.31,0
2015-12-25,9.31,9.31,9.31,9.31,0
2015-12-28,9.31,9.31,9.31,9.31,0
2015-12-29,9.31,9.31,9.31,9.31,0
2015-12-30,9.31,9.31,9.31,9.31,0
2015-12-31,9.77,9.77,9.54,9.54,2700
2016-01-04,9.54,9.54,9.54,9.54,0
2016-01-05,9.54,9.54,9.54,9.54,0
2016-01-06,9.54,9.54,9.54,9.54,0
2016-01-07,9.54,9.54,9.54,9.54,0
2016-01-08,9.54,9.54,9.54,9.54,0
2016-01-11,9.54,9.54,9.54,9.54,0
2016-01-12,9.54,9.54,9.54,9.54,0
2016-01-13,9.54,9.54,9.54,9.54,12
2016-01-14,9.54,9.54,9.54,9.54,0
2016-01-15,9.54,9.54,9.54,9.54,0
2016-01-18,9.54,9.54,9.2,9.54,5700
2016-01-19,9.54,9.54,9.54,9.54,0
2016-01-20,9.54,9.54,9.54,9.54,40
2016-01-21,9.54,9.54,9.54,9.54,260
2016-01-22,9.54,9.54,9.54,9.54,0
2016-01-25,9.54,9.54,9.54,9.54,1020
2016-01-26,9.54,9.54,9.54,9.54,260
2016-01-27,9.54,9.54,9.54,9.54,20
2016-01-28,9.54,9.54,9.54,9.54,0
2016-01-29,9.54,9.54,9.54,9.54,200
2016-02-01,9.54,9.54,9.54,9.54,0
2016-02-02,9.71,9.71,9.71,9.71,100
2016-02-03,9.71,9.71,9.71,9.71,0
2016-02-04,9.71,9.71,9.71,9.71,0
2016-02-05,9.71,9.71,9.71,9.71,0
2016-02-15,9.71,9.71,9.71,9.71,0
2016-02-16,9.71,9.71,9.71,9.71,0
2016-02-17,9.71,9.71,9.71,9.71,0
2016-02-18,9.94,9.94,9.71,9.77,3500
2016-02-19,9.77,9.77,9.77,9.77,0
2016-02-22,10.06,10.06,10.06,10.06,2000
2016-02-23,9.83,10.12,9.83,9.94,2500
2016-02-24,9.94,9.94,9.94,9.94,10
2016-02-25,9.94,9.94,9.94,9.94,2
2016-02-26,9.94,9.94,9.94,9.94,0
2016-02-29,9.94,9.94,9.94,9.94,0
2016-03-01,9.94,9.94,9.94,9.94,0
2016-03-02,9.94,9.94,9.94,9.94,0
2016-03-03,9.94,9.94,9.94,9.94,0
2016-03-04,9.94,9.94,9.94,9.94,0
2016-03-07,9.94,9.94,9.94,9.94,0
2016-03-08,9.94,9.94,9.94,9.94,0
2016-03-09,9.94,9.94,9.94,9.94,0
2016-03-10,9.94,9.94,9.94,9.94,0
2016-03-11,10.12,10.12,10.12,10.12,1000
2016-03-14,10.29,10.29,10.29,10.29,1000
2016-03-15,10.29,10.29,10.29,10.29,500
2016-03-16,9.54,9.54,9.54,9.54,100
2016-03-17,10.12,10.17,10.12,10.17,300
2016-03-18,10.29,11.15,10.29,11.15,38610
2016-03-21,11.15,11.15,11.15,11.15,100
2016-03-22,10.92,10.92,10.92,10.92,7000
2016-03-23,10.92,11.44,10.92,11.44,3500
2016-03-24,10.46,10.92,10.46,10.92,200
2016-03-25,10.92,10.92,10.92,10.92,0
2016-03-28,10.06,10.06,10.06,10.06,100
2016-03-29,10.06,10.06,10.06,10.06,0
2016-03-30,10.06,10.06,10.06,10.06,700
2016-03-31,11.04,11.04,10.35,10.35,200
2016-04-01,10.52,10.52,10.52,10.52,100
2016-04-04,10.52,10.52,10.52,10.52,0
2016-04-05,10.52,10.52,10.52,10.52,0
2016-04-06,11.09,11.09,11.09,11.09,100
2016-04-07,11.09,11.09,11.09,11.09,0
2016-04-08,11.09,11.09,11.09,11.09,0
2016-04-11,11.04,11.04,11.04,11.04,500
2016-04-12,11.46,11.46,11.34,11.34,300
2016-04-13,11.34,11.34,11.34,11.34,0
2016-04-14,11.34,11.34,11.34,11.34,0
2016-04-15,11.34,11.34,11.34,11.34,0
2016-04-19,11.28,11.34,11.28,11.34,800
2016-04-20,11.34,11.34,10.92,10.92,1300
2016-04-21,11.94,11.94,11.46,11.46,8200
2016-04-22,11.46,11.46,11.46,11.46,600
2016-04-25,11.46,11.46,11.28,11.4,3300
2016-04-26,11.4,11.4,11.4,11.4,0
2016-04-27,11.46,11.58,11.46,11.58,700
2016-04-28,11.64,11.76,11.64,11.76,600
2016-04-29,11.76,11.76,11.76,11.76,100
2016-05-04,11.52,11.52,11.52,11.52,300
2016-05-05,11.76,12.0,11.76,11.94,2400
2016-05-06,12.18,12.36,12.18,12.36,5700
2016-05-09,12.36,12.36,12.36,12.36,0
2016-05-10,12.36,12.36,12.36,12.36,0
2016-05-11,12.36,12.36,12.36,12.36,0
2016-05-12,12.36,12.54,12.36,12.36,10000
2016-05-13,12.36,12.36,12.3,12.36,5100
2016-05-16,12.06,12.06,12.06,12.06,200
2016-05-17,12.06,12.06,12.06,12.06,0
2016-05-18,12.06,12.06,12.06,12.06,0
2016-05-19,12.06,12.06,12.06,12.06,4000
2016-05-20,12.06,12.06,12.06,12.06,0
2016-05-23,12.36,12.54,12.36,12.54,2000
2016-05-24,12.54,12.54,12.54,12.54,0
2016-05-25,12.54,12.54,12.54,12.54,100
2016-05-26,12.54,12.54,12.54,12.54,1900
2016-05-27,12.54,12.66,12.48,12.66,15000
2016-05-30,12.72,13.03,12.72,13.03,3600
2016-05-31,13.33,14.29,12.97,14.17,7600
2016-06-01,13.75,13.75,13.69,13.69,1800
2016-06-02,14.17,14.23,14.17,14.23,3300
2016-06-03,14.47,14.47,14.29,14.41,8500
2016-06-06,14.23,14.41,14.23,14.41,3500
2016-06-07,14.35,14.41,14.35,14.41,2600
2016-06-08,14.47,14.47,14.47,14.47,1000
2016-06-09,14.47,14.47,14.47,14.47,300
2016-06-10,14.78,14.78,14.59,14.78,2600
2016-06-13,14.29,14.47,14.17,14.47,10100
2016-06-14,14.65,14.65,14.65,14.65,100
2016-06-15,14.78,14.78,14.59,14.78,7100
2016-06-16,14.78,15.08,14.78,15.08,10800
2016-06-17,13.87,15.38,13.87,15.26,5500
2016-06-20,15.32,15.44,15.32,15.44,3500
2016-06-21,15.56,15.98,15.44,15.98,11000
2016-06-22,16.16,16.16,15.62,16.04,18200
2016-06-23,16.04,16.28,15.68,16.1,4000
2016-06-24,16.28,16.28,14.96,15.98,19200
2016-06-27,15.98,15.98,15.98,15.98,0
2016-06-28,15.08,15.68,15.08,15.68,2600
2016-06-29,15.68,15.68,15.68,15.68,1500
2016-06-30,16.28,16.28,15.08,15.98,11200
2016-07-01,15.98,16.16,15.98,16.16,5900
2016-07-04,16.16,16.16,16.16,16.16,0
2016-07-05,16.16,16.16,16.16,16.16,0
2016-07-06,16.16,16.16,16.16,16.16,0
2016-07-07,15.68,16.16,15.2,16.16,4600
2016-07-08,16.28,16.28,16.28,16.28,100
2016-07-11,16.28,16.58,15.98,16.28,6500
2016-07-12,16.4,16.4,16.1,16.28,10800
2016-07-13,16.28,16.28,16.28,16.28,0
2016-07-14,16.28,16.28,16.28,16.28,0
