time,open,high,low,close,volume
2014-06-19,4.17,4.17,3.9,3.99,1729500
2014-06-20,4.08,4.17,3.99,4.08,728820
2014-06-23,3.99,4.08,3.99,3.99,370500
2014-06-24,3.99,4.17,3.99,4.17,739810
2014-06-25,4.17,4.26,4.08,4.08,538420
2014-06-26,4.08,4.17,4.08,4.17,564449
2014-06-27,4.17,4.17,4.08,4.08,297500
2014-06-30,4.08,4.17,3.99,3.99,438600
2014-07-01,3.99,4.17,3.99,4.08,713436
2014-07-02,4.08,4.26,4.08,4.17,523801
2014-07-03,4.26,4.35,4.17,4.26,1099960
2014-07-04,4.26,4.35,4.17,4.26,1345500
2014-07-07,4.26,4.35,4.17,4.26,1079841
2014-07-08,4.26,4.26,4.17,4.26,614210
2014-07-09,4.26,4.63,4.26,4.63,4972553
2014-07-10,4.63,4.72,4.35,4.44,1321002
2014-07-11,4.35,4.53,4.26,4.44,793328
2014-07-14,4.44,4.44,4.26,4.35,1527846
2014-07-15,4.26,4.44,4.26,4.35,822100
2014-07-16,4.35,4.63,4.35,4.35,1237700
2014-07-17,4.35,4.35,4.17,4.26,630623
2014-07-18,4.26,4.35,4.17,4.26,517126
2014-07-21,4.35,4.35,3.99,3.99,1487300
2014-07-22,3.99,4.17,3.99,4.08,397820
2014-07-23,4.08,4.17,3.99,4.08,532828
2014-07-24,4.17,4.17,3.99,3.99,466210
2014-07-25,3.99,4.08,3.81,3.9,739704
2014-07-28,3.9,3.9,3.63,3.63,946500
2014-07-29,3.72,3.81,3.63,3.81,646600
2014-07-30,3.9,3.9,3.72,3.72,279320
2014-07-31,3.72,3.9,3.72,3.81,506416
2014-08-01,3.9,3.9,3.72,3.9,371534
2014-08-04,3.9,3.9,3.72,3.72,306600
2014-08-05,3.81,3.9,3.72,3.9,321806
2014-08-06,3.9,3.99,3.81,3.81,457602
2014-08-07,3.9,4.08,3.81,4.08,805100
2014-08-08,4.08,4.08,3.9,3.99,779249
2014-08-11,4.08,4.08,3.9,3.99,294072
2014-08-12,3.99,3.99,3.9,3.9,700416
2014-08-13,3.99,4.08,3.9,3.99,1184800
2014-08-14,4.08,4.17,3.9,4.08,787332
2014-08-15,4.17,4.17,3.9,3.99,650164
2014-08-18,4.08,4.08,3.9,3.99,596179
2014-08-19,4.08,4.08,3.9,3.99,271400
2014-08-20,3.99,3.99,3.9,3.9,224700
2014-08-21,3.9,4.08,3.9,3.9,1017121
2014-08-22,3.99,4.08,3.99,4.08,694728
2014-08-25,4.08,4.17,3.9,4.08,1045000
2014-08-26,4.08,4.26,3.99,3.99,2184889
2014-08-27,4.08,4.35,4.08,4.26,2304510
2014-08-28,4.26,4.26,4.08,4.08,928116
2014-08-29,4.17,4.26,4.08,4.17,711264
2014-09-03,4.17,4.44,4.17,4.17,1452430
2014-09-04,4.26,4.26,4.08,4.26,1266720
2014-09-05,4.26,4.35,4.17,4.26,700770
2014-09-08,4.26,4.44,4.17,4.26,1543675
2014-09-09,4.26,4.26,3.99,4.08,1908800
2014-09-10,4.08,4.08,3.9,4.08,566590
2014-09-11,4.08,4.17,3.99,4.08,609108
2014-09-12,4.08,4.44,3.99,4.44,3726617
2014-09-15,4.53,4.81,4.53,4.81,3999141
2014-09-16,4.99,5.26,4.72,5.26,4091693
2014-09-17,5.44,5.44,4.9,4.9,2173860
2014-09-18,4.99,5.08,4.53,4.53,3630021
2014-09-19,4.72,4.72,4.35,4.44,1204849
2014-09-22,4.44,4.63,4.44,4.44,1126000
2014-09-23,4.44,4.53,4.17,4.17,994374
2014-09-24,4.17,4.44,4.17,4.35,764400
2014-09-25,4.53,4.72,4.26,4.72,2694020
2014-09-26,4.81,4.9,4.53,4.63,1759080
2014-09-29,4.63,4.63,4.44,4.44,599400
2014-09-30,4.35,4.53,4.35,4.44,696500
2014-10-01,4.44,4.72,4.44,4.63,1125825
2014-10-02,4.63,4.72,4.44,4.44,1200200
2014-10-03,4.53,4.53,4.44,4.53,823412
2014-10-06,4.53,4.53,4.35,4.44,1033748
2014-10-07,4.53,4.63,4.44,4.53,899720
2014-10-08,4.53,4.53,4.44,4.53,650168
2014-10-09,4.53,4.63,4.44,4.44,1508020
2014-10-10,4.44,4.44,4.26,4.35,855200
2014-10-13,4.26,4.26,3.99,4.17,1555200
2014-10-14,4.17,4.26,4.08,4.08,634636
2014-10-15,4.08,4.17,3.99,4.08,515100
2014-10-16,4.17,4.17,3.81,3.81,682508
2014-10-17,3.81,4.08,3.81,4.08,608850
2014-10-20,3.81,4.08,3.72,3.81,1617700
2014-10-21,3.81,3.99,3.72,3.9,600800
2014-10-22,3.9,3.99,3.72,3.81,626100
2014-10-23,3.81,3.81,3.54,3.54,1239800
2014-10-24,3.63,3.72,3.54,3.63,555800
2014-10-27,3.72,3.72,3.36,3.36,387100
2014-10-28,3.36,3.63,3.36,3.54,624400
2014-10-29,3.54,3.72,3.54,3.72,258800
2014-10-30,3.72,3.72,3.54,3.54,411731
2014-10-31,3.54,3.72,3.45,3.54,529272
2014-11-03,3.63,3.72,3.63,3.63,204143
2014-11-04,3.63,3.72,3.54,3.63,281017
2014-11-05,3.72,3.72,3.54,3.63,336700
2014-11-06,3.63,3.72,3.63,3.63,232820
2014-11-07,3.63,3.63,3.54,3.63,344520
2014-11-10,3.63,3.63,3.54,3.63,269800
2014-11-11,3.63,3.72,3.63,3.63,737100
2014-11-12,3.72,3.99,3.72,3.99,1223466
2014-11-13,4.35,4.35,4.35,4.35,498020
2014-11-14,4.63,4.72,4.44,4.44,5598123
2014-11-17,4.44,4.53,4.08,4.17,1357077
2014-11-18,4.17,4.17,3.99,4.08,1131720
2014-11-19,4.08,4.08,3.9,3.9,891250
2014-11-20,3.9,4.26,3.9,4.26,1272438
2014-11-21,4.44,4.53,3.9,4.17,1188341
2014-11-24,4.08,4.17,3.9,4.08,487300
2014-11-25,4.08,4.17,3.9,4.08,506440
2014-11-26,4.08,4.17,3.72,3.9,1547100
2014-11-27,3.9,3.99,3.81,3.9,658204
2014-11-28,3.9,4.08,3.9,3.99,430596
2014-12-01,3.99,4.08,3.9,3.9,561501
2014-12-02,3.99,4.08,3.81,3.99,703800
2014-12-03,4.08,4.08,3.9,3.9,872100
2014-12-04,3.99,3.99,3.81,3.9,468600
2014-12-05,3.9,3.99,3.9,3.9,335510
2014-12-08,3.9,3.9,3.81,3.81,275536
2014-12-09,3.81,3.81,3.45,3.54,1014240
2014-12-10,3.54,3.81,3.45,3.81,1050860
2014-12-11,3.81,3.81,3.63,3.72,272300
2014-12-12,3.72,3.81,3.72,3.81,260400
2014-12-15,3.72,3.81,3.72,3.72,364610
2014-12-16,3.63,3.72,3.54,3.63,608248
2014-12-17,3.72,3.72,3.27,3.45,765606
2014-12-18,3.63,3.63,3.54,3.63,254473
2014-12-19,3.63,3.63,3.45,3.45,377700
2014-12-22,3.45,3.54,3.45,3.54,163740
2014-12-23,3.54,3.54,3.45,3.45,77000
2014-12-24,3.54,3.54,3.45,3.45,215500
2014-12-25,3.54,3.54,3.36,3.36,276500
2014-12-26,3.36,3.45,3.27,3.27,300601
2014-12-29,3.17,3.45,2.99,2.99,549900
2014-12-30,3.08,3.27,2.99,3.27,308500
2014-12-31,3.36,3.54,3.27,3.54,804710
2015-01-05,3.54,3.63,3.45,3.63,424410
2015-01-06,3.54,3.63,3.45,3.63,369200
2015-01-07,3.63,3.72,3.54,3.54,224600
2015-01-08,3.54,3.54,3.45,3.45,269104
2015-01-09,3.45,3.54,3.45,3.45,273720
2015-01-12,3.45,3.54,3.45,3.45,289100
2015-01-13,3.45,3.54,3.36,3.45,441531
2015-01-14,3.45,3.54,3.36,3.45,325500
2015-01-15,3.45,3.54,3.45,3.54,294040
2015-01-16,3.54,3.63,3.45,3.45,332832
2015-01-19,3.45,3.54,3.36,3.45,134111
2015-01-20,3.54,3.54,3.36,3.45,177900
2015-01-21,3.36,3.45,3.36,3.36,290780
2015-01-22,3.36,3.45,3.36,3.36,145000
2015-01-23,3.45,3.45,3.36,3.45,87740
2015-01-26,3.45,3.45,3.27,3.36,298689
2015-01-27,3.27,3.27,3.08,3.08,1638962
2015-01-28,3.08,3.08,2.9,2.99,521090
2015-01-29,2.99,3.17,2.99,2.99,142112
2015-01-30,2.99,2.99,2.81,2.9,450700
2015-02-02,2.99,2.99,2.63,2.72,439907
2015-02-03,2.63,2.9,2.63,2.72,310736
2015-02-04,2.81,2.81,2.72,2.81,184600
2015-02-05,2.81,2.81,2.63,2.63,273920
2015-02-06,2.63,2.81,2.63,2.81,262000
2015-02-09,2.9,2.9,2.72,2.72,234900
2015-02-10,2.72,2.81,2.63,2.72,175000
2015-02-11,2.72,2.81,2.72,2.81,93700
2015-02-12,2.81,2.9,2.72,2.81,181420
2015-02-13,2.9,2.9,2.72,2.72,119800
2015-02-24,2.81,2.9,2.81,2.9,70309
2015-02-25,2.9,2.99,2.81,2.9,154400
2015-02-26,2.81,2.99,2.81,2.99,223100
2015-02-27,2.9,2.99,2.81,2.9,157905
2015-03-02,2.81,2.99,2.81,2.9,233003
2015-03-03,2.9,2.99,2.9,2.9,83500
2015-03-04,2.99,2.99,2.9,2.99,70468
2015-03-05,2.9,2.99,2.81,2.9,304000
2015-03-06,2.99,3.17,2.99,3.17,556564
2015-03-09,3.36,3.45,3.27,3.45,2418268
2015-03-10,3.72,3.72,3.54,3.54,1222490
2015-03-11,3.54,3.54,3.27,3.27,1494842
2015-03-12,3.08,3.36,3.08,3.17,672500
2015-03-13,3.17,3.45,3.08,3.45,945132
2015-03-16,3.36,3.36,3.17,3.17,522300
2015-03-17,3.17,3.36,3.08,3.27,730900
2015-03-18,3.27,3.27,3.17,3.17,290400
2015-03-19,3.17,3.27,3.08,3.17,207600
2015-03-20,3.17,3.27,3.08,3.08,423360
2015-03-23,3.17,3.27,3.08,3.08,379100
2015-03-24,3.17,3.36,3.08,3.27,916160
2015-03-25,3.36,3.36,3.17,3.27,99100
2015-03-26,3.27,3.27,3.17,3.17,127830
2015-03-27,3.17,3.17,3.08,3.08,263723
2015-03-30,3.08,3.17,2.99,3.08,494100
2015-03-31,3.08,3.17,2.99,3.08,129200
2015-04-01,3.17,3.17,2.9,2.9,528810
2015-04-02,2.99,3.08,2.9,2.99,231200
2015-04-03,2.72,2.72,2.72,2.72,166220
2015-04-06,2.45,2.45,2.45,2.45,86930
2015-04-07,2.27,2.63,2.27,2.63,5117630
2015-04-08,2.81,2.81,2.63,2.81,867380
2015-04-09,2.81,2.81,2.63,2.63,187117
2015-04-10,2.54,2.72,2.45,2.63,878604
2015-04-13,2.63,2.81,2.63,2.63,622713
2015-04-14,2.72,2.72,2.63,2.72,464617
2015-04-15,2.72,2.81,2.63,2.63,347700
2015-04-16,2.72,2.81,2.72,2.81,739280
2015-04-17,3.08,3.08,2.9,2.9,521600
2015-04-20,2.9,2.99,2.81,2.9,483620
2015-04-21,2.63,3.17,2.63,3.17,1959210
2015-04-22,3.17,3.27,3.08,3.17,315400
2015-04-23,3.17,3.27,3.08,3.17,519110
2015-04-24,3.17,3.45,3.08,3.45,2120860
2015-04-27,3.45,3.72,3.45,3.72,2451820
2015-05-04,3.9,4.08,3.63,3.72,1867640
2015-05-05,3.72,4.08,3.72,4.08,1931320
2015-05-06,4.17,4.44,4.17,4.44,2049450
2015-05-07,4.81,4.81,4.26,4.26,934800
2015-05-08,4.44,4.63,4.44,4.63,848050
2015-05-11,4.72,5.08,4.72,5.08,1221997
2015-05-12,5.17,5.53,5.08,5.53,3012650
2015-05-13,5.53,6.08,5.35,5.53,1429888
2015-05-14,5.53,5.9,5.44,5.53,972810
2015-05-15,5.53,5.71,5.26,5.53,1090240
2015-05-18,5.53,5.53,4.99,5.35,647100
2015-05-19,5.35,5.8,5.35,5.8,793400
2015-05-20,6.35,6.35,6.17,6.35,424900
2015-05-21,6.53,6.62,6.17,6.53,1610420
2015-05-22,6.53,6.98,6.35,6.53,695587
2015-05-25,6.53,7.17,6.35,7.17,1442120
2015-05-26,7.26,7.8,7.26,7.8,804254
2015-05-27,8.07,8.53,8.07,8.53,2281822
2015-05-28,8.53,8.71,8.34,8.53,730060
2015-05-29,8.53,9.34,8.53,9.34,1709691
2015-06-01,9.07,10.25,9.07,10.25,1410893
2015-06-02,11.25,11.25,11.25,11.25,406210
