time,open,high,low,close,volume
2015-06-26,5.5,5.56,5.32,5.32,2800
2015-06-29,5.32,5.32,5.19,5.19,500
2015-06-30,5.32,5.32,5.32,5.32,500
2015-07-01,5.32,5.32,5.32,5.32,500
2015-07-02,5.35,5.44,5.35,5.44,1100
2015-07-03,5.47,5.47,5.47,5.47,1200
2015-07-06,5.5,5.53,5.5,5.53,925
2015-07-07,5.5,5.53,5.5,5.53,1200
2015-07-08,5.53,5.53,5.53,5.53,300
2015-07-09,5.53,5.53,5.53,5.53,500
2015-07-10,5.56,5.56,5.56,5.56,1028
2015-07-13,5.53,5.56,5.53,5.56,1500
2015-07-14,5.56,5.56,5.56,5.56,0
2015-07-15,5.56,5.56,5.56,5.56,0
2015-07-16,5.56,5.56,5.56,5.56,0
2015-07-17,5.56,5.56,5.56,5.56,0
2015-07-20,5.56,5.56,5.56,5.56,0
2015-07-21,5.56,5.56,5.56,5.56,1300
2015-07-22,5.89,5.89,5.89,5.89,0
2015-07-23,5.57,5.57,5.51,5.51,1700
2015-07-24,5.41,5.41,5.41,5.41,900
2015-07-27,5.51,5.51,5.51,5.51,300
2015-07-28,5.57,5.57,5.57,5.57,600
2015-07-29,5.57,5.57,5.57,5.57,0
2015-07-30,5.57,5.57,5.57,5.57,0
2015-07-31,5.57,5.57,5.57,5.57,0
2015-08-03,5.57,5.57,5.57,5.57,0
2015-08-04,5.57,5.57,5.57,5.57,0
2015-08-05,5.57,5.57,5.57,5.57,0
2015-08-06,5.57,5.57,5.57,5.57,0
2015-08-07,5.57,5.57,5.57,5.57,0
2015-08-10,5.57,5.57,5.57,5.57,0
2015-08-11,5.57,5.57,5.57,5.57,0
2015-08-12,5.57,5.57,5.57,5.57,0
2015-08-13,5.57,5.57,5.57,5.57,500
2015-08-14,5.51,5.6,5.51,5.6,1300
2015-08-17,5.51,5.51,5.51,5.51,1100
2015-08-18,5.51,5.57,5.51,5.57,1500
2015-08-19,5.57,5.57,5.57,5.57,900
2015-08-20,5.51,5.51,5.51,5.51,700
2015-08-21,5.51,5.51,5.47,5.47,600
2015-08-24,5.47,5.47,5.47,5.47,38
2015-08-25,5.34,5.34,5.34,5.34,200
2015-08-26,5.34,5.34,5.34,5.34,0
2015-08-27,5.41,5.47,5.41,5.47,1500
2015-08-28,5.51,5.51,5.51,5.51,400
2015-08-31,5.51,5.51,5.51,5.51,0
2015-09-01,5.51,5.51,5.51,5.51,800
2015-09-03,5.51,5.51,5.51,5.51,0
2015-09-04,5.57,5.57,5.57,5.57,1000
2015-09-07,5.57,5.57,5.57,5.57,0
2015-09-08,5.57,5.6,5.57,5.6,1100
2015-09-09,5.51,5.57,5.44,5.57,1200
2015-09-10,5.67,5.67,5.67,5.67,500
2015-09-11,5.7,5.7,5.7,5.7,600
2015-09-14,5.7,5.7,5.7,5.7,0
2015-09-15,5.7,5.7,5.7,5.7,0
2015-09-16,5.73,5.73,5.73,5.73,700
2015-09-17,5.73,5.73,5.73,5.73,0
2015-09-18,5.73,5.77,5.73,5.77,700
2015-09-21,5.77,5.77,5.77,5.77,200
2015-09-22,5.77,5.77,5.77,5.77,1000
2015-09-23,5.77,5.77,5.77,5.77,600
2015-09-24,5.77,5.8,5.7,5.8,1200
2015-09-25,5.7,5.73,5.7,5.73,1500
2015-09-28,5.73,5.73,5.73,5.73,200
2015-09-29,5.73,5.73,5.73,5.73,0
2015-09-30,5.73,5.73,5.73,5.73,1000
2015-10-01,5.73,5.73,5.73,5.73,0
2015-10-02,5.73,5.73,5.73,5.73,400
2015-10-05,5.77,5.77,5.77,5.77,500
2015-10-06,5.77,5.77,5.77,5.77,600
2015-10-07,5.8,5.8,5.77,5.77,800
2015-10-08,5.77,5.77,5.77,5.77,200
2015-10-09,5.8,5.8,5.8,5.8,300
2015-10-12,5.83,5.83,5.8,5.8,500
2015-10-13,5.8,5.8,5.8,5.8,0
2015-10-14,5.8,5.8,5.8,5.8,0
2015-10-15,5.8,5.8,5.8,5.8,10
2015-10-16,5.77,5.77,5.77,5.77,200
2015-10-19,5.83,5.83,5.83,5.83,100
2015-10-20,5.83,5.83,5.83,5.83,0
2015-10-21,5.77,5.77,5.77,5.77,100
2015-10-22,5.77,5.77,5.77,5.77,0
2015-10-23,5.53,5.53,5.53,5.53,4400
2015-10-26,5.53,5.53,5.53,5.53,0
2015-10-27,5.53,5.53,5.53,5.53,0
2015-10-28,5.53,5.53,5.53,5.53,0
2015-10-29,5.53,5.53,5.53,5.53,4400
2015-10-30,5.6,5.6,5.5,5.5,300
2015-11-02,5.5,5.5,5.5,5.5,0
2015-11-03,5.53,5.53,5.53,5.53,253
2015-11-04,5.53,5.53,5.53,5.53,0
2015-11-05,5.53,5.53,5.53,5.53,0
2015-11-06,5.53,5.53,5.53,5.53,0
2015-11-09,5.53,5.53,5.53,5.53,0
2015-11-10,5.67,5.67,5.0,5.67,1074
2015-11-11,5.67,5.67,5.67,5.67,0
2015-11-12,5.67,5.67,5.67,5.67,0
2015-11-13,5.67,5.67,5.67,5.67,0
2015-11-16,5.67,5.67,5.67,5.67,0
2015-11-17,5.7,5.7,5.67,5.67,300
2015-11-18,6.1,6.1,6.1,6.1,100
2015-11-19,6.1,6.1,6.1,6.1,0
2015-11-20,6.1,6.1,6.1,6.1,0
2015-11-23,6.1,6.1,6.1,6.1,0
2015-11-24,6.04,6.04,6.04,6.04,100
2015-11-25,6.04,6.04,6.04,6.04,0
2015-11-26,6.04,6.04,6.04,6.04,0
2015-11-27,6.04,6.04,6.04,6.04,0
2015-11-30,6.04,6.04,6.04,6.04,0
2015-12-01,6.04,6.04,6.04,6.04,0
2015-12-02,6.04,6.04,6.04,6.04,100
2015-12-03,6.04,6.04,6.04,6.04,0
2015-12-04,6.04,6.04,6.04,6.04,0
2015-12-07,6.04,6.04,6.04,6.04,0
2015-12-08,6.04,6.04,6.04,6.04,0
2015-12-09,6.04,6.04,6.04,6.04,0
2015-12-10,6.04,6.04,6.04,6.04,0
2015-12-11,6.04,6.04,6.04,6.04,2
2015-12-14,6.04,6.04,6.04,6.04,0
2015-12-15,6.04,6.04,6.04,6.04,0
2015-12-16,6.0,6.04,6.0,6.04,300
2015-12-17,6.04,6.04,6.04,6.04,0
2015-12-18,6.0,6.0,6.0,6.0,300
2015-12-21,6.0,6.04,6.0,6.04,500
2015-12-22,6.04,6.04,6.04,6.04,400
2015-12-23,6.04,6.04,6.04,6.04,0
2015-12-24,6.0,6.04,6.0,6.04,600
2015-12-25,6.04,6.04,6.04,6.04,0
2015-12-28,6.04,6.04,6.04,6.04,0
2015-12-29,6.0,6.0,6.0,6.0,400
2015-12-30,6.04,6.04,6.04,6.04,500
2015-12-31,6.34,6.37,6.34,6.37,500
2016-01-04,6.37,6.37,6.37,6.37,0
2016-01-05,6.37,6.37,6.37,6.37,0
2016-01-06,6.37,6.37,6.37,6.37,0
2016-01-07,6.37,6.37,6.37,6.37,300
2016-01-08,5.73,6.0,5.73,6.0,4100
2016-01-11,6.0,6.0,6.0,6.0,0
2016-01-12,6.1,6.1,6.1,6.1,200
2016-01-13,6.2,6.2,6.2,6.2,100
2016-01-14,6.27,6.27,6.27,6.27,100
2016-01-15,6.27,6.27,6.27,6.27,0
2016-01-18,6.27,6.27,6.27,6.27,0
2016-01-19,6.47,6.57,6.47,6.57,400
2016-01-20,6.57,6.57,6.57,6.57,800
2016-01-21,6.57,6.57,6.57,6.57,0
2016-01-22,6.57,6.57,6.57,6.57,0
2016-01-25,6.57,6.57,6.57,6.57,0
2016-01-26,6.57,6.57,6.57,6.57,200
2016-01-27,6.57,6.57,6.57,6.57,300
2016-01-28,6.57,6.57,6.57,6.57,0
2016-01-29,6.57,6.57,6.57,6.57,92
2016-02-01,6.57,6.57,6.57,6.57,0
2016-02-02,6.57,6.57,6.57,6.57,300
2016-02-03,6.57,6.57,6.57,6.57,0
2016-02-04,6.57,6.57,6.57,6.57,0
2016-02-05,6.57,6.61,6.57,6.61,400
2016-02-15,6.61,6.61,6.61,6.61,0
2016-02-16,6.61,6.61,6.61,6.61,0
2016-02-17,6.61,6.64,6.61,6.64,500
2016-02-18,6.64,6.67,6.64,6.67,400
2016-02-19,6.67,6.67,6.67,6.67,0
2016-02-22,6.67,6.67,6.67,6.67,0
2016-02-23,6.67,6.67,6.67,6.67,400
2016-02-24,6.67,6.67,6.67,6.67,0
2016-02-25,6.34,6.34,6.17,6.17,900
2016-02-26,6.27,6.37,6.27,6.37,500
2016-02-29,6.37,6.44,6.37,6.44,400
2016-03-01,6.44,6.54,6.44,6.54,500
2016-03-02,6.19,6.61,6.19,6.61,600
2016-03-03,6.61,6.61,6.61,6.61,200
2016-03-04,6.61,6.71,6.61,6.71,400
2016-03-07,6.71,6.78,6.71,6.78,400
2016-03-08,6.78,6.78,6.78,6.78,200
2016-03-09,6.78,6.78,6.78,6.78,0
2016-03-10,6.78,6.78,6.78,6.78,0
2016-03-11,6.13,6.13,6.13,6.13,504
2016-03-14,6.13,6.13,6.13,6.13,3
2016-03-15,6.19,6.37,6.19,6.37,500
2016-03-16,6.37,6.37,6.37,6.37,0
2016-03-17,6.37,6.37,6.37,6.37,100
2016-03-18,6.37,6.37,6.37,6.37,0
2016-03-21,6.13,6.13,6.13,6.13,100
2016-03-22,6.44,6.44,6.44,6.44,220
2016-03-23,6.5,6.57,6.5,6.57,400
2016-03-24,6.57,6.68,6.57,6.68,500
2016-03-25,6.68,6.78,6.68,6.78,610
2016-03-28,6.78,6.78,6.78,6.78,400
2016-03-29,6.68,6.68,6.68,6.68,100
2016-03-30,6.71,6.71,6.71,6.71,200
2016-03-31,6.78,6.81,6.78,6.81,500
2016-04-01,6.81,6.81,6.81,6.81,200
2016-04-04,6.81,6.81,6.81,6.81,0
2016-04-05,6.81,6.85,6.81,6.85,400
2016-04-06,6.85,6.85,6.85,6.85,100
2016-04-07,6.81,6.81,6.81,6.81,465
2016-04-08,6.81,6.81,6.81,6.81,0
2016-04-11,6.81,6.81,6.81,6.81,300
2016-04-12,6.81,6.88,6.81,6.88,600
2016-04-13,6.85,6.85,6.85,6.85,400
2016-04-14,6.85,6.85,6.85,6.85,0
2016-04-15,6.85,6.85,6.85,6.85,400
