time,open,high,low,close,volume
2015-06-26,7.04,7.04,7.04,7.04,0
2015-06-29,7.11,7.38,7.11,7.38,4400
2015-06-30,7.69,7.72,7.69,7.72,400
2015-07-01,7.0,7.0,7.0,7.0,1600
2015-07-02,7.0,7.0,7.0,7.0,40
2015-07-03,7.0,7.0,7.0,7.0,0
2015-07-06,7.0,7.0,7.0,7.0,20
2015-07-07,7.0,7.0,7.0,7.0,1816
2015-07-08,7.0,7.0,7.0,7.0,0
2015-07-09,7.0,7.0,7.0,7.0,4300
2015-07-10,7.0,7.0,7.0,7.0,2012
2015-07-13,7.0,7.0,7.0,7.0,108
2015-07-14,7.0,7.0,7.0,7.0,0
2015-07-15,7.0,7.0,7.0,7.0,28800
2015-07-16,7.0,7.0,7.0,7.0,0
2015-07-17,7.0,7.0,7.0,7.0,0
2015-07-20,7.0,7.0,7.0,7.0,900
2015-07-21,7.0,7.0,7.0,7.0,1200
2015-07-22,6.94,7.0,6.94,7.0,2500
2015-07-23,7.0,7.0,7.0,7.0,2000
2015-07-24,7.0,7.0,7.0,7.0,432
2015-07-27,7.0,7.0,7.0,7.0,0
2015-07-28,7.0,7.0,7.0,7.0,0
2015-07-29,7.52,7.52,7.52,7.52,3020
2015-07-30,7.52,7.52,7.52,7.52,68
2015-07-31,7.52,7.52,7.52,7.52,60
2015-08-03,7.52,7.52,7.52,7.52,0
2015-08-04,7.07,7.07,7.07,7.07,100
2015-08-05,7.69,7.69,7.69,7.69,1200
2015-08-06,7.69,7.69,7.69,7.69,1100
2015-08-07,7.69,7.69,7.69,7.69,0
2015-08-10,7.69,7.69,7.69,7.69,16
2015-08-11,7.69,7.69,7.69,7.69,460
2015-08-12,7.0,7.69,7.0,7.69,3600
2015-08-13,7.69,7.69,7.69,7.69,1016
2015-08-14,7.0,7.0,7.0,7.0,800
2015-08-17,7.18,7.59,7.18,7.59,5300
2015-08-18,7.52,7.52,6.83,6.83,5100
2015-08-19,7.35,7.35,7.35,7.35,1000
2015-08-20,7.52,7.52,7.52,7.52,100
2015-08-21,7.35,7.35,7.35,7.35,900
2015-08-24,7.38,7.69,7.35,7.69,17300
2015-08-25,7.69,7.69,7.69,7.69,0
2015-08-26,7.69,7.69,7.69,7.69,115
2015-08-27,7.69,7.79,7.55,7.55,1900
2015-08-28,7.45,7.45,7.45,7.45,100
2015-08-31,7.45,7.45,7.45,7.45,0
2015-09-01,7.52,7.52,7.52,7.52,700
2015-09-03,7.52,7.52,7.52,7.52,0
2015-09-04,7.69,7.69,7.45,7.45,250
2015-09-07,7.45,7.45,7.45,7.45,0
2015-09-08,7.45,7.45,7.45,7.45,0
2015-09-09,7.52,7.52,7.52,7.52,3816
2015-09-10,7.86,7.86,7.86,7.86,3900
2015-09-11,7.89,7.93,7.89,7.89,2800
2015-09-14,7.89,8.03,7.89,8.03,6620
2015-09-15,8.06,8.2,8.06,8.2,11200
2015-09-16,8.2,8.23,8.2,8.23,37300
2015-09-17,8.54,8.54,8.27,8.27,200
2015-09-18,8.61,9.09,8.37,9.09,19200
2015-09-21,8.64,8.64,8.64,8.64,100
2015-09-22,8.64,8.64,8.54,8.54,2500
2015-09-23,8.23,9.23,8.23,8.27,12300
2015-09-24,8.88,9.09,8.88,9.09,8500
2015-09-25,9.09,9.09,9.09,9.09,1000
2015-09-28,8.58,8.58,8.58,8.58,100
2015-09-29,8.27,9.43,8.27,9.43,9000
2015-09-30,8.92,8.92,8.92,8.92,1000
2015-10-01,8.92,8.92,8.92,8.92,0
2015-10-02,8.92,8.92,8.92,8.92,800
2015-10-05,9.26,9.26,9.26,9.26,700
2015-10-06,9.23,9.29,9.23,9.29,6100
2015-10-07,9.29,9.4,9.29,9.29,2300
2015-10-08,9.33,9.33,9.29,9.29,2100
2015-10-09,9.36,9.36,9.36,9.36,100
2015-10-12,9.36,9.36,9.36,9.36,0
2015-10-13,9.4,9.4,9.4,9.4,1800
2015-10-14,9.4,9.4,9.4,9.4,0
2015-10-15,9.57,9.57,9.43,9.43,2115
2015-10-16,9.43,9.43,9.43,9.43,0
2015-10-19,8.54,9.6,8.54,9.6,1300
2015-10-20,9.74,9.91,9.74,9.91,2000
2015-10-21,9.94,10.25,9.6,9.6,5300
2015-10-22,9.6,9.6,9.6,9.6,0
2015-10-23,9.6,9.64,9.6,9.64,460
2015-10-26,9.64,10.25,9.57,9.6,2300
2015-10-27,9.6,9.6,9.6,9.6,0
2015-10-28,9.6,10.39,9.6,10.39,16018
2015-10-29,9.67,10.59,9.64,9.91,1600
2015-10-30,9.7,10.25,9.67,10.25,1160
2015-11-02,9.84,10.93,9.6,10.93,11700
2015-11-03,9.84,9.91,9.84,9.91,200
2015-11-04,9.7,9.91,9.7,9.91,2600
2015-11-05,9.91,9.91,9.91,9.91,0
2015-11-06,9.91,10.52,9.91,10.52,400
2015-11-09,10.49,10.49,10.46,10.46,300
2015-11-10,10.46,10.46,9.91,9.91,1500
2015-11-11,9.91,9.91,9.91,9.91,40
2015-11-12,8.92,8.92,8.92,8.92,120
2015-11-13,8.23,9.57,8.23,9.57,4100
2015-11-16,9.05,9.64,8.95,9.64,7800
2015-11-17,9.64,10.39,9.64,10.39,18100
2015-11-18,9.57,11.28,9.36,11.28,17900
2015-11-19,10.15,10.42,10.15,10.15,21343
2015-11-20,10.32,10.32,10.32,10.32,100
2015-11-23,9.6,9.91,9.5,9.5,8360
2015-11-24,9.67,9.74,9.67,9.74,3800
2015-11-25,9.23,9.23,9.19,9.19,320
2015-11-26,9.19,9.19,9.19,9.19,0
2015-11-27,9.19,9.19,9.19,9.19,40
2015-11-30,9.74,9.74,9.74,9.74,5000
2015-12-01,10.32,10.32,10.32,10.32,100
2015-12-02,9.29,10.18,9.29,10.18,1100
2015-12-03,9.81,9.84,9.43,9.43,3100
2015-12-04,9.09,9.09,9.09,9.09,100
2015-12-07,8.99,9.23,8.99,9.23,200
2015-12-08,9.19,9.23,9.09,9.23,5100
2015-12-09,9.4,9.57,9.4,9.57,4217
2015-12-10,9.57,9.57,9.57,9.57,0
2015-12-11,9.7,9.7,9.7,9.7,1600
2015-12-14,9.23,9.81,9.23,9.57,1400
2015-12-15,9.57,9.57,9.57,9.57,100
2015-12-16,9.57,9.57,9.57,9.57,1600
2015-12-17,9.57,9.57,9.36,9.36,200
2015-12-18,9.57,9.74,9.57,9.74,6600
2015-12-21,9.84,10.08,9.84,10.08,800
2015-12-22,9.4,9.4,9.4,9.4,300
2015-12-23,9.5,10.22,9.5,10.22,400
2015-12-24,10.18,10.18,10.18,10.18,100
2015-12-25,10.18,10.18,10.18,10.18,0
2015-12-28,10.18,10.18,10.18,10.18,0
2015-12-29,9.33,9.33,9.33,9.33,100
2015-12-30,9.33,9.33,9.29,9.29,1100
2015-12-31,9.29,9.29,9.29,9.29,100
2016-01-04,9.81,9.84,9.81,9.84,300
2016-01-05,9.57,9.57,9.57,9.57,2000
2016-01-06,9.74,9.84,9.74,9.84,2000
