time,open,high,low,close,volume
2014-07-10,6.02,6.17,5.9,6.08,321210
2014-07-11,6.02,6.05,5.96,5.99,125480
2014-07-14,5.99,6.14,5.99,6.11,105960
2014-07-15,6.2,6.47,6.14,6.47,109080
2014-07-16,6.47,6.69,6.38,6.47,118000
2014-07-17,6.38,6.44,6.08,6.23,103670
2014-07-18,6.32,6.44,6.26,6.41,107240
2014-07-21,6.41,6.41,6.23,6.32,101410
2014-07-22,6.32,6.35,6.14,6.35,44240
2014-07-23,6.44,6.44,6.2,6.41,55770
2014-07-24,6.23,6.41,6.23,6.35,134310
2014-07-25,6.38,6.38,6.02,6.02,80680
2014-07-28,5.84,5.87,5.6,5.66,169650
2014-07-29,5.63,5.72,5.42,5.72,28200
2014-07-30,5.72,5.72,5.57,5.72,53380
2014-07-31,5.57,5.75,5.57,5.57,92170
2014-08-01,5.75,5.75,5.54,5.57,103030
2014-08-04,5.57,5.72,5.57,5.72,289680
2014-08-05,5.72,6.11,5.72,6.05,232690
2014-08-06,6.11,6.23,5.9,5.9,78230
2014-08-07,5.9,5.96,5.84,5.96,44070
2014-08-08,5.84,6.14,5.84,6.05,103790
2014-08-11,6.11,6.11,5.9,5.93,79910
2014-08-12,5.84,6.02,5.81,5.9,79660
2014-08-13,5.9,5.9,5.81,5.84,70400
2014-08-14,5.87,5.9,5.81,5.84,112970
2014-08-15,5.81,6.02,5.81,6.02,145340
2014-08-18,5.9,6.02,5.84,5.87,124580
2014-08-19,5.93,6.08,5.81,5.84,62310
2014-08-20,5.84,5.87,5.72,5.84,54860
2014-08-21,5.75,5.9,5.75,5.87,121980
2014-08-22,5.84,6.26,5.81,6.26,627670
2014-08-25,6.69,6.69,6.69,6.69,135370
2014-08-26,7.11,7.14,6.87,7.14,1145910
2014-08-27,7.2,7.41,7.11,7.38,517670
2014-08-28,7.38,7.89,7.32,7.89,514560
2014-08-29,7.83,7.92,7.62,7.83,433140
2014-09-03,7.77,7.98,7.5,7.5,379430
2014-09-04,7.41,7.65,7.32,7.5,765160
2014-09-05,7.65,7.8,7.5,7.65,649970
2014-09-08,7.89,8.01,7.77,7.86,1300310
2014-09-09,7.86,7.89,7.32,7.35,980880
2014-09-10,7.23,7.35,7.08,7.35,326850
2014-09-11,7.35,7.47,7.11,7.17,326420
2014-09-12,7.17,7.35,7.08,7.26,276980
2014-09-15,7.2,7.53,7.2,7.35,212690
2014-09-16,7.35,7.35,7.11,7.35,222360
2014-09-17,7.29,7.68,7.11,7.59,444840
2014-09-18,7.53,7.59,7.11,7.11,267460
2014-09-19,7.23,7.23,7.11,7.23,207190
2014-09-22,7.23,7.32,7.2,7.2,245360
2014-09-23,7.17,7.41,7.17,7.23,319600
2014-09-24,7.23,7.53,7.17,7.23,1114480
2014-09-25,7.44,7.71,7.29,7.71,1640300
2014-09-26,7.86,7.95,7.59,7.59,719460
2014-09-29,7.53,7.77,7.41,7.5,676390
2014-09-30,7.44,7.5,7.26,7.35,1161650
2014-10-01,7.5,7.62,7.44,7.5,512560
2014-10-02,7.5,7.83,7.47,7.74,772860
2014-10-03,7.71,8.25,7.68,8.25,1959260
2014-10-06,8.52,8.55,8.31,8.34,620340
2014-10-07,8.28,8.82,8.25,8.58,768870
2014-10-08,8.58,8.64,8.37,8.46,858350
2014-10-09,8.58,8.58,8.19,8.19,636190
2014-10-10,8.04,8.1,7.83,7.95,1636940
2014-10-13,7.89,8.04,7.71,8.04,592810
2014-10-14,7.98,8.01,7.56,7.56,807870
2014-10-15,7.56,7.8,7.41,7.77,738370
2014-10-16,7.68,7.71,7.35,7.35,919620
2014-10-17,7.38,7.59,7.35,7.59,413390
2014-10-20,7.68,7.68,7.44,7.47,199840
2014-10-21,7.41,7.53,7.35,7.47,207320
2014-10-22,7.47,7.56,7.44,7.53,246070
2014-10-23,7.41,7.5,7.29,7.32,461310
2014-10-24,7.23,7.35,7.17,7.23,240080
2014-10-27,7.2,7.23,6.87,6.9,395590
2014-10-28,6.81,7.02,6.81,6.93,632350
2014-10-29,7.02,7.11,6.93,7.08,628030
2014-10-30,7.02,7.38,7.02,7.17,455170
2014-10-31,7.17,7.41,7.17,7.35,234680
2014-11-03,7.47,7.5,7.35,7.44,385200
2014-11-04,7.32,7.44,7.29,7.29,354660
2014-11-05,7.29,7.35,7.02,7.26,563770
2014-11-06,7.26,7.35,7.23,7.26,158660
2014-11-07,7.26,7.32,7.23,7.32,161900
2014-11-10,7.32,7.65,7.29,7.53,940950
2014-11-11,7.56,7.56,7.41,7.44,184220
2014-11-12,7.47,7.68,7.44,7.59,255620
2014-11-13,7.59,7.68,7.47,7.47,419350
2014-11-14,7.44,7.47,7.29,7.47,369010
2014-11-17,7.41,7.47,7.29,7.32,402610
2014-11-18,7.29,7.35,7.2,7.2,449780
2014-11-19,7.14,7.23,7.05,7.08,260180
2014-11-20,7.11,7.23,7.11,7.14,271390
2014-11-21,7.14,7.23,7.05,7.05,159480
2014-11-24,7.11,7.2,6.93,7.05,145630
2014-11-25,7.05,7.2,7.05,7.11,102580
2014-11-26,7.14,7.38,7.11,7.23,659070
2014-11-27,7.23,7.44,7.14,7.41,477590
2014-11-28,7.47,7.71,7.44,7.68,1095200
2014-12-01,7.83,8.01,7.71,7.74,798040
2014-12-02,7.77,7.83,7.71,7.74,326160
2014-12-03,7.74,7.92,7.74,7.89,460360
2014-12-04,7.89,8.1,7.77,8.04,894310
2014-12-05,8.04,8.31,8.04,8.13,1757300
2014-12-08,8.25,8.34,8.13,8.25,869110
2014-12-09,8.34,8.37,7.83,7.83,1329990
2014-12-10,7.83,8.28,7.77,8.16,843210
2014-12-11,8.1,8.43,7.98,8.31,987750
2014-12-12,8.31,8.46,8.31,8.37,920820
