time,open,high,low,close,volume
2014-07-09,3.16,3.27,3.16,3.21,348330
2014-07-10,3.21,3.33,3.16,3.27,529460
2014-07-11,3.27,3.45,3.27,3.39,732250
2014-07-14,3.39,3.45,3.39,3.39,137140
2014-07-15,3.45,3.45,3.27,3.33,166910
2014-07-16,3.33,3.45,3.16,3.21,339570
2014-07-17,3.16,3.21,3.16,3.21,113660
2014-07-18,3.16,3.33,3.16,3.33,125230
2014-07-21,3.21,3.27,3.16,3.16,344960
2014-07-22,3.16,3.21,3.1,3.16,75560
2014-07-23,3.1,3.16,3.04,3.16,203900
2014-07-24,3.1,3.16,3.04,3.16,133480
2014-07-25,3.1,3.16,2.98,2.98,327810
2014-07-28,2.98,2.98,2.86,2.86,137570
2014-07-29,2.86,2.98,2.86,2.98,82280
2014-07-30,3.04,3.04,2.92,2.98,72100
2014-07-31,2.92,3.04,2.92,3.04,12150
2014-08-01,2.98,2.98,2.92,2.98,195730
2014-08-04,2.98,3.04,2.98,2.98,87130
2014-08-05,3.04,3.1,2.98,3.1,116040
2014-08-06,3.04,3.1,3.04,3.04,158840
2014-08-07,3.04,3.1,3.04,3.1,52920
2014-08-08,3.04,3.1,2.98,3.1,94370
2014-08-11,3.1,3.1,3.04,3.1,99240
2014-08-12,3.04,3.1,3.04,3.1,57460
2014-08-13,3.04,3.16,3.04,3.16,62210
2014-08-14,3.1,3.16,3.04,3.1,42150
2014-08-15,3.04,3.1,2.98,2.98,63300
2014-08-18,2.98,3.1,2.98,2.98,70060
2014-08-19,3.04,3.1,3.04,3.04,80600
2014-08-20,3.04,3.1,2.98,3.1,18360
2014-08-21,3.04,3.1,3.04,3.04,62420
2014-08-22,3.04,3.16,3.04,3.1,117750
2014-08-25,3.16,3.16,3.1,3.16,118640
2014-08-26,3.16,3.16,3.04,3.1,72730
2014-08-27,3.1,3.16,3.04,3.04,113810
2014-08-28,3.04,3.1,3.04,3.1,80940
2014-08-29,3.1,3.16,3.04,3.1,143130
2014-09-03,3.16,3.21,3.16,3.21,137120
2014-09-04,3.16,3.21,3.16,3.16,132150
2014-09-05,3.16,3.27,3.16,3.27,214580
2014-09-08,3.27,3.33,3.21,3.27,240470
2014-09-09,3.33,3.33,3.1,3.16,340350
2014-09-10,3.1,3.21,3.04,3.21,59260
2014-09-11,3.1,3.21,3.1,3.21,95580
2014-09-12,3.1,3.27,3.1,3.27,290360
2014-09-15,3.27,3.45,3.27,3.39,723590
2014-09-16,3.39,3.45,3.33,3.45,172830
2014-09-17,3.45,3.51,3.27,3.39,104680
2014-09-18,3.33,3.39,3.21,3.27,173020
2014-09-19,3.27,3.33,3.21,3.21,56330
2014-09-22,3.27,3.39,3.21,3.21,131300
2014-09-23,3.16,3.27,3.16,3.21,47980
2014-09-24,3.27,3.27,3.21,3.27,91430
2014-09-25,3.21,3.33,3.21,3.33,90530
2014-09-26,3.33,3.33,3.21,3.21,91450
2014-09-29,3.21,3.27,3.16,3.16,55620
2014-09-30,3.21,3.27,3.16,3.27,33560
2014-10-01,3.27,3.33,3.21,3.27,95060
2014-10-02,3.27,3.27,3.21,3.27,251270
2014-10-03,3.33,3.45,3.33,3.45,369770
2014-10-06,3.62,3.68,3.62,3.68,616890
2014-10-07,3.74,3.74,3.57,3.68,155120
2014-10-08,3.62,3.62,3.51,3.57,256820
2014-10-09,3.51,3.57,3.45,3.45,219510
2014-10-10,3.45,3.51,3.39,3.39,129640
2014-10-13,3.45,3.57,3.39,3.57,99040
2014-10-14,3.51,3.57,3.45,3.45,297070
2014-10-15,3.51,3.51,3.33,3.33,390720
2014-10-16,3.39,3.45,3.27,3.27,199400
2014-10-17,3.21,3.45,3.21,3.45,139680
2014-10-20,3.39,3.39,3.21,3.21,121040
2014-10-21,3.21,3.27,3.21,3.27,267590
2014-10-22,3.27,3.39,3.27,3.39,446380
2014-10-23,3.33,3.39,3.27,3.27,256740
2014-10-24,3.21,3.27,3.21,3.27,126000
2014-10-27,3.27,3.27,3.16,3.27,308540
2014-10-28,3.21,3.27,3.21,3.27,237320
2014-10-29,3.27,3.33,3.21,3.33,308610
2014-10-30,3.27,3.33,3.27,3.33,32010
2014-10-31,3.33,3.33,3.21,3.33,385570
2014-11-03,3.33,3.45,3.33,3.39,258140
2014-11-04,3.39,3.39,3.33,3.39,76460
2014-11-05,3.33,3.33,3.27,3.33,57240
2014-11-06,3.39,3.39,3.27,3.39,45330
2014-11-07,3.33,3.39,3.27,3.33,101100
2014-11-10,3.33,3.39,3.33,3.39,22470
2014-11-11,3.39,3.39,3.27,3.33,197250
2014-11-12,3.27,3.39,3.27,3.39,121470
2014-11-13,3.33,3.39,3.33,3.39,71340
2014-11-14,3.27,3.39,3.27,3.39,371790
2014-11-17,3.39,3.51,3.33,3.39,256710
2014-11-18,3.39,3.45,3.39,3.39,309860
2014-11-19,3.39,3.39,3.33,3.39,34960
2014-11-20,3.33,3.39,3.27,3.39,106090
2014-11-21,3.39,3.39,3.27,3.27,125790
2014-11-24,3.21,3.27,3.21,3.21,135240
2014-11-25,3.21,3.27,3.21,3.21,71830
2014-11-26,3.21,3.21,3.16,3.21,150040
2014-11-27,3.21,3.27,3.21,3.27,74630
2014-11-28,3.27,3.33,3.21,3.33,45420
2014-12-01,3.33,3.33,3.27,3.33,85530
2014-12-02,3.33,3.39,3.33,3.39,98210
2014-12-03,3.33,3.39,3.33,3.39,52950
2014-12-04,3.33,3.33,3.27,3.27,33800
2014-12-05,3.27,3.33,3.27,3.33,32210
2014-12-08,3.33,3.33,3.27,3.33,10900
2014-12-09,3.27,3.27,3.16,3.16,274420
2014-12-10,3.16,3.27,3.1,3.16,92520
2014-12-11,3.16,3.16,3.1,3.16,62130
2014-12-12,3.16,3.27,3.16,3.16,41390
2014-12-15,3.27,3.27,3.21,3.21,43830
2014-12-16,3.27,3.27,3.1,3.1,23450
2014-12-17,3.1,3.27,2.98,3.04,30350
2014-12-18,3.04,3.21,3.04,3.21,10270
2014-12-19,3.21,3.27,3.1,3.1,13700
2014-12-22,3.04,3.1,3.04,3.1,20680
2014-12-23,3.1,3.1,3.1,3.1,5000
2014-12-24,3.16,3.16,3.1,3.1,59620
2014-12-25,3.1,3.1,3.04,3.1,6350
2014-12-26,3.16,3.16,3.04,3.16,24850
2014-12-29,2.98,3.16,2.98,3.04,10730
2014-12-30,3.04,3.04,2.92,2.98,34030
2014-12-31,2.98,3.04,2.92,2.92,49160
2015-01-05,3.04,3.1,3.04,3.1,51190
2015-01-06,3.04,3.1,2.98,3.1,5910
2015-01-07,3.04,3.16,2.92,3.16,7720
2015-01-08,3.16,3.16,3.16,3.16,1000
2015-01-09,3.04,3.16,3.04,3.16,5160
2015-01-12,3.04,3.16,2.98,3.04,34380
2015-01-13,2.92,3.04,2.92,2.92,21010
2015-01-14,2.98,3.04,2.86,2.92,8870
2015-01-15,2.98,3.1,2.98,3.1,58250
2015-01-16,2.98,3.04,2.98,3.04,2500
2015-01-19,2.92,3.04,2.92,2.98,18020
2015-01-20,3.04,3.04,2.92,3.04,18250
2015-01-21,3.04,3.04,2.98,3.04,2020
2015-01-22,2.92,2.98,2.92,2.98,19820
2015-01-23,2.98,3.04,2.98,2.98,40350
2015-01-26,3.04,3.16,3.04,3.16,115900
2015-01-27,3.21,3.27,3.1,3.21,86680
2015-01-28,3.1,3.16,3.1,3.1,12500
2015-01-29,3.1,3.16,3.04,3.04,100030
2015-01-30,3.16,3.16,3.04,3.04,91460
2015-02-02,3.1,3.1,2.98,3.04,41530
2015-02-03,3.04,3.04,2.92,2.92,29460
2015-02-04,2.92,2.92,2.86,2.86,48460
2015-02-05,2.92,2.92,2.92,2.92,20
2015-02-06,2.98,2.98,2.86,2.98,3530
2015-02-09,3.04,3.04,2.92,2.98,4770
2015-02-10,2.92,2.92,2.86,2.86,2000
2015-02-11,2.92,2.98,2.92,2.98,99330
2015-02-12,2.98,3.04,2.98,3.04,12000
2015-02-13,2.98,2.98,2.98,2.98,200
2015-02-24,3.1,3.1,2.98,3.04,16330
2015-02-25,3.04,3.04,2.98,3.04,112940
2015-02-26,3.04,3.1,3.04,3.1,84180
2015-02-27,3.04,3.1,3.04,3.1,28510
2015-03-02,3.04,3.04,3.04,3.04,5000
2015-03-03,3.04,3.1,2.98,2.98,31620
2015-03-04,3.1,3.16,3.04,3.04,40370
2015-03-05,3.1,3.1,3.04,3.04,65020
2015-03-06,3.04,3.1,3.04,3.1,19230
2015-03-09,3.1,3.1,3.04,3.1,26960
2015-03-10,3.04,3.1,3.04,3.04,20590
2015-03-11,3.04,3.04,3.04,3.04,21440
2015-03-12,3.04,3.1,3.04,3.1,5010
2015-03-13,3.04,3.1,3.04,3.1,5550
2015-03-16,2.98,2.98,2.98,2.98,2500
2015-03-17,3.1,3.1,3.1,3.1,180
2015-03-18,3.1,3.1,2.98,3.1,260
2015-03-19,2.98,3.04,2.98,2.98,2810
2015-03-20,2.98,3.04,2.98,2.98,9010
2015-03-23,2.98,2.98,2.86,2.86,21300
2015-03-24,3.04,3.04,2.86,2.92,90720
2015-03-25,2.86,2.98,2.86,2.92,9450
2015-03-26,2.92,2.92,2.86,2.92,4390
2015-03-27,2.98,2.98,2.92,2.92,1100
2015-03-30,2.92,2.92,2.81,2.92,15420
2015-03-31,2.86,2.86,2.75,2.75,73180
2015-04-01,2.86,2.86,2.69,2.69,7720
2015-04-02,2.69,2.81,2.69,2.81,42580
2015-04-03,2.86,2.86,2.75,2.86,10040
2015-04-06,2.86,2.92,2.69,2.92,640
2015-04-07,2.81,2.92,2.75,2.92,68680
2015-04-08,2.81,2.92,2.75,2.92,60170
2015-04-09,2.81,2.92,2.81,2.92,6140
2015-04-10,2.86,2.92,2.81,2.92,29430
2015-04-13,2.86,2.86,2.86,2.86,6750
2015-04-14,2.81,2.81,2.81,2.81,2930
2015-04-15,2.81,2.86,2.75,2.86,49760
2015-04-16,2.86,2.86,2.86,2.86,4240
2015-04-17,2.81,2.81,2.75,2.75,20520
2015-04-20,2.75,2.81,2.75,2.75,5850
2015-04-21,2.75,2.86,2.75,2.86,21100
2015-04-22,2.75,2.92,2.75,2.92,27010
2015-04-23,2.81,2.81,2.81,2.81,30070
2015-04-24,2.75,2.75,2.75,2.75,1500
2015-04-27,2.75,2.75,2.69,2.75,2210
2015-05-04,2.75,2.81,2.57,2.63,16500
2015-05-05,2.51,2.75,2.51,2.57,6580
2015-05-06,2.57,2.63,2.51,2.63,99190
2015-05-07,2.57,2.69,2.57,2.69,18550
2015-05-08,2.69,2.69,2.57,2.57,96600
2015-05-11,2.63,2.63,2.57,2.57,186120
2015-05-12,2.57,2.63,2.57,2.63,127040
2015-05-13,2.63,2.63,2.63,2.63,74130
2015-05-14,2.63,2.75,2.63,2.69,119590
2015-05-15,2.75,2.75,2.69,2.69,54970
2015-05-18,2.69,2.81,2.69,2.75,116540
2015-05-19,2.81,2.92,2.81,2.92,161310
2015-05-20,2.92,3.04,2.86,3.04,107030
2015-05-21,3.04,3.1,2.86,3.04,217840
2015-05-22,2.92,3.04,2.92,3.04,43120
2015-05-25,2.92,2.98,2.92,2.98,85380
2015-05-26,2.92,2.98,2.86,2.92,192510
2015-05-27,2.86,2.92,2.81,2.81,61640
2015-05-28,2.86,2.92,2.81,2.92,47580
2015-05-29,2.98,2.98,2.86,2.86,10110
2015-06-01,2.81,2.98,2.75,2.86,28230
2015-06-02,2.86,2.86,2.86,2.86,33680
2015-06-03,2.86,3.04,2.86,2.98,175290
2015-06-04,3.04,3.1,2.92,3.1,54610
2015-06-05,3.04,3.1,3.04,3.1,49500
2015-06-08,3.1,3.1,2.98,3.04,59130
2015-06-09,3.04,3.04,2.92,3.04,120
2015-06-10,2.98,2.98,2.98,2.98,53760
2015-06-11,2.98,3.04,2.98,3.04,28750
2015-06-12,2.92,3.04,2.92,2.98,16000
2015-06-15,2.98,2.98,2.98,2.98,10690
2015-06-16,2.92,2.98,2.92,2.98,30920
2015-06-17,2.98,3.04,2.98,3.04,62700
2015-06-18,2.98,2.98,2.98,2.98,19770
2015-06-19,2.98,3.04,2.92,2.92,10000
2015-06-22,3.1,3.1,2.98,2.98,28630
2015-06-23,2.98,3.04,2.92,3.04,14140
2015-06-24,2.98,2.98,2.92,2.92,33400
2015-06-25,2.98,2.98,2.92,2.98,28380
2015-06-26,2.92,3.04,2.92,2.98,31010
2015-06-29,3.04,3.04,2.86,2.98,25270
2015-06-30,2.86,2.98,2.86,2.86,24560
2015-07-01,2.86,2.92,2.86,2.92,20520
2015-07-02,2.86,2.86,2.86,2.86,33590
2015-07-03,2.86,2.98,2.86,2.92,39010
2015-07-06,2.92,2.98,2.92,2.98,43530
2015-07-07,2.92,2.98,2.92,2.92,39950
2015-07-08,2.86,2.92,2.86,2.92,67020
2015-07-09,2.92,2.92,2.86,2.92,156630
2015-07-10,3.04,3.04,2.92,2.92,67310
2015-07-13,2.86,2.86,2.86,2.86,3180
2015-07-14,2.86,2.86,2.69,2.69,42050
2015-07-15,2.86,2.86,2.81,2.86,117930
2015-07-16,2.86,2.98,2.86,2.98,69010
2015-07-17,2.92,2.92,2.86,2.92,62520
2015-07-20,2.92,2.92,2.81,2.81,116780
2015-07-21,2.86,2.86,2.81,2.86,51670
2015-07-22,2.86,2.86,2.86,2.86,0
2015-07-23,2.86,2.86,2.81,2.81,27900
2015-07-24,2.86,2.92,2.81,2.92,32030
2015-07-27,2.92,2.92,2.86,2.92,29600
2015-07-28,2.86,2.86,2.86,2.86,57100
2015-07-29,2.86,2.92,2.86,2.92,19510
2015-07-30,2.86,2.92,2.86,2.92,30750
2015-07-31,2.92,2.98,2.92,2.98,38000
2015-08-03,2.92,2.92,2.86,2.92,31010
2015-08-04,2.92,2.92,2.81,2.92,26610
2015-08-05,2.92,2.92,2.92,2.92,46600
2015-08-06,2.92,2.98,2.86,2.98,376440
2015-08-07,2.98,3.16,2.81,3.1,293880
2015-08-10,3.1,3.16,3.1,3.1,24430
2015-08-11,3.04,3.1,2.98,3.1,90550
2015-08-12,2.98,3.04,2.98,3.04,33090
2015-08-13,2.92,3.1,2.92,2.92,60690
2015-08-14,2.92,3.1,2.92,2.98,80870
2015-08-17,3.04,3.04,2.98,3.04,98600
2015-08-18,3.04,3.1,3.04,3.1,5910
2015-08-19,3.04,3.04,2.98,3.04,53960
2015-08-20,3.1,3.1,3.04,3.1,62760
2015-08-21,3.04,3.04,2.92,2.98,21100
2015-08-24,2.92,2.92,2.81,2.81,36910
2015-08-25,2.86,2.92,2.75,2.81,6480
2015-08-26,2.98,2.98,2.86,2.92,4730
2015-08-27,2.98,3.04,2.98,3.04,120
2015-08-28,2.86,2.98,2.86,2.98,1760
2015-08-31,2.92,2.92,2.92,2.92,40010
2015-09-01,2.92,2.92,2.92,2.92,1340
2015-09-03,2.92,2.98,2.86,2.98,3010
2015-09-04,2.92,2.98,2.92,2.98,6010
2015-09-07,2.92,2.92,2.92,2.92,6040
2015-09-08,2.92,3.1,2.92,2.98,123740
2015-09-09,2.98,3.04,2.98,3.04,34010
2015-09-10,2.92,2.92,2.92,2.92,2300
2015-09-11,2.92,2.98,2.92,2.98,2010
2015-09-14,2.98,2.98,2.98,2.98,85200
2015-09-15,3.04,3.04,2.98,3.04,810
2015-09-16,2.92,2.98,2.92,2.98,9210
2015-09-17,2.92,3.04,2.92,3.04,191340
2015-09-18,3.04,3.04,2.98,3.04,13110
2015-09-21,3.04,3.04,3.04,3.04,12010
2015-09-22,2.98,3.04,2.98,3.04,9740
2015-09-23,3.04,3.04,2.98,2.98,17520
2015-09-24,2.98,3.04,2.98,3.04,88110
2015-09-25,3.04,3.04,2.98,3.04,102230
2015-09-28,3.04,3.04,2.98,3.04,10510
