time,open,high,low,close,volume
2013-04-24,79.8,79.8,79.8,79.8,0
2013-04-25,79.8,79.8,79.8,79.8,0
2013-04-26,79.8,79.8,79.8,79.8,0
2013-05-02,79.8,79.8,79.8,79.8,0
2013-05-03,79.8,79.8,79.8,79.8,0
2013-05-06,79.8,79.8,79.8,79.8,0
2013-05-07,79.8,79.8,79.8,79.8,0
2013-05-08,79.8,79.8,79.8,79.8,0
2013-05-09,79.8,79.8,79.8,79.8,0
2013-05-10,79.8,79.8,79.8,79.8,0
2013-05-13,79.8,79.8,79.8,79.8,0
2013-05-14,79.8,79.8,79.8,79.8,0
2013-05-15,79.8,79.8,79.8,79.8,0
2013-05-16,79.8,79.8,79.8,79.8,0
2013-05-17,79.8,79.8,79.8,79.8,0
2013-05-20,79.8,79.8,79.8,79.8,0
2013-05-21,79.8,79.8,79.8,79.8,0
2013-05-22,79.8,79.8,79.8,79.8,0
2013-05-23,79.8,79.8,79.8,79.8,0
2013-05-24,79.8,79.8,79.8,79.8,0
2013-05-27,79.8,79.8,79.8,79.8,0
2013-05-28,79.8,79.8,79.8,79.8,0
2013-05-29,79.8,79.8,79.8,79.8,0
2013-05-30,79.8,79.8,79.8,79.8,0
2013-05-31,79.8,79.8,79.8,79.8,0
2013-06-03,72.0,72.0,72.0,72.0,100
2013-06-04,64.9,64.9,64.9,64.9,100
2013-06-05,64.9,64.9,64.9,64.9,0
2013-06-06,64.9,64.9,64.9,64.9,0
2013-06-07,64.9,64.9,64.9,64.9,0
2013-06-10,64.9,64.9,64.9,64.9,0
2013-06-11,64.9,64.9,64.9,64.9,0
2013-06-12,64.9,64.9,64.9,64.9,0
2013-06-13,64.9,64.9,64.9,64.9,0
2013-06-14,64.9,64.9,64.9,64.9,0
2013-06-17,64.9,64.9,64.9,64.9,0
2013-06-18,64.9,64.9,64.9,64.9,0
2013-06-19,64.9,64.9,64.9,64.9,0
2013-06-20,64.9,64.9,64.9,64.9,0
2013-06-21,64.9,64.9,64.9,64.9,0
2013-06-24,71.2,71.2,71.2,71.2,100
2013-06-25,78.2,78.2,78.2,78.2,100
2013-06-26,78.2,78.2,78.2,78.2,0
2013-06-27,78.2,78.2,78.2,78.2,0
2013-06-28,78.2,78.2,78.2,78.2,0
2013-07-01,78.2,78.2,78.2,78.2,0
2013-07-02,78.2,78.2,78.2,78.2,0
2013-07-03,78.2,78.2,78.2,78.2,0
2013-07-04,78.2,78.2,78.2,78.2,0
2013-07-05,78.2,78.2,78.2,78.2,0
2013-07-08,78.2,78.2,78.2,78.2,0
2013-07-09,78.2,78.2,78.2,78.2,0
2013-07-10,78.2,78.2,78.2,78.2,0
2013-07-11,78.2,78.2,78.2,78.2,0
