time,open,high,low,close,volume
2015-06-26,6.75,6.75,6.75,6.75,0
2015-06-29,6.75,6.75,6.75,6.75,0
2015-06-30,7.04,7.2,6.87,7.0,210
2015-07-01,6.58,6.95,6.58,6.95,1000
2015-07-02,6.95,6.95,6.95,6.95,0
2015-07-03,6.95,6.95,6.95,6.95,0
2015-07-06,6.95,6.95,6.95,6.95,0
2015-07-07,6.54,6.62,6.5,6.62,5680
2015-07-08,6.66,6.66,6.66,6.66,2630
2015-07-09,6.5,6.66,6.5,6.66,4110
2015-07-10,6.83,6.83,6.45,6.66,9240
2015-07-13,6.66,6.66,6.66,6.66,850
2015-07-14,6.62,6.62,6.37,6.58,2380
2015-07-15,6.87,6.87,6.87,6.87,50
2015-07-16,6.45,6.66,6.45,6.58,7000
2015-07-17,6.7,6.7,6.66,6.66,2520
2015-07-20,7.12,7.12,6.45,6.62,1850
2015-07-21,6.83,6.83,6.45,6.62,1020
2015-07-22,6.83,6.83,6.25,6.83,70
2015-07-23,6.62,6.62,6.37,6.45,15810
2015-07-24,6.45,6.45,6.45,6.45,0
2015-07-27,6.66,6.66,6.25,6.45,1760
2015-07-28,6.87,6.87,6.87,6.87,10
2015-07-29,7.08,7.08,6.41,6.87,5110
2015-07-30,6.87,7.33,6.45,6.7,3320
2015-07-31,7.16,7.16,7.16,7.16,20
2015-08-03,7.16,7.16,7.16,7.16,0
2015-08-04,6.66,7.16,6.66,7.16,1550
2015-08-05,7.16,7.5,6.66,7.45,670
2015-08-06,6.95,7.5,6.95,7.16,120
2015-08-07,6.66,7.2,6.66,6.66,1700
2015-08-10,7.12,7.12,6.25,6.25,1830
2015-08-11,6.66,6.66,6.45,6.66,530
2015-08-12,6.95,6.95,6.95,6.95,10
2015-08-13,6.66,6.66,6.54,6.66,450
2015-08-14,6.66,7.12,6.45,6.87,540
2015-08-17,6.87,7.0,6.87,7.0,110
2015-08-18,6.83,7.29,6.83,6.91,1440
2015-08-19,6.91,7.16,6.66,6.66,570
2015-08-20,7.08,7.08,7.08,7.08,10
2015-08-21,7.08,7.08,7.08,7.08,0
2015-08-24,6.87,7.16,6.62,6.62,1450
2015-08-25,7.08,7.08,7.08,7.08,10
2015-08-26,7.29,7.29,6.66,7.04,120
2015-08-27,6.58,6.66,6.58,6.66,2690
2015-08-28,6.87,7.08,6.79,6.79,240
2015-08-31,7.04,7.04,6.33,6.33,800
2015-09-01,6.7,6.7,6.58,6.58,90
2015-09-03,6.25,6.54,6.25,6.54,510
2015-09-04,6.75,6.75,6.16,6.62,160
2015-09-07,6.62,6.87,6.16,6.62,2980
2015-09-08,6.83,6.83,6.66,6.66,520
2015-09-09,7.04,7.04,6.29,6.29,3380
2015-09-10,6.66,6.66,5.96,6.54,1530
2015-09-11,6.54,6.66,6.16,6.16,2820
2015-09-14,6.45,6.58,6.25,6.29,760
2015-09-15,6.29,6.29,6.25,6.25,960
2015-09-16,6.25,6.25,6.25,6.25,0
2015-09-17,6.25,6.25,5.83,5.83,1970
2015-09-18,6.04,6.2,5.54,6.04,360
2015-09-21,6.25,6.25,6.25,6.25,220
2015-09-22,6.25,6.25,6.25,6.25,1410
2015-09-23,5.83,6.25,5.83,6.16,12680
2015-09-24,5.87,6.16,5.87,6.12,260
2015-09-25,5.79,6.16,5.79,6.0,660
2015-09-28,6.0,6.0,5.71,5.87,570
2015-09-29,6.04,6.04,5.75,5.87,1040
2015-09-30,5.62,6.16,5.62,6.16,9070
2015-10-01,5.83,6.16,5.83,6.08,370
2015-10-02,6.29,6.29,6.29,6.29,20
2015-10-05,6.29,6.29,6.29,6.29,0
2015-10-06,5.96,5.96,5.96,5.96,330
2015-10-07,5.96,5.96,5.96,5.96,200
2015-10-08,6.16,6.16,6.16,6.16,1750
2015-10-09,6.16,6.16,6.16,6.16,100
2015-10-12,6.12,6.12,6.12,6.12,100
2015-10-13,6.38,6.38,5.78,6.25,150
2015-10-14,6.04,6.38,5.91,6.38,1540
2015-10-15,6.08,6.68,6.08,6.68,3580
2015-10-16,6.6,6.9,6.25,6.55,650
2015-10-19,6.64,6.9,6.25,6.55,5670
2015-10-20,6.55,6.55,6.55,6.55,220
2015-10-21,6.47,6.55,6.47,6.55,580
2015-10-22,6.51,6.51,6.42,6.47,260
2015-10-23,6.51,6.55,6.08,6.08,470
2015-10-26,6.47,6.47,6.42,6.42,1230
2015-10-27,6.47,6.47,6.47,6.47,5100
2015-10-28,6.42,6.42,6.12,6.12,330
2015-10-29,6.47,6.47,6.47,6.47,140
2015-10-30,6.08,6.42,6.08,6.42,900
2015-11-02,6.38,6.38,6.16,6.38,590
2015-11-03,6.38,6.68,6.16,6.16,350
2015-11-04,6.42,6.42,6.42,6.42,20
2015-11-05,6.25,6.25,6.08,6.08,1590
2015-11-06,6.25,6.47,5.95,5.95,3300
2015-11-09,6.25,6.25,6.25,6.25,40
2015-11-10,6.38,6.38,6.04,6.25,1300
2015-11-11,5.99,6.21,5.99,6.21,540
2015-11-12,6.16,6.38,6.16,6.38,810
2015-11-13,6.04,6.25,5.99,5.99,1530
2015-11-16,6.38,6.38,6.25,6.25,260
2015-11-17,6.29,6.47,6.04,6.04,830
2015-11-18,5.99,6.29,5.99,6.04,1390
2015-11-19,6.08,6.25,6.08,6.25,3280
2015-11-20,6.25,6.47,6.25,6.47,430
