time,open,high,low,close,volume
2013-07-12,4.06,4.06,4.06,4.06,0
2013-07-15,3.99,4.06,3.99,4.06,5800
2013-07-16,4.06,4.06,3.99,3.99,4000
2013-07-17,4.06,4.06,4.06,4.06,12700
2013-07-18,4.06,4.12,4.06,4.06,1200
2013-07-19,4.06,4.06,4.06,4.06,1600
2013-07-22,4.06,4.06,4.06,4.06,0
2013-07-23,3.99,4.18,3.99,4.18,7600
2013-07-24,4.06,4.12,4.06,4.12,7000
2013-07-25,4.12,4.12,4.06,4.12,11500
2013-07-26,4.06,4.12,4.06,4.12,2600
2013-07-29,4.12,4.12,4.12,4.12,0
2013-07-30,4.12,4.12,4.12,4.12,1000
2013-07-31,4.12,4.12,4.12,4.12,4400
2013-08-01,4.12,4.12,4.12,4.12,1100
2013-08-02,4.12,4.12,4.12,4.12,0
2013-08-05,4.12,4.12,4.12,4.12,2000
2013-08-06,4.12,4.12,4.12,4.12,1000
2013-08-07,4.12,4.12,4.12,4.12,10
2013-08-08,4.12,4.12,4.12,4.12,10000
2013-08-09,4.12,4.12,4.12,4.12,2700
2013-08-12,4.12,4.12,4.06,4.12,9300
2013-08-13,4.12,4.12,4.12,4.12,3568
2013-08-14,4.12,4.18,4.12,4.18,10000
2013-08-15,4.18,4.18,4.18,4.18,1000
2013-08-16,4.18,4.18,4.18,4.18,1000
2013-08-19,4.18,4.25,4.18,4.25,5720
2013-08-20,4.18,4.25,4.18,4.25,7300
2013-08-21,4.25,4.25,4.25,4.25,5500
2013-08-22,4.18,4.25,4.12,4.12,18000
2013-08-23,4.18,4.18,4.06,4.06,34500
2013-08-26,4.06,4.18,4.06,4.18,7900
2013-08-27,4.18,4.25,4.18,4.18,9900
2013-08-28,4.18,4.18,4.12,4.18,23700
2013-08-29,4.18,4.18,4.12,4.18,12300
2013-08-30,4.25,4.25,4.25,4.25,126
2013-09-03,4.12,4.12,4.12,4.12,600
2013-09-04,4.12,4.12,4.12,4.12,20600
2013-09-05,4.12,4.12,4.12,4.12,7000
2013-09-06,4.12,4.12,4.12,4.12,0
2013-09-09,4.12,4.25,4.12,4.12,52700
2013-09-10,4.18,4.18,4.12,4.18,13100
2013-09-11,4.18,4.18,4.18,4.18,21000
2013-09-12,4.18,4.18,4.18,4.18,50100
2013-09-13,4.18,4.18,4.18,4.18,7800
2013-09-16,4.18,4.25,4.06,4.18,44000
2013-09-17,4.18,4.18,4.18,4.18,10400
2013-09-18,4.18,4.18,4.18,4.18,23000
2013-09-19,4.18,4.18,4.18,4.18,6966
2013-09-20,4.25,4.25,4.18,4.25,4500
2013-09-23,4.25,4.25,4.18,4.25,16700
2013-09-24,4.25,4.25,4.25,4.25,2000
2013-09-25,4.25,4.25,4.25,4.25,6200
2013-09-26,4.25,4.31,4.18,4.25,5500
2013-09-27,4.18,4.18,4.18,4.18,17000
2013-09-30,4.18,4.18,4.18,4.18,1345
2013-10-01,4.18,4.25,4.18,4.18,12900
2013-10-02,4.18,4.18,4.18,4.18,0
2013-10-03,4.25,4.25,4.25,4.25,200
2013-10-04,4.18,4.18,4.18,4.18,6400
2013-10-07,4.25,4.25,4.25,4.25,5500
2013-10-08,4.25,4.31,4.25,4.31,1500
2013-10-09,4.31,4.38,4.31,4.38,3300
2013-10-10,4.38,4.38,4.38,4.38,4059
2013-10-11,4.31,4.44,4.31,4.44,3600
2013-10-14,4.25,4.44,4.25,4.44,3390
2013-10-15,4.44,4.44,4.44,4.44,300
2013-10-16,4.31,4.31,4.31,4.31,10000
2013-10-17,4.31,4.31,4.31,4.31,4000
2013-10-18,4.31,4.44,4.31,4.44,400
2013-10-21,4.51,4.57,4.51,4.51,6100
2013-10-22,4.51,4.51,4.51,4.51,1800
2013-10-23,4.51,4.51,4.44,4.44,20800
2013-10-24,4.44,4.51,4.31,4.51,6600
2013-10-25,4.38,4.51,4.31,4.51,5200
2013-10-28,4.51,4.51,4.51,4.51,5100
2013-10-29,4.51,4.51,4.51,4.51,4000
2013-10-30,4.51,4.57,4.51,4.57,2900
2013-10-31,4.57,4.63,4.57,4.63,2200
2013-11-01,4.44,4.7,4.44,4.7,2500
2013-11-04,4.63,4.83,4.63,4.76,54600
2013-11-05,4.83,4.89,4.83,4.89,12900
2013-11-06,4.96,4.96,4.96,4.96,241
2013-11-07,4.76,5.02,4.76,5.02,30310
2013-11-08,5.02,5.09,5.02,5.02,26005
2013-11-11,5.02,5.02,4.63,5.02,17900
2013-11-12,4.83,4.83,4.63,4.63,20845
2013-11-13,4.96,4.96,4.83,4.83,6200
2013-11-14,4.83,4.96,4.83,4.96,8760
2013-11-15,5.02,5.02,5.02,5.02,600
2013-11-18,5.02,5.15,5.02,5.15,34901
2013-11-19,5.09,5.09,5.09,5.09,10200
2013-11-20,5.09,5.09,4.89,4.96,22821
2013-11-21,5.02,5.15,5.02,5.02,17640
2013-11-22,5.02,5.15,4.96,5.02,22194
2013-11-25,5.15,5.28,5.09,5.15,21231
2013-11-26,5.15,5.15,5.02,5.15,6000
2013-11-27,5.21,5.66,5.21,5.66,53877
