time,open,high,low,close,volume
2012-11-20,3.1,3.1,2.9,3.0,22600
2012-11-21,2.9,3.0,2.9,3.0,5700
2012-11-22,3.0,3.0,3.0,3.0,600
2012-11-23,3.0,3.0,2.9,2.9,12400
2012-11-26,3.0,3.0,2.8,2.9,17000
2012-11-27,2.8,2.9,2.8,2.9,4200
2012-11-28,2.9,3.0,2.9,2.9,15800
2012-11-29,2.9,3.0,2.8,3.0,13700
2012-11-30,3.0,3.0,2.8,2.8,15100
2012-12-03,2.8,2.8,2.7,2.7,1900
2012-12-04,2.8,2.8,2.8,2.8,2100
2012-12-05,2.9,2.9,2.9,2.9,19600
2012-12-06,2.9,2.9,2.8,2.9,5300
2012-12-07,2.8,2.9,2.8,2.9,1000
2012-12-10,2.9,3.1,2.9,3.1,54800
2012-12-11,3.3,3.3,3.2,3.3,53900
2012-12-12,3.3,3.5,3.3,3.5,42400
2012-12-13,3.5,3.6,3.3,3.6,38300
2012-12-14,3.4,3.5,3.3,3.4,34900
2012-12-17,3.3,3.4,3.2,3.4,11000
2012-12-18,3.3,3.4,3.1,3.3,30200
2012-12-19,3.3,3.5,3.3,3.5,48400
2012-12-20,3.7,3.7,3.7,3.7,13500
2012-12-21,3.9,3.9,3.7,3.9,118500
2012-12-24,4.0,4.1,3.9,4.1,139700
2012-12-25,4.2,4.3,4.0,4.0,72000
2012-12-26,4.0,4.3,3.9,4.3,56900
2012-12-27,4.3,4.5,4.2,4.3,67700
2012-12-28,4.3,4.4,4.0,4.4,75200
2013-01-02,4.3,4.6,4.3,4.6,162300
2013-01-03,4.5,4.9,4.4,4.5,86300
2013-01-04,4.6,4.7,4.4,4.7,38500
2013-01-07,4.6,5.0,4.5,4.6,105900
2013-01-08,4.4,4.6,4.4,4.5,53000
2013-01-09,4.5,4.6,4.2,4.4,93000
2013-01-10,4.3,4.4,4.2,4.4,28100
2013-01-11,4.5,4.5,4.1,4.1,89700
2013-01-14,4.1,4.3,4.1,4.3,30900
2013-01-15,4.7,4.7,4.7,4.7,45700
2013-01-16,5.1,5.1,5.1,5.1,51900
2013-01-17,5.6,5.6,5.3,5.6,618300
2013-01-18,5.6,6.1,5.6,5.8,195800
2013-01-21,6.1,6.1,5.3,5.3,84100
2013-01-22,5.0,5.0,4.8,4.8,150700
2013-01-23,4.8,4.9,4.4,4.6,173000
