time,open,high,low,close,volume
2015-06-26,14.05,14.34,13.53,14.34,1250
2015-06-29,14.22,15.1,14.22,14.22,1010
2015-06-30,14.22,14.22,14.22,14.22,0
2015-07-01,13.41,15.04,13.24,15.04,1210
2015-07-02,13.99,15.39,13.99,15.39,810
2015-07-03,14.34,14.34,14.34,14.34,3090
2015-07-06,13.82,13.88,13.35,13.35,2180
2015-07-07,12.42,12.42,12.42,12.42,130
2015-07-08,12.89,12.89,11.67,11.67,20
2015-07-09,12.48,12.48,12.48,12.48,1010
2015-07-10,12.48,12.89,12.19,12.19,1130
2015-07-13,11.44,12.19,11.44,11.61,120
2015-07-14,11.61,11.61,11.32,11.32,110
2015-07-15,11.03,12.08,11.03,12.08,1690
2015-07-16,12.54,12.54,12.08,12.54,650
2015-07-17,11.79,12.48,11.73,11.9,530
2015-07-20,11.55,12.71,11.55,12.66,2700
2015-07-21,11.96,11.96,11.96,11.96,300
2015-07-22,12.77,12.77,11.96,11.96,90
2015-07-23,12.77,12.77,11.9,12.77,5990
2015-07-24,11.96,13.64,11.9,13.64,710
2015-07-27,13.64,14.17,13.64,14.17,560
2015-07-28,14.17,14.17,14.17,14.17,0
2015-07-29,13.18,13.18,13.18,13.18,120
2015-07-30,13.18,13.18,13.18,13.18,0
2015-07-31,13.93,13.93,13.93,13.93,10
2015-08-03,13.93,13.93,13.82,13.82,520
2015-08-04,13.82,13.82,13.82,13.82,0
2015-08-05,12.89,13.64,12.89,13.64,520
2015-08-06,14.17,14.17,12.71,13.59,40
2015-08-07,12.66,12.66,12.66,12.66,1180
2015-08-10,11.79,12.77,11.79,12.77,2760
2015-08-11,13.06,13.06,11.9,13.0,890
2015-08-12,13.0,13.0,13.0,13.0,0
2015-08-13,12.13,12.95,12.13,12.13,980
2015-08-14,11.38,11.38,11.38,11.38,160
2015-08-17,12.13,12.13,11.9,12.13,130
2015-08-18,12.13,12.13,12.13,12.13,0
2015-08-19,11.5,12.19,11.38,11.9,2270
2015-08-20,11.9,11.9,11.9,11.9,0
2015-08-21,12.71,12.71,11.09,11.84,3710
2015-08-24,11.03,11.79,11.03,11.79,3960
2015-08-25,11.61,11.61,11.61,11.61,10
2015-08-26,11.09,11.09,11.09,11.09,150
2015-08-27,11.03,11.61,10.33,11.61,1180
2015-08-28,10.86,10.86,10.86,10.86,450
2015-08-31,10.91,11.55,10.91,11.55,1100
2015-09-01,11.26,11.32,11.03,11.03,390
2015-09-03,10.39,10.45,10.28,10.45,260
2015-09-04,11.09,11.09,11.09,11.09,10
