time,open,high,low,close,volume
2013-05-03,31.43,31.43,31.43,31.43,0
2013-05-06,31.43,31.43,31.43,31.43,0
2013-05-07,31.43,31.43,31.43,31.43,0
2013-05-08,31.43,31.43,31.43,31.43,0
2013-05-09,29.61,29.61,29.61,29.61,100
2013-05-10,29.15,29.61,26.78,29.61,1400
2013-05-13,29.61,29.61,29.61,29.61,0
2013-05-14,29.15,29.61,29.15,29.61,300
2013-05-15,29.61,29.61,29.61,29.61,100
2013-05-16,29.61,29.61,29.61,29.61,0
2013-05-17,29.61,29.61,29.61,29.61,100
2013-05-20,29.61,29.61,29.61,29.61,1000
2013-05-21,29.61,29.61,29.61,29.61,0
2013-05-22,29.88,29.88,29.88,29.88,3900
2013-05-23,29.88,30.97,29.88,30.97,200
2013-05-24,32.79,32.79,29.79,30.97,200
2013-05-27,30.79,30.97,29.97,29.97,1000
2013-05-28,29.97,30.97,29.88,30.97,600
2013-05-29,29.88,31.79,27.87,27.87,1700
2013-05-30,27.87,27.87,27.87,27.87,0
2013-05-31,27.87,27.87,27.87,27.87,0
2013-06-03,28.24,28.24,28.24,28.24,500
2013-06-04,28.42,28.42,28.42,28.42,100
2013-06-05,28.42,28.42,28.42,28.42,0
2013-06-06,28.42,28.42,28.42,28.42,100
2013-06-07,28.42,28.42,28.42,28.42,0
2013-06-10,28.42,28.42,28.42,28.42,0
2013-06-11,28.42,28.42,28.42,28.42,0
2013-06-12,28.42,28.42,28.42,28.42,0
2013-06-13,28.42,28.42,28.42,28.42,600
2013-06-14,28.42,28.42,28.42,28.42,0
2013-06-17,28.24,28.24,28.24,28.24,200
2013-06-18,28.24,28.24,28.24,28.24,0
2013-06-19,28.24,28.24,28.24,28.24,0
2013-06-20,28.24,28.24,28.24,28.24,0
2013-06-21,28.24,28.24,28.24,28.24,0
2013-06-24,28.33,28.33,28.33,28.33,0
2013-06-25,28.33,28.33,28.33,28.33,0
2013-06-26,28.33,28.33,28.33,28.33,0
2013-06-27,28.33,28.33,28.33,28.33,0
2013-06-28,31.15,31.15,28.33,28.33,500
2013-07-01,31.15,31.15,31.15,31.15,2000
2013-07-02,31.15,31.88,29.7,29.7,8200
2013-07-03,30.06,30.06,30.06,30.06,3300
2013-07-04,30.06,30.06,30.06,30.06,0
2013-07-05,28.51,28.51,28.51,28.51,500
2013-07-08,28.51,28.51,28.51,28.51,0
2013-07-09,28.24,28.6,28.24,28.6,700
2013-07-10,28.6,28.6,28.6,28.6,100
2013-07-11,28.6,28.6,28.6,28.6,3500
2013-07-12,31.43,31.43,25.78,28.06,500
2013-07-15,28.06,28.06,28.06,28.06,0
2013-07-16,27.6,27.6,25.96,25.96,200
2013-07-17,25.96,25.96,25.96,25.96,0
2013-07-18,25.96,25.96,25.96,25.96,0
2013-07-19,25.96,25.96,25.96,25.96,400
2013-07-22,25.96,25.96,25.96,25.96,0
2013-07-23,25.96,25.96,25.96,25.96,0
2013-07-24,25.96,25.96,25.96,25.96,400
2013-07-25,25.96,25.96,25.96,25.96,1500
2013-07-26,25.96,25.96,25.96,25.96,0
2013-07-29,25.96,25.96,25.96,25.96,0
2013-07-30,26.05,26.05,25.96,25.96,2300
2013-07-31,25.96,25.96,25.96,25.96,0
2013-08-01,28.51,28.51,28.51,28.51,1000
2013-08-02,25.87,25.87,25.87,25.87,100
2013-08-05,25.87,25.87,25.87,25.87,600
2013-08-06,25.96,28.42,25.96,28.42,2200
2013-08-07,28.42,28.42,28.42,28.42,0
