time,open,high,low,close,volume
2015-06-26,10.41,10.41,10.41,10.41,2700
2015-06-29,10.24,10.24,10.24,10.24,600
2015-06-30,10.2,10.2,10.2,10.2,200
2015-07-01,10.2,10.2,10.2,10.2,700
2015-07-02,10.2,10.2,10.2,10.2,100
2015-07-03,10.16,10.16,10.16,10.16,5900
2015-07-06,10.24,10.24,10.2,10.2,600
2015-07-07,10.2,10.2,10.2,10.2,200
2015-07-08,10.2,11.18,10.2,11.18,3600
2015-07-09,11.95,11.95,11.95,11.95,100
2015-07-10,11.1,11.95,10.76,11.1,800
2015-07-13,11.52,11.52,10.24,10.84,1600
2015-07-14,9.77,10.8,9.77,10.8,200
2015-07-15,10.8,10.8,10.8,10.8,0
2015-07-16,10.8,10.8,10.8,10.8,0
2015-07-17,9.82,10.54,9.82,10.54,4600
2015-07-20,10.37,10.37,10.37,10.37,200
2015-07-21,10.37,10.37,10.37,10.37,100
2015-07-22,10.37,10.37,10.37,10.37,0
2015-07-23,10.37,10.63,10.37,10.63,300
2015-07-24,10.24,10.24,10.24,10.24,800
2015-07-27,10.29,10.29,10.29,10.29,800
2015-07-28,10.29,10.29,10.29,10.29,0
2015-07-29,10.29,10.29,10.29,10.29,0
2015-07-30,10.29,10.29,10.29,10.29,0
2015-07-31,10.29,10.29,10.29,10.29,0
2015-08-03,10.29,10.29,10.29,10.29,0
2015-08-04,10.07,10.07,10.07,10.07,400
2015-08-05,10.67,10.67,10.67,10.67,100
2015-08-06,10.67,11.74,10.58,10.58,1200
2015-08-07,10.58,10.58,10.58,10.58,0
2015-08-10,10.58,10.58,10.58,10.58,0
2015-08-11,10.16,10.16,10.16,10.16,300
2015-08-12,9.6,10.24,9.6,10.24,300
2015-08-13,10.54,10.54,10.54,10.54,100
2015-08-14,10.54,10.54,10.54,10.54,0
2015-08-17,10.54,10.54,10.54,10.54,0
2015-08-18,11.57,11.57,11.57,11.57,100
2015-08-19,10.41,10.41,10.41,10.41,100
2015-08-20,10.58,10.58,10.58,10.58,100
2015-08-21,10.58,10.58,10.58,10.58,0
2015-08-24,10.58,10.58,10.58,10.58,0
2015-08-25,10.58,10.58,10.58,10.58,0
2015-08-26,10.54,10.54,10.41,10.54,5520
2015-08-27,10.54,10.54,10.54,10.54,80
2015-08-28,10.54,10.54,10.54,10.54,0
2015-08-31,10.54,10.54,10.54,10.54,0
2015-09-01,10.54,10.54,10.54,10.54,0
2015-09-03,10.67,11.52,10.24,11.4,600
2015-09-04,10.29,10.29,10.29,10.29,1000
2015-09-07,10.54,10.54,10.29,10.46,5100
2015-09-08,10.41,10.41,10.29,10.29,6100
2015-09-09,11.1,11.1,10.29,10.29,200
2015-09-10,10.67,10.67,10.67,10.67,100
2015-09-11,10.88,11.31,10.24,10.97,600
2015-09-14,10.97,11.95,10.97,11.95,200
2015-09-15,10.76,11.91,10.76,11.87,1000
2015-09-16,10.71,11.31,10.71,11.31,200
2015-09-17,11.31,11.31,11.31,11.31,0
2015-09-18,11.52,11.87,11.52,11.87,200
2015-09-21,10.71,10.71,10.71,10.71,200
2015-09-22,9.82,9.82,9.82,9.82,2400
2015-09-23,10.54,10.54,10.54,10.54,100
2015-09-24,11.1,11.1,11.1,11.1,100
2015-09-25,11.1,11.1,11.1,11.1,0
2015-09-28,11.1,11.1,11.1,11.1,0
2015-09-29,11.31,11.31,11.31,11.31,100
2015-09-30,10.24,10.24,10.24,10.24,100
2015-10-01,10.67,10.67,10.67,10.67,100
2015-10-02,10.67,10.67,10.67,10.67,0
2015-10-05,10.67,10.67,10.67,10.67,0
2015-10-06,10.67,10.67,10.67,10.67,0
