time,open,high,low,close,volume
2015-06-26,10.61,10.61,10.52,10.52,20
2015-06-29,10.43,10.43,10.43,10.43,3000
2015-06-30,10.25,10.69,10.16,10.69,7060
2015-07-01,10.61,10.61,10.61,10.61,1500
2015-07-02,10.96,11.31,10.87,11.31,13350
2015-07-03,11.49,11.49,11.31,11.31,1010
2015-07-06,10.78,11.23,10.61,10.69,4430
2015-07-07,10.69,11.14,10.69,11.05,130
2015-07-08,11.23,11.23,11.05,11.23,7510
2015-07-09,11.05,11.31,11.05,11.31,3010
2015-07-10,10.78,11.31,10.78,11.31,620
2015-07-13,11.31,11.31,11.31,11.31,0
2015-07-14,10.61,10.61,10.61,10.61,500
2015-07-15,11.23,11.23,11.23,11.23,10
2015-07-16,11.23,11.23,11.23,11.23,200
2015-07-17,10.52,11.14,10.52,10.61,1050
2015-07-20,10.61,11.14,10.61,11.14,110
2015-07-21,10.61,10.96,10.43,10.43,19820
2015-07-22,10.96,10.96,10.96,10.96,350
2015-07-23,10.61,10.78,10.61,10.78,100
2015-07-24,10.78,10.78,10.78,10.78,0
2015-07-27,10.16,10.69,10.16,10.69,520
2015-07-28,10.69,10.69,10.69,10.69,0
2015-07-29,10.69,10.69,10.69,10.69,150
2015-07-30,10.16,10.16,10.08,10.16,6600
2015-07-31,10.16,10.61,10.16,10.61,5470
2015-08-03,9.99,10.69,9.99,10.69,2010
2015-08-04,10.61,10.61,10.61,10.61,50
2015-08-05,10.61,10.61,10.61,10.61,0
2015-08-06,10.61,10.61,10.61,10.61,0
2015-08-07,10.25,10.61,10.25,10.61,210
2015-08-10,10.16,10.52,9.99,10.52,3660
2015-08-11,10.52,10.52,10.52,10.52,0
2015-08-12,10.61,10.61,10.61,10.61,10
2015-08-13,9.99,10.61,9.99,10.61,20
2015-08-14,10.61,10.61,10.61,10.61,0
2015-08-17,9.99,9.99,9.99,9.99,500
2015-08-18,10.52,10.52,10.52,10.52,10
2015-08-19,10.52,10.52,10.52,10.52,0
2015-08-20,10.08,10.52,9.99,9.99,2010
2015-08-21,9.72,10.43,9.72,10.43,3270
2015-08-24,9.72,10.43,9.72,10.25,2030
2015-08-25,9.72,10.25,9.72,10.25,1050
2015-08-26,10.52,10.52,10.52,10.52,10
2015-08-27,10.52,10.61,10.52,10.61,100
2015-08-28,10.61,10.61,10.61,10.61,0
2015-08-31,10.61,10.61,10.61,10.61,0
2015-09-01,9.99,10.52,9.99,10.52,1010
2015-09-03,10.52,10.52,10.52,10.52,0
2015-09-04,9.81,10.52,9.81,10.52,100
2015-09-07,10.52,10.52,10.52,10.52,10
2015-09-08,10.16,10.61,10.16,10.61,2010
2015-09-09,10.43,10.52,10.43,10.52,100
2015-09-10,10.08,10.52,9.99,9.99,2630
2015-09-11,9.99,10.61,9.99,10.52,230
2015-09-14,10.25,10.25,10.25,10.25,400
2015-09-15,9.81,10.61,9.81,10.61,1070
2015-09-16,10.16,10.52,10.16,10.52,510
2015-09-17,10.52,10.52,10.52,10.52,0
2015-09-18,10.16,10.61,10.16,10.61,1510
2015-09-21,10.61,10.61,10.61,10.61,500
2015-09-22,10.61,10.61,10.61,10.61,0
2015-09-23,10.61,10.61,10.61,10.61,3000
2015-09-24,10.61,10.61,10.61,10.61,0
2015-09-25,10.61,10.61,10.61,10.61,0
2015-09-28,10.52,10.52,10.52,10.52,560
2015-09-29,10.61,10.61,10.16,10.61,10080
2015-09-30,10.96,10.96,10.61,10.61,710
2015-10-01,10.61,10.61,10.61,10.61,0
2015-10-02,10.52,10.52,10.52,10.52,40
2015-10-05,10.61,10.61,10.61,10.61,1200
2015-10-06,11.05,11.05,10.61,10.61,2140
2015-10-07,10.61,10.61,10.61,10.61,7460
2015-10-08,10.89,10.89,10.7,10.79,5130
2015-10-09,11.26,11.26,11.26,11.26,10
2015-10-12,10.51,10.98,10.51,10.51,9720
2015-10-13,10.98,10.98,10.98,10.98,10
2015-10-14,10.98,10.98,10.98,10.98,0
2015-10-15,10.98,10.98,10.98,10.98,10
2015-10-16,10.89,10.89,10.89,10.89,2000
2015-10-19,10.89,11.08,10.89,10.89,2050
2015-10-20,10.89,11.08,10.61,11.08,8190
2015-10-21,11.17,11.17,11.17,11.17,20
2015-10-22,10.51,11.08,10.51,11.08,2010
2015-10-23,10.89,11.17,10.89,11.17,20
2015-10-26,10.79,11.17,10.79,11.17,730
2015-10-27,11.17,11.17,11.17,11.17,0
2015-10-28,10.7,10.7,10.7,10.7,330
2015-10-29,10.51,10.79,10.51,10.79,1690
2015-10-30,10.79,10.98,10.79,10.98,330
2015-11-02,11.08,11.08,11.08,11.08,10
2015-11-03,10.61,10.98,10.61,10.98,450
2015-11-04,10.42,11.26,10.23,11.26,8000
2015-11-05,11.26,11.26,11.26,11.26,0
2015-11-06,11.36,11.36,11.36,11.36,1370
2015-11-09,11.17,11.17,10.61,11.08,1060
2015-11-10,11.17,11.17,10.61,10.61,70
2015-11-11,10.98,10.98,10.98,10.98,10
2015-11-12,10.7,10.7,10.7,10.7,50
2015-11-13,10.61,10.89,10.61,10.89,2140
2015-11-16,11.17,11.17,11.08,11.08,20
2015-11-17,11.08,11.08,11.08,11.08,0
2015-11-18,10.98,11.17,10.98,11.17,840
2015-11-19,11.17,11.17,11.08,11.08,70
2015-11-20,11.08,11.08,11.08,11.08,50
2015-11-23,11.08,11.08,11.08,11.08,0
2015-11-24,11.08,11.08,11.08,11.08,0
2015-11-25,11.17,11.17,11.17,11.17,10
2015-11-26,11.08,11.08,11.08,11.08,30
2015-11-27,11.08,11.08,11.08,11.08,300
2015-11-30,11.08,11.08,11.08,11.08,0
2015-12-01,11.08,11.08,11.08,11.08,0
2015-12-02,10.79,10.79,10.79,10.79,200
2015-12-03,11.08,11.08,10.04,10.14,5100
2015-12-04,10.51,10.51,10.51,10.51,10
2015-12-07,10.14,10.61,10.14,10.61,1910
2015-12-08,10.61,10.61,10.61,10.61,0
2015-12-09,10.14,10.42,10.04,10.42,5020
2015-12-10,10.42,10.42,10.42,10.42,0
2015-12-11,10.32,10.51,10.32,10.51,510
2015-12-14,10.51,10.51,10.51,10.51,50
2015-12-15,10.32,10.61,10.32,10.61,2250
2015-12-16,10.61,10.61,10.61,10.61,0
2015-12-17,11.08,11.08,10.04,10.42,6070
2015-12-18,10.32,10.32,10.32,10.32,520
2015-12-21,9.76,9.95,9.67,9.67,20150
2015-12-22,9.86,9.95,9.86,9.95,370
2015-12-23,9.95,9.95,9.95,9.95,0
2015-12-24,9.67,9.86,9.57,9.86,5510
2015-12-25,9.57,9.76,9.57,9.76,220
2015-12-28,9.57,9.95,9.57,9.95,13300
2015-12-29,10.23,10.23,10.04,10.04,20
2015-12-30,10.04,10.04,10.04,10.04,20
2015-12-31,10.04,10.04,10.04,10.04,2500
2016-01-04,9.95,9.95,9.95,9.95,140
2016-01-05,9.95,10.04,9.95,10.04,4500
2016-01-06,10.32,10.32,10.14,10.14,40
2016-01-07,10.14,10.14,10.14,10.14,0
2016-01-08,10.14,10.14,10.14,10.14,10
2016-01-11,9.67,10.14,9.67,10.14,340
2016-01-12,10.7,10.7,10.7,10.7,10
2016-01-13,10.23,10.23,10.04,10.23,370
2016-01-14,10.23,10.23,10.23,10.23,0
2016-01-15,10.23,10.23,10.23,10.23,0
2016-01-18,10.23,10.23,10.23,10.23,0
2016-01-19,10.23,10.23,10.23,10.23,0
2016-01-20,9.67,9.67,9.57,9.67,1300
2016-01-21,9.57,9.57,9.57,9.57,40
2016-01-22,8.92,9.39,8.92,9.39,1310
2016-01-25,9.76,9.76,9.76,9.76,10
2016-01-26,10.23,10.23,10.23,10.23,10
2016-01-27,10.23,10.23,10.23,10.23,0
2016-01-28,10.23,10.23,10.23,10.23,0
2016-01-29,10.14,10.32,10.14,10.32,420
2016-02-01,10.32,10.32,10.32,10.32,0
2016-02-02,10.32,10.32,10.32,10.32,0
2016-02-03,10.32,10.32,10.32,10.32,0
2016-02-04,10.32,10.32,10.32,10.32,0
2016-02-05,10.61,10.61,10.32,10.32,2670
2016-02-15,10.42,10.42,10.42,10.42,10
