time,open,high,low,close,volume
2012-12-17,2.26,2.26,2.26,2.26,0
2012-12-18,2.26,2.26,2.26,2.26,0
2012-12-19,2.12,2.12,2.12,2.12,100
2012-12-20,1.98,2.08,1.98,2.08,1300
2012-12-21,2.08,2.08,2.08,2.08,0
2012-12-24,2.08,2.08,2.08,2.08,0
2012-12-25,1.94,1.94,1.94,1.94,200
2012-12-26,1.85,1.85,1.85,1.85,4800
2012-12-27,1.75,1.89,1.75,1.75,52500
2012-12-28,1.85,1.89,1.8,1.89,27300
2013-01-02,1.98,1.98,1.98,1.98,30000
2013-01-03,2.08,2.12,2.03,2.12,21000
2013-01-04,2.26,2.26,2.17,2.17,12600
2013-01-07,2.21,2.21,2.21,2.21,200
2013-01-08,2.21,2.21,2.21,2.21,0
2013-01-09,2.08,2.08,2.08,2.08,4200
2013-01-10,2.08,2.08,2.08,2.08,0
2013-01-11,2.08,2.08,2.08,2.08,600
2013-01-14,1.94,1.94,1.94,1.94,3200
2013-01-15,1.8,2.03,1.8,2.03,25700
2013-01-16,2.21,2.21,2.03,2.03,48300
2013-01-17,2.12,2.12,2.12,2.12,100
2013-01-18,1.94,2.08,1.94,2.03,19900
2013-01-21,1.98,2.03,1.94,2.03,4000
2013-01-22,1.98,1.98,1.85,1.98,51000
2013-01-23,1.98,1.98,1.98,1.98,100
2013-01-24,2.03,2.03,1.98,2.03,700
2013-01-25,2.03,2.08,2.03,2.08,8000
2013-01-28,1.98,2.03,1.94,1.94,9700
2013-01-29,1.85,1.85,1.85,1.85,100
2013-01-30,1.8,1.85,1.75,1.85,5300
2013-01-31,1.94,1.94,1.85,1.85,1200
2013-02-01,1.85,1.85,1.85,1.85,200
2013-02-04,1.94,1.94,1.94,1.94,100
2013-02-05,1.98,1.98,1.89,1.89,1100
2013-02-06,1.85,1.85,1.85,1.85,1100
2013-02-07,1.98,1.98,1.89,1.89,700
2013-02-08,1.98,1.98,1.98,1.98,1200
2013-02-18,2.03,2.03,1.98,1.98,1100
2013-02-19,1.94,1.98,1.94,1.98,1900
2013-02-20,1.98,1.98,1.98,1.98,0
2013-02-21,1.98,2.08,1.8,1.94,17400
