time,open,high,low,close,volume
2015-06-26,4.38,5.07,4.38,5.07,800
2015-06-29,4.38,5.0,4.38,4.38,2100
2015-06-30,4.17,4.38,4.17,4.31,4900
2015-07-01,4.66,4.66,4.59,4.66,1300
2015-07-02,4.72,4.72,4.72,4.72,300
2015-07-03,4.24,4.24,4.24,4.24,500
2015-07-06,4.72,4.72,4.72,4.72,900
2015-07-07,4.17,4.17,4.17,4.17,500
2015-07-08,4.17,4.17,4.17,4.17,1000
2015-07-09,4.17,4.17,4.17,4.17,0
2015-07-10,4.17,4.38,4.17,4.38,2700
2015-07-13,4.66,4.66,4.66,4.66,100
2015-07-14,4.45,4.45,4.45,4.45,700
2015-07-15,4.45,4.45,4.45,4.45,0
2015-07-16,4.45,4.45,4.45,4.45,0
2015-07-17,4.93,4.93,4.93,4.93,100
2015-07-20,4.86,4.86,4.86,4.86,6300
2015-07-21,5.14,5.14,5.14,5.14,200
2015-07-22,5.21,5.21,5.21,5.21,300
2015-07-23,4.45,4.45,4.45,4.45,400
2015-07-24,4.24,4.59,4.24,4.45,2600
2015-07-27,4.59,4.59,4.59,4.59,300
2015-07-28,5.14,5.14,5.14,5.14,100
2015-07-29,4.45,4.45,4.45,4.45,10000
2015-07-30,5.07,5.07,5.07,5.07,500
2015-07-31,5.0,5.0,4.79,4.79,4600
2015-08-03,5.42,5.42,5.42,5.42,400
2015-08-04,5.77,5.77,4.86,4.86,800
2015-08-05,4.86,4.86,4.86,4.86,0
2015-08-06,4.66,4.66,4.59,4.66,3800
2015-08-07,5.28,5.28,4.59,4.93,1500
2015-08-10,5.35,5.35,4.59,4.93,1800
2015-08-11,5.56,5.56,5.56,5.56,1200
2015-08-12,6.18,6.18,4.72,4.72,1500
2015-08-13,4.72,4.72,4.72,4.72,0
2015-08-14,5.7,5.7,5.7,5.7,300
2015-08-17,5.7,5.7,5.7,5.7,0
2015-08-18,6.32,6.32,6.32,6.32,300
2015-08-19,6.53,6.53,6.53,6.53,100
2015-08-20,6.53,6.53,6.53,6.53,0
2015-08-21,6.53,6.53,6.53,6.53,0
2015-08-24,6.53,6.53,6.53,6.53,0
2015-08-25,6.53,6.53,6.53,6.53,0
2015-08-26,6.53,6.53,6.53,6.53,0
2015-08-27,6.53,6.53,6.53,6.53,0
2015-08-28,6.53,6.53,6.53,6.53,0
2015-08-31,6.53,6.53,6.53,6.53,0
2015-09-01,6.53,6.53,6.53,6.53,0
2015-09-03,7.43,7.43,5.56,5.56,1200
2015-09-04,5.28,5.28,5.28,5.28,200
2015-09-07,5.21,5.21,4.66,4.66,300
2015-09-08,4.66,4.66,4.66,4.66,800
2015-09-09,5.28,5.28,5.21,5.21,800
2015-09-10,5.21,5.35,5.21,5.35,800
2015-09-11,5.56,5.56,4.79,5.49,600
2015-09-14,5.49,5.49,5.49,5.49,400
2015-09-15,5.49,5.49,5.49,5.49,0
2015-09-16,5.49,5.49,5.49,5.49,0
2015-09-17,5.49,5.49,5.49,5.49,0
2015-09-18,5.49,5.49,5.49,5.49,0
2015-09-21,5.49,5.49,5.49,5.49,0
2015-09-22,4.79,4.79,4.72,4.72,900
2015-09-23,5.35,5.35,4.03,5.14,3800
2015-09-24,5.0,5.0,4.72,5.0,1500
2015-09-25,5.21,5.21,5.21,5.21,600
2015-09-28,5.49,5.49,5.49,5.49,900
2015-09-29,5.49,5.49,5.49,5.49,0
2015-09-30,5.49,5.49,5.49,5.49,0
2015-10-01,6.11,6.11,6.11,6.11,600
2015-10-02,6.6,6.6,6.46,6.46,600
2015-10-05,6.46,6.46,6.46,6.46,0
2015-10-06,6.46,6.46,6.46,6.46,0
2015-10-07,5.56,5.56,5.56,5.56,100
2015-10-08,6.18,6.18,5.49,5.49,1100
2015-10-09,5.49,5.49,5.49,5.49,0
2015-10-12,5.21,5.21,5.21,5.21,2700
2015-10-13,4.52,5.14,4.52,4.79,6700
2015-10-14,5.35,5.42,4.79,4.93,48500
2015-10-15,5.0,5.14,4.86,5.14,5400
2015-10-16,5.49,5.49,4.66,4.66,17800
2015-10-19,5.14,5.56,5.14,5.56,45900
2015-10-20,5.21,5.84,5.21,5.49,1600
2015-10-21,5.77,5.84,5.7,5.7,3900
2015-10-22,5.77,6.32,5.77,6.25,8000
2015-10-23,6.6,6.6,5.14,6.05,12000
2015-10-26,5.91,6.18,5.91,6.11,4900
2015-10-27,6.6,6.6,6.11,6.11,900
2015-10-28,6.53,6.53,6.05,6.05,4000
2015-10-29,6.18,6.18,6.11,6.11,10400
2015-10-30,6.25,6.32,6.11,6.32,3800
2015-11-02,6.95,7.09,6.39,7.09,23000
2015-11-03,7.57,7.57,7.02,7.02,900
2015-11-04,7.92,7.92,7.02,7.02,10000
2015-11-05,7.64,7.64,6.81,7.64,24500
2015-11-06,7.85,7.85,7.85,7.85,100
2015-11-09,7.02,7.02,6.81,6.95,3800
2015-11-10,5.91,7.5,5.91,7.5,3600
2015-11-11,6.32,7.09,6.32,7.09,4000
2015-11-12,6.95,6.95,6.81,6.81,500
2015-11-13,5.84,5.84,5.84,5.84,3100
2015-11-16,6.67,6.67,5.28,5.98,4300
2015-11-17,6.11,6.11,6.11,6.11,200
2015-11-18,6.11,6.88,6.11,6.88,3700
2015-11-19,6.88,6.88,6.25,6.81,1200
2015-11-20,6.81,7.37,6.81,6.81,8500
2015-11-23,6.95,6.95,6.95,6.95,500
2015-11-24,7.23,7.23,7.09,7.09,600
2015-11-25,6.74,7.16,6.74,6.81,5500
2015-11-26,7.09,7.09,7.09,7.09,100
2015-11-27,7.02,7.02,6.74,6.74,2400
2015-11-30,6.95,6.95,6.95,6.95,6800
2015-12-01,7.09,7.23,7.09,7.16,1400
2015-12-02,7.16,7.16,7.16,7.16,0
2015-12-03,7.64,7.64,7.09,7.5,12000
2015-12-04,7.85,8.2,7.64,8.2,120600
