time,open,high,low,close,volume
2015-06-26,15.85,15.85,15.19,15.71,9050
2015-06-29,15.71,15.71,15.71,15.71,400
2015-06-30,15.71,15.71,15.71,15.71,2240
2015-07-01,15.71,15.85,15.19,15.71,5060
2015-07-02,15.71,15.71,15.71,15.71,2470
2015-07-03,15.71,15.98,15.71,15.85,17620
2015-07-06,15.98,16.89,15.71,16.76,17370
2015-07-07,16.63,16.76,16.11,16.5,440
2015-07-08,16.76,16.76,15.71,16.5,8310
2015-07-09,15.71,16.76,15.71,15.71,5510
2015-07-10,15.71,16.5,15.71,15.85,5420
2015-07-13,14.93,16.24,14.93,15.71,1710
2015-07-14,15.58,15.71,15.58,15.71,6260
2015-07-15,15.71,15.85,15.45,15.85,1970
2015-07-16,15.85,15.85,15.45,15.85,610
2015-07-17,15.85,16.11,15.71,15.71,1800
2015-07-20,15.71,15.71,15.71,15.71,3100
2015-07-21,15.71,15.71,15.71,15.71,4300
2015-07-22,15.71,15.71,15.58,15.71,5090
2015-07-23,15.45,15.71,15.45,15.71,310
2015-07-24,15.58,15.58,15.58,15.58,1610
2015-07-27,15.58,15.58,15.58,15.58,1020
2015-07-28,15.58,15.58,15.58,15.58,3000
2015-07-29,15.58,15.58,15.58,15.58,0
2015-07-30,15.58,16.11,15.06,15.98,1050
2015-07-31,15.98,15.98,15.98,15.98,0
2015-08-03,15.58,15.58,15.32,15.32,5010
2015-08-04,15.32,15.45,15.32,15.45,2190
2015-08-05,15.32,15.45,15.32,15.45,1310
2015-08-06,15.45,15.58,15.45,15.58,5020
2015-08-07,15.45,15.45,15.45,15.45,410
2015-08-10,15.45,15.45,15.45,15.45,0
2015-08-11,15.45,15.45,15.45,15.45,0
2015-08-12,15.19,15.45,15.19,15.45,110
2015-08-13,15.32,15.32,15.32,15.32,4010
2015-08-14,15.98,15.98,15.98,15.98,10
2015-08-17,16.11,16.5,16.11,16.5,950
2015-08-18,16.24,16.24,15.45,15.71,2670
2015-08-19,16.24,16.24,15.58,15.71,1630
2015-08-20,16.11,16.11,15.45,15.58,1440
2015-08-21,16.11,16.11,15.45,15.58,620
2015-08-24,15.58,15.58,15.58,15.58,400
2015-08-25,14.67,15.71,14.67,15.71,1770
2015-08-26,16.24,16.24,15.45,15.98,640
2015-08-27,16.11,16.24,15.58,15.98,1320
2015-08-28,15.71,16.24,15.58,16.11,1560
2015-08-31,16.11,16.24,15.71,16.11,840
2015-09-01,15.45,15.98,15.19,15.98,860
2015-09-03,15.85,15.85,15.85,15.85,10
2015-09-04,16.11,16.11,15.32,16.11,430
2015-09-07,16.11,16.11,16.11,16.11,0
2015-09-08,15.32,16.11,15.19,16.11,710
2015-09-09,16.5,16.5,15.71,16.24,830
2015-09-10,16.24,16.24,16.24,16.24,0
2015-09-11,15.98,16.24,15.71,16.24,600
2015-09-14,16.24,16.24,15.71,16.24,530
2015-09-15,16.24,16.24,16.24,16.24,0
2015-09-16,15.71,16.24,15.71,16.24,460
2015-09-17,15.58,16.24,15.58,16.24,210
2015-09-18,16.24,16.24,16.24,16.24,0
2015-09-21,15.45,16.24,15.45,16.24,410
2015-09-22,16.24,16.24,16.24,16.24,0
2015-09-23,16.11,16.24,15.71,16.24,990
2015-09-24,15.98,16.11,15.98,16.11,100
2015-09-25,15.85,16.11,15.85,16.11,4890
2015-09-28,15.71,16.11,15.71,16.11,150
2015-09-29,16.11,16.24,15.98,16.24,2700
2015-09-30,16.24,16.24,16.11,16.24,2260
2015-10-01,16.24,16.37,16.11,16.24,5690
2015-10-02,16.24,16.24,16.11,16.24,3510
2015-10-05,16.24,16.24,16.24,16.24,10
2015-10-06,16.24,16.37,16.24,16.37,3300
2015-10-07,16.5,16.76,16.5,16.76,4140
2015-10-08,17.02,17.29,16.76,17.02,9120
2015-10-09,17.02,17.42,17.02,17.02,4180
2015-10-12,17.42,17.68,17.29,17.68,4600
2015-10-13,17.81,18.86,17.68,18.86,5720
2015-10-14,20.17,20.17,19.12,20.17,7400
2015-10-15,21.48,21.48,20.17,20.3,10780
2015-10-16,20.3,21.35,18.99,19.38,240
2015-10-19,20.69,20.69,18.99,20.56,40
2015-10-20,20.95,21.61,20.56,21.21,9360
2015-10-21,21.48,22.26,21.48,22.13,930
2015-10-22,22.52,22.52,22.52,22.52,10
2015-10-23,22.52,22.79,21.48,22.79,1020
2015-10-26,22.66,22.79,22.66,22.79,70
2015-10-27,21.21,22.26,21.21,22.26,750
2015-10-28,20.95,22.0,20.95,22.0,240
2015-10-29,20.69,22.26,20.69,22.26,520
2015-10-30,22.79,23.57,22.79,23.18,170
2015-11-02,21.61,23.18,21.61,23.05,14610
2015-11-03,21.74,23.31,21.74,23.05,220
2015-11-04,22.26,23.31,21.48,23.05,4640
2015-11-05,23.05,23.05,23.05,23.05,200
2015-11-06,22.79,23.18,21.48,23.18,6490
2015-11-09,22.92,23.31,21.87,21.87,6580
2015-11-10,20.82,23.31,20.82,23.18,5030
2015-11-11,23.18,23.31,23.18,23.31,110
2015-11-12,23.05,24.62,21.87,21.87,2180
2015-11-13,21.87,23.31,20.82,21.48,7270
2015-11-16,22.92,22.92,20.95,22.92,1510
2015-11-17,22.92,24.1,21.74,22.79,1100
2015-11-18,21.87,21.87,21.87,21.87,20
2015-11-19,23.05,23.31,20.95,21.87,4720
2015-11-20,23.31,23.31,22.26,22.26,10140
2015-11-23,23.7,23.7,23.57,23.57,110
2015-11-24,23.57,24.36,23.57,24.36,1340
2015-11-25,22.92,25.8,22.92,23.05,5060
2015-11-26,24.62,24.62,24.62,24.62,8060
2015-11-27,25.67,26.19,24.88,26.19,23130
2015-11-30,26.45,28.02,26.19,26.45,940
2015-12-01,26.45,26.71,24.88,26.71,930
2015-12-02,28.29,28.29,26.98,26.98,130
2015-12-03,26.19,26.71,26.19,26.45,560
2015-12-04,26.19,26.19,25.14,26.19,1140
2015-12-07,27.24,27.24,24.36,26.71,1200
2015-12-08,24.88,26.19,24.88,26.19,30
2015-12-09,26.19,26.19,24.36,25.67,1610
2015-12-10,23.96,25.67,23.96,25.54,7260
2015-12-11,24.36,26.19,24.36,26.19,1590
2015-12-14,24.36,25.41,24.36,25.01,2090
2015-12-15,25.41,25.67,25.27,25.67,17760
2015-12-16,26.19,26.19,24.49,24.62,150
2015-12-17,24.62,24.62,24.49,24.49,130
2015-12-18,25.39,25.39,25.39,25.39,10
2015-12-21,25.65,25.78,23.93,23.93,60
2015-12-22,24.86,24.86,22.87,22.87,80
2015-12-23,22.87,24.33,22.74,24.06,4780
2015-12-24,24.59,25.12,23.8,25.12,3180
2015-12-25,25.12,25.65,23.54,25.25,1040
2015-12-28,25.39,25.39,25.39,25.39,120
2015-12-29,25.39,25.39,25.39,25.39,2000
2015-12-30,25.52,26.44,25.52,26.44,250
2015-12-31,26.31,26.31,25.92,26.31,460
2016-01-04,26.05,26.18,24.59,24.59,2240
2016-01-05,24.59,25.12,24.59,25.12,190
2016-01-06,24.99,24.99,23.4,24.99,1030
2016-01-07,26.31,26.44,23.93,23.93,370
2016-01-08,24.86,24.86,22.48,24.06,300
2016-01-11,24.73,24.73,22.61,24.06,460
2016-01-12,24.73,24.86,24.06,24.73,640
2016-01-13,24.73,24.86,23.01,24.2,2500
2016-01-14,24.06,24.59,22.74,22.74,4200
2016-01-15,24.06,24.06,24.06,24.06,130
2016-01-18,22.48,23.8,22.48,22.48,670
2016-01-19,23.27,23.27,23.27,23.27,100
2016-01-20,23.4,23.93,23.27,23.93,450
2016-01-21,23.93,23.93,23.93,23.93,30
2016-01-22,23.8,23.8,22.35,23.54,1140
2016-01-25,23.8,23.8,23.67,23.8,60
2016-01-26,23.8,23.8,23.8,23.8,1120
2016-01-27,23.8,23.8,22.21,22.21,660
2016-01-28,23.54,23.54,21.29,23.27,240
2016-01-29,23.4,23.4,23.4,23.4,250
2016-02-01,23.67,24.06,22.35,22.35,220
2016-02-02,22.35,23.27,21.68,21.68,1280
2016-02-03,23.01,23.01,21.16,23.01,420
2016-02-04,23.4,23.4,23.4,23.4,110
2016-02-05,23.4,23.4,23.4,23.4,0
2016-02-15,21.82,23.14,21.82,23.01,340
2016-02-16,23.67,23.8,23.4,23.54,310
2016-02-17,23.8,23.93,23.67,23.93,270
2016-02-18,22.48,23.54,22.48,23.54,240
2016-02-19,23.54,23.54,23.54,23.54,480
2016-02-22,22.48,23.8,22.21,23.8,430
2016-02-23,22.21,22.74,22.21,22.21,1280
2016-02-24,23.67,23.67,23.67,23.67,30
2016-02-25,22.21,23.54,22.08,22.08,840
2016-02-26,23.4,23.4,23.4,23.4,50
2016-02-29,21.95,24.59,21.95,24.59,3300
2016-03-01,22.87,24.73,22.87,24.73,800
2016-03-02,23.67,24.59,23.67,24.59,2170
2016-03-03,24.59,24.59,23.01,23.01,130
2016-03-04,24.2,24.59,24.06,24.59,1400
2016-03-07,24.46,24.73,24.46,24.59,440
